k,start,end
1,2020-03-21,2020-03-27
2,2020-02-22,2020-02-28
2,2020-03-21,2020-03-27
2,2020-10-03,2020-10-09
2,2020-10-17,2020-10-23
2,2020-10-31,2020-11-06
2,2021-10-30,2021-11-05
3,2020-02-22,2020-02-28
3,2020-03-21,2020-03-27
3,2020-04-18,2020-04-24
3,2020-12-19,2020-12-24
3,2021-01-04,2021-01-08
3,2021-11-27,2021-12-03
4,2020-02-01,2020-02-07
4,2020-02-22,2020-02-28
4,2020-03-21,2020-03-27
4,2020-11-14,2020-11-20
4,2021-02-13,2021-02-19
4,2021-03-20,2021-03-26
4,2021-05-22,2021-05-28
4,2021-06-26,2021-07-02
4,2021-07-10,2021-07-16
4,2021-07-17,2021-07-23
4,2021-07-31,2021-08-06
4,2021-11-06,2021-11-12
4,2021-11-27,2021-12-03
5,2020-02-22,2020-02-28
5,2020-03-21,2020-03-27
5,2020-06-06,2020-06-12
5,2020-06-27,2020-07-03
5,2020-10-10,2020-10-16
5,2020-11-21,2020-11-27
5,2021-09-18,2021-09-24
6,2020-02-22,2020-02-28
6,2020-03-07,2020-03-13
6,2020-03-21,2020-03-27
6,2020-04-18,2020-04-24
7,2020-02-01,2020-02-07
7,2020-03-21,2020-03-27
7,2020-03-28,2020-04-03
7,2020-04-11,2020-04-17
7,2020-10-17,2020-10-23
7,2020-10-31,2020-11-06
7,2021-11-06,2021-11-12
7,2021-11-27,2021-12-03
7,2021-12-04,2021-12-10
8,2020-02-22,2020-02-28
8,2020-03-21,2020-03-27
8,2020-09-26,2020-10-02
8,2020-10-03,2020-10-09
8,2020-10-17,2020-10-23
8,2020-10-31,2020-11-06
8,2020-12-19,2020-12-24
8,2021-01-09,2021-01-15
8,2021-01-16,2021-01-22
8,2021-08-07,2021-08-13
8,2021-11-27,2021-12-03
9,2020-02-29,2020-03-06
9,2020-04-11,2020-04-17
9,2021-01-23,2021-01-29
9,2021-03-20,2021-03-26
9,2021-10-30,2021-11-05
10,2020-03-21,2020-03-27
11,2020-02-22,2020-02-28
11,2020-03-14,2020-03-19
11,2020-03-21,2020-03-27
11,2020-04-11,2020-04-17
11,2020-08-09,2020-08-14
11,2020-09-19,2020-09-24
11,2021-05-22,2021-05-28
11,2021-09-11,2021-09-17
11,2021-10-09,2021-10-15
11,2021-11-27,2021-12-03
12,2020-02-22,2020-02-28
12,2020-02-29,2020-03-06
12,2020-03-21,2020-03-27
12,2020-08-22,2020-08-28
12,2020-12-19,2020-12-24
12,2021-01-04,2021-01-08
12,2021-01-16,2021-01-22
12,2021-03-13,2021-03-19
