"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","case","death","death","case","case","case","case","ministry","death","case","death","death","case","case","case","case","death","death","case","case","death","death","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","death","case","case","death","case","case","case","case","case","death","death","death","death","death","death","death","death","case","death","death","case","death","death","death","case","death","death","death","death","death","death","death","death","case","case","case","death","death","case","case","case","case","death","record","death","death","case","death","death","death","death","death","death","death","death","death","death","death","death","report"
"2","confirm","case","province","death","death","death","death","death","case","death","case","case","death","death","death","death","case","case","death","death","case","case","death","death","death","death","death","death","death","death","death","death","death","death","death","death","death","death","death","case","death","death","case","death","death","death","death","death","total","case","case","case","case","numb","total","infection","death","case","total","death","case","case","total","total","new","record","oxygen","case","case","case","total","case","death","death","death","case","case","death","death","death","death","record","death","case","case","death","case","case","case","record","case","case","case","case","case","case","case","report","death"
"3","death","confirm","case","hubei","hubei","confirm","total","case","toll","numb","increase","numb","numb","numb","numb","total","numb","total","confirm","total","confirm","total","numb","total","total","total","rise","ministry","numb","numb","new","new","total","total","total","new","new","total","infection","numb","record","total","daily","total","toll","total","total","total","numb","report","total","toll","record","total","case","case","new","day","numb","total","record","daily","since","death","case","new","new","ministry","total","total","case","since","record","toll","infection","record","infection","total","infection","report","infection","case","case","record","new","new","record","total","record","case","new","record","new","report","report","rate","daily","record","daily"
"4","figure","figure","figure","province","province","new","new","costa","italy","total","toll","total","confirm","total","total","numb","toll","toll","total","new","toll","record","confirm","numb","numb","record","total","confirm","total","rise","total","ministry","numb","past","daily","total","record","new","total","report","report","new","new","report","total","toll","record","report","case","total","numb","report","numb","case","numb","total","rise","total","day","numb","toll","total","toll","ministry","total","case","case","record","daily","new","report","total","since","new","rise","infection","record","new","report","outbreak","record","since","outbreak","rate","total","ministry","figure","register","new","new","record","daily","numb","record","record","total","accord","case","figure"
"5","numb","li","confirm","figure","new","numb","china","bring","numb","confirm","total","toll","total","confirm","toll","toll","total","record","numb","test","numb","new","total","ministry","increase","confirm","record","numb","day","total","report","total","rise","record","new","numb","infection","report","daily","record","total","daily","total","toll","infection","numb","toll","numb","toll","toll","daily","new","total","patient","ministry","new","total","daily","new","daily","total","toll","ministry","new","toll","oxygen","total","new","toll","numb","new","hospital","daily","total","daily","new","total","record","total","record","report","infection","rate","new","high","total","new","past","daily","infection","daily","new","record","new","total","care","total","toll","total"
"6","china","wenliang","hubei","record","report","province","south","numb","rise","infection","figure","rise","toll","toll","new","ministry","confirm","confirm","record","numb","total","confirm","ministry","confirm","confirm","million","numb","report","daily","toll","numb","numb","confirm","confirm","record","daily","daily","numb","record","infection","daily","numb","toll","infection","numb","confirm","high","patient","report","daily","record","numb","new","record","daily","report","ministry","register","rise","brazil","new","ministry","daily","record","record","total","ministry","toll","intensive","report","numb","patient","hospital","record","total","rise","toll","rise","record","new","total","daily","new","total","rate","report","report","figure","total","numb","since","since","report","register","new","report","figure","ministry","case"
"7","total","korean","commission","commission","figure","total","numb","de","total","china","numb","confirm","new","apr","ministry","confirm","record","ministry","ministry","figure","province","toll","test","rise","toll","numb","report","total","report","brazil","confirm","report","report","numb","high","toll","total","ministry","new","daily","new","infection","numb","numb","report","report","new","high","health","record","toll","total","rise","register","toll","ministry","daily","patient","hospital","toll","infection","record","numb","numb","numb","toll","hospital","numb","numb","since","daily","toll","infection","numb","record","total","ministry","figure","daily","total","ministry","toll","rise","infection","report","record","since","toll","numb","russia","infection","report","daily","infection","infection","new","ministry","daily","france"
"8","province","singapore","korea","wuhan","china","toll","ministry","confirm","infection","italy","rise","report","rise","new","rise","infection","new","numb","new","confirm","figure","numb","toll","record","daily","report","ministry","toll","new","ministry","toll","confirm","figure","new","numb","rise","past","record","ministry","total","toll","report","register","rise","daily","new","daily","rise","ministry","day","ministry","rise","hospital","toll","rise","toll","confirm","toll","ministry","new","daily","new","high","care","ministry","figure","record","total","fall","daily","hospital","figure","total","since","report","daily","daily","high","new","china","new","new","infection","numb","record","daily","day","patient","day","since","day","total","infection","average","ministry","intensive","report","figure","new"
"9","late","late","new","infection","mainland","region","report","report","ministry","rise","record","figure","infection","infection","confirm","new","report","report","health","toll","ministry","report","infection","increase","report","ministry","confirm","infection","figure","new","rise","infection","ministry","ministry","ministry","report","toll","rise","numb","new","numb","toll","record","daily","new","rise","confirm","health","since","rise","rise","record","report","high","previous","rise","toll","intensive","infection","report","rise","figure","new","patient","oxygen","report","care","figure","record","fall","infection","new","report","high","toll","report","rise","hospital","numb","ministry","previous","city","high","high","positive","day","numb","record","ministry","high","numb","week","toll","numb","since","record","rate","intensive","ministry"
"10","south","commission","outside","china","die","report","increase","rise","confirm","country","new","record","report","ministry","record","rise","high","datum","infection","record","new","infection","new","toll","new","toll","day","past","increase","datum","record","high","toll","daily","toll","record","numb","toll","report","day","infection","high","infection","new","record","daily","infection","rate","rise","die","since","daily","high","hospital","new","record","infection","numb","daily","ministry","numb","report","datum","datum","datum","hospital","toll","since","report","toll","fall","infection","patient","figure","new","toll","report","report","toll","province","outbreak","total","toll","day","since","toll","past","numb","week","daily","total","reuters","high","total","average","figure","covid","hour","coronavirus"
