"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","quarantine","evacuate","quarantine","passenger","uk","officer","chief","technology","hospital","french","hospital","equipment","ppe","nhs","uk","tomorrowspaperstoday","uk","cummings","johnson","uk","minister","england","election","johnson","prime","johnson","lockdown","lockdown","johnson","breach","hogan","rule","rule","rule","johnson","johnson","ireland","pub","manchester","tier","england","care","christmas","tier","tier","tier","tier","tier","tier","school","school","variant","variant","uk","variant","johnson","variant","study","study","astrazeneca","astrazeneca","vaccine","blood","clot","clot","amp","drug","vaccine","booster","vaccine","child","drug","astrazeneca","vaccine","vaccine","vaccine","booster","vaccine","booster","vaccine","booster","booster","vaccine","booster","vaccine","booster","booster","booster","vaccine","vaccine","dose","dos","vaccine","drug","pfizer","dos","vaccine","vaccine","booster"
"2","flight","quarantine","flight","re","england","whitty","mexico","officer","french","hospital","patient","nhs","equipment","tomorrowspaperstoday","ferguson","uk","life","dominic","england","government","prime","front","vote","prime","minister","uk","venue","uk","england","restriction","ireland","ireland","social","measure","will","minister","restriction","england","tier","restriction","johnson","restriction","england","christmas","mp","london","england","england","school","child","child","mask","uk","vaccinate","mask","think","study","variant","variant","blood","vaccine","study","clot","blood","blood","regulator","trial","astrazeneca","vaccine","european","vaccine","vaccine","use","use","astrazeneca","effective","pfizer","study","study","booster","immune","vaccine","booster","shot","dose","shot","trial","pfizer","booster","dos","booster","vaccine","dos","vaccine","drug","vaccine","dos","dos","vaccine"
"3","wuhan","flight","evacuate","hunt","arrowe","chief","deputy","patient","patient","medical","care","hospital","protective","uk","johnson","nurse","cummings","boris","uk","johnson","election","uk","tomorrowspaperstoday","uk","parliament","shapps","minister","pub","work","people","rave","illegal","uk","england","area","rule","minister","level","leader","england","nhs","lockdown","tier","household","nhs","restriction","christmas","southeast","england","learn","re","protection","hancock","variant","think","uk","england","age","brazil","clot","clot","trial","rare","johnson","astrazeneca","astrazeneca","eu","attack","shot","johnson","vaccinate","administer","trial","study","covishield","booster","vaccine","antibody","drug","dose","vaccine","shot","approval","vaccine","datum","dose","drug","dose","shoot","booster","dos","booster","age","use","vaccine","booster","drug","johnson","dose"
"4","citizen","evacuee","allow","australian","park","medical","officer","prof","mask","battle","nurse","protective","scientific","sage","england","johnson","street","tomorrowspaperstoday","boris","minister","government","johnson","voter","vote","uk","prime","uk","long","implement","event","event","pub","hancock","uk","minister","place","rise","ireland","great","leader","ireland","ireland","normal","uk","secretary","thing","london","christmas","london","level","parent","restriction","protection","suggest","mutation","variant","think","england","age","vaccine","blood","astrazeneca","vaccine","vaccine","johnson","use","document","use","fauci","sinopharm","receive","cdc","approve","astrazeneca","booster","trial","shoot","immune","vaccine","study","shot","drug","shot","immune","trial","severe","cdc","disease","pfizer","trial","vaccine","age","child","pfizer","dos","age","use","pfizer","age"
"5","uk","base","san","diamond","chief","northern","kelly","distance","protective","protective","mask","nurse","nhs","powis","prof","boris","child","prime","tomorrowspaperstoday","prime","boris","party","johnson","boris","boris","minister","book","wave","really","home","fine","police","rise","people","boris","will","place","northern","lockdown","west","british","dup","hull","lockdown","think","uk","uk","scotland","pupil","teacher","lockdown","may","johnson","dose","bbc","know","show","research","blood","medicine","use","use","astrazeneca","rare","vaccine","johnson","astrazeneca","drug","secure","dos","johnson","dos","vaccine","child","use","regulator","drug","vote","israel","shoot","dose","shoot","pfizer","pfizer","effective","risk","dose","shot","dose","dose","moderna","dose","use","dos","booster","adult","mutation","child","jab"
"6","british","air","home","flight","royal","ireland","social","current","doctor","staff","nhs","worker","sage","hospital","youtube","chief","nhs","johnsons","prime","complaint","poll","employee","poll","minister","mp","power","re","scheme","nhs","irelands","golf","base","england","gathering","measure","merseyside","level","tier","uk","local","will","england","restriction","minister","boris","ask","review","need","area","scotland","see","british","approach","protection","programme","boris","uk","find","england","european","jab","jab","age","amp","amp","clot","havent","system","authorise","cdc","pfizer","use","pfizer","drug","eu","mrna","dose","medicine","dose","researcher","trial","effectiveness","datum","datum","child","immunity","risk","shoot","dos","jab","jab","moderna","booster","pill","pill","european","booster","study","dos"
"7","passenger","wuhan","delay","quarantine","whitty","patient","patient","chief","nurse","france","medical","supply","political","johnson","government","introduce","tomorrowspaperstoday","lockdown","lockdown","boris","union","review","round","mp","party","normality","run","together","agree","ahead","dinner","want","johnson","full","bar","boris","johnson","uk","england","must","level","sport","west","ireland","will","scotland","period","new","child","will","think","radio","england","re","south","england","evidence","uk","effective","regulator","denmark","shoot","regulator","use","rare","risk","blood","executive","vaccination","study","jab","regulator","age","individual","child","medicine","give","jab","trial","drug","pfizer","israel","protection","dose","jab","vaccine","disease","vaccine","moderna","us","sputnik","jab","deliver","regulator","dose","treatment","moderna","dose","receive"
"8","evacuate","military","park","australia","patient","chris","care","life","tomorrowspaperstoday","airbnb","staff","staff","care","scientific","david","england","policy","johnson","minister","file","party","prime","build","father","full","work","care","shield","wale","want","breach","fine","young","fine","venue","area","uk","government","pub","high","lockdown","minister","wale","england","apply","manchester","change","level","plan","primary","necessary","england","secretary","johnson","know","offer","hancock","protection","good","suspend","effective","regulator","link","woman","age","vaccine","user","blood","pfizerbiontech","amp","use","clot","drug","trial","approve","pfizerbiontech","medical","jampj","pfizer","find","antibody","system","trial","suggest","shoot","shoot","us","center","pfizerbiontech","pfizer","johnson","sputnik","drug","moderna","moderna","dose","severe","booster","book"
"9","facility","plane","prime","ship","plan","scotland","medical","request","equipment","frontline","fight","care","hospital","patel","get","doctor","hancock","sack","public","rule","england","rule","municipal","poll","johnson","care","want","young","britain","eviction","illegal","uk","people","social","rule","england","labour","restriction","mayor","pub","mp","nhs","nhs","boris","end","think","johnson","nhs","level","pupil","able","threat","may","think","book","raab","priority","author","conduct","jab","european","receive","medicine","astrazeneca","regulator","woman","vaccine","clot","cause","develop","shoot","blood","child","blood","regulator","study","gbs","drug","efficacy","trial","study","pfizer","efficacy","israel","pfizer","pfizer","pfizer","risk","drug","drug","receive","reuters","administer","shot","trial","drug","protein","age","uk"
"10","plane","arrive","citizen","parent","wale","delay","wale","scottish","worker","paris","london","mask","staff","hancock","page","care","sweden","uks","cummings","parliament","former","opposition","school","guardian","opposition","give","happen","return","level","must","irish","behaviour","minister","restriction","uk","across","government","area","local","area","boris","northern","uk","mix","happen","level","scotland","london","college","england","hancock","vaccinate","mean","little","re","vulnerable","researcher","researcher","likely","use","safety","blood","astrazenecas","pause","decision","shoot","commission","patient","disease","young","dos","fully","efficacy","dose","shoot","produce","shot","recommend","shoot","population","moderna","antibody","fda","trial","regulatory","pfizerbiontech","age","trial","age","shot","pfizer","give","dose","european","age","million","dose","amp","offer"
