"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","world","market","year","economy","market","market","fall","market","market","downgrade","economy","debt","oil","humanitarian","airline","airline","airline","european","economic","economic","economic","fall","bn","year","eu","eu","childcare","job","quarter","africa","cut","job","job","pandemic","payment","pandemic","economic","global","year","market","economy","percent","economy","woman","bn","pay","bank","amp","benefit","pm","nhs","airport","mexico","obrador","arm","nurse","cruise","governor","vote","cruise","merkel","merkel","germany","hong","wear","concert","event","drakeford","event","taiwan","guangzhou","taiwan","worker","worker","mask","mask","restaurant","indoor","pass","lockdown","wear","wear","vaccinate","worker","passport","pass","pass","restriction","will","november","will","tourist","restriction","travel","lockdown","lockdown","shop","measure","care"
"2","government","trade","economy","impact","stock","economic","year","company","economic","bank","fund","bank","business","economy","company","fund","flight","unemployment","economy","market","year","year","year","eu","economy","€bn","senate","bn","gdp","south","airline","airline","food","economic","year","budget","stimulus","fund","economy","trade","year","economic","trade","economy","economic","egg","job","peru","small","symptom","pharmacy","dubai","obrador","tourism","fife","mask","booking","iraq","senate","dog","angela","german","merkel","level","mask","costa","festival","airline","taiwan","taiwans","inside","city","mask","will","wear","restaurant","will","restaurant","restaurant","will","indoor","restaurant","indoor","indoor","plan","restaurant","museum","venue","pass","fully","restriction","traveller","tourist","border","restaurant","impose","transport","indoor","last"
"3","emergency","economy","price","year","fall","bank","market","already","bill","economy","bn","fund","bank","economic","passenger","eu","tax","job","package","€bn","economy","economy","economy","trudeau","economic","recovery","italian","loss","recession","trade","job","pandemic","business","forecast","australian","movie","energy","finance","economic","fall","recovery","global","australian","violence","remove","poor","global","bn","package","economy","use","white","mexican","trade","plan","mexico","year","senate","bill","july","book","chancellor","get","restriction","lobby","barcelona","re","get","status","festival","taiwan","outbreak","local","mask","outdoor","wear","mandatory","bar","lockdown","mask","lockdown","mask","nurse","restaurant","will","require","restriction","bar","venue","sydney","travel","restriction","travel","reopen","austria","austria","face","wear","close"
"4","international","world","international","cut","index","fall","percent","eu","economy","diouf","economic","finance","loan","fund","fund","passenger","package","eu","april","revenue","fall","economic","economic","economic","recovery","economy","package","tobacco","museum","economy","pilot","bn","cent","euro","extend","year","hanko","economic","china","japan","profit","fall","australia","year","year","tax","world","concern","trump","study","finally","live","lopez","arrival","cemetery","market","royal","face","house","restart","chancellor","household","rule","kong","take","death","music","taiwan","sport","party","order","mall","authority","vaccinate","russian","transport","netherlands","mandatory","theatre","covering","restaurant","glynn","restaurant","vaccinate","minister","bar","restaurant","restaurant","event","restriction","australian","travel","allow","restriction","will","bar","covering","restaurant","three"
"5","kong","stock","economic","quarter","impact","price","economic","travel","crisis","money","crisis","pope","fund","demand","economy","industry","crisis","€bn","year","recovery","eu","bank","spend","hiv","year","european","executive","extend","economy","pandemic","quarter","quarter","economy","economy","economic","airline","stock","support","recovery","expect","quarter","economy","bn","bn","sector","scotch","risk","fund","march","beach","beach","thanathorn","economic","ministry","member","offer","loss","senator","relief","book","household","sport","hair","angela","still","law","duterte","mark","big","event","bangkok","local","wear","region","russias","police","bar","saudi","wear","manila","martinique","vaccinate","sturgeon","restriction","allow","passport","afp","vaccination","allow","traveller","allow","quarantine","restaurant","lockdown","restriction","border","city","bar","continue"
"6","year","economic","crisis","growth","trade","cut","bank","year","business","emergency","bank","pandemic","company","crisis","support","budget","plan","commission","quarter","fall","€bn","expect","world","unemployment","job","fund","financial","art","fall","sampp","furlough","company","climate","plant","market","support","market","world","global","year","labor","dollar","year","spend","pay","economy","economic","aid","bn","research","temporary","travel","house","lopez","offer","face","operator","trip","aid","april","draft","angela","trudeau","resident","can","bolsonaro","back","mask","like","yoga","chen","bar","city","restaurant","ban","will","platform","measure","mask","restaurant","require","venue","restriction","will","venue","venue","negative","end","negative","will","november","restaurant","border","will","unvaccinated","travel","mask","limit","doctor"
"7","hong","outbreak","maybank","apple","economic","economy","economy","package","european","britains","loan","payment","scheme","bank","bn","package","payment","flight","growth","company","hit","crisis","sector","tunisia","million","tax","conte","museum","crisis","job","fall","growth","airline","food","job","worker","world","economy","growth","economic","billion","recovery","package","quarter","economy","sale","sector","pandemic","direct","presidency","researcher","fauci","manuel","dubai","make","white","caribbean","bolsonaro","joe","garden","german","outdoor","scotland","merkel","warn","distance","concert","welsh","island","island","city","taipei","distance","outdoor","host","infection","mask","restriction","reopen","pass","french","bank","unvaccinated","union","restaurant","public","vaccination","hospitality","november","event","pass","visitor","international","restaurant","travel","restriction","will","extend","measure"
"8","trade","oil","rise","fall","point","trade","€bn","forecast","eu","finance","resignation","recession","aid","loan","impact","crisis","finance","recovery","survey","pay","oil","already","job","trade","support","deal","fund","relief","scroll","ramaphosa","recovery","fall","year","bank","impact","theatre","representative","election","election","release","australia","year","quarter","economic","recovery","economic","paper","package","unemployment","bn","admit","guardian","airport","financial","capital","us","say","francis","us","angela","germany","state","cut","expect","israel","event","get","wale","bar","create","prison","outdoor","taiwan","mandatory","restaurant","capital","infection","venue","gathering","curfew","mask","face","lift","scottish","enter","worker","bar","vaccinate","business","proof","reopen","hong","reopen","lift","event","unvaccinated","require","announce","vaccinate"
"9","meet","ghebreyesus","church","outbreak","economy","production","tourism","european","canada","european","research","poor","cut","job","economic","oil","aid","economic","recession","year","stock","trade","crisis","global","recession","leader","leader","furlough","drop","read","pandemic","estimate","economic","price","worker","next","global","debt","tax","impact","gas","drop","nation","crisis","account","support","researcher","pass","pass","patient","study","joe","happen","economic","son","delay","passenger","pope","commonwealth","german","regional","premier","guidance","reopen","interest","low","ridge","event","area","roma","backlog","student","order","gathering","lockdown","local","introduce","introduce","indoor","bar","pass","must","september","french","introduce","measure","october","pass","proof","border","quarantine","allow","traveller","schallenberg","country","restaurant","mandatory","venue","week"
"10","market","fall","emergency","stock","drop","rate","drop","economic","bank","rate","financial","crisis","recession","aid","industry","meat","oil","bank","€bn","industry","unemployment","quarter","trudeau","loan","billion","package","job","worker","office","recovery","industry","meal","cut","poultry","pandemic","job","congress","year","job","growth","economic","billion","job","job","cost","jones","gavi","african","bill","find","guardian","court","mauritius","guardian","dubai","mexican","chief","newsom","democrat","finance","holiday","merkels","limit","chancellor","level","grow","facility","first","popular","chen","mask","allow","home","leave","ramaphosa","hit","work","pilgrim","will","rule","venue","covering","worker","require","fake","mandatory","reopen","reopen","limit","flight","fully","enter","quarantine","daily","shop","will","wear","alcohol","distance"
