"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","mask","mask","mask","drug","church","doctor","economy","australian","australian","police","rule","abe","police","police","police","police","police","police","police","protest","police","police","mask","wear","wear","mask","mask","mask","wear","mask","wear","city","capacity","party","mask","mask","school","restaurant","curfew","restaurant","bar","zone","restaurant","restaurant","ski","restaurant","shop","restaurant","curfew","tokyo","lockdown","curfew","measure","restaurant","restriction","border","open","restaurant","czech","paris","lockdown","lockdown","restaurant","reopen","reopen","lockdown","travel","will","will","travel","travel","travel","travel","quarantine","quarantine","quarantine","travel","travel","travel","list","test","quarantine","travel","quarantine","test","student","bolsonaro","emergency","personal","bank","pregnant","bolsonaro","light","germanys","germanys","german","germanys","german","open"
"2","hospital","hospital","wear","plasma","service","mask","holy","murphy","stay","officer","distance","mask","association","protest","protest","ban","election","prayer","protest","police","protest","protest","wear","mask","mask","wear","distance","wear","mask","wear","mask","distance","indoor","wave","performance","restaurant","restaurant","measure","infection","measure","restaurant","impose","school","ski","christmas","restriction","germany","shop","lockdown","emergency","curfew","germany","lockdown","lockdown","business","reopen","restriction","lockdown","region","lockdown","restriction","school","shop","restaurant","lockdown","reopen","court","travel","reopen","fan","list","portugal","list","traveller","travel","certificate","list","france","france","travel","travel","test","care","travel","shop","airline","test","president","guinea","fiji","variant","cancer","council","germany","germany","germany","february","legislation","report"
"3","wuhan","supply","face","pneumonia","mask","german","scare","morrison","home","get","weekend","tokyo","arrest","abe","protester","church","protest","protest","protester","black","black","fine","governor","public","mandatory","face","wear","face","face","festival","distance","indoor","restaurant","restriction","event","cuomo","bar","curfew","measure","lockdown","measure","italy","close","gathering","restaurant","lockdown","christmas","close","pm","restriction","lebanon","measure","curfew","restriction","restaurant","czech","lockdown","reopen","school","region","infection","macron","lockdown","school","shop","outdoor","will","tourism","restaurant","reopen","test","cruise","border","travel","traveller","tourist","quarantine","beta","quarantine","quarantine","list","hong","list","arrival","travel","economic","brazils","york","travel","groupthink","mix","committee","europe","party","market","recover","germany","parliament","website"
"4","medical","medical","worker","father","wear","germany","professor","community","ardern","rule","asylum","event","woman","protester","africa","gathering","voter","mosque","floyd","mat","nepal","refuse","public","police","face","distance","face","distance","marathon","paris","concert","citys","wave","festival","opus","face","infection","bar","lockdown","pm","curfew","village","state","shop","shop","measure","lockdown","january","eve","lockdown","allow","shop","protest","curfew","lockdown","shop","region","restriction","restriction","weekend","shop","easter","reopen","lockdown","restaurant","shop","allow","quarantine","portugal","green","airline","reopen","quarantine","tourist","tourist","island","traveller","list","amber","red","pcr","kong","manager","list","half","school","queiroga","senior","reveal","ready","bubble","conspiracy","netherlands","measure","measure","region","mandatory","mandatory","mandatory"
"5","wear","patient","staff","hospital","member","practice","german","bowen","morrison","go","force","guideline","mask","game","mine","protest","vote","hold","black","protester","mat","arrest","police","tower","prison","people","mandatory","different","paris","france","regulation","madrid","lift","jewish","wear","city","area","macron","mask","curfew","will","restaurant","indoor","bar","bar","open","will","pm","minister","allow","business","lockdown","shop","reopen","reopen","restaurant","reopen","region","shop","restriction","school","france","france","outdoor","business","ease","open","greece","allow","will","quarantine","airline","airline","island","test","negative","malta","quarantine","list","tourist","quarantine","economy","home","restriction","year","economy","york","minister","passenger","soon","ay","crime","germanys","infection","party","surge","merkel","chancellor","expect"
"6","doctor","face","hospital","wuhan","daegu","corona","communion","economy","province","force","easter","social","gaga","measure","mask","city","protester","law","city","life","like","mat","executive","mandatory","lleida","france","indoor","lockdown","distance","order","castex","wave","city","indoor","city","wear","close","public","gathering","restriction","shop","infection","gathering","december","holiday","gathering","restriction","december","holiday","impose","impose","merkel","variant","school","curb","restriction","shop","ease","infection","impose","reopen","limit","close","ease","pub","measure","bar","country","negative","tourism","flight","british","reopen","industry","island","travel","proof","traveller","traveller","traveller","traveller","hotel","traveller","test","tourism","return","positive","japan","overwhelm","become","write","woman","reinfection","netherlands","german","merkel","scholz","unvaccinated","nhs"
"7","patient","protective","sanitiser","mask","away","advert","germanys","people","cover","beach","police","people","protest","south","south","officer","muslim","citys","george","rally","man","black","distance","cinema","government","risk","social","restriction","physical","requirement","german","dine","cuomo","face","restaurant","york","wear","france","restaurant","prime","region","lockdown","governor","limit","region","bar","infection","lockdown","year","record","measure","german","school","shop","border","measure","restaurant","infection","reopen","hospital","close","close","school","close","outdoor","restaurant","pass","portugal","travel","certificate","ban","negative","ship","list","arrival","proof","eu","amber","eu","border","uk","business","restriction","traveller","closure","gorilla","boris","ramaphosa","englands","criminal","extend","call","robert","institute","koch","measure","vaccination","lauterbach","saturday"
"8","supply","wear","medical","restaurant","people","insist","church","get","officer","nsw","repeatedly","police","harris","gathering","distance","mask","arrest","san","demonstration","sydney","america","gather","protester","party","france","police","public","blog","city","city","crowd","hong","outdoor","wear","summer","de","berlin","french","limit","wave","close","french","shop","will","limit","germany","january","measure","measure","measure","strict","variant","ease","february","infection","lockdown","measure","germany","measure","measure","nonessential","restriction","allow","april","april","open","restaurant","list","country","country","red","list","britain","arrive","tourism","test","green","tourist","beta","country","box","highrisk","quarantine","red","lose","zoo","student","mkhize","airport","safe","add","jair","health","german","merkel","season","leader","nurse","level"
"9","city","city","work","australia","attend","hand","business","spread","scott","distance","restriction","follow","hire","enforce","go","black","right","election","site","crowd","together","house","parade","breach","public","mandatory","rule","social","hand","event","event","restriction","winter","kurz","seat","alert","restriction","gathering","daily","limit","intensive","curfew","restriction","curfew","gathering","will","restaurant","curfew","gathering","region","will","restriction","close","measure","czech","israel","curfew","extend","curfew","castex","impose","shop","measure","province","school","restriction","business","open","tourist","summer","impose","return","allow","will","holiday","traveller","island","island","foreign","destination","border","arrive","test","business","period","philippines","assembly","queiroga","location","price","challenge","pregnant","diwali","carnival","form","czech","chancellor","germany","make"
"10","hubei","build","shut","every","die","re","reduction","come","social","minister","guidance","household","lady","law","arrest","law","prison","rule","kill","officer","fire","inside","pride","distance","covering","crowd","gym","hand","street","crowd","paris","scheme","restriction","lockdown","wave","new","alert","czech","emergency","infection","lockdown","region","december","holiday","allow","christmas","measure","gathering","close","curb","rule","spread","restriction","close","ban","allow","infection","shop","week","lift","easter","allow","pressure","curfew","stay","hospitality","curb","island","quarantine","june","centre","allow","airport","britain","visitor","entry","border","shortage","arrival","holiday","abroad","arrival","red","pcr","net","still","jair","member","associate","since","heart","theory","booster","scholz","wave","scholz","restriction","merkel","home"
