"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","case","ship","ship","ship","ship","test","ship","craig","bolsonaro","ship","uruguayan","school","ship","sailor","student","russian","bolsonaro","brazil","brazil","bolsonaro","de","putin","job","bolsonaro","farm","bachchan","bolsonaro","mail","medical","indigenous","team","berlusconi","refugee","refugee","un","mink","guest","website","commission","community","scientific","like","auction","save","teacher","alcohol","northern","peak","patient","hospital","hospital","patient","patient","hospital","panel","hong","eu","french","outbreak","bolsonaro","brazils","brazils","brazils","brazil","worker","fire","healthcare","woman","passenger","oxygen","bolsonaro","brazil","america","bolsonaro","bolsonaro","pay","fire","protester","police","police","police","police","right","police","police","ischgl","nurse","prison","wear","force","pressure","romania","climate","staff","hancock","president","year","party","party"
"2","confirm","cruise","passenger","passenger","princess","ship","passenger","mnd","brazils","cruise","ship","de","de","truck","brazil","bolsonaro","brazil","brazils","brazils","brazils","brazil","president","cut","president","de","de","supporter","vote","theatre","director","island","organization","pope","camp","china","club","recover","guest","power","access","lockdown","series","property","home","gantar","home","care","patient","hospital","nhs","patient","oxygen","hospital","dose","vaccine","kong","certificate","brazils","doctor","need","bolsonaro","likely","bolsonaro","brazilian","loss","hospital","hospital","ministry","airport","brazil","brazilian","tournament","lockdown","miranda","bharat","worker","hospital","police","protest","protest","protest","protester","hospital","protest","danish","klauser","handle","player","low","decide","romania","airport","german","nhs","secretary","alcohol","village","rule","staff"
"3","man","test","cruise","princess","cruise","passenger","cruise","leave","claim","zaandam","passenger","cuomo","navy","home","paraguay","mexico","brazils","russian","bolsonaro","brazil","colombia","parade","pay","jair","president","nicaraguan","brazilian","president","castiblanco","american","tour","tedros","former","shelter","year","game","former","neyra","cormann","ethnic","johnson","category","summit","van","staff","staff","ambulance","trust","staff","bed","oxygen","doctor","doctor","head","hong","zoo","vaccination","york","spark","guardian","brazil","judge","death","response","brazilian","return","stop","hospital","committee","parliament","brazil","football","firm","government","contract","nurse","bolsonaro","protest","hospital","protester","protester","singapore","former","officer","quarter","schopf","furlough","vote","premier","scotland","see","staff","military","care","book","care","work","labour","drink"
"4","test","passenger","princess","diamond","diamond","guest","princess","holiday","animal","dock","treatment","york","bolsonaro","brazils","crow","lópez","moscow","bolsonaro","president","brazilian","doctor","bolsonaro","airbus","brazil","worker","cheese","tweet","florida","appeal","organization","bolsonaro","understand","say","syrian","positive","farm","asia","ruin","gallagher","child","national","johnson","ppe","online","sweden","administer","prison","essential","bed","patient","nhs","may","point","study","immune","administration","greece","stop","disinformation","queiroga","queiroga","child","go","burial","lose","outbreak","kill","transport","statement","statement","president","copa","fall","pressure","bolsonaros","leave","kill","hospital","force","berlin","pass","rally","de","arrest","brazil","lawsuit","price","like","player","doctor","real","israel","glasgow","patient","scheme","home","home","street","work"
"5","chinese","positive","quarantine","test","passenger","cruise","grand","cruise","name","passenger","bolsonaro","brazils","cruise","race","ship","obrador","percent","indigenous","moscow","moscow","el","mask","brazilian","brazilian","medical","nobel","doctor","ballot","partner","world","briatore","mukherjee","contract","world","player","monk","pompeo","match","royal","write","adviser","uk","outlet","film","home","spend","hospital","chain","trust","london","england","cathedral","medical","system","water","app","air","doctor","moment","pazuello","death","virus","city","emergency","pass","government","delhi","pandemic","many","brazilian","american","america","nonessential","inquiry","impeachment","president","court","raid","officer","officer","prayuth","prison","power","protester","soon","tourist","driver","deputy","daughter","hospital","advisory","month","thousand","england","nhs","treatment","airline","police","treasury"
"6","minister","diamond","diamond","cruise","british","princess","test","guest","steven","port","cruise","ship","sailor","jair","brazils","brazils","de","project","jair","jair","plane","brazil","nhs","venezuela","la","award","category","nuclear","director","native","de","stress","medical","player","match","maestro","test","attend","senator","borissov","sage","investigation","retail","bet","loan","vaccinate","letter","firstwave","nhs","care","bed","nurse","medicine","dog","ema","vatican","doctor","state","global","brazil","jair","animal","child","worker","thursday","bolsonaros","doctor","healthcare","body","vietnam","host","host","americas","police","biotech","hospital","injure","city","protester","macron","thai","pass","expression","canary","contract","court","company","inmate","like","life","die","passenger","leader","worker","job","trump","inquiry","breach","office"
"7","arrive","princess","test","onboard","quarantine","hotel","board","resort","illness","allow","port","navy","crow","bolsonaro","jair","ventilator","kadyrov","mexico","rio","russian","brazils","brazilian","ppe","seek","el","costa","stadium","peace","position","trail","race","protest","solidarity","special","football","football","japan","enter","porter","year","strategy","fine","fund","overcome","swedens","drink","£bn","care","care","england","nurse","hospital","association","immune","experience","vaccination","york","emmanuel","greece","rollout","countrys","paulo","countrys","need","shot","home","brazils","doctor","ministry","asian","tournament","team","ease","deal","brazil","brazilian","iraqs","yellow","bangkok","paris","rally","oppose","rule","commute","nurse","accuse","spain","price","drive","go","tell","recover","cop","job","former","relative","player","prime","christmas"
"8","tourist","woman","man","positive","japan","carry","quarantine","flight","quarantine","panama","travel","sailor","disembark","official","bolsonaro","russias","brazilian","confirm","mexico","de","bogotá","jair","bolsonaro","positive","ceremony","december","request","absentee","sex","bolsonaro","member","former","francis","positive","general","player","paper","peru","labor","something","believe","group","march","difficult","blood","deliver","spend","ireland","nightingale","nurse","care","vaccination","moment","patient","app","york","california","jair","vaccine","brazilian","brazilian","bat","president","contain","positive","despite","impose","medical","state","outbreak","venice","brazilian","mark","contract","share","yearold","coffin","facility","thailand","thousand","demonstrator","demonstration","police","wharf","sir","infect","spains","worker","water","nurse","need","pressure","staff","mandatory","worker","business","zone","video","place"
"9","infect","man","positive","british","onboard","negative","negative","positive","são","florida","history","blasio","city","funeral","cruise","hospital","jair","moscow","russian","mexico","president","brazils","staff","brazils","test","bolsonaro","battle","office","outside","black","italian","say","one","thousand","summit","rutte","memo","japanese","ask","explain","boris","significant","sell","experience","resident","jab","ireland","northern","london","doctor","doctor","severe","election","right","medical","member","movement","paulo","declare","brazils","tuesday","expert","virus","effort","run","brazilian","fire","serious","flight","many","britofernandez","six","philippines","jair","de","sick","brazilian","nsw","patient","court","freedom","court","jackson","threat","commute","local","judge","must","choice","watch","hospital","want","still","rural","unemployment","former","rugby","gather","time"
"10","patient","board","yokohama","board","test","office","oakland","diagnosis","governor","canal","australian","crow","mayor","de","de","peskov","governor","de","supporter","paulo","mexico","vote","brazils","veto","repeatedly","actor","arrive","manila","colombia","infect","alert","important","positive","permit","saudi","race","club","able","budget","dismiss","evidence","experience","sale","bonus","line","nhs","prisoner","drive","acute","bad","outside","elderly","gap","vaccine","dog","decree","shot","brazilian","simply","page","bolsonaros","brazilian","york","pass","roadmap","less","cause","outbreak","terminal","president","ship","ship","romania","brother","brazilian","brazils","suspend","west","court","demonstration","bullet","protest","thousand","injure","bn","consumer","eat","democrat","performance","plant","really","face","angeles","make","make","access","worker","question","numb"
