k,start,end
1,2020-02-22,2020-02-28
1,2020-03-07,2020-03-13
1,2020-03-14,2020-03-20
1,2020-03-28,2020-04-03
1,2021-01-16,2021-01-22
1,2021-01-23,2021-01-29
1,2021-03-13,2021-03-19
1,2021-11-20,2021-11-26
1,2021-11-27,2021-12-03
2,2020-02-08,2020-02-14
2,2020-02-22,2020-02-28
2,2020-02-29,2020-03-06
2,2020-03-07,2020-03-13
2,2020-03-14,2020-03-20
2,2020-04-18,2020-04-24
2,2020-05-23,2020-05-29
2,2020-07-25,2020-07-31
2,2020-09-12,2020-09-18
2,2020-09-26,2020-10-02
2,2020-10-10,2020-10-16
2,2021-01-02,2021-01-08
2,2021-01-16,2021-01-22
2,2021-02-06,2021-02-12
2,2021-03-13,2021-03-19
2,2021-03-20,2021-03-26
2,2021-05-08,2021-05-14
2,2021-05-22,2021-05-28
2,2021-07-17,2021-07-23
2,2021-07-31,2021-08-06
2,2021-11-27,2021-12-03
3,2020-02-22,2020-02-28
3,2020-02-29,2020-03-06
3,2020-03-07,2020-03-13
3,2020-04-04,2020-04-10
3,2020-06-20,2020-06-26
3,2021-05-01,2021-05-07
3,2021-11-27,2021-12-03
4,2020-02-22,2020-02-28
4,2020-02-29,2020-03-06
4,2020-03-07,2020-03-13
4,2020-03-14,2020-03-20
4,2020-09-26,2020-10-02
4,2020-10-03,2020-10-09
4,2020-10-17,2020-10-23
4,2020-12-19,2020-12-25
5,2020-02-29,2020-03-06
5,2020-03-07,2020-03-13
5,2020-03-14,2020-03-20
5,2020-06-13,2020-06-19
5,2020-06-27,2020-07-03
5,2021-01-16,2021-01-22
5,2021-05-08,2021-05-14
5,2021-05-22,2021-05-28
5,2021-11-27,2021-12-03
6,2020-02-22,2020-02-28
6,2020-02-29,2020-03-06
6,2020-03-07,2020-03-13
6,2020-03-14,2020-03-20
6,2020-04-04,2020-04-10
6,2020-04-11,2020-04-17
6,2020-06-27,2020-07-03
6,2020-07-25,2020-07-31
6,2020-10-10,2020-10-16
6,2020-10-31,2020-11-06
6,2020-12-12,2020-12-18
6,2021-01-09,2021-01-15
6,2021-11-13,2021-11-19
6,2021-11-20,2021-11-26
7,2020-02-22,2020-02-28
7,2020-02-29,2020-03-06
7,2020-03-07,2020-03-13
7,2020-03-14,2020-03-20
7,2020-04-25,2020-05-01
7,2020-06-27,2020-07-03
7,2020-10-10,2020-10-16
7,2020-10-31,2020-11-06
7,2020-12-05,2020-12-11
7,2021-01-09,2021-01-15
7,2021-02-06,2021-02-12
7,2021-03-06,2021-03-12
7,2021-05-29,2021-06-04
7,2021-11-27,2021-12-03
8,2020-02-22,2020-02-28
8,2020-02-29,2020-03-06
8,2020-03-07,2020-03-13
8,2020-03-14,2020-03-20
8,2020-03-21,2020-03-27
8,2020-05-02,2020-05-08
8,2020-05-16,2020-05-22
8,2020-10-10,2020-10-16
9,2020-02-22,2020-02-28
9,2020-02-29,2020-03-06
9,2020-03-07,2020-03-13
9,2020-03-14,2020-03-20
9,2020-05-09,2020-05-15
9,2020-05-23,2020-05-29
9,2020-06-13,2020-06-19
9,2020-10-10,2020-10-16
9,2021-01-16,2021-01-22
9,2021-01-30,2021-02-05
9,2021-02-06,2021-02-12
10,2020-02-22,2020-02-28
10,2020-02-29,2020-03-06
10,2020-03-07,2020-03-13
10,2020-03-14,2020-03-20
10,2020-10-10,2020-10-16
10,2020-12-26,2021-01-01
10,2021-01-02,2021-01-08
10,2021-01-23,2021-01-29
11,2020-02-22,2020-02-28
11,2020-02-29,2020-03-06
11,2020-03-07,2020-03-13
11,2020-03-14,2020-03-20
11,2020-03-21,2020-03-27
11,2020-06-20,2020-06-26
12,2020-02-15,2020-02-21
12,2020-02-22,2020-02-28
12,2020-02-29,2020-03-06
12,2020-03-07,2020-03-13
12,2020-03-14,2020-03-20
12,2020-03-21,2020-03-27
