"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","saúde","hospital","análises","hospital","hospital","hospital","hospital","testar","lar","lar","lar","lar","testar","lar","lar","testar","testar","testar","caso","utente","utente","lar","monsaraz","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","madeirar","caso","caso","região","caso","região","homem","caso","região","caso","caso","caso","região","região","ano","mulher","madeirar","caso","caso","caso","região","caso","últimas","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","região","caso","caso","caso","caso","registar","caso","caso","região","caso","caso","caso","ano","caso","ano","sexo","caso","caso","região","caso","caso","aberto"
"2","hospital","análises","negativar","suspeitar","confirmar","homem","testar","hospital","hospital","testar","utente","testar","saúde","testar","testar","lar","lar","caso","concelho","concelho","lar","utente","reguengo","ilhar","ilhar","ano","registar","recuperado","ativos","ativos","ilhar","ilhar","ilhar","últimas","registar","ilhar","positivo","homem","região","ano","ano","ilhar","caso","região","região","madeirar","morte","região","região","ano","norte","região","ano","homem","região","morte","região","caso","região","região","últimas","últimas","região","registar","região","registar","registar","registar","região","região","região","região","tejo","novo","região","caso","região","ano","ano","região","homem","registar","região","madeirar","madeirar","região","região","região","registar","caso","caso","hora","madeirar","caso","homem","registar","abrir"
"3","suspeitar","casar","hospital","joão","homem","testar","doente","lar","testar","utente","idoso","idoso","utente","testado","visita","utente","ilhar","concelho","cabo","caso","reguengo","positivo","lar","surtir","ativos","recuperado","total","ano","registar","recuperado","últimas","recuperado","madeirar","total","recuperado","positivo","total","mulher","últimas","últimas","caso","região","norte","caso","madeirar","caso","região","madeirar","ano","tejo","ano","madeirar","região","região","madeirar","região","madeirar","hora","últimas","caso","mulher","novo","últimas","últimas","novo","novo","madeirar","tejo","madeirar","novo","ativos","tejo","região","açores","norte","últimas","açores","mulher","registar","homem","dois","óbitos","norte","caso","região","ano","mulher","madeirar","ano","açores","quatro","região","últimas","açores","região","ano","acabar"
"4","casar","suspeitar","suspeitar","tratar","escritor","doente","positivar","utente","utente","idoso","testar","utente","testado","praia","idoso","positivar","concelho","isolamento","amostra","positivo","testar","reguengo","surtir","registar","cabo","cabo","maputo","últimas","hora","ilhar","hora","miguel","miguel","registar","elevar","total","recuperado","caso","homem","mulher","homem","madeirar","ano","mulher","homem","ano","homem","morte","madeirar","açores","madeirar","homem","homem","mulher","ano","madeirar","doença","madeirar","morte","açores","região","infetados","autoridade","região","últimas","últimas","região","região","norte","registar","tejo","valar","registar","região","madeirar","ano","homem","região","açores","óbitos","óbitos","madeirar","madeirar","homem","óbitos","mulher","madeirar","homem","valar","madeirar","ano","últimas","ano","madeirar","registar","madeirar","aceitar"
"5","caso","dgs","lisboa","casar","casar","ano","brasileiro","positivar","sintoma","hospital","hospital","saúde","caso","açores","realizado","negativar","utente","cabo","registar","registar","positivar","monsaraz","évora","ativos","hora","ativos","recuperado","homem","recuperado","últimas","ativos","ativos","últimas","região","ativos","recuperado","novo","últimas","óbitos","hora","madeirar","homem","ilhar","ano","norte","homem","madeirar","valar","tejo","caso","tejo","mulher","caso","morte","mulher","norte","morte","valar","valar","madeirar","novo","registar","hora","transmissão","registar","hora","tejo","açores","infeções","últimas","açores","registar","positivo","positivo","valar","homem","valar","hora","faixar","norte","caso","ano","açores","valar","norte","registar","norte","mulher","região","registado","açores","valar","valar","tejo","regional","região","acelerar"
"6","doente","negativar","dgs","espanha","paciente","internado","bolsonaro","sintoma","idoso","infetados","misericórdia","hostel","lar","positivo","positivar","cabo","cabo","amostra","ilhar","positivar","doente","ilhar","hospital","lar","monsaraz","positivo","óbitos","maputo","total","hora","miguel","região","registar","importado","últimas","miguel","cidade","região","norte","registar","registar","ano","morte","registar","mulher","tejo","ano","tejo","lisboa","valar","caso","caso","norte","morrer","homem","arquipélago","tejo","tejo","novo","registar","óbitos","hora","ativos","hora","hora","madeirar","novo","madeirar","arquipélago","positivo","valar","algarve","novo","tejo","hora","dois","tejo","madeirar","madeirar","madeirar","norte","norte","valar","tejo","registar","homem","hora","caso","últimas","últimas","hora","açores","hora","miguel","miguel","homem","achar"
"7","dois","lisboa","direçãogeral","curry","sepúlveda","paciente","clube","câmara","positivar","saúde","santo","positivar","doente","regional","testado","testado","caso","positivar","coronavírus","santo","monsaraz","ativos","utente","monsaraz","reguengo","hora","ativos","ativos","madeirar","doença","recuperado","autoridade","recuperado","hora","óbitos","registar","luanda","registar","madeirar","madeirar","mulher","morte","açores","norte","alentejo","lisboa","mulher","regional","homem","óbitos","açores","valar","açores","ano","norte","valar","novo","homem","registado","valar","homem","região","novo","morte","madeirar","região","norte","ano","últimas","norte","local","açores","hora","óbitos","tejo","norte","mulher","homem","tejo","ano","mulher","homem","tejo","regional","homem","madeirar","homem","últimas","homem","homem","tejo","tejo","região","homem","concelho","óbitos","acompanhado"
"8","confirmar","joão","casar","milão","suspeitar","suspeito","sintoma","vila","casar","santo","câmara","refugiado","câmara","saúde","cabo","regional","positivar","infeção","recuperado","lar","positivo","testar","positivar","reguengo","região","total","últimas","sexo","dois","maputo","madeirar","elevar","região","miguel","hora","homem","ano","total","tejo","região","açores","últimas","madeirar","óbitos","óbitos","valar","regional","ano","regional","norte","valar","açores","madeirar","caso","tejo","tejo","valar","norte","tejo","ativos","ativos","total","valar","norte","registado","registado","lisboa","novo","doente","infeções","positivo","ativos","ativos","santo","óbitos","novo","algarve","açores","região","hora","região","tejo","lisboa","mulher","mulher","hora","açores","registado","tejo","hora","boletim","quatro","açores","norte","tejo","mulher","acompanhar"
"9","portugal","jorge","criança","homem","saúde","mulher","casar","santo","santo","positivar","concelho","caso","positivo","visita","cidade","amostra","resultar","sintra","positivar","câmara","idoso","évora","positivo","positivo","positivo","registar","madeirar","positivo","novo","óbitos","registar","importado","total","positivo","madeirar","saúde","madeirar","importado","ano","homem","ilhar","hora","positivo","últimas","açores","norte","açores","mulher","norte","madeirar","centrar","tejo","tejo","óbitos","morrer","homem","últimas","mulher","morrer","tejo","hora","norte","registar","ano","total","miguel","valar","valar","registar","madeirar","últimas","madeirar","sexo","madeirar","últimas","recuperado","norte","óbitos","hora","açores","lunda","mulher","arquipélago","últimas","dois","açores","ano","regional","norte","óbitos","regional","miguel","dr","algarve","madeirar","últimas","aconselhar"
"10","isolamento","caso","encaminhado","análises","ano","confirmar","jesus","idoso","funcionários","câmara","covid","câmara","concelho","região","positivo","covid","realizado","saúde","total","oito","hospital","internado","idoso","total","utente","ilhar","dois","dois","angola","registar","total","últimas","ativos","ativos","região","óbitos","óbitos","óbitos","alentejo","morte","últimas","açores","recuperado","madeirar","tejo","morte","óbitos","novo","valar","homem","algarve","óbitos","alentejo","regional","morte","alentejo","registado","registar","registar","hora","infetados","ativos","registado","tejo","centrar","total","positivo","últimas","centrar","local","madeirar","norte","infeções","últimas","infeções","hora","novo","norte","lisboa","tejo","últimas","regional","novo","sexo","seis","miguel","faial","valar","hora","região","lisboa","concelho","norte","lisboa","mulher","morte","acontecer"
