"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","caso","morte","últimas","caso","hora","caso","caso","caso","caso","morte","caso","morte","caso","últimas","caso","caso","caso","caso","caso","registar","registar","morte","registar","morte","caso","caso","caso","últimas","óbitos","morte","morte","morte","morte","morte","caso","morte","morte","morte","morte","morte","morte","morte","morte","morte","registar","morte","morte","morte","morte","morte","morte","morte","caso","morte","caso","caso","caso","caso","caso","caso","registar","registar","caso","últimas","caso","morte","caso","morte","hora","morte","morte","morte","morte","morte","morte","morte","aberto"
"2","confirmado","morto","morto","morte","morte","morte","morte","número","morte","morte","total","morte","número","total","total","últimas","últimas","morte","morte","morte","morte","caso","caso","registar","caso","morte","morte","morte","hora","caso","últimas","morto","últimas","morte","morte","últimas","morte","morte","últimas","caso","caso","últimas","caso","registar","morte","hora","morte","caso","morte","caso","caso","caso","caso","caso","morte","caso","últimas","caso","caso","caso","caso","caso","últimas","caso","morte","caso","caso","caso","últimas","caso","caso","caso","hora","total","morte","morte","morte","hora","últimas","hora","morte","óbitos","hora","hora","morte","caso","morte","óbitos","últimas","registar","óbitos","óbitos","registar","registar","caso","caso","abrir"
"3","casar","confirmado","hubei","morto","país","número","número","morte","total","número","morte","total","hora","morto","morte","morte","número","hora","hora","hora","últimas","morto","hora","últimas","registar","hora","número","morto","registar","morto","morto","caso","morte","caso","últimas","hora","hora","registar","morte","morte","morte","hora","últimas","caso","registar","registar","desde","desde","registar","óbitos","últimas","óbitos","hora","registar","número","hora","caso","registar","últimas","últimas","últimas","últimas","registar","registar","caso","registar","registar","óbitos","caso","registar","registar","registar","últimas","desde","registar","desde","registar","morte","morte","óbitos","últimas","caso","óbitos","caso","registar","últimas","óbitos","áfrica","total","áfrica","registar","registar","desde","caso","registar","registar","acabar"
"4","alemanha","mortal","morte","menos","morto","país","registar","aumentar","número","registar","número","número","registar","número","número","morto","hora","últimas","morto","últimas","registar","número","morte","hora","morto","morto","registar","número","morte","número","hora","últimas","hora","hora","registar","registar","registar","últimas","registar","últimas","número","registar","morte","últimas","hora","morte","registar","morte","últimas","desde","hora","registar","desde","número","últimas","últimas","número","últimas","hora","registar","hora","desde","hora","total","hora","últimas","últimas","últimas","hora","óbitos","últimas","hora","morte","caso","últimas","total","hora","últimas","hora","morte","caso","últimas","áfrica","registar","últimas","hora","hora","caso","infeção","óbitos","áfrica","últimas","hora","últimas","desde","infeções","aceitar"
"5","confirmar","morte","continental","número","infetados","chinar","chinar","registar","registar","morto","registar","registar","morte","últimas","últimas","hora","morte","registar","número","número","hora","hora","novo","morte","morte","número","áfrica","últimas","últimas","infetados","morte","áfrica","registar","registar","hora","morte","últimas","hora","óbitos","hora","óbitos","desde","infeções","hora","últimas","últimas","últimas","hora","hora","número","registar","últimas","últimas","últimas","hora","desde","desde","óbitos","total","desde","óbitos","registar","desde","últimas","últimas","óbitos","hora","hora","registar","últimas","número","últimas","desde","últimas","óbitos","últimas","últimas","total","óbitos","últimas","desde","morte","registar","recuperado","áfrica","áfrica","últimas","últimas","morte","últimas","caso","hora","caso","coronavírus","infeções","desde","acelerar"
"6","itália","vítimas","número","morrer","mortal","morto","confirmado","mortal","últimas","últimas","hora","últimas","total","hora","hora","número","registar","número","últimas","registar","morto","registar","morto","número","últimas","infetados","últimas","infeções","morto","hora","registar","registar","morto","morto","número","número","infeções","morto","hora","número","últimas","caso","hora","número","total","número","hora","óbitos","caso","registar","desde","hora","óbitos","hora","desde","registar","hora","hora","desde","total","início","hora","infeções","hora","novo","hora","óbitos","país","óbitos","infeções","desde","total","registar","número","novo","óbitos","número","registar","número","registar","hora","hora","infetados","óbitos","hora","óbitos","registar","registar","caso","hora","hora","total","últimas","hora","novo","últimas","achar"
"7","unido","continental","província","total","morrer","confirmado","novo","infetados","morto","ontem","morto","hora","últimas","morte","registar","total","total","morto","registar","morto","total","últimas","número","novo","número","áfrica","novo","estado","país","últimas","infeções","infeções","total","contabilizar","óbitos","infeções","número","óbitos","desde","desde","desde","total","número","morto","óbitos","morto","óbitos","país","desde","infeções","óbitos","novo","número","óbitos","registar","total","registar","novo","registar","hora","desde","número","início","desde","óbitos","total","número","total","infeções","desde","hora","desde","óbitos","hora","número","início","desde","óbitos","total","total","óbitos","novo","últimas","doença","recuperado","registar","áfrica","infeção","registar","infeção","últimas","caso","óbitos","novo","números","mundo","acompanhado"
"8","país","número","confirmado","subir","número","morrer","país","novo","novo","mortal","confirmado","óbitos","morto","registar","novo","registar","morto","óbitos","infetados","infeções","número","áfrica","áfrica","total","total","novo","infeções","infetados","novo","óbitos","novo","número","óbitos","óbitos","morto","total","óbitos","início","número","óbitos","hora","infeções","país","óbitos","número","desde","início","registar","infeções","hora","total","desde","registar","total","óbitos","número","infeções","número","novo","novo","número","total","caso","óbitos","número","país","desde","registar","total","hora","total","coronavírus","número","registar","total","hora","novo","novo","registar","desde","total","infeção","morte","infetados","associado","infeção","infeção","hora","óbitos","segundar","infeção","desde","mundo","infeções","segundar","balanço","acompanhar"
"9","sul","total","total","confirmado","pessoa","subir","infetados","vítimas","ontem","vítimas","últimas","morto","novo","véspera","morto","infetados","novo","novo","óbitos","total","novo","desde","desde","morto","infeções","últimas","óbitos","hora","número","registar","número","hora","infeções","número","total","desde","morto","infeções","infeções","novo","infeções","número","desde","país","desde","infeções","país","infeções","novo","últimas","novo","pessoa","infeção","novo","total","óbitos","óbitos","total","número","número","registar","óbitos","país","infeção","total","início","infeções","coronavírus","desde","número","novo","ministério","novo","novo","hora","registar","dado","áfrica","desde","ativos","elevar","ministério","total","morte","total","ministério","total","pandemia","novo","rússia","recuperado","infeção","número","divulgado","balanço","provocado","aconselhar"
"10","austrália","reinar","chinar","infeção","confirmado","novo","infeção","morto","hora","confirmado","registado","subir","vítimas","subir","aumentar","novo","infeção","total","áfrica","novo","óbitos","novo","registar","desde","novo","registar","morto","registar","desde","áfrica","vítimas","país","número","infeções","infeções","início","áfrica","número","morto","país","total","óbitos","início","novo","início","óbitos","total","pandemia","país","contabilizar","país","país","total","infeções","novo","novo","novo","infeção","infeção","início","país","início","doença","país","país","novo","morto","infeção","início","início","início","doença","total","início","desde","ativos","infeções","número","ministério","novo","início","início","desde","pandemia","infeção","infetados","coronavírus","associado","ministério","caso","ministério","dado","balanço","segundar","rússia","coronavírus","acontecer"
"11","unir","mundo","registado","mortal","infetadas","infetados","morrer","confirmado","itália","hora","novo","boletim","mortal","novo","óbitos","vítimas","óbitos","confirmado","total","óbitos","país","total","total","infeções","óbitos","óbitos","total","óbitos","óbitos","infeções","óbitos","óbitos","áfrica","total","áfrica","pandemia","país","novo","início","início","morto","morto","óbitos","total","novo","novo","infeções","morto","total","novo","dia","total","novo","infeção","infeções","morto","total","desde","país","país","novo","infeções","novo","início","desde","desde","total","morto","país","país","óbitos","ativos","país","infeções","coronavírus","número","registado","coronavírus","moçambique","áfrica","recuperado","total","acumular","coronavírus","doença","total","recuperado","contabilizar","elevar","associado","novo","segundar","pandemia","desde","óbitos","brasil","acordar"
