"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","viagem","petróleo","economia","impactar","turismo","empresa","euro","empresa","ponto","eurogrupo","europeu","europeu","ponto","euro","europeu","europeu","euro","euro","euro","euro","principal","maio","desempregar","mil","banco","trimestre","junho","turismo","mícron","milhões","euro","euro","costa","empresa","empresa","antónio","aplicação","máscara","costa","máscara","recluso","recluso","prisional","especialista","médicos","vaticano","estirpe","festa","renovação","votar","escola","escola","escola","aluno","ensinar","desconfinamento","desconfinamento","desconfinamento","costa","emergência","governar","marcelo","emergência","marcelo","costa","direito","marcelo","presidente","matriz","marcelo","dizer","dizer","dizer","dizer","ministrar","ministrar","costa","costa","crianças","graça","dizer","graça","ir","vacinação","medida","medida","alívio","evolução","cadeia","cruz","estratégia","joão","portugal","efetividade","efeito","graça","aberto"
"2","voo","milhões","crescimento","economia","economia","petróleo","empresa","economia","euro","euro","milhões","ponto","europeu","europeu","euro","ue","europeu","milhões","quedar","europeu","ponto","euro","maio","mortalidade","desempregar","pib","milhões","impactar","efeito","euro","milhões","milhões","silvar","economia","costa","lobo","stayaway","direito","europeu","ganhar","prisional","prisional","faltar","imunidade","tão","objetivo","perito","jornalista","emergência","escola","ensinar","ensinar","rir","escola","acesso","escola","ruir","planar","edp","governar","apoio","governar","governar","dizer","recuperação","odemira","dizer","sobrar","primeiroministro","dizer","marcelo","primeiroministro","ministrar","presidente","marta","garantir","governar","marcelo","marcelo","dizer","momento","freitas","esperar","sistema","especialista","grande","presidente","empresar","plenário","hospital","dizer","madeirar","variante","evolução","oms","freitas","abrir"
"3","chinar","aéreas","impactar","empresa","milhões","milhões","economia","euro","europeu","centeno","euro","euro","euro","dólares","ue","milhões","milhões","pib","europeu","milhões","europeu","ponto","europeu","beber","espanhol","euro","euro","económica","desempregar","mil","mil","julho","planar","créditos","recuperação","xavier","costa","obrigatoriedade","primeiroministro","cima","ministrar","prisões","carlos","incidência","ouça","porque","infarmed","completar","votar","dizer","encerramento","decretar","ensinar","aula","escola","governar","governar","governar","dizer","costa","costa","costa","república","emergência","república","presidente","presidente","rebelar","reunião","líder","desconfinamento","costa","merkel","situação","temer","estar","psd","sousa","dizer","sobrar","adolescente","diretorageral","centro","dizer","reunião","costa","direito","avaliação","dizer","vermelhar","saída","presidente","marta","henrique","delta","oms","acabar"
"4","companhia","impactar","milhões","indústria","impactar","euro","milhões","crise","empresa","europeu","ponto","petróleo","bolsar","ponto","milhões","ponto","comissão","europeu","orçamento","ponto","euro","trimestre","previsões","economia","quedar","quedar","ano","trimestre","economia","económico","familiar","associação","defender","planar","apoiar","empresa","obrigatoriedade","máscaras","república","lei","crianças","crianças","proteção","população","população","origem","grupar","corpo","estar","emergência","costa","emergência","distância","ensinar","governar","presidente","rir","emergência","governar","precisar","república","antónio","estar","costa","estar","sobrar","costa","dizer","sobrar","rebelar","tal","marcelo","temer","declarações","dizer","sobrar","porfí","rebelar","pai","decisão","ministrar","centro","associação","situação","fazer","antónio","ir","pandemia","horar","julho","assinar","população","temer","sobrar","variante","sintoma","aceitar"
"5","aeroporto","procurar","grande","fmi","crescimento","economia","banco","milhões","banco","empresa","empresa","recuperação","trimestre","subir","recuperação","recuperação","fundar","economia","pib","bolsar","índice","desempregar","mil","funcionar","mil","junho","quase","euro","ar","semanal","mês","empresa","investimento","setor","turismo","conselho","app","europeu","conselho","usar","tirar","jorge","espaços","picar","máximo","admitir","especialista","princípio","aula","estar","dizer","dizer","aluno","emergência","distância","reunião","defender","marcelo","primeiroministro","república","marcelo","república","marcelo","vacina","reunião","haver","sousa","português","henrique","sousa","podar","presidente","defender","república","campanha","dizer","joão","antónio","vacinação","crianças","entrever","vacinação","outro","cenário","falar","primeiroministro","processar","reabertura","sobrar","frisar","quebra","sábado","preocupação","falar","transmissão","variante","acelerar"
"6","janeiro","voo","petróleo","euro","setor","setor","pagamento","pagamento","bolsar","economia","bolsar","crise","subir","bolsar","quedar","heleno","recuperação","quedar","milhões","banco","cercar","milhões","euro","comércio","dólares","maio","período","trump","gotículas","banco","cds","apoiar","administração","juro","europeu","der","primeiroministro","usar","antónio","antónio","respeitar","responder","recinto","henrique","joão","fechar","dizer","wuhan","aluno","medida","aula","governar","psd","governar","ministrar","psd","portuguãªs","república","debater","desconfinamento","parlamentar","ministrar","psd","possível","emergência","problema","problema","falar","temer","vidar","aplicação","comissão","portuguãªs","ruir","costa","saber","falar","deputar","presidente","vacinação","dever","trabalhar","medicinar","freitas","antónio","considerar","medida","anunciar","esperar","prova","socialista","aproveitar","analisado","universidade","março","ligeiro","achar"
"7","algum","chinar","trimestre","global","mundial","impactar","impactar","europeu","milhões","banco","financeiro","bolsar","milhões","comissão","trimestre","desempregar","mil","mil","prevê","abril","união","tap","período","trimestre","milhões","milhões","mil","recuar","quase","consulta","apoiar","trabalhador","considerar","moratória","ministrar","leyen","antónio","obrigatória","presidência","república","usar","proibir","presidência","barro","medida","pai","reconhecer","chinãªs","escola","presencial","presencial","renovação","educação","distância","comissão","república","planar","sousa","sobrar","dizer","primeiroministro","questionar","dizer","vidar","marcelo","habitação","odemira","comissão","dizer","eduardo","sousa","falar","marta","temer","sobrar","melhor","sns","dizer","saudáveis","dgs","sobrar","dizer","fazer","invernar","pública","restrições","vidar","melhor","rocha","ramo","polícias","nobre","frequência","precisar","investigador","gravar","acompanhado"
"8","aérea","companhia","investidor","crescimento","económico","quedar","setor","financeiro","índice","dívida","centeno","centeno","índice","milhões","europa","desempregado","empréstimos","consumar","suplementar","impactar","bolsar","subir","baixar","abril","final","desempregar","turismo","milhões","crise","desenvolvimento","mãªs","economia","documentar","famílias","primeiroministro","von","obrigatória","comissão","máscara","madeirar","cabra","espaços","mostrar","confiança","hospital","confiança","objetivo","polícia","deputar","governar","governar","república","ruir","medida","aluno","emergência","dizer","reunião","antónio","marcelo","social","sobrar","vacina","antónio","dizer","situação","rebelar","social","marta","falar","defender","parlamentar","marcelo","ministrar","presidente","governar","dizer","garantir","direçãogeral","freitas","necessidade","têm","vacina","ir","vacinação","dizer","estádios","ir","ministério","última","estar","lisboa","outubro","dizer","porque","especialista","acompanhar"
"9","dever","economia","produção","milhões","fmi","índice","europeu","crédito","economia","crise","crise","financeiro","bolsa","psi","produção","índice","leyen","produção","ano","bolsa","bolsa","quebrar","portugal","retomar","período","quebrar","trimestre","quedar","turismo","familiar","julho","mil","visão","medida","trabalhador","ursula","europeu","costa","videoconferência","ue","proteger","usar","costa","baltazar","especialista","médicos","viajar","proteção","decretar","aluno","aluno","distância","aula","república","desconfinamento","deputar","coisa","deputar","catarino","sousa","dizer","apoio","deputar","sousa","europeu","precisar","república","sousa","querer","cumprir","testar","república","presidente","secretário","estar","explicar","silvar","reunião","dgs","adolescente","futurar","lembrar","pedir","graça","marcelo","ir","desconfinamento","permitir","principal","ligar","conhecer","marcar","carlos","agora","preocupação","coetzee","aconselhar"
"10","maior","opep","dólares","chinar","banco","bolsar","mil","impactar","financeiro","milhões","economia","fundar","petróleo","índice","ponto","euro","propor","ano","mil","principal","psi","europeu","descer","atividade","apontar","estatística","face","junho","ruir","produto","junho","podar","crise","moratórias","antónio","marcelo","usar","liberdade","comportamento","cabra","estabelecimento","cadeia","serviços","explicar","agostar","cidade","conselheiro","especialista","medida","costa","educação","aluno","juventude","sobrar","sobrar","marcelo","saber","psd","martim","deputado","antónio","social","sousa","sempre","resiliência","trabalhar","antónio","querer","marcelo","ministrar","querer","sobrar","admitir","defender","mensagem","dever","deputar","especialista","república","técnica","vacinar","fazer","rádio","efeito","necessidade","afirmar","vez","unir","salvador","polícia","construção","jogar","sublinhagem","cenário","mundial","doença","acontecer"
