"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","the","the","estudar","irão","escola","escola","escola","the","the","escola","aluno","aula","ensinar","escola","aluno","aluno","escola","crianças","infância","células","prisional","prisional","aluno","positivar","escola","praia","lar","lar","concelho","surtir","utente","concelho","utente","utente","surtir","lar","utente","utente","utente","utente","utente","lar","utente","lar","lar","utente","lar","lar","utente","utente","utente","utente","utente","câmara","câmara","câmara","municipal","câmara","município","apoiar","brasileiro","esplanada","isolamento","loja","distanciamento","zmar","requisição","regra","controlado","psp","gnr","máscara","usar","costa","ligar","primeiroministro","atleta","tóquio","macau","escola","tóquio","argentino","hospital","ensinar","entrar","euro","euro","loja","mental","marcelo","defender","poupança","eleitor","comparticipação","farmácias","câmara","aberto"
"2","hospital","paciente","the","aluno","pai","aluno","aluno","and","escola","aluno","aula","professor","escola","aluno","escola","escola","ensinar","escola","jardim","estudar","estabelecimento","trabalhador","exame","confirmar","tomar","câmara","utente","luso","morar","utente","arouca","utente","lar","lar","utente","utente","lar","lar","lar","lar","lar","surtir","lar","utente","utente","lar","testar","utente","lar","lar","lar","lar","lar","lar","lar","municipal","câmara","hoje","civil","lar","museu","desfilar","lar","portar","maio","requisição","resolução","polícia","baltazar","máscara","transportar","obrigatório","máscara","primeiroministro","primeiroministro","espaços","jogo","jogo","emergência","recordar","japão","testar","cidade","trump","trabalhador","milhões","milhões","cidadão","apoiar","presidente","bolsonaro","mear","estratégia","algum","violência","municipal","abrir"
"3","número","vacinar","vacinar","escola","professor","ensinar","ensinar","escola","to","ensinar","professor","of","aluno","professor","ensinar","aula","aula","préescolar","escola","investigador","caxias","tal","estudante","mandela","evento","vila","profissional","surtir","luso","santarém","lar","lar","câmara","hospital","lar","misericórdia","funcionários","surtir","misericórdia","surtir","funcionários","utente","surtir","surtir","surtir","infetados","casar","surtir","funcionários","infetados","surtir","funcionários","funcionários","utente","centro","autarquia","utente","autarquia","câmara","município","bolsonaro","municipal","idoso","distanciamento","mesa","complexo","vieira","admitir","máscara","usar","usar","usar","jogo","antónio","costa","mirar","bori","emergência","testar","letivo","testar","paralímpicos","formar","instituições","certificar","profissional","apoiar","permitir","euro","sousa","evitar","todo","através","regime","deter","centro","acabar"
"4","paciente","hospital","artigo","trump","aluno","aula","estudante","férias","ensinar","aula","ensinar","aluno","educação","aula","creche","ensinar","estudante","ensinar","crianças","instituto","estudar","estudar","politécnico","foz","câmara","concelho","torr","concelho","lar","vila","funcionários","funcionários","évora","surtir","hospital","instituição","misericórdia","misericórdia","luso","luso","infetados","misericórdia","infetados","testar","misericórdia","testar","surtir","funcionários","surtir","funcionários","funcionários","surtir","prisional","luso","municipal","idoso","município","máscaras","industrial","idoso","município","liberdade","conselho","maio","regra","advogar","regra","qualquer","adepto","portar","máscara","encerrar","olímpicos","jogo","voltar","incêndio","tóquio","tailândia","governar","macau","direito","dia","campanha","sobretudo","frança","jornal","estatal","instituto","recuperação","rebelar","vacinação","individual","união","admitir","instituições","lisboa","aceitar"
"5","primeiro","wuhan","jornal","viagem","crianças","estudante","pai","ensinar","of","educação","escola","ensinar","aula","of","aula","creche","presencial","aluno","estudar","fechar","recluso","funcionários","guardar","figueira","município","social","vedro","vila","utente","internado","hospital","municipal","funcionários","santo","beja","surtir","surtir","funcionários","surtir","funcionários","santo","funcionários","funcionários","infetados","testar","funcionários","utente","misericórdia","câmara","distrito","testar","instituição","câmara","bombeiro","utente","lar","programar","lar","santuário","autorização","monumento","aqui","ver","máscara","ministro","observador","teletrabalho","restaurante","andreia","lotação","estabelecimento","tóquio","público","usar","fonte","testar","britânico","capital","após","tóquio","confirmar","julho","fase","formar","trabalhar","site","apoio","frequência","medido","europeu","podar","câmara","pandemia","farmácias","cidade","farmácias","acelerar"
"6","coronavirus","investigador","correr","universidade","the","letivas","filho","of","universidade","exame","of","april","the","educação","pai","educação","distância","educação","educação","calamidade","observador","todo","municipal","diretora","empresar","cumprimentar","funcionários","morar","vila","concelho","instituição","luso","infetados","internado","ulsba","idoso","instituição","santo","funcionários","infetados","misericórdia","testar","santo","isolamento","infetados","surtir","infetados","santo","concelho","concelho","instituição","idoso","surtir","município","lisboa","anunciar","euro","município","forças","jogo","mercado","abrir","acesso","decorrer","restaurante","turístico","zmar","máscara","pessoa","ter","vigor","vão","espaços","máscara","antónio","reabertura","olímpicos","olímpicos","jogo","realizar","emergência","mãªs","pontar","atividades","digital","juntar","recuperação","passaporte","jovem","problema","mundo","podar","prolongar","vieira","vidar","autarquia","achar"
"7","testar","february","investigador","teerão","viagem","pai","aula","march","in","the","the","escola","universidade","ensinar","letivo","observador","aluno","bocar","israel","tentar","escola","hotel","câmara","câmara","física","isenção","dgs","évora","évora","lar","santarém","distrito","concelho","beja","infetados","santo","santo","infetados","idoso","idoso","idoso","casar","positivar","positivar","funcionários","positivar","luso","idoso","misericórdia","municipal","idoso","santo","luso","idoso","oeiras","estacionamento","economia","luso","todo","máscara","acesso","feira","sef","festa","evento","nuno","psp","metro","regra","distância","limitar","organizador","tóquio","gabinete","regressar","discoteca","olímpica","filipina","decretar","evitar","luzir","tóquio","fernando","donald","então","financeiro","certificar","tornar","pandemia","internacional","nações","economia","milhões","testar","serviços","regime","acompanhado"
"8","february","in","vírus","to","trump","professor","educação","to","crianças","to","educação","on","regressar","coimbra","escolar","crianças","crianças","nadadoressalvadores","comparar","sul","sindicato","der","suspender","facebook","educação","segurança","luzir","municipal","câmara","hospital","câmara","câmara","idoso","positivar","funcionárias","bragança","positivo","luso","santo","centrar","distrito","positivar","misericórdia","testado","idoso","idoso","idoso","infetados","instituição","surtir","infetados","infetados","social","agência","idoso","apoiar","autarquia","concelho","cidadão","todo","luso","esperança","images","liberdade","obrigatoriedade","proprietários","ministrar","psp","nunes","alarmismo","públicos","cercar","obrigatório","tóquio","bancada","restrições","johnson","japão","hospital","lista","deter","salário","araújo","docente","certificado","onu","níveis","sugerir","exterior","recuperação","barroso","tráfego","argentino","quantum","sns","moeda","acompanhar"
"9","chinar","coronavírus","universidade","qom","to","alunar","on","aluno","filho","presencial","acesso","in","jovem","may","crianças","presencial","respostar","infância","menino","projeto","direçãogeral","texto","município","isolamento","positivar","distanciamento","nível","câmara","funcionários","morar","testar","município","luso","funcionários","profissional","funcionários","hospital","idoso","infetados","instituição","testar","concelho","centrar","funcionários","santo","hospital","sintoma","instituição","santo","instituição","vila","luso","casar","municipal","norte","portar","online","enviado","idoso","salvar","segurança","arte","tratamento","coimbra","obrigatório","psp","trabalhador","estádio","jogar","discoteca","albufeirar","social","distanciamento","julho","jogo","atleta","positivar","acelerar","surtir","delta","incidente","presidente","prematuro","começou","euro","restauração","europeu","economia","permitir","fundamental","freguesia","acesso","surgir","rápidos","trabalhar","gratuito","aconselhar"
"10","pessoa","podar","homem","entrado","aula","universidade","to","we","aluno","professor","april","distância","letivo","exame","professor","exame","terçafeira","comandante","calamidade","municípios","exame","atuação","colaborador","escola","informar","explicar","internado","distrito","freguesia","luso","surtir","civil","ilegal","infetados","instituição","funcionárias","luso","fonte","vila","misericórdia","surtir","infetados","testar","detetado","positivar","instituição","funcionários","distrito","infetados","câmara","misericórdia","câmara","idoso","concelho","isolamento","luso","luso","vacinação","local","luso","seis","atividade","podar","filar","festa","silvar","existir","medida","ficar","medida","local","medida","máscaras","distância","ter","causar","contactar","dever","estar","prevenção","apenas","investigação","regime","digital","vigor","obter","economia","mundial","avançar","digital","mãªs","assumir","municípios","ministério","continuar","fil","acontecer"
