"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","chinãªs","estado","rússia","italiano","evento","municipal","municipal","municipal","clube","clube","evento","evento","futebol","futebol","futebol","estádio","ligar","futebol","ligar","agostar","ovar","jogador","sindicato","par","gnr","emergência","redar","diabéticos","linha","to","seguro","to","banco","madrid","trump","trump","trump","testar","berlim","mil","mundial","manuel","feriado","escola","brasileiro","estudar","unir","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","viagem","variante","variante","unir","espanha","variante","delta","quarentenar","unir","variante","delta","variante","cidade","variante","variante","delta","variante","crianças","variante","morto","macau","testar","testar","macau","organizador","casar","vacinado","confinamento","ue","certificado","aberto"
"2","chinar","hubei","visitar","lombardia","cancelar","município","câmara","câmara","junho","futebol","julho","praia","ligar","ligar","ligar","ligar","futebol","ligar","campeonato","federação","futebol","ligar","prever","deter","militar","coreia","conferência","banco","direito","the","parlamentar","praticamente","empresa","el","and","presidente","branco","the","cancelar","menos","the","prémio","vésperas","biden","brasil","contra","reinar","unir","reinar","oms","reinar","eficácia","reinar","vírus","estudar","estudar","unir","unir","reinar","especialista","unir","unir","voo","países","índia","indiano","reinar","viagem","reinar","reinar","unir","certificar","variante","reinar","portugal","países","variante","vacinado","variante","delta","delta","variante","estudar","países","delta","rússia","autoridade","macau","viagem","ay","casar","the","chinar","vacinado","ir","angola","abrir"
"3","wuhan","ler","prevenção","veneto","março","evento","município","futebol","futebol","adiar","futebol","futebol","clube","clube","clube","futebol","estádio","adepto","jogador","comunicar","ligar","campeões","castelo","apoiar","deter","individual","amit","hipertenso","madrid","venezuela","nações","despedimento","the","ayuso","the","branco","campanha","october","october","incumprimento","jogo","mota","trabalhar","verificar","carnar","vitaminar","variante","reinar","unir","reinar","unir","sul","vírus","sul","reinar","unir","reinar","reinar","unir","reinar","países","reinar","países","viagem","indiano","países","tóquio","países","unir","variante","variante","digital","unir","alemanha","reinar","delta","unir","noticiar","medida","chinar","vírus","confinamento","países","variante","casar","levantamento","fonte","território","voo","delta","tonga","vacinado","esperar","áustria","abordagem","viagem","acabar"
"4","novo","unido","coreia","fechado","jogo","desportivo","autarquia","maio","municipal","junho","maio","ligar","jogo","restaurante","jogador","jogo","jogo","clube","comunicar","através","setembro","futebol","escolher","estabelecimento","enviado","declarar","shah","desempenhar","alemã","of","venezuela","dizer","desfasamento","presidente","donald","donald","donald","escrever","reuniões","condutor","atleta","ensinar","tolerância","professor","vosso","anticorpo","estirpe","estirpe","britânico","unir","vírus","estudar","unir","áfrica","unir","reinar","the","alertar","estudar","unir","reinar","positivar","brasil","índia","países","lista","verão","reinar","viagem","lista","reinar","reinar","reinar","variante","europeu","frança","viagem","the","delta","governador","confinamento","unir","unido","delta","mundo","unido","morte","massa","estrangeiro","variante","brasileiro","testar","cercar","polícia","áustria","angolano","aceitar"
"5","surtir","anunciar","sul","cancelamento","adiado","câmara","abril","federação","maio","datar","jogo","maio","setembro","reabrir","portar","clube","clube","jogo","protocolo","semanal","evento","setembro","sistema","navio","encontrar","kim","imprensar","declaração","merkel","aumentar","preparação","recuar","horários","governar","to","the","the","senador","eua","cirurgia","to","social","pai","coronavac","relativo","imunidade","detetada","viajante","bori","organização","transmissão","nova","oms","oms","vírus","investigador","alertar","outro","testar","estudar","nova","bori","reinar","oms","medicamento","índia","jogo","unir","britânico","britânico","portugal","unir","europeu","unir","variante","certificar","países","delta","chinar","janeiro","sydney","irão","chinar","oficialmente","menor","morte","caso","testagem","estado","índia","ir","entrar","estado","obrigatória","restrições","digital","acelerar"
"6","cidade","província","entrado","milão","datar","atividades","futebol","adiar","adiar","municipal","agostar","agostar","regressar","jogador","fase","portar","festival","estádio","futebol","internacional","campeonato","competição","branco","realização","facto","contra","testar","teletrabalho","apoiar","apoiar","partir","direito","querer","comunidade","presidente","médico","october","trump","of","the","web","criação","março","docente","meio","eficaz","voo","identificado","vírus","mundial","sarscov","unir","ensaio","unir","instituto","oms","vírus","brasileiro","detetada","testar","vírus","britânico","britânica","residente","oms","reinar","internacional","passageiro","países","portugal","espanhol","der","ver","digital","viagem","espanha","restrições","jornal","noticiar","unir","autoridade","vírus","julho","pandemia","detetado","estado","população","autoridade","terrestre","fonte","entrar","australiano","lar","países","europeu","restrições","achar"
"7","hubei","centrar","presidente","piemonte","equipar","cultural","desportivo","adiado","jogador","maio","anunciar","sempre","junho","datar","federação","junho","jogador","equipar","provar","futebol","viana","bienal","futebol","rio","agência","decidir","declarar","fomentar","podar","julho","letivo","comunitária","conselho","espanhol","october","october","to","twitter","portavoz","assegurar","realizar","presencial","garantia","regra","público","população","países","regressar","novo","pasi","inglãªs","reinar","eficácia","reinar","coreia","mutação","problema","países","vírus","vírus","origem","sintoma","estudar","vírus","brasileiro","viagem","índia","jogo","viajar","decisão","terrestre","von","digital","lista","países","unir","inglaterra","unir","entrar","erradicação","irão","crianças","crianças","educação","semana","mundo","variante","segundafeira","branco","desta","ser","vírus","utente","quarentenar","livrar","países","acompanhado"
"8","província","dia","imperador","itália","adiar","autarquia","parque","município","festival","cancelado","prever","adiamento","maio","regressar","junho","jogador","competição","psp","barcelona","clube","salvador","inglês","rocar","gnr","razões","internacional","parlamentar","justificar","explicar","emigrante","mudar","mãªs","confinamento","díaz","norteamericano","conley","twitter","espectador","chanceler","prémio","quarentenar","universidade","coreia","portar","professor","vacinar","novo","vírus","estirpe","vírus","europeu","sarscov","investigador","eficácia","coronavírus","vírus","estudar","paulo","brasil","controlar","oms","sul","testar","unir","vírus","brasil","variante","portugal","índia","viagem","decisão","delta","instituto","portugal","viajar","máscaras","reinar","entrar","surtir","surtir","surtir","atingir","identificar","chinar","levar","variante","mundo","casar","partir","imediato","viagem","podar","informação","chanceler","circulação","parar","acompanhar"
"9","anunciar","pequim","imperial","jogo","atleta","museu","concelho","autarquia","federação","pandemia","junho","prever","desporto","maio","anunciar","julho","junho","desportivo","público","competição","provar","bombeiro","cunhar","portavoz","ganir","epidemiológica","gnr","crédito","euro","comunidade","tornar","desta","ministrar","isabel","branco","norteamericano","casar","publicação","the","população","cancro","valor","jornal","infarmed","registo","abril","viagem","britânica","oms","investigador","insa","britânica","mutação","brasil","mundial","especialista","brasileiro","joão","sintoma","doenças","anticorpo","países","sul","transmissão","enviar","quarentenar","estrangeiro","indiano","tóquio","ministrar","britânico","viagem","certificar","certificar","certificar","julho","entrar","guardian","funcionários","reinar","longo","zona","turista","notícias","fonte","países","viajante","população","unido","benfica","primeiro","austrália","funcionários","ue","destino","terrestre","aconselhar"
"10","país","morrer","realizar","região","edição","abril","música","distrital","jogo","abrigar","manter","festa","campeonato","comunicar","setembro","federação","época","campeonato","regressar","provar","malheiro","avenida","bori","federação","sofrer","sanitária","militar","falta","contra","desporto","praticamente","familiar","to","irá","biden","presidencial","testar","positivar","casamentar","federal","assegurar","incidência","dezembro","usar","alimento","assim","vírus","sul","johnson","estirpe","sul","vírus","the","origem","anticorpo","instituto","sintoma","sul","concluir","apresentar","estudar","resultar","manaus","superfícies","detetada","passageiro","quarentenar","viajar","preocupação","países","fronteirar","viajar","mutação","delta","delta","restrições","evitar","restrições","pessoa","cidade","barreira","quarentenar","universidade","confinamento","período","caso","morto","rondar","internacional","anunciar","quarentenar","of","cair","sair","polícia","luanda","acontecer"
