"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","portugal","presidente","instituição","sousa","costa","sns","estar","dizer","república","psd","dizer","dizer","dizer","dizer","primeiroministro","costa","orçamento","costa","centeno","banco","marcelo","tap","costa","primeiroministro","emigrante","real","primeiroministro","provar","igreja","sul","app","aplicação","imigrante","aplicação","chamada","miller","orçamento","psd","siza","emergência","medida","medida","medida","emergência","natal","costa","antónio","costa","marcelo","marcelo","testar","república","austríaco","ministrar","apoiar","empresa","apoiar","euro","empresa","empresa","apoio","apoiar","euro","empresa","considerar","associação","turismo","associação","recuperação","setor","euro","praia","apoiar","apoiar","utente","matriz","portar","images","sanitário","professor","certificar","certificar","contra","sanitário","contra","cercar","portar","utente","itália","alimentar","líder","europa","testar","medida","medida","medida","aberto"
"2","presidente","querer","proteção","marcelo","respostar","saúde","república","costa","costa","propor","costa","costa","costa","costa","dizer","dizer","dizer","primeiroministro","finanças","joão","presidente","costa","reuniões","europeu","europeu","madrid","vírus","zonar","ciclo","comunidade","estruturar","app","faixar","fevereiro","atender","irão","be","propor","governar","dizer","emergência","emergência","congresso","medida","medida","macron","costa","pandemia","república","rebelar","marcelo","ministrar","lista","perceber","trabalhador","apoiar","empresa","empresa","euro","apoiar","euro","trabalhador","empresa","apoiar","turismo","setor","euro","euro","empresa","recuperação","apoiar","capacidade","militar","turismo","médicos","médicos","juntar","getty","passar","sanitário","parir","digital","lar","residências","fármaco","sanitário","insulina","lar","utente","profissional","luso","situação","aluno","marcelo","governar","aeroporto","abrir"
"3","sobrar","portugal","deputar","rebelar","sns","dizer","marcelo","antónio","estar","dizer","renovação","primeiroministro","estar","tap","centeno","banco","governar","antónio","orçamento","primeiroministro","sousa","dizer","primeiroministro","costa","trabalhar","ligar","evitar","natação","recluso","moçambique","instalação","rastrear","etária","britânico","sns","evitar","governar","deputado","medida","república","costa","dizer","emergência","marcelo","governar","estar","marcelo","isolamento","emergência","sousa","candidatar","marcelo","ministrar","socialdemocrata","família","famílias","apoio","apoiar","apoiar","euro","trabalhador","programar","apoiar","euro","ir","turismo","setor","turista","prr","empresa","governar","potencial","equipa","trabalhador","algum","ordem","euro","sydney","contra","certificar","construção","polícia","idoso","passar","carla","menstrual","lista","infetados","grande","grijó","centrar","câmara","encerrar","emergência","passageiro","jornalista","acabar"
"4","poder","dizer","social","república","temer","parlamentar","dizer","estar","dizer","costa","estar","antónio","democracia","rir","costa","marcelo","costa","silvar","costa","marcelo","rebelar","pedrar","dizer","conselho","desenvolvimento","clube","precisar","edição","sanitárias","tanto","urgência","israel","mãos","adiar","linha","stephen","crise","orçamento","trimestre","estar","restauração","estar","antónio","república","estar","primeiroministro","rebelar","antónio","rebelar","república","república","rebelar","antónio","agradecer","teletrabalho","euro","trabalhador","cultura","trabalhador","famílias","apoiar","social","apoio","despesa","euro","euro","associação","multa","apoio","euro","reações","balnear","atividade","mil","civil","utente","propor","sanitário","francãªs","patente","professor","festa","milhões","enfermeiro","parir","ruir","utilização","misericórdia","trabalhar","powell","utente","deixar","funcionários","dizer","costa","dizer","aceitar"
"5","dizer","tempo","inem","fechar","precisar","psd","sousa","deputado","marcelo","marcelo","porque","porque","liberdade","psd","antónio","primeiroministro","propor","psd","primeiroministro","portugal","dizer","ministrar","importante","dizer","jovem","futebol","defender","argentino","zonar","metropolitano","aplicação","stayaway","animal","morte","mãªs","lopes","oe","deputar","empresa","marcelo","dizer","votar","costa","renovação","costa","emmanuel","sousa","precisar","presidente","candidatar","positivar","sintoma","república","salvar","filho","investimento","euro","apoio","pagamento","instituições","social","empresa","restauração","cultura","associação","enfermeiro","enfermeiro","milhões","fundar","restauração","miguel","época","médicos","trabalhar","ministrar","apoiar","centro","manifestações","protestar","estrangeiro","digital","decorrer","ministério","apresentação","outro","juiz","células","santo","lar","trabalhar","trabalhar","luso","empresa","presidente","primeiroministro","questionar","acelerar"
"6","chinãªs","juntar","material","presidente","linha","fazer","emergência","psd","primeiroministro","rir","emergência","deputado","emergência","questionar","finanças","república","economia","dizer","sousa","antónio","coisa","antónio","infarmed","sobrar","portuguãªs","eleições","contra","clube","prisional","área","zelândia","conseguir","israelita","fazer","aplicação","vírus","esquerdar","empresa","parlamentar","decretar","governar","fim","pcp","estar","sobrar","antónio","primeiroministro","brasileiro","eleições","contactar","sousa","sousa","governar","contra","mendes","trabalhador","aprovar","setor","apoio","apoio","ana","mendes","setor","profissional","setor","atividade","chinar","chinar","junho","associação","empresa","fluvial","férias","cultura","enfermeiro","gabinete","aeroporto","juntar","manifestante","contra","centro","negativar","cabo","contra","grupo","fase","reabrir","instituição","suíça","pã´r","vacinação","acrescentar","básica","costa","partido","marcelo","achar"
"7","portuguãªs","tentar","petição","temer","sousa","freitas","rebelar","sobrar","emergência","sobrar","medida","assembleia","ruir","ruir","sobrar","antónio","rir","recuperação","dizer","leão","defender","elvas","antónio","app","saber","poder","televisão","porque","guarda","hong","sistema","gaza","necessitar","tomado","serviços","iniciativo","propor","pcp","natal","costa","antónio","governar","governar","natal","portuguãªs","natal","portuguãªs","mensagem","costa","debater","presidente","estar","saber","aproveitar","pai","pai","famílias","programar","pagar","económica","empresa","alteração","social","programar","empresa","empresa","milhões","reabertura","ministrar","turismo","financeiro","formar","luso","recuperação","apoiar","euro","empresários","manifestante","primeiroministro","escolar","brasileiro","marítima","euro","social","the","polícia","abrir","surtir","vila","câmara","explicar","chinar","policial","podar","antónio","portuguãªs","acompanhado"
"8","comunidade","esperar","pataca","veneza","presidente","precisar","costa","marcelo","saber","deputado","deputado","parlamentar","discursar","antónio","líder","deputar","deputar","economia","eurogrupo","costa","antónio","primeiroministro","fim","porque","sobrar","equipar","insistir","evento","caxias","kong","novo","israelita","ligeiramente","carnaval","condições","usar","partido","considerar","vieira","sobrar","podar","pcp","dizer","portuguãªs","dizer","isolamento","isolamento","pública","antónio","presidente","rebelar","testar","espanhol","questões","godinho","pagar","bar","mil","siza","dificuldade","godinho","cultura","pma","entregar","restauração","apoiar","profissional","turismo","associação","economia","infarmed","recuperação","garantir","médicos","assembleia","farmacêuticos","testagem","arnoldgetty","tribunal","vacinar","comercial","vacinação","jornal","democracia","vários","digital","mear","funcionários","infetados","municipal","hospital","porque","préescolar","situação","líder","passageiro","acompanhar"
"9","ir","funcionar","regional","falar","questionar","linha","parlamentar","ir","parlamentar","deputar","primeiroministro","sobrar","república","líder","mário","governar","marcelo","respostar","marcelo","dizer","república","orçamento","ir","portugal","problema","jogador","castex","realizar","entregar","nevar","hong","semana","municipal","disso","goes","quartafeira","mariano","ministrar","idear","podar","primeiroministro","república","marcelo","decretar","emergência","portuguãªs","macron","terminar","primeiroministro","testar","presidencial","reunião","solidariedade","condições","receber","alteração","planar","mendes","milhões","ue","mendes","euro","milhões","associação","vencer","itinerante","publicar","setor","euro","proprietários","sistema","limitar","provocar","lutar","trabalhador","ministrar","parlamentar","butanvac","polícia","negativar","testar","testar","emmanuel","governar","vacinar","alterações","acesso","provedor","santo","centrar","porque","obrigar","euro","república","companhia","costa","aconselhar"
"10","bem","podar","audição","fronteira","antónio","ministrar","direito","república","governar","defender","parlamentar","ir","portuguãªs","sousa","crise","ps","primeiroministro","económica","mário","orçamento","fazer","santo","sousa","antónio","esperar","campeões","próximo","existir","agora","fragilidade","kong","confinamento","israel","reinar","merkel","chinar","pcp","famílias","social","medida","esforço","renovação","estar","sobrar","aqui","emergência","natal","positivar","isolamento","campanha","isolamento","ministro","reunião","sales","ana","diplomar","rir","faturação","açores","rendimento","milhões","atividade","inferior","propor","ahresp","pagar","hotelaria","abertura","setores","zmar","odemira","ambientar","investimento","segurança","médico","financiamento","acordar","don","frança","diretores","aeroporto","protesto","macron","jornal","questionar","daniel","ouvir","algum","acrescentar","utente","positivar","permitido","confirmar","afirmar","jornalista","ministrar","acontecer"
