"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","máscaras","máscaras","mercar","máscaras","máscaras","trabalhador","loja","serviços","layoff","trabalhador","trabalhador","empresa","empresa","empresa","empresa","empresa","empresa","layoff","empresa","empresa","trabalhador","propor","apoiar","metro","conselho","trabalhador","inquérito","equipa","combater","pcp","avante","vão","habitação","evento","evento","cargo","euro","euro","milhões","euro","euro","portar","restauração","greve","europeu","euro","euro","milhões","apoiar","euro","trabalhador","trabalhador","euro","testar","testar","testar","testar","ensinar","testar","testar","docente","escola","ensinar","ensinar","escola","bolsonaro","câmara","público","sales","ligar","municipal","santo","regra","regime","gnr","gnr","câmara","especialista","the","august","amor","distrito","of","surtir","surtir","ministrar","testar","entrar","isolamento","testar","escola","escola","profissional","medida","estudar","belenense","aberto"
"2","proteção","estudante","chinês","empresar","contingência","hospitalar","cliente","transportar","trabalhador","empresar","layoff","trabalhador","layoff","trabalhador","trabalhador","euro","layoff","empresa","trabalhador","ministrar","layoff","ps","propor","propor","euro","onu","portar","festa","entidade","festa","festa","planar","imóveis","escolar","avisar","presidente","orçamento","milhões","euro","orçamento","manifestação","euro","apoiar","fome","empresa","milhões","crise","euro","ministrar","apoiar","empresa","confinamento","angolano","temer","testagem","testagem","temer","testar","farmácias","ensinar","aluno","aula","escola","escola","município","realojamento","sporting","acontecer","câmara","portar","santo","arraial","observador","municipal","confinamento","festa","regra","nunes","of","lar","portar","divulgar","permitir","venezuela","ter","testar","isolamento","casar","testar","ensinar","ocde","clube","médicos","alemão","ensinar","jogar","abrir"
"3","dever","centrar","origem","farmácias","visita","contingência","trabalhador","produto","sindicato","atividade","direito","layoff","trabalhador","social","rendimento","layoff","trabalhador","trabalhador","sindicato","trabalhador","euro","orçamento","processo","pcp","eficácia","empresa","açores","debate","aérea","rir","pcp","antónio","património","polícia","critério","atual","milhões","despesa","apoiar","milhões","restauração","restauração","euro","empresa","apoiar","recuperação","social","espanhol","reforço","apoio","apoio","provar","realizar","marta","temer","joão","marta","presencial","docente","escola","ensinar","aluno","testagem","presencial","testar","luso","secretário","clube","lisboa","câmara","polícia","observador","psp","festa","obrigatório","estabelecimento","empresar","difícil","in","dosar","casar","médicos","positivar","torr","querer","positivar","norma","docente","equipar","escola","doente","profissional","defender","vacinação","médico","sad","acabar"
"4","usar","ajudar","longo","funcionários","despachar","empresar","limpeza","funcionamento","empresar","serviços","simplificar","crise","pagamento","apoiar","social","trabalhador","apoio","apoiar","layoff","layoff","reforço","psd","be","rutte","apoiar","rir","durante","circo","conjuntar","avante","dgs","ajuntamento","bolsar","segurança","reforma","transportar","valor","leão","turismo","ferreiro","aliado","dinamarca","desobediência","apoiar","euro","empresa","empresa","incidente","abril","empresa","teletrabalho","pcp","lamentar","testagem","marta","ministrar","testagem","escola","testagem","testagem","testar","professor","aluno","aluno","testagem","câmara","reunião","sporting","evento","popular","câmara","câmara","beber","noite","sintoma","ilegal","horário","distrito","august","presidente","the","mensagem","and","praia","funcionários","reinar","ministrar","inglaterra","positivar","aula","desenvolvimento","treinador","limitar","lei","positivar","jogador","aceitar"
"5","ajudar","trabalhar","produto","internet","equipamento","planar","empresar","trabalhador","horário","layoff","suspensão","pagar","trabalhar","layoff","pedido","apoiar","apoiar","simplificar","apoiar","social","apoiar","votar","esquerdar","necessidade","programar","atividade","atividade","avante","janeiro","ruir","evento","procurar","habitacional","jogo","necessário","confinamento","fundar","apoiar","trabalhador","lista","mil","observador","regra","euro","apoio","europeu","medido","vacinado","querer","economia","costa","essencial","problema","gomar","ministrar","marta","ministrar","testagem","escola","docente","educação","educação","escolar","universidade","câmara","escola","autarquia","evento","lacerda","santo","psp","liberal","asae","observador","casar","decorrer","pcr","frisar","vaccine","the","in","iorque","der","bar","the","isolamento","negativar","serviço","ruir","serviço","médicos","médicos","alemão","pã´r","escola","ligar","acelerar"
"6","animal","referir","máscaras","cliente","planar","utente","serviços","empresar","transportar","suspensão","vieira","comprar","vieira","apoio","setor","trabalhar","trabalhar","regime","retomar","mendes","empresa","be","pcp","pedir","fmi","apoiar","programar","artista","emergência","abril","parecer","rir","força","manifestante","ave","constituição","propor","verba","sistema","apoiar","empresários","manifestação","restaurante","restauração","economia","pan","vulneráveis","el","trabalhador","ministrar","economia","empresa","vivar","carmo","sobrar","escola","freitas","aluno","rápidos","educação","escola","ciclo","crianças","aula","ensinar","operação","desportivo","adepto","antónio","ruir","lisboa","evento","ajuntamento","tvi","câmara","comunicar","sajid","emigrante","and","in","detetado","político","leyen","festa","to","bolsonaro","após","parlamentar","funcionária","pedir","responsável","perder","zelândia","conjuntar","francês","benfica","achar"
"7","equipamento","vários","fornecimento","produto","plano","visita","ctt","limpeza","decretar","colaborador","trabalhar","setor","apoiar","setor","apoio","simplificar","social","rendimento","económica","deputado","ministrar","pcp","orçamento","be","investimento","próximos","reabertura","apeac","festa","psd","realização","depender","ajuntamento","bach","lamentar","vidar","governar","finanças","geral","eduardo","avenida","água","movimentar","manifestante","fundar","brasileiro","milhões","programar","economia","setor","famílias","podar","necessidade","sobrar","vieira","falar","diretores","professor","ensinar","professor","aprendizagem","testagem","presencial","regressar","regional","autarca","coisa","ir","jornal","campeões","popular","iniciativo","lisboa","atendimento","incumprimento","luso","javid","carla","morte","visita","espaço","policial","von","vicepresidente","dinamarca","certificado","riscar","testar","pai","estarão","âmbito","alemanha","ruir","jogar","equipar","estádio","acompanhado"
"8","profissional","vez","nota","vivar","suspensão","unidade","comercial","abastecimento","suspensão","trabalhar","atividade","centro","euro","euro","investimento","pedido","estabilização","pagamento","limar","simplificar","social","cds","apoio","compromisso","defender","layoff","apelar","sintra","processo","livrar","amora","henrique","pã´r","comércio","permitir","permitir","banco","sns","secretária","autarca","europeu","manifestante","europeu","protestar","siza","apoiar","chile","transportar","apoio","cultura","act","apoio","dizer","estratégia","rápidos","dizer","sic","funcionários","associação","ciclo","freguesia","testar","testar","superior","aluno","jornalista","investigador","jornada","festejo","arraial","haver","polícia","gaspar","bilhete","evento","imediato","indiano","município","utente","summit","criar","august","the","reforço","iorque","funcionários","deixar","partir","aluno","ter","cooperação","ajudar","jovem","máscara","professor","surtir","acompanhar"
"9","fase","empresar","bem","comprar","proteção","doente","atendimento","motorista","medido","apoiar","apoiar","trabalhar","milhões","comunicação","souza","godinho","pcp","pagar","depender","apoiar","bairro","empresa","tribunal","deputado","ação","renda","constitucional","marcelo","companhia","guinébissau","terminar","alcoólicas","fase","definir","ver","pessoal","resolução","executar","técnicos","oe","ucrânia","recolhimento","apoio","apoio","ue","banco","leyen","ministrar","precisar","confinamento","apoiar","turismo","trabalhador","manuel","trabalhador","certificar","humano","privar","professor","rápidos","presencial","surto","reabertura","testagem","concelho","bem","medina","câmara","imprensar","adepto","portar","municipal","processo","fila","festa","cumprimentar","colocar","adequado","been","podar","mensagem","detetado","cumprir","vedro","demitir","totalmente","período","sociedade","vírus","segundar","políticas","munique","impor","vagar","educação","clube","aconselhar"
"10","saúde","todo","contágio","comer","unidade","consulta","serviço","funcionários","lê","abranger","privado","atividade","pedido","desempregar","fundar","social","rendimento","social","rendimento","euro","estatal","pan","empresa","fugir","africanar","cidade","online","questões","equipa","alemanha","recinto","rendar","familiar","campar","estádios","durante","rendimento","fundar","grávidas","internar","produto","obrigatório","perder","fundar","direito","economia","transportar","investimento","programar","famílias","trabalhar","aí","podar","medida","negativar","seixa","graça","docente","aluno","regressar","semana","ensinar","centro","testado","turma","comunidade","festejo","ligar","tejo","rir","ligar","ajuntamento","marchar","medina","local","beber","meianoite","regra","social","regra","to","the","vídeo","câmara","hospital","escola","contra","votar","escola","afirmar","edição","alemão","efeito","projeto","certificado","equipar","acontecer"
