"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","pessoa","passageiro","navio","maranhão","navio","passageiro","voo","voo","voo","voo","viagem","viagem","transportar","observador","loja","cliente","praia","praia","praia","loja","regra","área","máscaras","máscara","distanciamento","estabelecimento","usar","usar","estabelecimento","escola","escola","escola","escola","escola","escola","secreto","proteção","câmara","câmara","feira","concelho","concelho","concelho","concelho","concelho","elevar","concelho","concelho","elevar","elevar","elevar","elevar","concelho","habitante","concelho","incidência","elevar","nível","habitante","incidência","incidência","incidência","concelho","incidência","concelho","habitante","habitante","incidência","incidência","incidência","concelho","concelho","concelho","habitante","concelho","incidência","incidência","incidência","concelho","incidência","incidência","incidência","incidência","incidência","habitante","incidência","incidência","habitante","habitante","incidência","incidência","incidência","incidência","incidência","habitante","habitante","aberto"
"2","número","cruzeiro","cruzeiro","navio","passageiro","voo","passageiro","aeroporto","estrangeiro","viagem","escritor","agências","empresar","estação","máscara","máscara","máscara","reabrir","regra","regra","área","regra","usar","máscaras","máscara","kong","obrigatório","máscara","máscara","usar","máscaras","aula","aluno","máscara","ensinar","escola","municipal","concelho","cemitérios","concelho","vila","habitante","vila","mobilidade","vila","riscar","incidência","habitante","nível","concelho","concelho","extremamente","habitante","incidência","nível","nível","moderar","habitante","incidência","concelho","concelho","concelho","incidência","concelho","habitante","concelho","incidência","concelho","concelho","habitante","incidência","habitante","incidência","incidência","incidência","habitante","concelho","habitante","incidência","concelho","habitante","habitante","habitante","nacional","incidência","habitante","caso","nível","incidência","habitante","mil","nível","nível","habitante","incidência","concelho","abrir"
"3","navio","bordar","passageiro","adriano","bordar","companhia","viagem","passageiro","aérea","açores","voo","companhia","passageiro","transportar","transportar","interior","sala","loja","distanciamento","máscaras","máscara","máscaras","bar","usar","hong","bar","estabelecimento","escola","escola","máscaras","aula","aluno","aula","operacional","crianças","serviços","cemitérios","municipal","concelho","vila","autarquia","ferreiro","riscar","atividade","elevar","moderar","habitante","mil","vila","habitante","nível","concelho","acumulado","nível","habitante","elevar","concelho","incidência","concelho","habitante","habitante","habitante","habitante","habitante","incidência","incidência","concelho","habitante","habitante","mil","habitante","incidência","habitante","concelho","habitante","mil","habitante","concelho","habitante","habitante","vermelhar","concelho","caso","rt","mil","caso","nível","incidência","concelho","mil","habitante","habitante","concelho","nível","caso","incidência","acabar"
"4","bordar","diamond","bordar","princess","princess","tap","aeroporto","portuguãªs","ilhar","passageiro","sepúlveda","tigre","tap","máscara","metro","museu","lotação","área","fase","reabrir","distanciamento","medida","obrigatório","reabrir","kong","incumprimento","escola","obrigatório","usar","medida","manifestação","presencial","professor","aluno","associação","civil","câmara","novembro","municipal","mercado","municipal","fim","elevar","redar","riscar","nível","caso","incidência","moderar","incidência","extremamente","habitante","incidência","concelho","elevar","habitante","nível","concelho","nível","acumulado","acumulado","acumulado","caso","nível","desconfinamento","mil","desconfinamento","odemira","caso","caso","mil","caso","taxar","mil","mil","concelho","alto","riscar","vila","tendência","concelho","baixar","mil","habitante","concelho","mil","decrescente","valor","mil","semana","semana","tendência","habitante","concelho","vermelhar","caso","aceitar"
"5","cruzeiro","princess","princess","passageiro","cruzeiro","viagem","tap","voar","companhia","ilhar","macron","aéreas","aérea","loja","passageiro","mesa","distanciamento","centro","época","espaços","reabertura","comboio","funcionar","público","fechar","hong","aula","públicos","comercial","aluno","usar","máscara","ensinar","laranjeira","aluno","aluno","agrupamento","vila","aberto","municipal","lista","mil","lista","comércio","novembro","concelho","mil","dia","concelho","acumulado","incidência","riscar","elevar","extremamente","incidência","rt","habitante","riscar","mil","nível","caso","vermelhar","rt","caso","mil","acima","recuar","rt","riscar","concelho","densidade","mil","rt","rt","caso","caso","riscar","mil","nível","decrescente","mil","riscar","rt","apresentar","nacional","rt","tendência","continente","rt","concelho","concelho","rt","passado","tendência","nível","mil","acelerar"
"6","quarentenar","navio","diamond","português","testar","cruzeiro","companhia","estrangeiro","cidadãos","chinar","portugal","clínico","correr","passageiro","praia","praia","centro","metropolitano","comercial","comercial","metropolitano","horários","distância","obrigatório","utilização","beber","alertar","espaços","câmara","setembro","crianças","educação","gnr","assistente","observador","fronteirar","concelho","cemitérios","novembro","levantar","estabelecimento","estabelecimento","fim","novembro","castelo","municípios","nível","castelo","níveis","riscar","riscar","mil","riscar","descer","mortalidade","henrique","descer","elevar","acumulado","mil","limitar","ribeira","mil","mil","fase","recuar","arganil","desconfinamento","rt","densidade","lisboa","lisboa","matriz","caso","cumulativo","semana","nível","jul","mil","caso","cumulativo","ago","insa","valor","riscar","continente","habitante","tendência","caso","nível","riscar","mil","tendência","caso","mil","taxar","achar"
"7","hong","quarentenar","japão","diamond","empresar","navio","voar","cruzeiro","voar","aeroporto","reserva","angolano","anunciar","usar","lisboa","esplanada","regra","comercial","abrir","desconfinamento","espaços","metropolitano","distanciamento","lotação","mãos","máscara","vão","máscaras","horários","aula","medida","professor","turma","aula","aula","professor","civil","autarquia","cemitério","câmara","câmara","incidência","estabelecimento","manter","habitante","descer","maior","riscar","riscar","nível","habitante","dado","mil","riscar","fevereiro","concelho","incidência","categoria","caso","mar","desconfinamento","nível","dgs","riscar","riscar","nacional","semana","recuar","maio","nível","desconfinamento","metropolitano","aml","algarve","lisboa","cumulativo","jul","vila","caso","relatório","nível","nível","novo","descer","apresentar","concelho","revelar","mil","tendência","relatório","out","concelho","caso","elevar","concelho","nível","acompanhado"
"8","homem","pessoa","norteamericanos","japão","grand","league","aérea","repatriamento","regional","navio","chileno","chinar","rússia","cliente","comercial","café","loja","desconfinamento","espaços","decretar","transportar","usar","espaços","impor","usar","usar","ir","área","regra","máscara","ensinar","usar","letivo","distância","saídas","fechado","autarquia","viçosa","município","realização","matosinhos","municipal","continental","estruturar","bastar","habitante","semana","caso","extremamente","mil","caso","nível","macron","elevar","riscar","riscar","riscar","caso","vila","acima","mar","linha","riscar","acumulado","caso","desconfinamento","fase","vila","mil","lisboa","acima","jun","mil","riscar","continental","alto","baixar","alto","portar","vila","relatório","mil","europeu","média","rt","elevado","nacional","revelar","continente","riscar","manter","revelar","mil","vermelhar","passado","crescente","acompanhar"
"9","kong","japão","quarentenar","japonãªs","comboiar","aérea","portuguãªs","navio","passageiro","lisboa","luis","voar","viagem","metro","lotação","restaurante","livrar","sala","arraial","cliente","vão","cliente","algum","segundafeira","máscaras","discoteca","regra","metropolitano","autarquia","mariano","berlim","crianças","máscara","entrever","adulto","sanitário","segurança","estabelecimento","permanência","ir","município","municípios","próximos","castelo","níveis","extremamente","acumulado","checar","descer","castelo","semana","distrito","janeiro","mil","mil","crescimento","dia","abaixar","maior","caso","riscar","maior","beja","continente","autarca","caso","abr","mil","vila","acima","valar","sesimbra","recuar","transmissibilidade","riscar","relatório","subir","cumulativo","descer","cumulativo","lisboa","relatório","passado","europeu","decrescente","datar","atividade","mantém","nacional","relação","tendência","crescente","acumulado","rt","nov","tendência","aconselhar"
"10","subir","hong","desembarcar","cruzeiro","atracar","jogador","estrangeiro","regressar","açores","venezuela","navio","tripulante","proveniente","máscaras","distanciamento","pastelaria","cinema","ginásios","balnear","reabertura","bar","estabelecimento","fechado","fechado","apelar","públicos","espaços","medido","medido","estabelecimento","educação","partir","crianças","crianças","problema","washington","cultural","escola","segurança","autarquia","castelo","paços","ferreiro","retaguarda","mondim","categoria","passado","rainho","mil","mário","janeiro","acumulado","nível","batalhar","acumulado","taxar","mil","descer","riscar","indicador","nível","acima","nível","rt","odemira","portugal","acima","mai","alertar","vila","novo","área","riscar","elevar","semana","acima","mil","caso","acima","elevado","valor","semana","descer","baixar","nível","última","continente","análise","riscar","continente","caso","relatório","elevar","continente","elevar","elevar","acontecer"
