"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","wuhan","quarentenar","cidadãos","planar","angolano","prisional","estabelecimento","confinamento","psp","recluso","recluso","desobediência","desobediência","fátima","fátima","polícia","mulher","recolher","fátima","festa","festa","festa","festa","festa","médico","apoiar","social","peregrinação","bolsonaro","futebol","jogador","equipar","ligar","testar","ligar","portar","ronaldo","futebol","testar","testar","testar","sintoma","isolamento","bori","trump","mundial","the","dólares","hese","testado","médicos","médicos","francisco","vacinação","bombeiro","melar","vacinação","ordem","vacinação","vacinação","vacinação","vacinação","vacinação","vacinação","dosar","dosar","vacina","vacina","dosar","dosar","dosar","dosar","dosar","dosar","dosar","dosar","dosar","dosar","dosar","vacinação","jovem","vacinação","vacinação","vacinação","vacinação","vacinação","dosar","vacinação","contra","contra","vacinar","dosar","dosar","dosar","dosar","dosar","aberto"
"2","avião","regressar","quarentenar","quarentenar","díli","felgueiras","bar","pessoa","prisional","crime","desobediência","psp","psp","emergência","santuário","psp","igreja","levantamento","monumento","lago","ajuntamento","gnr","parque","oliveira","facilmente","europeu","votar","zelândia","acusar","equipar","berlusconi","jogador","clube","ligar","clube","universidade","cristiano","clube","positivar","jogar","clube","ligar","quarentenar","vírus","advogar","oms","to","to","évora","anticorpo","enfermeiro","enfermeiro","ramo","médicos","vacinação","gouveio","ordem","vacinação","gouveio","informático","gouveio","task","vacina","dosar","vacinação","vacina","dosar","dosar","vacina","vacina","milhões","vacinar","vacina","vacinar","vacinação","vacina","vacina","vacinação","vacinar","aberto","vacinação","jovem","dosar","dosar","vacinado","completar","vacinação","dosar","vacinação","população","dosar","vacinar","vacinação","vacinar","vacinar","reforço","abrir"
"3","portuguãªs","repatriado","repatriado","hotel","aeroporto","recluso","fronteirar","psp","estabelecimento","psp","ovar","deter","deter","celebrações","peregrino","recluso","celebrações","mesquita","familiar","médicos","parque","militar","jovem","cercar","desfilar","autorização","equipamento","bolsonaro","mundial","isolamento","italiano","ligar","positivar","outubro","testar","isolamento","jogador","positivar","isolamento","positivar","futebol","positivar","johnson","britânico","giuliani","donald","december","republicano","to","voo","sangue","ordem","vacinação","gouveio","estudante","vacinação","enfermeiro","vendar","melar","vacinado","melar","utente","açores","vacinado","vacinado","vacinação","vacinação","contra","vacinação","vacinação","vacina","vacina","vacinar","vacinação","contra","vacinar","vacinar","vacina","vacinação","dosar","melar","task","jovem","gouveio","população","vacinado","população","população","dosar","vacinação","vacinação","contra","contra","reforço","crianças","vacinação","acabar"
"4","cidadãos","wuhan","viajar","festival","cidadãos","fonseca","psp","decretar","concelho","desobediência","vigor","gnr","crime","igreja","marto","forças","violência","religioso","confinamento","ilegal","psp","parque","participar","aml","carnaval","ana","correar","internacional","bem","clube","positivar","testar","jogador","república","futebol","estudante","seleção","post","diagnóstico","clube","ligar","jogar","dever","johnson","rudy","trump","and","and","suspeito","tempo","ordem","recurso","forã§ar","forã§ar","contra","enfermeiro","saúde","enfermeiro","forã§ar","task","enfermeiro","forã§ar","unido","vacinar","vacina","vacinar","contra","vacinação","administrado","ano","primeiro","milhões","vacinação","milhões","vacina","vacinação","vacinação","vacinar","ano","vacinar","task","forã§ar","vacinado","completar","jovem","dosar","completar","vacinado","população","vacinar","contra","completar","gripar","contra","vacinação","contra","aceitar"
"5","brasileiro","francãªs","miguel","cidadãos","militar","bar","decretar","policial","gnr","concelho","decretar","estabelecimento","estabelecimento","peregrino","polícia","manifestante","residência","obrigatório","presidente","algarve","lago","participar","cercar","durante","real","nunes","florido","social","internacional","após","após","positivar","futebol","equipar","adepto","ua","portar","ligar","resultar","fpf","elemento","testar","sintoma","graças","donald","organização","we","psp","psp","estabelecimento","reserva","saúde","cruz","melar","forã§ar","centro","profissional","portar","coordenador","vacina","processar","vacina","dosar","receber","contra","contra","patente","milhões","milhões","milhões","contra","vacinação","ano","contra","milhões","população","população","ano","melar","modalidade","gouveio","vacinado","mil","população","completar","forã§ar","contra","completar","vacinado","dosar","população","vacinação","vacinar","tomar","contra","vacinar","acelerar"
"6","quarentenar","tender","cimeiro","região","timorleste","prisões","restaurante","estar","deter","prisional","concelho","emergência","gnr","gnr","igreja","agente","jornal","peregrinação","festa","observador","campismo","campismo","domingo","militar","receber","tratamento","formar","estrangeiro","agostar","barcelona","equipar","berlusconi","testar","nações","estádio","académica","futebol","testar","testagem","isolamento","jogador","futebol","jogar","norteamericano","the","variante","in","escoltar","afluxo","estrangeiro","informação","profissional","task","task","task","contra","planar","associação","centro","esperar","task","coordenador","população","contra","milhões","the","vacinar","países","gouveio","forã§ar","vacinado","receber","task","vacina","forã§ar","contra","jovem","receber","gouveio","ano","forã§ar","melar","forã§ar","vacinado","dosar","task","forã§ar","contra","vacinar","vacinado","vacinado","reforço","freitas","receber","reforço","crianças","achar"
"7","chegar","sábado","filipino","chinãªs","quarentenar","praia","prisional","deslocações","crime","gnr","período","encerrado","encerrado","deter","noite","mulher","palácio","indígenas","dúvidas","médico","ilegal","ilegal","greve","comandar","voltar","euro","australiano","após","publicar","fc","ligar","futebol","sporting","jogar","benfica","aluno","estudante","jogar","antigénio","ligar","jornada","jogador","contactar","jornal","ter","equipar","oms","december","doente","suspenso","evento","poder","vermelhar","processar","forças","saúde","médicos","centro","recusar","horar","vacina","processar","the","milhões","vacinar","of","milhões","completar","melar","task","ano","contra","receber","receber","task","vacinado","melar","jovem","dizer","utente","vacinado","dosar","task","forã§ar","forã§ar","vacinar","tomar","vacina","administrado","administrado","gripar","população","ano","vacina","vacina","vacina","acompanhado"
"8","regressar","sob","datar","turista","entrado","pessoa","praia","prisão","confinamento","estabelecimento","confinamento","detenções","emergência","psp","gnr","mesquita","sábado","interior","santuário","espaço","jovem","grândola","linha","prisão","catalunha","plasmar","geral","fátima","congresso","jogar","testar","september","equipar","futebol","jogar","contágio","isolamento","portar","negativar","jogador","positivar","seleção","bori","oms","inquirido","através","vaccine","canadá","urgente","prisional","guimarães","mecanismo","planar","ordem","vacinado","norma","rádio","beber","task","sales","profissional","planar","vacinar","vacina","administrado","vacinado","vacinado","vacinado","contra","vacinar","vacinação","vacinado","contra","completar","vacinar","forã§ar","agostar","população","jovem","jovem","queimódromo","gouveio","ano","pessoa","task","programar","task","pessoa","médicos","vacina","completar","lar","reforço","gripar","ano","receber","acompanhar"
"9","domingo","partir","alemanha","mil","turista","visita","cidadãos","desobediência","circulação","deter","deter","confinamento","operações","santuário","recinto","médico","ramadão","durante","observar","pessoa","praia","agente","ferrar","prisões","morrer","ue","europeu","associação","social","marcar","sala","castex","isolamento","rápidos","comunicar","positivo","erasmus","on","pcr","sub","sintoma","ucraniano","positivar","política","equipar","alertar","of","democrata","alargar","julgamento","insustentável","cartar","irregularidade","vicealmirante","processo","forã§ar","vacinar","conmebol","defender","agendamento","forã§ar","enfermeiro","mne","forã§ar","pessoa","to","forã§ar","covax","população","receber","receber","população","milhões","vacinado","administrado","task","contra","forã§ar","forã§ar","gouveio","vicealmirante","vacinar","utente","melar","melar","população","vacinado","gripar","processar","ir","ano","bombeiro","profissional","vacinação","profissional","gripar","aconselhar"
"10","passageiro","sextafeira","lisboa","angolano","angola","alertar","polícia","emergência","salvador","perdão","violação","crime","polícia","estar","cardeal","contra","religioso","impor","peregrinação","dagonia","pessoa","várias","prémio","pessoal","eua","equipamento","gestão","parir","ahresp","jogador","infetado","equipa","elemento","clube","seleção","autoridade","equipar","instagram","futebol","futebol","cujo","equipar","futebol","relatório","irão","britânico","fronteirar","biden","espaço","transportar","transportar","eventual","coordenador","vacinado","ordem","task","dizer","planar","utente","gouveio","primeiro","física","acordar","pessoa","forã§ar","milhões","task","receber","vacinar","contra","mil","primeiro","forã§ar","forã§ar","receber","aberto","task","contra","task","disponível","ano","ano","completar","task","gouveio","utente","melar","grupo","vacina","completar","vão","ser","graça","administrado","terceirar","tomar","acontecer"
