"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","comunicar","jogo","festival","ensinar","ensinar","aluno","escola","aula","futebol","sala","estádio","futebol","praia","portar","aml","de","de","freguesia","freguesia","lisboa","público","centro","comercial","aplicação","aplicação","polícia","fronteira","madrid","madrid","de","new","new","new","new","chinar","new","chinar","alto","chinar","chinar","chinar","chinar","chinar","chinar","mortalidade","chinar","chinar","chinar","oms","chinar","chinar","chinar","comissão","chinar","chinar","variante","variante","variante","índia","índia","variante","indiano","variante","variante","variante","variante","variante","delta","variante","variante","delta","variante","instituto","insa","johnson","médicos","ue","ue","variante","variante"
"2","da","ensinar","ensinar","aula","distância","ensinar","aluno","escola","regressar","escola","futebol","ligar","capacidade","de","metropolitano","calamidade","freguesia","cordeiro","calamidade","área","recebao","aml","estabelecimento","estabelecimento","sistema","máscara","países","zona","da","madrid","roman","roman","roman","roman","cidade","chinar","comissão","chinar","chinãªs","chinãªs","hong","chinãªs","chinãªs","oms","excesso","oms","oms","oms","chinar","oms","comissão","comissão","chinar","mulher","chinãªs","cientista","sulafricana","índia","oxigénio","indiano","índia","variante","oms","reinar","delta","delta","delta","variante","delta","delta","variante","delta","próximas","instituto","cama","respostar","europeu","insa","instituto","insa"
"3","escola","decisão","futebol","aluno","escola","aula","aula","festival","escola","estádio","ligar","jogo","balnear","jogar","área","linha","concelho","lisboa","militar","metropolitano","lisboa","bar","público","ministro","stayaway","manifestante","espanha","cidadãos","anúncios","municípios","msobidifontfamilytimes","msobidifontfamilytimes","span","msobidifontfamilytimes","em","anunciar","permanecer","chinãªs","incluir","hora","kong","pequim","cidade","euro","chinar","chinãªs","mundial","mundial","euro","países","oms","infectado","cidade","exterior","relatório","tóquio","estudar","oxigénio","indiano","oxigénio","oms","índia","origem","oms","oms","índia","índia","insa","relatório","johnson","britânico","aumentar","ricardo","crescente","pavilhão","liderar","mil","residente","nunes","se"
"4","todo","olímpicos","junho","presencial","aluno","educação","jogo","ligar","ligar","ligar","clube","adepto","concelho","parar","de","aml","amador","área","joão","bar","descarregar","lisboa","funcionamento","stayaway","manifestação","redar","mobilidade","protesto","aumentar","espanhol","stylemsofareastfontfamilytimes","span","msobidifontfamilytimes","stylemsofareastfontfamilytimes","país","país","xangai","infectado","autoridade","anunciar","permanecer","sinopharm","origem","chinãªs","organização","local","origem","organização","origem","mundial","barroso","chinãªs","infectado","onu","animal","novo","mundial","deli","variante","variante","nepal","oms","mundial","origem","identificado","dizer","unir","nova","nova","crescimento","johnson","unir","variante","precisar","om","ecdc","portugal","estudar","tendência","muito"
"5","ensinar","superior","evento","lectivo","aula","escola","professor","ano","sala","aula","desportivo","portar","época","regra","público","metropolitano","municipal","calamidade","lisboa","freguesia","versão","comercial","câmara","lisboa","centena","deter","reunião","madrileno","comunidade","capital","span","stylemsofareastfontfamilytimes","stylemsofareastfontfamilytimes","stayaway","oriundo","comissão","sudeste","anunciar","contágio","comissão","caso","xangai","local","milhões","oms","milhões","wuhan","origem","mundial","chinãªs","em","viajante","detectado","centrar","oms","vírus","paciente","caso","hospital","hospital","vagar","reinar","surtir","vírus","vez","britânico","reinar","sarscov","caso","morte","bori","instituto","estudar","estudar","vermelhar","apenas","variante","instituto","pintar","sad"
"6","decisão","tóquio","distância","exame","festival","ano","ano","presencial","clube","futebol","reabrir","campeonato","lotação","livrar","beber","estabelecimento","calamidade","silvar","concelho","contingência","situação","discoteca","horários","conselho","planar","contra","espanhol","sanitárias","menos","habitante","de","incumprimento","trânsito","span","anunciar","span","infectado","hora","anunciar","país","província","província","missão","wuhan","milhões","lunar","dólares","wuhan","timorleste","organização","infectado","sudeste","local","animal","origem","cidade","israel","de","deli","sobrecarregar","indiano","organização","indiano","índia","hancock","oms","que","vírus","incluir","inglaterra","reinar","inglaterra","desconto","variante","relatório","medicinar","instituto","europeu","regiões","belenense"
"7","aluno","atleta","aula","escola","mapa","presencial","presencial","ensinar","aula","jogo","junho","estádios","areal","levar","estabelecimento","alertar","república","apoiar","aml","aml","assinar","público","concelho","concelho","alimentar","aplicação","marítima","manifestante","polícia","tribunal","estabelecimento","das","repetir","aplicação","importado","msobidifontfamilytimes","hora","comissão","embalagem","identificar","cidade","local","organização","equipar","províncias","mundial","cidade","conferência","australiano","equipar","chinãªs","centrar","usar","política","provável","clínicas","sul","ler","ajudar","surtir","mundial","conhecer","índia","unir","origem","vez","insa","alemanha","britânico","vários","aumentar","alfar","actualizado","ricardo","apenas","doutor","ricardo","redução","nacional","directorageral"
"8","festival","aluno","adiar","distância","evento","distância","ensinar","aluno","aluno","regressar","jogador","regra","ambientar","serão","ministro","sobrelotação","metropolitano","marítima","reunião","administração","disponível","espaços","de","vieira","deco","liberdade","embarcações","conter","mil","fechado","madrid","funcionamento","três","um","últimas","stylemsofareastfontfamilytimes","chinãªs","local","diagnosticado","últimas","comissão","cidade","oms","organização","mundial","organização","equipar","comissão","dólares","oxigénio","países","oriundo","estrangeiro","conferência","cidade","chinar","coronavírus","jogo","enviar","deli","unir","caso","reinar","indiano","partilhar","unir","mutação","amostra","genética","utilização","restrições","monitorização","insa","realizado","revelar","errar","jorge","taxar","agostar","que"
"9","ministério","adiamento","primaverar","ano","educação","professor","olímpicos","música","praia","aluno","jogo","público","receber","jogo","vendar","área","às","aml","autarca","calamidade","link","concelho","às","silvar","em","humano","minho","gnr","período","área","espanhol","unhidewhenusedtrue","tráfego","quarentenar","xangai","chinãªs","últimas","últimas","local","incluir","local","alto","província","estudar","local","comissão","visitar","chinãªs","wuhan","origem","durão","fixar","bebé","cidade","humano","mundial","identificado","novo","doente","escassez","detectado","evitar","coronavírus","que","índia","reinar","genética","instituto","javid","prevalência","inglaterra","insa","aumentar","tendência","linha","instituto","ecdc","variar","incidência","detectado"
"10","aula","adiar","universidade","cultura","superior","rtp","teatro","vão","festival","museu","banhista","clube","portar","cerimónia","alcoólicas","ajuntamento","superior","gnr","odivelas","discoteca","contingência","conselho","lisboa","restaurante","semana","direito","silvar","movimento","capital","medida","contágios","intensivo","protesto","da","quarentenar","permanecer","quarentenar","incluir","cidade","contágio","país","seis","autoridade","origem","pequim","províncias","milhões","nações","comissão","parar","tedros","exterior","anticorpo","crise","províncias","relatório","jogo","capital","mundial","novo","reinar","pedir","organização","coronavírus","bots","johnson","estudar","detectado","mais","onda","segundafeira","usar","jorge","limiar","ocupado","insa","vermelhar","tempo","habitante","podar"
"11","dever","ciência","estudante","rtp","ano","autarquia","festival","maio","presencial","clube","praia","estádio","banhista","loja","lisboa","vão","portar","serviços","ministrar","regra","ou","impor","horário","reunião","redução","psp","ayuso","utilizador","verificar","justiça","gnr","morte","putin","escola","oms","sudeste","inglaterra","ministério","sichuan","autoridade","anunciar","prevenção","tedros","chinês","internacional","de","organização","desenvolvimento","austrália","euro","fixar","em","mundial","estrangeiro","vírus","oms","universidade","países","medicamento","medicamento","evereste","que","teoria","mutação","vagar","dominante","associado","que","regiões","semana","unir","mutações","coronavírus","linha","doutor","actualizado","união","dado","decrescente","ainda"
"12","educação","maio","aluno","rodrigar","julho","memória","sala","realização","competição","presencial","campeonato","dança","norte","filmar","conselho","procurar","executivo","concelho","município","cabra","freguesia","em","centro","partir","encerrar","parque","portugal","polícia","restrições","parir","ocupação","que","internet","gestão","comissão","últimas","britânico","permanecer","em","após","nordeste","da","pequim","ano","euro","cidade","chinãªs","cidade","organização","investigação","vacina","caso","equipar","usar","infectado","brasileiro","vírus","indiano","internacional","reinar","aumentar","hancock","relatório","cientista","matt","imprensar","dominante","plus","vírus","vão","caso","próximas","usar","johnson","declarar","mas","mu","que","especialista","contacto"
"13","futebol","olímpico","realizar","secundário","público","internet","evento","futebol","regra","portar","funcionários","regressar","sábado","espaços","calamidade","freguesia","alertar","transportar","próxima","eduardo","em","metropolitano","assinar","comportar","verificar","um","da","países","chamada","comunidade","da","quintafeira","par","que","chinãªs","roman","incluir","inglaterra","últimas","infectado","contágio","maio","equipar","mundial","heilongjiang","ano","daszak","coronavírus","equipar","documentar","saúde","diagnosticado","islândia","asiático","transmissão","áfrica","venezuelano","áfrica","médico","aggarwal","preocupação","estirpe","unir","vietname","transmissível","inglaterra","diversidade","junho","transmissível","britânico","dizer","levantar","decrescente","recémnascidos","azambuja","investigador","insa","apresentar","leite","investigador"
"14","abril","estudante","maio","digital","escolar","computador","distância","setembro","reabertura","manhã","autoridade","joão","da","ligar","abastecimento","municipal","área","metropolitano","metropolitano","situação","pdf","sintra","municipal","setúbal","pois","contacto","evolução","nomeadamente","ministério","próximos","em","sábado","será","em","congelado","incluir","exterior","país","importado","cidade","desde","centrar","somar","global","capital","qual","de","equipar","cidade","iniciativo","meianoite","guangdong","luzir","províncias","local","amostra","oms","cidade","países","de","britânico","rural","vírus","mundial","estudar","que","transmissível","inicialmente","sarscov","ter","semana","reinar","prevalência","médica","jorge","delta","dado","ricardo","jorge","jogador"
"15","ir","aula","comunicar","festival","internet","equipamento","educação","distância","parar","estádios","regressar","escola","futebol","dos","comercial","contingência","município","território","armada","de","casar","área","autarquia","actual","políticas","se","junho","espanhol","agostar","sondagem","europa","cuidado","disponibilizar","minutar","embalagem","fixar","ler","autoridade","alto","local","chinãªs","estatal","seis","ter","chinãªs","cancro","vacina","da","apoiar","africano","organização","xangai","contra","le","morcego","genoma","caso","medicamento","parar","cama","disseminação","unir","informações","inglaterra","paciente","coronavírus","relatório","mais","deverá","reconhecer","máscaras","região","cavacar","infectado","das","evolução","cobertura","emissão","pública","caso"
"16","das","distância","presencial","tv","ciência","público","reabrir","professor","federação","praia","balnear","braga","jogar","período","serviço","comercial","estabelecimento","autarca","forças","internar","metropolitano","alertar","descarregar","metropolitano","santuário","cidade","augusto","onde","região","passar","forças","início","atravessar","dado","local","recuperar","fixar","fevereiro","hora","oriundo","importado","sete","ghebreyesus","museu","comissão","autoridade","da","missão","biden","dólares","sudeste","sichuan","infecção","em","autoridade","horizonte","áfrica","hospital","equipamento","vagar","contagioso","videoconferência","trabalhar","director","primeiro","concordar","detectado","índia","face","sanitário","reacções","liberdade","nacional","surgir","ricardo","olhar","europa","letalidade","valor","delta"
"17","maio","escola","espectáculos","televisão","artista","superior","público","de","lectivo","reabrir","estádios","competição","matosinhos","tempo","serviços","sintra","câmara","consumar","estar","funcionamento","daqui","meianoite","link","mariano","funcionar","gomar","polícia","contra","por","confinamento","regional","referir","russo","descer","produto","hora","diagnosticado","saúde","província","fixar","diagnosticado","milhão","investigar","valor","hebei","origem","animal","humano","acesso","wuhan","continental","detectado","asiático","comissão","laboratório","belo","alertar","internacional","país","reforço","cume","disseminação","detectado","detectado","dizer","sarscov","coronavírus","contagioso","junho","grupar","cientista","gomar","conclusões","centrar","vacinação","ricardo","circulação","região","cenários","da"
"18","datar","tecnologia","aqui","escolar","docente","jovem","parar","final","fpf","sinal","aluno","jornada","com","adiado","permanecer","construção","funcionamento","vieira","colaboração","conselho","tejo","máscara","recebao","encerrar","tentar","principal","dois","aplicação","sobrar","conjuntar","capital","dever","sábado","receber","de","oriundo","alto","equipamento","vestígios","paciente","somar","identificar","capital","local","áreas","global","pesquisar","aumentar","unido","global","exterior","províncias","xangai","identificar","terçafeira","transmissão","doença","máximo","oms","aeroporto","tentar","alertar","laboratório","bori","inglaterra","ultrapassar","mundo","unir","inglaterra","episódios","relativo","restrições","porque","jorge","um","centrar","consulta","ecdc","efectividade","pouco"
"19","num","comité","adiamento","plataforma","rtp","portar","maio","outubro","das","junho","livrar","fpf","maior","austrália","dia","ou","lisboa","restante","municípios","concelho","neste","atendimento","versão","contingência","críticas","comunicar","entrar","prémio","ocupação","aumentar","europeu","lockedfalse","franco","aluno","incluir","xangai","gravar","johnson","massa","receber","taiwan","permanecer","novo","macau","de","da","países","imprensar","estado","cooperação","mundial","mundial","viajante","global","exterior","chinãªs","maior","suficiente","detectado","estado","que","britânico","sarscov","rapidamente","health","disseminação","sarscov","associado","insa","aumentar","primeiroministro","especialista","cientista","usar","sublinhar","últimos","taxa","jorge","perito","novo"
"20","junho","presencial","lectivo","poder","cannes","parar","desporto","reabrir","próximo","crianças","voltar","julho","rir","desporto","vão","aberto","funcionar","alojamento","gnr","ministrar","seu","equipa","comércio","câmara","código","précovid","restrições","formato","setembro","francãªs","faltar","coronavírus","secretário","mínimo","norte","saúde","anunciar","paciente","capital","desde","liaoning","comissão","mundial","província","evento","wuhan","incluir","diagnosticado","parar","milhões","gravar","activo","da","oriundo","yunnan","local","especialista","sul","dizer","parar","coronavírus","aumentar","que","jornal","reinar","novamente","prevalência","investigador","bori","embora","javid","riscar","oposição","próximas","insa","portugal","doutor","mobilidade","vacinal","ir"
"21","até","ministério","sound","cancelamento","professor","adiamento","campeonato","mês","desportivo","estudante","vão","correr","máxima","entender","combustíveis","vigor","combustíveis","medina","câmara","estabelecimento","estará","horário","encerrar","semana","entidade","carnaval","zona","protestar","espanhol","eua","militar","registar","morte","jurídica","exterior","autoridade","sintoma","exterior","país","número","número","paciente","surtir","onu","mãªs","fevereiro","surtir","em","incluir","recusar","viajante","cidade","doente","sudeste","detectado","sarscov","tóquio","olímpicos","vagar","austrália","responsável","mundial","águas","surgir","que","ua","portugal","novo","unir","número","insa","paulo","hospital","israelita","monitorização","matriz","oms","relatório","ricardo","identificado"
"22","prever","educação","ligar","defender","grande","uefa","tóquio","junho","exame","parque","escola","plataforma","algarve","estimar","receber","intervenção","regra","parlamentar","evolução","ministro","funcionar","porém","municípios","aplicações","infectado","cultura","luso","abranger","zona","incumprimento","cumprimentar","carácter","tanto","vendar","um","ter","receber","região","gravar","surto","exterior","contágio","contágio","entidade","nordeste","pequim","evitar","médicos","destacar","fornecer","difícil","continental","venezuela","beneficiários","chinês","sul","britânica","gravar","aeroporto","equipar","incluir","parecer","wuhan","delta","junho","vírus","doutor","alemão","infecções","conhecer","espaços","continuar","rita","monitorização","internamento","nível","apresentar","taxa","semana","desta"
"23","presencial","festival","vários","actividade","aqui","evento","lectivo","campeonato","junho","técnica","comunicar","cumprimentar","portuguãªs","datar","proibir","transportar","alojamento","combater","grupar","alcoólicas","área","às","neste","sintra","espaço","sociedade","vão","bairro","entrar","festa","sábado","york","responsável","parar","alto","exterior","cincar","total","comissão","restante","maio","caso","wuhan","da","acima","terra","mortalidade","vírus","global","eua","adhanom","meianoite","mãªs","gato","fuga","mutações","prevalência","um","braços","ajudar","atacar","matt","mutação","infectado","líderes","vacina","identificado","portugal","hospitalizações","festejo","hospitalizações","paciente","elevado","formar","acto","vermelhar","países","dos","infarmed","áfrica"
"24","jogo","coi","ler","futebol","online","feminino","abranger","comunicar","manual","horários","actividade","de","ruir","viver","freguesia","junho","vendar","alertar","desporto","beber","calamidade","mundo","disponível","disponível","estabelecimento","usar","encerrar","várias","estabelecimento","outubro","artigo","suécia","de","novo","saúde","importado","cidadãos","diagnosticado","identificar","activar","activar","somar","massa","alto","biden","pobre","comissão","norteamericanos","oriundo","parceiro","ghebreyesus","total","anunciar","doenças","comissão","descoberto","rever","covax","está","infecções","japão","nepal","jornal","local","europa","portugal","vírus","especialista","reinar","apontar","infecções","causar","forte","gravar","nacional","hospitalar","gripar","hospitalar","indicador","detectar"
"25","adiar","data","organização","fest","dos","julho","desportivo","agostar","dgs","ensinar","dgs","partir","distrito","joão","transportar","utilizador","competições","desrespeitar","segurança","todo","página","setembro","publicar","equipa","número","terço","comunicar","festa","impactar","governar","encerrar","etapa","agradecer","nacional","infectado","identificar","oriundo","jogo","rússia","cumprir","autoridade","ler","associação","sintoma","africanar","novo","local","horar","países","timorleste","guangdong","ler","passageiro","hora","província","angola","aumentar","local","consecutivo","britânico","original","acabar","pedir","dizer","ministrar","transmissível","este","sydney","novo","medicamentar","porta","motivar","tendência","viajante","tendência","através","colômbia","problema","baltazar","primeiro"
"26","cancelar","actividade","educação","professor","lectivo","ler","permitido","praia","prever","cultural","distanciamento","da","utente","cadeia","restaurante","emergência","instituições","região","eduardo","cafés","aml","alterações","impactar","horários","sábado","entidade","nível","londres","mãªs","ministério","parar","amadorasintra","mobilizar","português","dinamarca","covid","local","reservar","receber","rigoroso","total","últimas","adhanom","apoiar","em","equipar","curvar","ter","dado","de","gavi","morrer","coordenador","registar","coronavírus","descrever","estirpe","aumentar","organização","aumentar","modi","precisar","pelar","nepalãªs","menos","protector","paulo","sobrar","quando","reinar","desconfinamento","infecções","actividade","doutor","médicos","referir","delta","infecção","insa","há"
"27","situação","lectivo","clube","canal","adiar","dia","condições","voar","setembro","dgs","joão","federação","parque","próxima","quadrar","metro","abastecimento","com","remeter","municípios","valar","funcionamento","seu","presidência","de","não","lado","cidade","residência","também","psp","prémio","moeda","diminuir","tianjin","alto","em","olímpicos","ordenar","outubro","alimento","anunciar","chinês","capital","detectado","venezuela","autoridade","que","coronavírus","vacina","receberão","maratona","diagnosticado","pandemia","centrar","algum","timorense","austrália","estado","médico","aos","controlar","tentar","em","ceder","eficácia","amostra","austrália","prevalência","matemático","usar","analisar","colocar","documentar","divulgar","da","acima","variante","julho","responsável"
