"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","cinema","passageiro","de","notícia","produção","completar","completar","ler","fronteira","fronteira","economia","turismo","unir","pequim","pequim","caso","chinar","chinar","local","chinar","chinar","chinar","igreja","chinar","registar","infecções","chinar","chinar","infecções","chinar","chinar","chinar","chinar","marcelo","república","república","república","emergência","emergência","emergência","propor","médicos","emergência","votar","governar","emergência","deputado","emergência","república","desconfinamento","presidente","planar","desconfinamento","emergência","moratórias","república","emergência","emergência","emergência","república","festejo","não","sporting","odemira","confiança","sns","google","portar","hospitalar","doente","doente","doente","homem","confirmar","atendimento","acesso","máscara","máscara","usar","hospital"
"2","março","de","ler","procurar","ler","aqui","ler","aqui","completar","espanha","notícia","jovem","reinar","mercar","surtir","pequim","capital","confinamento","capital","cidade","caso","local","caso","novo","chinar","registar","registar","registar","últimas","local","local","importado","noroeste","república","emergência","emergência","emergência","república","de","deputar","necessidade","usar","votar","emergência","decretar","parlamentar","parlamentar","confinamento","infarmed","república","estar","desconfinamento","planar","desconfinamento","desconfinamento","espectáculos","república","governar","república","marcelo","não","festejo","que","insolvente","lectivo","serviço","medida","pereira","cuidado","ordem","militar","ordem","ordem","equipar","pelos","escolar","aluno","dgs","máscara","casar"
"3","um","navio","passageiro","lisboa","aqui","ler","notícia","completar","aqui","frança","dinamarca","suécia","anticorpo","surtir","alemanha","chinar","pequim","novo","xinjiang","caso","xinjiang","austrália","autoridade","caso","infecções","últimas","últimas","últimas","parque","comissão","oriundo","últimas","incluir","emergência","estar","sousa","dezembro","renovação","república","líder","também","esperança","eleições","que","reunião","psd","emergência","reunião","ruir","presidente","república","república","costa","república","crédito","desconfinamento","desconfinamento","presidente","estar","ouvir","presidente","ministrar","medida","zmar","resolução","recorrer","portuguãªs","urgência","que","hospital","hospital","médicos","face","próximos","isolamento","lisboa","lectivo","escola","utilização","confirmar"
"4","mil","voo","março","completar","completar","de","produção","notícia","notícia","economia","junho","desempregar","economia","chinar","robert","novo","victoria","registar","novo","xinjiang","novo","victoria","cidade","últimas","caso","chinar","infecções","caso","desde","registar","últimas","oriundo","xinjiang","rebelar","direito","decretar","farmácias","votar","cultura","renovação","máscaras","surto","que","presidencial","escola","renovação","direito","infarmed","desconfinamento","marcelo","rebelar","emergência","contagotas","estar","antónio","rebelar","defender","conselho","calamidade","partido","república","que","aumentar","respeitar","que","consultar","capacidade","nelson","hospital","hospitalar","pagar","unidade","gravar","voltar","reiterar","quatro","escola","ensinar","escola","isolamento"
"5","aqui","cair","aeroporto","comprar","barril","notícia","picar","mercar","ler","mês","férias","estadosmembros","trimestre","cidade","chinar","surtir","confinamento","capital","chinar","danang","local","caso","novo","autoridade","últimas","novo","atingir","oriundo","chinar","diagnosticado","sob","contribuir","comissão","estar","âmbito","rebelar","marcelo","natal","asae","presidencial","governar","segurança","sousa","medida","que","deputar","assembleia","parlamentar","parlamentar","renovação","marcelo","que","república","que","costa","marcelo","parlamentar","planar","desconfinamento","vincar","regra","sobrar","testagem","requisição","doméstica","executivo","estudar","serviço","aumentar","médicos","oxigénio","que","vez","dois","cidadão","docente","ensinar","máscaras","ser","médico"
"6","dia","lisboa","completar","ler","milhões","petróleo","aqui","venda","de","completar","de","schmit","pib","chinãªs","koch","cidade","em","chinãªs","confinamento","autoridade","coronavírus","últimas","surtir","hora","novo","hora","infectado","hora","alto","de","asiático","exterior","oriundo","sousa","decretar","marcelo","tolerância","presidente","regra","decretar","marcelo","república","presidencial","estar","votar","líder","lei","república","economia","emergência","sousa","líder","parlamentar","renovação","governar","diplomar","renovação","república","partido","que","marcelo","regra","pública","massa","cautela","câmara","consumar","joão","atingir","enfermar","privado","enfermeiro","médicos","portar","eleições","ensinar","utilização","creche","recomendar","riscar"
"7","em","bolsar","aqui","vendar","de","baixar","quedar","fevereiro","trimestre","desempregar","trimestre","rki","assinar","salmão","cidade","em","surtir","local","chinãªs","país","contágios","confinamento","seul","capital","hora","caso","caso","infectado","semana","consecutivo","exterior","em","assintomáticos","da","assembleia","de","pontar","estar","material","república","presidente","muito","estar","decretar","ana","votar","agências","marcelo","alemão","sousa","governar","apresentar","defender","parlamentar","que","antónio","estar","estar","primeiroministro","não","primeiroministro","sporting","festejo","migrante","escola","joão","que","hospital","estudar","cama","laboratórios","são","têm","ligar","próximos","mês","ciclo","orientação","exterior","profiláctico"
"8","fechar","voar","notícia","passageiro","viseira","barril","fevereiro","exportações","viagem","mercar","turismo","quebrar","semana","bairro","rki","país","novo","autoridade","hong","local","três","comissão","diagnosticado","coreia","frança","número","hora","importado","estado","últimas","diagnosticado","diagnosticado","exterior","presidente","de","estar","de","decretar","cumprimentar","decisões","regra","máscaras","costa","parlamentar","emergência","governar","bombeiro","primeiroministro","conselho","debater","março","governar","antónio","deputado","república","sousa","governar","parlamentar","que","rebelar","rebelar","eduardo","não","alojamento","república","hospital","investigador","médico","centrar","indicador","preço","peralta","doente","antunes","liberdade","alterações","professor","utilização","situações","serviços"
"9","menos","tap","imagem","economia","matthew","milhões","março","respectivo","quarentenar","aqui","quedar","alemanha","versão","capital","diagnosticar","identificar","sul","exterior","kong","vietname","austrália","diagnosticado","chinar","confinamento","aumentar","aumentar","exterior","províncias","habitante","importado","ler","qingdao","ler","às","às","renovação","ministro","sousa","individual","deputado","que","combater","psd","reunião","presidencial","estar","que","deputar","sobrar","estar","desconfinamento","defender","debater","planar","primeiroministro","promulgar","deputar","junho","fim","sousa","sporting","cabra","campeonato","empreendimento","num","privar","escrever","chusj","unidade","incêndio","euro","intensivo","subido","santo","aluno","ferramenta","referencial","ou","ou","profissional"
"10","grupar","em","ver","de","dólares","março","ilha","março","espanha","notícia","completar","alemães","disponível","abastecedor","conter","mercar","caso","caso","semana","surtir","victoria","novo","registar","aumentar","desde","atingir","confinamento","infecções","sul","alto","hora","fixar","local","que","preventivo","parlamentar","decretar","medida","agora","votar","mensagem","privar","medida","governar","candidatar","rebelar","confinamento","testagem","livrar","planar","efeito","presidente","formar","defender","parlamentar","presidente","que","prioridade","marcelo","fronteira","sobrar","trabalhar","silvar","que","pública","números","concluir","uag","normal","uci","golpe","capacidade","cama","ordem","equipar","rastrear","rastrear","funcionários","máscaras","de"
