"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","saúde","saúde","saúde","máscaras","máscaras","testar","saúde","saúde","saúde","sales","sales","saúde","lisboa","tejo","tejo","sns","saúde","tejo","marta","marta","coser","marta","lar","médicos","que","costa","lar","respostar","planar","respostar","sns","cama","cama","doente","em","doente","doente","hospital","hospital","gripar","público","hospitalar","vacinado","ofertar","oxigénio","ruir","vacinação","vacinação","vacinação","vacinação","vacinação","vacinação","task","task","vacinação","público","coordenador","vacinação","vacinação","vacinação","vacinação","dosar","vacinação","vacinação","vacinação","vacinação","vacinação","vacinação","vacinação","vacinação","vacinação","ano","ano","jovem","vacinação","vacinação","vacinação","vacinação","vacinação","países"
"2","protecção","protecção","profissional","saúde","saúde","máscaras","lacerda","sales","sales","saúde","saúde","lacerda","região","lisboa","temer","que","marta","temer","temer","temer","profissional","ruir","antónio","lar","costa","que","marta","planar","saúde","capacidade","de","sns","secretário","cama","doente","cama","cama","cuidado","doente","doente","casar","vacinado","vacinação","oxigénio","ruir","madeirar","cruz","bombeiro","bombeiro","centro","processar","forças","forã§ar","vacinação","gouveio","vacinação","melar","forã§ar","vacinado","dosar","dosar","vacinação","vacina","dosar","vacinar","vacinar","forã§ar","dosar","task","dosar","dosar","jovem","jovem","vacinação","jovem","jovem","jovem","gouveio","dosar","africano"
"3","hospital","doente","protecção","equipamento","material","saúde","sales","testar","lacerda","lacerda","lacerda","valar","valar","valar","que","saúde","temer","marta","conferência","consulta","ruir","temer","que","ordem","respostar","profissional","médicos","doente","temer","considerar","público","capacidade","cuidado","saúde","hospital","intensivo","hospitalar","unidade","público","assinar","disponível","hospital","sns","atender","manaus","disponível","público","vacinado","elemento","de","transplantar","comunidade","vacinação","melar","melar","docente","gouveio","vacinado","melar","forã§ar","ano","vacinado","dosar","ano","dosar","ano","task","vacinar","forã§ar","vacinar","vacinar","vacinação","vacinação","ano","task","forã§ar","forã§ar","task","forã§ar","prazo"
"4","máscaras","profissional","máscaras","doente","doente","sales","máscaras","lacerda","secretário","secretário","secretário","sales","temer","sales","valar","marta","de","hospital","saúde","insa","subdirectorgeral","portugal","saúde","sobrar","saúde","lar","capacidade","capacidade","secretário","cama","secretário","médicos","capacidade","em","cama","hospital","unidade","cama","profissional","descarregar","link","vacinação","profissional","ruir","pessoa","forças","prisional","lista","centro","vacinado","lacerda","fase","melar","gouveio","forã§ar","vacinado","dosar","task","gouveio","task","contra","contra","gouveio","gouveio","ano","população","ano","aberto","dosar","task","melar","vacinar","dosar","agostar","forã§ar","fimdesemana","task","forã§ar","task","continente"
"5","equipamento","hospital","sales","protecção","marta","profissional","profissional","secretário","antónio","testar","graça","tejo","saúde","profissional","saúde","tejo","valar","profissional","imprensar","médicos","portugal","ministrar","reguengo","que","marta","sublinhar","temer","marta","cuidado","ministrar","saúde","de","doente","sns","cuidado","hospitalar","internamento","intensivo","hospitalar","link","versão","profissional","portar","gente","voo","juntar","centro","centro","processar","vacinar","receita","membro","gouveio","forã§ar","vicealmirante","assinar","vacinação","pessoa","público","vacinado","população","vacinar","vacinar","melar","contra","pessoa","melar","contra","processar","modalidade","vacina","dosar","vacinar","dosar","fimdesemana","task","ano","utente","já","de"
"6","doente","material","equipamento","ventilador","sns","secretário","sns","sns","de","temer","directorageral","secretário","marta","taxar","situação","valar","que","lisboa","lisboa","centro","secretário","surto","monsaraz","nacional","lar","capacidade","trabalhar","áreas","sns","da","médicos","saúde","temer","hospitalar","sns","cuidado","cuidado","doente","cirurgia","taxar","inquirido","portar","sala","manaus","chamada","neste","irregularidade","câmara","vacinado","público","vacinar","eduardo","vicealmirante","administrado","task","neste","vicealmirante","melar","pessoa","vacinar","vacinar","ano","melar","vacinar","vacinado","contra","dosar","forã§ar","vacinar","vacina","gouveio","vacina","contra","task","gouveio","gouveio","vacinado","centro","jovem","japão"
"7","profissional","equipamento","doente","profissional","protecção","equipamento","testar","unidade","cuidado","antónio","imprensar","lisboa","situação","marta","marta","temer","tejo","sales","da","nacional","saúde","profissional","médicos","reguengo","profissional","sns","que","cama","necessidade","serviços","que","que","saúde","hospital","público","público","marta","profissional","médico","estará","neste","lisboa","centrar","pouco","lisboa","funchal","inem","ou","municipal","autoridade","prioritários","jogo","coordenador","público","coordenador","vacina","henrique","ritmar","henrique","autoagendamento","vacina","administrado","contra","pessoa","grupar","astrazeneca","gouveio","task","ano","contra","jovem","contra","dgs","forã§ar","melar","melar","contra","sentir","médicos","anunciar"
"8","de","máscaras","lacerda","de","secretário","lacerda","cuidado","utilização","testar","marta","lisboa","região","tejo","temer","hospital","lisboa","doente","valar","ministrar","saúde","empregar","saúde","situação","utente","afirmar","linha","ministrar","saúde","profissional","que","capacidade","serviço","intensivo","público","capacidade","capacidade","serviço","público","enfermeiro","versão","descarregar","centrar","público","profissional","psp","chefe","câmara","motorista","ou","ou","contra","ua","henrique","vicealmirante","vacinado","utente","vacinado","dosar","vacinar","contra","vacinado","grupo","ano","coordenador","população","dosar","vacina","agendamento","centro","forã§ar","ano","dgs","idade","aberto","ano","ano","mil","dosar","pelar","doações"
"9","médicos","ventilador","secretário","hospital","sales","de","marta","antónio","sns","profissional","temer","testagem","explicar","secretário","sobrar","unidade","dgs","saúde","cruz","ricardo","da","trabalhar","idoso","temer","médicos","condições","respostar","temer","marta","saúde","cama","temer","hospitalar","parar","intensivo","norte","intensivo","link","disponível","disponível","assinar","contra","enfermeiro","chamada","linha","legal","vermelhar","autarquia","forças","real","vacinado","armada","responsável","milhão","profissional","coordenador","primeiro","coordenador","ritmar","melar","administrado","task","receber","população","pessoa","imunidade","vacinado","melar","esperar","ano","forã§ar","faixar","entrar","adolescente","faixar","completar","processar","contra","gouveio","restrições"
"10","serviço","de","hospital","entregar","testar","ventilador","secretário","marta","intensivo","sns","tejo","antónio","sales","antónio","conferência","madeirar","estrutura","de","sobrar","da","utente","referir","pescador","monsaraz","antónio","saúde","segurança","dedicado","capacidade","sector","temer","público","que","intensivo","hospitalar","unidade","capacidade","assinar","unidade","público","gostar","saúde","doente","comboio","português","dr","contra","nacional","vacinar","protecção","turista","campanha","público","coimbra","processar","descarregar","vacinar","gouveio","coordenador","semana","já","forã§ar","forã§ar","processar","da","ser","vacinar","gouveio","contra","notar","task","crianças","norma","disponível","etária","contra","utente","completar","população","semana"
"11","material","unidade","de","testar","lacerda","marta","antónio","profissional","taxar","directorageral","cuidado","testar","lacerda","conferência","cuidado","consulta","boletim","que","profissional","inquérito","vigilância","da","segurança","idoso","ps","esse","recurso","reforço","hospitalar","investimento","serviço","secretário","sns","que","respostar","internado","medicinar","disponível","link","directorageral","estará","domingo","armada","cafés","longo","serviços","presidente","serão","grupo","norte","mil","vacinado","vacina","ritmar","enfermeiro","link","pessoa","administrado","vicealmirante","gouveio","task","vacina","primeiro","vacinado","idade","vacinado","processar","vacinado","utente","lotar","processar","autoagendamento","médica","vacinar","contra","cercar","dosar","processar","faixar","organizações"
"12","centrar","enfermeiro","sns","temer","equipamento","doente","doente","freitas","hospital","doente","antónio","marta","que","saúde","transmissão","médicos","médicos","cuidado","região","análise","valar","valar","temer","alentejo","descarregar","apoiar","profissional","sns","antónio","de","sales","está","estar","tâmega","unidade","enfermar","limitar","descarregar","cincar","regressar","estudar","primeiro","ministério","pessoa","aeroporto","doente","demissão","asae","destacar","eduardo","de","japão","em","portugal","docente","versão","forã§ar","planar","task","receber","forã§ar","pessoa","vacinado","contra","janssen","autoagendamento","contra","ano","coordenador","completar","faixar","ficar","adolescente","dgs","mil","etária","completar","jovem","com","áfrica"
"13","unidade","médicos","médico","mil","médicos","antónio","intensivo","laboratórios","máscaras","de","conferência","que","estão","ipo","se","jamila","trabalhar","lacerda","taxar","profissional","rncci","estrutura","documento","saúde","temer","todo","mendes","outonoinverno","em","portuguãªs","marta","ordem","existir","sousa","médicos","médicos","hospital","recebao","área","mortalidade","pouco","marta","lisboa","amazona","formar","maio","aces","incluídos","segurança","bombeiro","ou","olímpicos","fimdesemana","processar","sns","pdf","explicar","henrique","contra","ano","planar","receber","task","já","etária","completar","vicealmirante","centro","agendamento","processar","esperar","etária","gouveio","melar","autoagendamento","aberto","grupar","vacina","melar","voo"
"14","ventilador","civil","individual","secretário","de","material","protecção","doente","conferência","estar","freitas","temer","antónio","dizer","antónio","profissional","ministrar","ministrar","imunidade","surto","doente","antónio","ministrar","marta","aplicação","aprender","apoiar","médicos","investimento","portugal","hospitalar","disponível","respostar","cuidado","pdf","marta","neste","hospitalar","médicos","pouco","daqui","coimbra","administrado","carro","atender","defeso","processar","espaços","arrancar","processar","linha","farmacêuticos","jorge","planar","resiliência","disponível","processar","setembro","versão","pessoa","bom","secretário","coordenador","henrique","já","forã§ar","pessoa","tomar","vacinado","primeiro","planar","completar","vacinado","vacina","vacinado","mil","percentagem","já","completar","fechar"
"15","comunicar","sales","enfermeiro","sales","profissional","ministrar","serviço","não","profissional","conferência","marta","conferência","área","intensivo","profissional","hospital","imprensar","região","acrescentar","cuidado","governar","idoso","lacerda","dos","surto","afirmar","social","vermelhar","através","actual","cuidado","marta","de","internamento","de","de","uci","neste","assinar","neste","teletrabalho","joão","hospital","trânsito","atendimento","armada","planar","corpo","de","funcionar","armada","inem","disponível","coordenador","henrique","página","agendamento","vacina","conseguir","processar","centro","planar","vicealmirante","vicealmirante","administrado","milhões","henrique","sms","cercar","da","contra","da","doenças","modalidade","entrar","vicealmirante","primeiro","melar","completamente","vacina"
"16","parar","serviço","material","lacerda","transportar","intensivo","de","explicar","capacidade","consulta","internado","dizer","sintra","situação","lisboa","hospitalar","região","ventilador","insa","entrar","estão","médicos","marta","antónio","social","parar","parar","possibilidade","doente","cuidado","respostar","neste","ministrar","capacidade","internamento","em","temer","internado","neste","missão","página","central","completar","brasileiro","disponível","versão","francisco","prisional","disponível","vítimas","forças","académica","ritmar","profissional","professor","gouveio","já","conseguir","disponível","população","gouveio","mil","cercar","vacina","utente","já","agendamento","da","tomar","administrado","vicealmirante","já","da","autoagendamento","vicealmirante","faixar","diogo","ano","contra","dez"
