"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","serviços","de","de","circulação","desobediência","desobediência","desobediência","de","emergência","partir","partir","fronteira","fronteira","países","países","países","países","restrições","lista","quarentenar","cidade","reinar","reinar","unir","reinar","unir","europeu","europeu","habitante","governar","medida","um","que","que","que","medida","medida","natal","concelho","restrições","obrigatório","concelho","concelho","obrigatório","confinamento","polícia","obrigatório","psp","obrigatório","obrigatório","restaurante","regra","cidadãos","concelho","desportivo","esplanada","centro","comercial","restaurante","psp","obrigatório","máscaras","adepto","adepto","regra","evento","às","de","testar","testar","certificar","testar","testar","testar","regra","lotação","psp","visitar","hospital","internacional"
"2","de","serviços","psp","psp","psp","deter","estabelecimento","gnr","maio","restrições","junho","junho","europeu","fronteira","espanha","lista","lista","lérida","quarentenar","britânico","turista","países","unir","reinar","unir","reinar","turismo","britânico","incidência","medida","obrigatório","que","não","concelho","medida","restauração","natal","restrições","circulação","riscar","natal","de","obrigatório","confinamento","restrições","manifestante","estabelecimento","regra","psp","recolher","de","restaurante","regra","vigor","vigor","portar","actividade","esplanada","horário","obrigatório","esplanada","restaurante","máscara","portar","lotação","regra","regra","euro","antigénio","certificar","testar","bar","farmácias","incumprimento","euro","psp","polícia","papar","em","oms"
"3","ou","actividade","polícia","residência","gnr","emergência","emergência","celebrações","de","junho","restrições","portar","restrições","cidadãos","europeu","portugal","reinar","obrigatório","países","espanha","dormida","unir","britânico","hogan","lista","britânico","ue","regiões","medida","ministrar","de","de","parar","medida","concelho","obrigatório","restrições","obrigatório","natal","concelho","concelho","obrigatório","confinamento","restaurante","incumprimento","deslocações","incumprimento","comércio","recolher","gnr","restrições","podar","sem","de","de","de","loja","restaurante","bar","recolher","praia","escola","futebol","ligar","rir","máscara","contraordenação","segurança","associação","empresa","ou","evento","bar","regra","incumprimento","marítima","manifestante","eslováquia","russo","viagem"
"4","trabalhador","essencial","estabelecimento","gnr","emergência","estabelecimento","psp","fátima","fátima","de","voo","transportar","passageiro","turista","reinar","espanha","unir","região","espanha","reinar","loja","habitante","quarentenar","viagem","europeu","inglaterra","algarve","república","governar","obrigatório","governar","não","medida","obrigatório","obrigatório","restrições","dezembro","entrar","às","entrar","circulação","recolher","primeiroministro","regra","teletrabalho","obrigatório","gnr","máscaras","gnr","restrições","decretar","espaços","de","psp","polícia","máscara","restaurante","estabelecimento","festa","restaurante","restaurante","esplanada","nível","campeões","familiar","cultural","testar","crédito","estabelecimento","farmácias","sector","ou","discoteca","euro","lotação","de","restrições","francisco","itália","variante"
"5","todo","trabalhador","desobediência","emergência","deter","de","de","maio","bar","itália","confinamento","partir","fase","portuguãªs","fronteira","fronteira","quarentenar","terão","portugal","unir","reinar","quarentenar","viagem","irlanda","britânico","lista","confinamento","bar","ministrar","usar","usar","em","de","parar","primeiroministro","confinamento","restaurante","circulação","elevar","natal","riscar","natal","recolher","vigor","fimdesemana","restrições","vigor","vigor","estabelecimento","evento","medida","concelho","máscara","obrigatório","espaços","vigor","comercial","cinema","evento","desconfinamento","máscara","estabelecimento","portar","final","restaurante","festa","alimentar","máximo","seu","cliente","estabelecimento","certificar","restauração","estabelecimento","evento","certificar","deter","asae","presidente","coronavírus"
"6","bem","gnr","segurança","de","de","encerrado","comercial","estabelecimento","peregrino","voo","abrir","voo","união","voo","unir","quarentenar","viagem","aplicar","públicos","países","estado","de","portugal","phil","quarentenar","hancock","república","reinar","países","de","primeiroministro","medida","partir","um","finsdesemana","governar","obrigatório","recolher","restrições","familiar","recolher","período","vigor","medida","vigor","deter","auto","gnr","de","militar","merkel","medida","circulação","circulação","poderão","quatro","esplanada","centro","recolher","restrições","lotação","bar","estádio","regra","particular","norma","processo","comunicar","farmácias","actividade","assinar","negativar","regra","ou","marítima","desportivo","certificar","quarentenar","putin","países"
"7","transportar","estabelecimento","obrigatório","concelho","estabelecimento","segurança","período","emergência","estar","transportar","medida","cidade","junho","impor","restrições","reinar","reabertura","escrever","governar","obrigatório","controlar","britânico","notícia","europeu","hungria","governar","unir","viagem","reinar","restrições","restrições","ao","confinamento","confinamento","circulação","impor","impor","durante","dezembro","partir","regra","janeiro","bori","circulação","proibição","confinamento","polícia","entrar","tribunal","decisão","vigor","ar","espaços","entrar","festa","emergência","restauração","psp","interior","abrir","associação","restrições","interior","público","lugar","local","asae","operação","restauração","apoiar","farmácias","restauração","certificar","testagem","contexto","ambientar","segurança","dia","frança","poder"
"8","das","segurança","emergência","deter","por","confinamento","transportar","ministrar","ir","espanhol","retomado","abrir","turismo","voar","viajante","fronteirar","governar","bélgica","usar","estrangeiro","espanha","frança","governar","sector","portugal","portugal","regiões","unir","restrições","reuters","restaurante","governar","se","em","restauração","fechado","espaços","ou","riscar","janeiro","elevar","às","medida","escola","medida","excepções","confinamento","emergência","governar","fronteirar","regiões","obrigatório","emergência","às","obrigatório","às","estabelecimento","sala","obrigatório","regiões","reabrir","encerramento","usar","câmara","polícia","realização","evento","evento","concelho","de","restauração","público","ou","digital","polícia","limitar","parar","negativar","italiano","organização"
"9","estabelecimento","pessoa","actividade","mai","violação","obrigatório","às","cabra","espanhol","aeroporto","julho","restrições","julho","abrir","julho","europeu","habitante","medido","catalunha","lista","entrada","cidadãos","britânicos","comissário","viagem","norte","portugal","lista","líder","incidência","bar","se","governar","regra","costa","estabelecimento","entrar","restaurante","entrar","regra","loja","circulação","habitante","restrições","proibido","recolher","de","de","emergência","psp","partir","pessoa","psp","abril","entrar","estabelecimento","desconfinamento","teatro","ilegal","polícia","recolher","fechado","regra","inglãªs","cultural","espectáculos","trabalhador","às","cliente","restaurante","negativar","regra","lotação","restaurante","estabelecimento","negativar","gnr","sábado","terá","saber"
"10","abastecimento","comércio","medida","páscoa","obrigatório","cabra","obrigatório","máscara","cidade","hong","governar","reabertura","viajante","passageiro","turista","reabertura","portugal","generalitat","caso","quem","rua","restrições","algarve","emprego","países","europeu","jovem","portugal","alertar","britânico","regra","mais","estar","este","restaurante","fimdesemana","confinamento","comércio","até","circulação","vigor","ver","impor","actividade","de","amesterdão","beber","festa","festa","israel","polícia","impor","estabelecimento","recolher","municipal","páscoa","encerramento","mesa","cinema","fimdesemana","às","quarentenar","restrições","festejo","trabalhador","obrigatório","portar","testar","portar","rápidos","cliente","lotação","domingo","de","inglaterra","polícia","transportar","certificar","profissional","ómicron"
"11","comercial","decretar","deter","voo","cabra","crime","administração","igreja","circulação","kong","levantar","internar","desconfinamento","restrições","viagem","viagem","turista","decretar","britânico","governar","verão","medido","corredor","irlandês","decisão","países","reinar","circulação","aumentar","extraordinário","nova","ter","obrigatório","não","às","concelho","durante","vigor","comercial","obrigatório","às","loja","johnson","das","ou","continental","entrar","incumprimento","militar","acção","âmbito","reabrir","vigor","festa","museu","metro","equipamento","cliente","restauração","casa","propor","regra","espaços","praia","evento","testar","encerrar","apoiar","espaço","negativar","público","digital","desportivo","das","testar","evento","portugal","evento","mundo","mundial"
"12","actividade","temporariamente","pessoa","administração","confinamento","período","norma","transportar","medida","obrigatório","vigor","zero","viagem","desconfinamento","passageiro","unir","espanha","critério","inglaterra","turista","ministrar","baixo","restrições","turismo","país","quarentenar","rt","google","inglaterra","leão","europeu","pessoa","ser","costa","não","primeiroministro","bar","concelho","pública","evitar","confinamento","mobilidade","inglaterra","novo","beber","vigor","psp","encerramento","agente","desportivo","proibição","páscoa","proibição","páscoa","restaurante","usar","de","de","maio","reabertura","psp","obrigatório","sem","restaurante","obrigatório","segurança","trabalhar","regime","jogo","beber","económica","antónio","espaços","distanciamento","contactar","festival","ministro","israel","seu","patente"
"13","públicos","água","confinamento","restrições","período","ir","concelho","obrigatório","transportar","vigor","restaurante","visitante","vão","dinamarca","lista","turista","estrangeiro","citar","ou","viajante","colocar","podar","aéreos","turista","de","europa","europa","medida","maioria","aumentar","stayaway","das","um","ser","governar","partir","loja","riscar","recolher","de","de","confinamento","de","empresa","regra","protesto","regra","actividade","medido","das","bar","nível","portar","março","máscara","abril","portar","livrar","euro","de","bar","exemplo","medida","ruir","jogar","portar","de","regra","nocturno","comparticipação","actividade","restrições","funcionamento","espaços","praia","praia","tender","contraordenação","cinema","representar"
"14","segurança","comunicar","serviços","ir","ovar","norma","circulação","internar","partir","internacional","impor","áustria","permitir","estrangeiro","quarentenar","elvas","europeu","países","máscara","viagem","quarentenar","infecções","lista","jantar","outubro","decisão","alertar","restrições","restaurante","ter","medido","semana","entrar","recolher","próximos","comer","novembro","dezembro","excepções","italiano","até","proibido","janeiro","comércio","circulação","cidade","medida","tender","fronteirar","permitir","loja","cidadãos","parque","cidadãos","livrar","ruir","bem","reabrir","vigorar","regressar","novidade","cumprir","lotação","bolhar","interior","psp","restaurante","trabalhador","medido","discoteca","bar","costa","restaurante","certificar","de","vigor","cair","processo","solicitar","transmissibilidade"
"15","autoridade","encerramento","municipal","desobediência","eduardo","transportar","decretar","circulação","impedir","emergência","de","vigor","aéreas","país","entrado","estrangeiro","visitar","quarentenar","espaços","incluir","viajante","ficar","precisar","britânico","viajar","corredor","em","máximo","britânico","em","partir","dos","afirmar","restrições","partir","restaurante","feriado","bar","restaurante","escola","permitido","extremar","circulação","partir","das","de","recolher","obrigatório","actividade","fechado","destinar","gnr","gnr","polícia","ar","obrigatório","regra","interior","cafés","cafés","vão","manter","restaurante","portuguãªs","funcionamento","comer","local","espaços","hotelaria","restauração","alargar","restaurante","acesso","bar","vigor","festa","arrancar","discussão","trabalhar","recomendar"
"16","pessoa","circulação","polícias","transportar","páscoa","mai","mai","porta","obrigatório","entrado","lisboa","anunciar","quarentenar","reabrir","abrir","governar","britânico","belga","frança","medido","aeroporto","lista","cartar","de","regressar","seguro","governar","ministrar","unir","já","comer","obrigatório","muito","partir","vão","regra","vigor","das","proibido","medida","dezembro","restrições","natal","recolher","trabalhador","água","alcoólicas","circulação","entrar","recolhimento","portar","ao","cliente","recolhimento","concelho","cliente","encerrado","exterior","museu","horário","espaços","usar","geral","chelsea","festa","em","estabelecimento","terminar","realizar","estabelecimento","recuperação","estabelecimento","ver","ajuntamento","ou","policial","noite","santo","um","enfermeiro"
"17","dos","ou","concelho","obrigatório","concelho","por","segurança","calamidade","encerrado","regiões","ligações","espanhol","abertura","partir","reabertura","julho","grécia","estabelecimento","unir","de","começou","venezuela","presidente","britânicos","apresentar","madeirar","férias","parlamentar","viagem","espanhol","máscara","usar","dizer","primeiroministro","emergência","encerramento","às","propagação","estabelecimento","dia","têm","ou","às","durante","obrigatório","protestar","circulação","das","restaurante","ar","manter","vacinado","recolhimento","medido","gnr","ao","associações","renda","psp","fim","advogado","espaços","limitar","máscara","portar","jogo","comunicar","associação","acesso","clube","apresentação","despachar","digital","lotação","notar","ajuntamento","aéreas","decorrer","decretar","dever"
