"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","casar","idoso","autarquia","apoiar","continente","hostel","trabalhar","transportar","metro","empresar","empresar","trabalhador","aplicação","aplicação","ovar","medina","ensinar","próximo","escola","ventilador","aula","donald","trabalhador","escola","escola","escola","escola","escola","escola","ua","estudante","rir","semabrigo","vila","câmara","euro","vila","picar","gouveio","mundial","mundial","oms","doente","cama","doente","doente","doente","hospital","hospital","doente","hospital","médicos","bolsonaro","brasileiro","euro","teletrabalho","estudar","euro","brasileiro","despesa","instituto","pazuello","brasileiro","brasileiro","brasileiro","empréstimos","crise","brasileiro","brasileiro","estudar","facebook","declarações","surto","estudar","idoso","funcionários","multissistémica","brasil","mas","recluso"
"2","ou","câmara","pavilhão","municipal","apoiar","estará","segurança","metro","transportar","sonae","trabalhar","empresar","festa","algarve","malheiro","equipa","aluno","escola","educação","escola","lectivo","jornal","ar","aluno","ensinar","aluno","aluno","lectivo","professor","estudante","erasmus","perceber","pandemia","feira","autarquia","câmara","riscar","descer","concelho","organização","variante","variante","hospital","doente","hospital","hospital","hospital","doente","doente","hospitalar","hospitalar","hospital","médicos","brasil","social","trabalhar","alimentar","brasileiro","de","chinãªs","genoma","brasileiro","janeiro","paulo","brasil","máscaras","médicos","bolsonaro","contratar","gripar","desinformação","hospital","lar","lar","funcionários","luso","utente","brasileiro","pobreza","dia"
"3","câmara","apoiar","redar","câmara","refeições","refugiado","processo","passageiro","disponível","públicos","têm","de","vieira","contra","escola","lisboa","praxar","aluno","lectivo","versão","escola","regime","equipar","aula","aluno","aula","professor","professor","estabelecimento","aluno","programar","contenção","formação","concelho","autarca","apoiar","castelo","incidência","oms","oms","oms","organização","cama","hospital","cama","cama","hospitalar","intensivo","hospitalar","cama","doente","cuidado","brasileiro","trabalhador","profissional","estudar","painel","pagamento","necessidade","brasileiro","anvisa","bolsonaro","paulo","peru","diplomar","empresa","brasileiro","covaxin","de","mulher","estudar","grávidas","alentejo","utente","proençanova","efectuar","detectar","enfermeiro","geral","positivo"
"4","dever","entregar","voluntários","utilizador","publicado","casar","polícia","lisboa","passageiro","trabalhador","infectado","desinfecção","popular","trabalhador","ensinar","terreno","escola","segurança","aula","autorização","presencial","poder","grupar","distância","aula","escolar","ensinar","ano","câmara","erasmus","de","adicional","levantada","mercado","concelho","alimentar","distrito","novembro","organização","riscar","organização","mundial","enfermar","intensivo","unidade","enfermar","unidade","cuidado","enfermar","hospital","cama","hospitalar","hospital","apoiar","apoio","social","chile","cercar","dólares","investimento","grávidas","inquérito","brasil","argentino","psd","espaços","formação","presidente","saúde","autor","redar","jornal","infectado","surto","estudar","militar","tromboembolismo","trabalhar","testar","anvisa"
"5","social","autarquia","público","doméstica","que","lisboa","lisboa","lotação","polícia","usar","residência","gnr","utilização","festa","câmara","falhar","regressar","dgs","ensinar","ceiia","presentar","diplomar","aluno","máscara","educação","professor","estabelecimento","aluno","aluno","académica","comunicação","nametable","manifestações","realização","famílias","jogar","concelho","concelho","riscar","alertar","respostar","director","intensivo","enfermar","intensivo","unidade","enfermar","enfermeiro","cama","unidade","consulta","doente","doente","profissional","máscaras","trabalhador","social","resultado","google","dólares","sintoma","vigilância","minho","brasil","usar","venezuela","om","comprar","bolsonaro","grego","investigador","pcp","luso","vacinar","utente","utente","cidade","anvisa","tomar","total"
"6","apoiar","trabalhador","apoiar","divulgar","ministrar","neste","agências","estação","pouco","contra","ou","máscaras","idear","conhecer","medina","acção","presidente","cultural","presencial","atena","setembro","equipar","lectivo","ensinar","crianças","educação","lectivo","aula","ofertar","empresa","aluno","comunicação","num","da","parar","autarquia","municípios","tendência","semabrigo","evitar","continuar","imprensar","respostar","tratamento","hospitalar","hospitalar","intensivo","internado","centrar","internado","profissional","ordem","profissional","bolsonaro","bolsonaro","realizar","importante","vigilância","milhões","política","comer","sintoma","bolsonaro","país","públicos","brasil","rendimento","federal","comprar","pedir","publicar","presidente","crianças","infectado","cincar","breve","inflamatória","questões","fazer","informar"
"7","aos","freguesia","descrever","secretariar","site","apoiar","em","ofertar","médio","máscaras","carro","forças","combater","rastrear","lectivo","mal","que","fernando","próximo","condições","medida","livrar","provar","vão","estabelecimento","presencial","ano","educação","leiria","universidade","universidade","wlsdexception","políticas","que","entregar","dívida","ferreiro","caso","continuar","isso","da","conhecer","hospitalar","hospitalar","enfermar","cuidado","cama","hospitalar","internamento","centrar","cuidado","unidade","dos","euro","segurança","positivar","mostrar","documentar","twitter","pagamento","brasileiro","investigação","ele","bolsonaro","voto","emergência","pobreza","miranda","inquérito","poluição","voluntários","problema","proençanova","idoso","misericórdia","agência","que","turista","pedido","dgs"
"8","entregar","podar","alimentar","consumar","escalão","violência","hostel","público","destinado","transportar","entidade","emergência","vão","humano","presidente","combater","redar","praças","às","esse","propor","adoptar","contra","obrigatório","às","lectivo","educação","turma","procurar","ensinar","escola","accent","proveniente","lisboa","valor","ponto","santo","está","semanal","cidade","sobrar","polícias","capacidade","unidade","cuidado","intensivo","cuidado","cama","unidade","intensivo","de","social","évora","de","brasileiro","euro","segurança","milhões","euro","necessidade","causar","oxigénio","finanças","américa","américa","famílias","comprar","de","pandemia","publicar","social","investigador","mulher","funcionários","lar","casar","hoje","questão","vigilância","brasil"
"9","segurança","social","casar","aplicações","espaços","praia","requerente","mato","inglaterra","algum","algum","têm","mariano","profissional","salvador","viver","equipa","ou","parlamentar","professor","ventilador","faltar","faltar","públicos","escolar","ensinar","turma","riscar","direito","contágio","mobilidade","infectado","dez","feirante","realização","futebol","portar","norte","mundial","residente","oxford","durante","unidade","covid","capacidade","centrar","internamento","enfermar","cirurgia","cirurgia","saúde","sintoma","anúncios","hospital","apoiar","comunidade","despesa","conta","urgente","angola","paulo","janeiro","kong","copar","espaços","parlamentar","pandemia","vacina","indiano","ar","um","taxa","sintoma","dos","instituição","referir","qualidade","mas","que","prisional"
"10","autarquia","pessoa","parceria","móveis","disponibilizar","versão","ou","pouco","suíça","supermercado","transportar","acção","ceder","actividade","faltar","chefia","social","social","aluno","setembro","chinês","vão","pedir","crianças","protocolo","turma","regressar","criança","agrupamento","restauração","portar","unhidewhenusedtrue","missão","castelo","apoiar","mundial","de","felgueiras","crise","inglaterra","eficácia","global","serviços","centrar","internamento","internado","internado","garcia","internado","cuidado","bolsonaro","acompanhante","ano","aplicação","distanciamento","lar","trabalhador","beneficiários","investimento","brasil","estudar","estudar","riscar","estudar","considerar","brasileiro","ordem","petersburgo","presidente","sintoma","branco","pouco","fornecer","cobertura","secretário","sanitárias","abrigar","rita","hospital","dgrsp"
