"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","testar","graça","freitas","freitas","freitas","terminar","graça","remdesivir","minutar","minutar","portugal","acompanhamento","minutar","new","new","new","new","new","new","new","new","new","noite","obrigado","portugal","new","new","new","bom","lockedfalse","wlsdexception","lockedfalse","lockedfalse","independência","lockedfalse","cirurgia","macau","de","testar","testar","aeroporto","costa","confinamento","marcelo","positivar","médicos","portugal","nunes","média","incidência","semana","incidência","rt","incidência","habitante","incidência","incidência","incidência","incidência","concelho","concelho","concelho","incidência","incidência","lisboa","concelho","incidência","concelho","concelho","vila","concelho","concelho","transportar","centro","público","problema","disponível","euro","euro","ukhsa"
"2","casar","testar","graça","graça","graça","vacinar","freitas","vírus","freitas","vírus","vacinar","covid","milhões","roman","roman","roman","roman","roman","roman","roman","noite","roman","leitura","msobidifontfamilytimes","cobertura","roman","roman","roman","empréstimos","wlsdexception","lockedfalse","wlsdexception","wlsdexception","revelado","wlsdexception","assegurado","indicar","sangue","realização","macron","testar","primeiroministro","república","rebelar","testar","da","ajudar","portugal","publicar","confinamento","incidência","habitante","incidência","rt","incidência","concelho","concelho","dgs","concelho","desconfinamento","desconfinamento","habitante","lisboa","concelho","desconfinamento","lisboa","vermelhar","riscar","restaurante","elevar","riscar","riscar","utilização","patente","queimódromo","actividade","versão","público","disponível","gravar"
"3","pessoa","freitas","testar","nosso","directorageral","freitas","directorageral","vacinar","graça","graça","acompanhamento","noite","terminar","msobidifontfamilytimes","stylemsofareastfontfamilytimes","stylemsofareastfontfamilytimes","span","span","msobidifontfamilytimes","span","stylemsofareastfontfamilytimes","span","praia","span","artigo","span","span","span","dexametasona","semihiddentrue","semihiddentrue","unhidewhenusedtrue","unhidewhenusedtrue","ferrar","semihiddentrue","lombardia","unicef","silvestre","evento","primeiroministro","espanhol","esforço","profiláctico","testar","carnaval","benfica","alemã","lisboa","om","portugal","confinamento","tendência","taxar","habitante","concelho","superior","habitante","habitante","desconfinamento","odemira","habitante","incidência","caso","habitante","concelho","valar","concelho","matriz","elevar","concelho","elevar","pessoal","nosso","apoiar","portar","público","público","cordo","assinar","imunidade"
"4","aqui","não","não","estudar","que","graça","doente","morte","bom","portugal","minutar","bom","bom","stylemsofareastfontfamilytimes","msobidifontfamilytimes","span","msobidifontfamilytimes","msobidifontfamilytimes","span","msobidifontfamilytimes","roman","msobidifontfamilytimes","obrigar","stylemsofareastfontfamilytimes","minutar","msobidifontfamilytimes","stylemsofareastfontfamilytimes","msobidifontfamilytimes","medicamentar","unhidewhenusedtrue","unhidewhenusedtrue","semihiddentrue","semihiddentrue","sociedade","unhidewhenusedtrue","contactar","entrado","correr","amostra","emmanuel","macron","obrigado","chefe","sousa","marcelo","om","bastonária","universidade","da","especialista","período","especialista","habitante","valor","rt","rir","desconfinamento","desconfinamento","habitante","habitante","norte","desconfinamento","rt","caso","incidência","habitante","desconfinamento","incidência","incidência","riscar","vila","elevar","colectivo","zelândia","centrar","assinar","parar","tourada","descarregar","especialista"
"5","mais","que","directorageral","directorageral","vacinar","minutar","crianças","saber","mundo","mãe","bom","minutar","mundo","span","span","msobidifontfamilytimes","stylemsofareastfontfamilytimes","stylemsofareastfontfamilytimes","stylemsofareastfontfamilytimes","stylemsofareastfontfamilytimes","bom","stylemsofareastfontfamilytimes","ocupação","leitura","leitura","stylemsofareastfontfamilytimes","bom","stylemsofareastfontfamilytimes","trump","priority","priority","priority","priority","principal","priority","sociedade","autorização","exame","antigénio","francês","chegado","portugal","artigo","contactar","realizar","futebol","defeso","gomar","incidência","habitante","compra","abaixar","relatório","riscar","riscar","habitante","valor","concelho","acima","incidência","matriz","rt","habitante","transmissibilidade","valar","tejo","de","elevar","riscar","rt","de","de","minutar","ilha","problema","encerrado","neste","ocde","link","ainda"
"6","não","directorageral","que","vírus","nosso","corpo","testar","graça","doença","mundo","terminar","recuperar","noite","minutar","minutar","romano","visita","times","noite","romano","leitura","obrigar","sugestões","noite","recomendar","portugal","msobidifontfamilytimes","leitura","minutar","nametable","nametable","nametable","nametable","responsabilidade","nametable","marcelo","testar","tradicional","amostrar","agendar","resultar","terminar","manter","república","isolamento","comunicar","da","ricardo","portugal","jorge","janeiro","taxar","índice","indicador","emissões","vermelhar","caso","acima","odemira","mil","índice","nível","tejo","lisboa","testagem","cama","lisboa","habitante","às","matriz","portar","restaurante","tornar","sector","ars","descarregar","assinar","zonar","recebao","milhões"
"7","ler","fase","pessoa","testar","bcg","animal","recomendar","nosso","crianças","bom","transmissão","vacinar","infecção","seguinte","infecção","artigo","nível","obrigado","recomendar","minutar","msobidifontfamilytimes","noite","restrições","new","acompanhar","mil","leitura","bom","portugal","namelist","namelist","namelist","namelist","riscar","namelist","poder","surto","são","colheita","antónio","investigador","aqui","isolamento","presidente","finanças","equipar","confirmar","ajudar","dos","valor","portugal","mil","dos","especialista","especialista","rt","indicador","rt","média","nível","algarve","de","concelho","índice","tejo","incidência","riscar","vermelhar","feriado","silvar","incidência","vários","próximo","homólogo","descarregar","link","link","parar","versão","nosso"
"8","um","ler","um","que","bom","testar","noite","recluso","vacinar","freitas","leitura","infecção","abrir","leitura","noite","leitura","romano","empresa","seguinte","leitura","span","leitura","após","recomendar","noite","leitura","terminar","noite","noite","table","table","table","accent","geral","table","não","rt","mobilidade","roche","realizar","costa","antónio","da","positivar","rebelar","clube","secretário","baltazar","médicos","nunes","valor","mortalidade","transmissibilidade","letalidade","portugal","desconfinamento","tendência","transmissibilidade","caso","rt","abril","índice","valar","matriz","testar","desconfinamento","habitante","desconfinamento","negativar","semana","habitante","mil","concelho","ine","link","versão","recebao","de","pdf","isso"
"9","saber","pessoa","vírus","saber","testar","acompanhamento","sintoma","gatar","covid","milhões","noite","leitura","mil","noite","morte","seguinte","noite","noite","artigo","terminar","agradecer","mês","simón","praia","obrigar","artigo","agradecer","times","new","accent","accent","accent","table","qual","accent","cargo","rápidos","transmissibilidade","detecção","apresentar","espanha","dia","resultar","debater","ter","jesus","profissional","picar","instituto","fevereiro","jorge","baltazar","serviços","um","desconfinamento","linha","portugal","caso","tendência","transmissibilidade","continental","fase","índice","dia","dgs","intensivo","albufeirar","recuar","vila","portar","limitar","ministrar","da","divulgado","pdf","pdf","pdf","falar","daqui","saber"
"10","está","sintoma","refugiado","instituto","vírus","leitura","artigo","crianças","reinar","leitura","recuperar","artigo","recuperado","submeter","leitura","noite","mil","subir","página","morte","terminar","infecção","portar","isolamento","usar","morte","artigo","terminar","projecto","colorful","colorful","colorful","colorful","quintafeira","colorful","drones","necessidade","começa","resultado","sintoma","apresentar","portuguãªs","presidência","negativar","confinamento","jogador","quartafeira","jorge","vidar","nível","gripar","valor","mil","faixar","cuidador","taxar","ricardo","nacional","transmissibilidade","abril","nível","insa","aumentar","rt","caso","região","matriz","obrigatório","índice","incidência","governar","acima","de","frequência","através","frasco","estará","recurso","estará","vacina"
