"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","emergência","república","república","propor","república","república","república","marcelo","pcp","marcelo","república","discoteca","república","costa","república","psp","turismo","turismo","sector","trimestre","navio","ligar","olfactar","ar","estudar","gato","venezuela","assembleia","merkel","república","república","exército","melhor","que","que","que","que","que","que","que","que","muito","que","que","que","que","que","que","que","que","que","que","que","que","que","que","que","que","que","que","não","não","que","que","que","não","que","que","que","que","que","que","não","sobrar","que","que","que","que","que","trabalhador"
"2","república","da","parlamentar","parlamentar","parlamentar","assembleia","pan","república","marcelo","república","que","que","esquerdar","portugal","presidente","primeiroministro","marcelo","beber","face","mulher","passageiro","clube","esperar","máscaras","usar","anticorpo","comunidade","chefe","variante","estar","prever","lockedfalse","passo","emergência","não","se","planar","não","não","não","não","que","não","não","não","não","não","não","testar","não","não","não","não","não","não","não","ter","não","não","não","que","haver","não","não","não","que","não","não","não","não","não","não","que","não","não","usar","muito","freitas","freitas","federal"
"3","estar","parlamentar","da","república","propor","parlamentar","propor","sousa","governar","sousa","sousa","governar","governar","república","marcelo","parlamentar","rebelar","sector","paulo","procurar","cruzeiro","jogador","qualquer","imunidade","desaparecer","investigador","que","república","fonte","antónio","parceiro","wlsdexception","terreno","não","emergência","dizer","esse","sobrar","estar","ser","ter","não","freitas","antónio","dizer","tempo","vacinação","marta","não","muito","entrever","muito","se","enfermeiro","vacina","querer","não","um","um","querer","poder","que","riscar","costa","defender","voltar","marcelo","precisar","sobrar","bom","ter","medida","sousa","que","esse","imunidade","adulto","graça","haver","discoteca"
"4","declaração","rebelar","governar","sousa","deputado","da","parlamentar","comunicação","propor","líder","deputar","cultura","marcelo","entrado","jovem","ligar","sousa","polícia","consulta","abortar","ano","campeões","infectar","através","investigador","estudar","aula","francês","seu","xavier","reunião","priority","naturalmente","estar","defender","emergência","medida","esse","isso","se","ser","porque","dizer","costa","porque","há","ser","ter","têm","defender","temer","dizer","muito","capacidade","enfermeiro","dizer","dizer","dizer","ser","ser","acontecer","esperar","matriz","afirmar","se","presidente","eu","emergência","se","se","algum","ter","marcelo","serológicos","poder","afirmar","usar","usar","marcelo","testar"
"5","da","emergência","marcelo","psd","governar","sousa","presidente","eleições","deputado","rir","governar","primeiroministro","sousa","governar","sousa","parar","trabalhador","praia","deter","quebrar","amundsen","celtic","provocar","usar","ser","diagnóstico","estudar","economia","espanha","lobo","presidente","instalado","jornalista","deputar","ter","não","não","vacinação","esse","marta","se","nem","graça","ter","escola","dizer","ter","temer","vacina","precisar","freitas","isso","porque","vacina","fazer","todo","querer","muito","ter","lembrar","muito","muito","se","haver","riscar","antónio","marta","muito","afirmar","medida","poder","se","rebelar","imunidade","silvar","defender","possibilidade","máscara","graça","obrigatória"
"6","decretar","presidente","presidente","pcp","cds","presidente","deputado","rebelar","sousa","rebelar","líder","república","presidente","presidente","rebelar","final","liberdade","alcoólicas","cirurgia","ano","roald","madrid","jogador","um","sintoma","ou","semana","que","chanceler","conselheiro","santuário","bom","por","transportar","psd","governar","profissional","sns","sobrar","temer","importante","dizer","porque","um","há","perder","vacina","ministrar","processar","se","mas","ter","poder","se","eu","parar","voltar","vírus","muito","poder","saber","esse","indicador","se","haver","defender","temer","fazer","defender","questionar","medida","muito","esse","dosar","assembleia","um","defender","cenário","não","quartafeira"
"7","presidente","sousa","sousa","rebelar","emergência","abril","pcp","parlamentar","república","não","marcelo","actual","segundafeira","questionar","questionar","um","rita","policial","apoiar","restrições","ao","diabéticos","podar","vírus","também","sintoma","madurar","primeiroministro","rebelar","negativar","confinamento","portar","votação","sector","medida","pcp","vacinação","estar","temer","ministrar","defender","estar","instituições","se","ter","fazer","quem","ser","antónio","parar","dizer","fazer","ter","porque","nosso","voltar","se","melhor","dizer","ele","um","ainda","muito","defender","têm","se","rebelar","afirmar","muito","crianças","portuguãªs","primeiroministro","se","esse","terceirar","fim","não","obrigatoriedade","muito","partir"
"8","conselho","assembleia","propor","partido","assembleia","ferrar","governar","psd","psd","psd","rir","não","discoteca","portuguãªs","que","não","conselheiro","ramaphosa","profissional","acesso","viagem","desempregar","que","investigador","podar","que","pedir","executivo","galiza","reunião","estar","surto","jogar","declaração","estar","estar","propor","querer","se","podar","graça","se","só","esse","muito","ter","antónio","possível","porque","porque","fazer","querer","querer","conseguir","ter","nosso","um","ter","tudo","muito","haver","temer","querer","marcelo","médicos","rebelar","sousa","porque","ministrar","setembro","circular","vacinação","poder","muito","decisão","população","onde","assembleia","falar","empresa"
"9","parlamentar","marcelo","sobrar","assembleia","psd","deputado","assembleia","líder","parlamentar","parlamentar","não","fronteirar","rebelar","antónio","ajuntamento","férias","sector","obrigatório","março","sobretudo","realizado","espanhol","um","tipo","quem","ser","haverá","garro","que","conselho","marcelo","namelist","forças","ter","nosso","deputar","saúde","muito","formar","vacina","mas","entrever","surto","quem","costa","porque","dizer","vacinação","ser","processar","graça","esse","parar","querer","um","um","problema","superfícies","se","ter","tempo","crise","infarmed","presidente","avançar","marcelo","garantir","outro","temer","ter","se","invernar","muito","próximo","usar","mas","quem","ruir","um","de"
"10","governar","estar","deputar","marcelo","lei","recluso","sousa","da","rebelar","regime","rebelar","sousa","não","quarentenar","defender","por","por","psp","rebelar","quedar","companhia","lisboa","dar","alemanha","provar","sarscov","executivo","roland","economia","líder","negativar","desta","repetir","medida","nomeadamente","fundamental","semelhante","costa","quando","sobrar","ou","ser","se","fazer","podar","precisar","planar","fazer","saber","têm","saber","parar","pã´r","fazer","muito","explicar","confiança","mas","mas","quem","pandemia","próximo","critérios","rebelar","pensar","haver","situação","dizer","porque","isso","vacinação","importante","defender","professor","isso","república","fazer","defender","se","nocturno"
