"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","empresa","empresa","empresa","europeu","empresa","europeu","pagamento","euro","pedido","euro","euro","euro","milhões","vacina","europeu","europeu","milhões","europeu","europeu","europeu","empresa","trump","têm","atleta","economia","ligar","jogar","entregar","futebol","futebol","jogador","jogador","trimestre","em","euro","vacinado","euro","europeu","empresa","country","apoiar","taxa","jogo","ensinar","ensinar","ensinar","escola","ensinar","pai","ensinar","mulher","ensinar","crianças","ensinar","ensinar","ensinar","ensinar","ensinar","ensinar","odemira","odemira","freguesia","alto","ensinar","apoiar","área","metropolitano","metropolitano","governar","ministrar","emergência","confinamento","confinamento","falhar","certificar","lista","chinar","fazer","britânico","testar"
"2","apoiar","apoiar","euro","euro","europeu","empresa","euro","empresa","euro","economia","europeu","milhões","ocde","milhões","rendimento","milhões","euro","crise","euro","pib","restauração","empresa","janeiro","redar","seu","transportar","ligar","rápidos","clube","selecção","gondomar","adiamento","pib","economia","de","ter","crise","união","euro","matt","lisboa","de","tóquio","escola","escola","escola","crianças","aluno","apoiar","aluno","tempo","aluno","ensinar","superior","docente","escola","presencial","aluno","escola","condições","freguesia","trabalhador","bairro","apoiar","centro","metropolitano","área","silvar","metropolitano","psp","medida","visitante","cidade","certificar","frança","francãªs","essencial","speranza","unir","certificar"
"3","pagamento","pagamento","layoff","trabalhador","economia","euro","notícia","milhões","apoiar","crise","propor","crise","onu","europeu","milhões","euro","europeu","milhões","milhões","euro","associação","apoiar","mil","emergência","berlusconi","clube","sporting","anticorpo","ligar","técnica","clube","pública","terceirar","que","março","setembro","gnr","trabalhador","apoiar","variante","motorista","médicos","frio","presencial","lectivo","presencial","aula","escola","teletrabalho","apoiar","digital","escola","escola","docente","ciclo","ciclo","escola","escola","aluno","trabalhador","sanitária","testar","empresa","de","mental","circulação","aml","aml","ministrar","governar","confinamento","polícia","sanitário","queimódromo","digital","afp","decidir","tratamento","bori","digital"
"4","trabalhador","euro","milhões","apoiar","euro","trabalhador","completar","europeu","empresa","financeiro","milhões","ajudar","económica","desenvolvimento","vacina","medicamento","crise","conselho","recuperação","economia","euro","costa","consulta","espanhol","empresa","desportivo","futebol","cidadão","jogo","fpf","ligar","jogo","recuar","recuperação","mil","superior","trabalhador","fome","europeu","semana","estatuto","longo","escola","confinamento","educação","aluno","ensinar","aula","ensinar","presencial","trabalhador","presencial","docente","aula","aluno","presencial","aula","superior","professor","direito","teotónio","odemira","maria","superior","pagar","ministrar","vieira","área","área","fiscalização","ministro","museu","francãªs","impor","quintar","agências","unicef","ministrar","reinar","negativar"
"5","milhões","europeu","europeu","empresa","crise","económica","empresa","apoiar","europeu","pagar","comissão","economia","euro","euro","euro","economia","impactar","euro","europa","apoiar","mil","desempregar","combater","bolt","precisar","comercial","campanha","utilização","público","ligar","futebol","rita","crescer","consulta","reagir","obrigado","programar","ecdc","água","nível","retomar","divulgar","japonês","estabelecimento","encerramento","lectivo","aluno","distância","trabalhar","escola","ensinar","sector","testagem","professor","escola","aula","estudante","presencial","funcionários","concelho","trabalhador","teotónio","de","pagar","bairro","silvar","ministrar","deslocações","vigor","ministro","públicas","cidade","obrigatório","sanitário","obrigar","oficialmente","norte","chinar","johnson","português"
"6","sector","famílias","crise","layoff","layoff","recuperação","crise","crise","crise","apoiar","fundar","parar","crise","vacinar","ano","recuperação","perder","ue","união","empresa","trabalhar","economia","actividade","seu","económica","futebol","vicente","poderá","jogar","equipar","com","onde","mãªs","cirurgia","seu","poderá","estudar","euro","escrever","centena","euro","social","king","aula","aula","educação","distância","computador","filho","famílias","crianças","professor","aula","regressar","préescolar","creche","aluno","aula","educação","alojamento","concelho","segurança","cim","longo","ensinar","medido","fimdesemana","limitação","combater","âmbito","nhs","sanitário","estabelecimento","centena","usar","unir","lista","quarentenar","vacina","aeroporto"
"7","euro","crédito","apoiar","eurogrupo","trabalhador","economia","economia","mário","financeiro","empresa","mil","crédito","redução","parar","comissão","comprar","mil","propor","conselho","santo","agostar","democrata","primeiro","têm","lá","produto","gil","estudar","querer","jogador","selecção","já","anterior","média","negócios","crise","de","apoiar","ler","severo","cultural","quando","próximas","aluno","escolar","distância","educação","apoiar","distância","empresa","parar","apoiar","presencial","préescolar","autotestes","aluno","docente","testagem","que","zmar","cercar","contrato","consumar","bairro","dólares","lisboa","silvar","vigor","ministro","decisão","pública","manifestante","impor","portar","governador","pandemia","lançamento","células","poder","portugal"
"8","medida","trabalhador","trabalhador","economia","económica","sector","layoff","despesa","banco","parar","recuperação","mil","considerar","comissão","ue","de","alimentar","bruxelas","acordar","mortalidade","pã´r","trabalhar","euro","presidente","lay","milhões","clube","testar","autoridade","estádio","isolamento","de","internar","trimestre","média","quebrar","parque","restauração","lisboa","mudança","social","ecdc","oito","aberto","presencial","aula","actividade","famílias","famílias","euro","aluno","crianças","professor","testagem","farmácias","docente","online","docente","lar","que","longueiraalmograve","trabalhar","sobretudo","anticorpo","social","vieira","mariano","andré","aml","dentro","decisão","galar","públicos","semana","hong","açores","europeu","malária","ministrar","resultar"
"9","das","milhões","economia","milhões","empresar","fundar","europeu","centeno","bloco","crédito","orçamento","recuperação","alimentar","ue","ensaio","jogar","económica","economia","crise","infarmed","renda","excepção","global","sánchez","situação","chave","jornada","universidade","encontrar","contacto","marcar","transmitir","quedar","privado","primeiroministro","presença","homem","ler","empresários","aplicação","aplicação","quatro","emergência","cultura","interrupção","actividade","famílias","filho","família","prr","praia","aula","ciclo","escola","testar","regressar","superior","professor","docente","freguesia","requisição","sns","lisboa","zmar","de","aml","lisboa","ponto","medido","através","governar","sul","apesar","capital","kong","ocorrer","serviços","acrescentar","parar","europeu"
"10","mil","banco","notícia","finanças","milhões","milhões","trabalhador","financeiro","um","orçamento","layoff","económica","cirurgia","farmacêutica","dois","primeiro","previsões","ano","ue","apoio","inquirido","primeiroministro","objectivar","comité","que","procurar","nevado","correar","passageiro","formação","ferreiro","trocar","maior","face","recuperação","enquanto","perder","sector","frente","santuário","câmara","motorista","publicar","cultural","estabelecimento","suspensão","filho","que","aluno","trabalhador","máscaras","rápidos","creche","funcionários","estabelecimento","distância","serão","regressar","utente","ministrar","imigrante","necessidade","coimbra","mãªs","alto","cabo","sair","ministrar","presidência","dia","conselho","austrália","cinema","obrigatório","manifestante","bar","parar","dever","governar","suíça"
