"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","primeiro","bolsonaro","utente","lar","utente","lar","testar","sangue","lar","testar","testar","testar","testar","regional","utente","lar","lar","lar","utente","miguel","lar","madeirar","morar","fonte","utente","concelho","utente","utente","surtir","utente","utente","um","utente","utente","utente","utente","utente","utente","utente","utente","utente","utente","utente","utente","utente","utente","utente","lar","lar","peixe","açores","madeirar","regional","regional","turquia","regional","regional","madeirar","miguel","madeirar","madeirar","regional","regional","regional","regional","regional","madeirar","isolamento","isolamento","região","regional","local","regional","caso","caso","açores","madeirar","caso","local","lisboa"
"2","hospital","brasileiro","positivar","testar","lar","testar","lar","transplantação","utente","prisional","utente","madeirar","realizado","testar","positivo","utente","monsaraz","surtir","lar","açores","caso","unidade","testar","surtir","caso","utente","lar","positivar","hospital","testar","de","que","lar","lar","de","ilhar","surtir","lar","lar","lar","lar","madeirar","funcionários","lar","surtir","surtir","funcionários","utente","utente","rabo","miguel","regional","madeirar","madeirar","ilhar","madeirar","açores","regional","madeirar","regional","regional","madeirar","madeirar","açores","local","açores","açores","profiláctico","madeirar","caso","região","madeirar","caso","regional","madeirar","chinar","chinar","ilhar","caso","centrar"
"3","testar","concelho","lar","utente","testar","utente","lisboa","maria","testar","recluso","lar","resultar","creche","autarquia","lar","luso","reguengo","reguengo","madeirar","ilhar","positivo","caso","évora","madeirar","positivo","de","positivar","concelho","madeirar","lar","lar","utente","de","surtir","funcionários","recluso","caso","funcionários","funcionários","funcionários","funcionários","regional","lar","surtir","lar","instituição","lar","madeirar","concelho","açores","regional","açores","açores","região","região","região","miguel","residente","açores","açores","positivo","caso","direcção","madeirar","caso","madeirar","regional","madeirar","caso","regional","madeirar","chinar","local","madeirar","regional","caso","região","últimas","chinar","vacinação"
"4","ministrar","positivar","câmara","santo","infectado","funcionários","ilhar","ensaio","idoso","utente","positivar","testado","regional","utente","testar","évora","testar","monsaraz","surtir","positivo","utente","positivo","positivo","internado","activo","caso","évora","positivo","utente","instituição","surtir","de","idoso","infectado","surtir","lar","lar","ilhar","surtir","surtir","santo","miguel","surtir","funcionários","funcionários","lar","concelho","testar","idoso","miguel","madeirar","lar","arquipélago","açores","hospital","ilhar","madeirar","região","regional","região","internado","açores","arquipélago","região","chinar","local","activo","ensinar","autoridade","madeirar","transmissão","regional","região","chinar","chinar","regional","hora","hora","fujian","centro"
"5","coronavírus","brasil","concelho","hospital","hospital","profissional","testado","instituto","centrar","lar","pequeno","acompanhante","saúde","câmara","monsaraz","surtir","utente","positivo","activo","caso","madeirar","aeroporto","surtir","luso","lar","positivo","luso","lar","profissional","de","funcionários","positivar","dois","idoso","lar","positivo","infectado","infectado","misericórdia","infectado","caso","santo","santo","infectado","idoso","infectado","positivo","regional","arquipélago","caso","positivo","arquipélago","são","arquipélago","transmissão","arquipélago","concelho","prioritários","são","arquipélago","doente","dr","caso","caso","província","registar","miguel","local","regional","activo","local","caso","registar","local","importado","últimas","regional","chinar","regional","enfermeiro"
"6","brasileiro","câmara","homem","centrar","misericórdia","câmara","miguel","responsável","matosinhos","fonte","autoridade","transmissão","câmara","positivo","reguengo","positivo","positivar","utente","unidade","mourar","autoridade","iasaúde","câmara","utente","são","funcionários","funcionários","hospital","ulsba","idoso","instituição","testar","surtir","instituição","infectado","prisional","instituição","testar","infectado","luso","positivar","funcionários","misericórdia","concelho","concelho","funcionários","isolamento","positivo","regional","positivo","peixe","miguel","miguel","ilhar","unidade","situações","região","local","santo","são","santo","são","dr","positivo","registar","chinar","arquipélago","escola","açores","dr","sul","província","arquipélago","surtir","transmissão","positivo","caso","regional","açores","fil"
"7","santo","lar","testar","funcionários","santo","de","regional","escoval","vão","positivar","concelho","positivar","gabinete","municipal","realizado","monsaraz","surtir","positivar","monsaraz","testar","luso","testar","madeirar","positivo","região","município","de","caso","caso","misericórdia","testar","dos","luso","funcionários","testar","caso","luso","instituição","santo","instituição","infectado","lar","regional","idoso","instituição","açores","regional","surtir","madeirar","regional","rabo","direcção","activo","miguel","são","miguel","ilhar","transmissão","ilhar","miguel","realizado","arquipélago","transmissão","dr","detectar","caso","surto","primeiroministro","contactar","arquipélago","alto","indicar","madeirar","últimas","arquipélago","local","local","boletim","diagnosticado","regional"
"8","da","presidente","vila","infectado","unidade","idoso","cruzeiro","plasmar","hospital","centrar","madeirar","tomé","doente","concelho","surtir","reguengo","município","activo","reguengo","concelho","iasaúde","activo","luso","concelho","madeirar","luso","concelho","isolamento","beja","santo","dois","lar","hospital","caso","distrito","funcionários","misericórdia","miguel","positivo","positivo","município","misericórdia","distrito","miguel","infectado","positivo","caso","misericórdia","cincar","concelho","concelho","díli","direcção","dr","pontar","unidade","são","arquipélago","região","direcção","arquipélago","activo","açores","arquipélago","activo","viajante","região","regional","primeiroministro","local","chinar","região","indicar","anunciar","açores","hora","activo","infectado","miguel","madeirar"
"9","paulo","funcionários","santo","misericórdia","câmara","concelho","idoso","envolver","instituição","instituição","idoso","covid","madeirar","casar","instituição","infectado","câmara","funcionários","iasaúde","surtir","positivar","internamento","freguesia","testar","administração","testar","infectado","funcionários","assistente","luso","fonte","ir","funcionários","misericórdia","caso","infectado","funcionários","ensinar","instituição","quatro","surtir","transmissão","madeirar","distrito","vila","santo","instituição","isolamento","positivo","saúde","instituição","da","concelho","autoridade","de","saúde","alto","direcção","terceirar","dr","miguel","miguel","doente","miguel","autoridade","miguel","registar","autoridade","região","sul","açores","positivo","macau","contágio","autoridade","arquipélago","últimas","região","sudeste","assegurar"
"10","são","mulher","funcionários","idoso","açores","testado","açores","ipst","doente","negativo","centro","saúde","necessidade","isolamento","positivar","internado","évora","caso","doente","residente","região","lar","vila","infectado","funcionários","lar","testar","casar","infectado","positivar","luso","hospital","fonte","com","santo","trabalhador","positivo","surtir","concelho","testar","madeirar","positivo","instituição","santo","câmara","misericórdia","câmara","provedor","indicar","madeirar","sanitária","dr","saúde","utente","madeirar","dr","transmissão","ilha","albuquerque","realizado","activar","novo","confirmado","direcção","indicar","ilhar","hospital","domingo","activo","surto","caso","últimas","surtir","restante","registar","comissão","infectado","activo","província","utente"
