"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","países","países","países","trump","trump","trump","trump","trump","trump","oms","oms","medicamentar","brasileiro","medicamentar","trump","vacinar","oms","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","trump","um","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","dosar","vacinar","astrazeneca","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","vacinar","europeu","vacina","europeu","europeu","europeu","vacina","vacinar","vacinar","oms","vacina","dosar","dosar","dosar","dosar","dosar","vacina","vacinar","vacina","moderno"
"2","fronteira","fronteira","trump","países","oms","oms","donald","oms","branco","unido","organização","unido","organização","oms","estado","medicamentar","bolsonaro","fase","trump","bolsonaro","oms","dosar","vacina","vacina","oms","ensaio","dosar","unido","trump","donald","trump","um","vacina","que","vacina","dosar","vacina","dosar","vacina","dosar","dosar","dosar","dosar","vacina","vacina","dosar","dosar","dosar","vacina","dosar","vacinar","dosar","vacinar","astrazeneca","dosar","astrazeneca","johnson","europeu","dosar","dosar","europeu","ue","vacinar","crianças","vacina","vacina","vacinar","vacina","vacina","vacina","ema","vacina","vacina","oms","países","vacina","dosar","dosar","oms","mãªs"
"3","europeu","oms","estado","mundial","estado","unido","oms","iorque","donald","trump","trump","trump","oms","tratamento","unido","estado","trump","unido","vacina","presidente","unido","fase","contra","contra","vacina","astrazeneca","trump","milhões","milhões","branco","vacinar","testar","contra","vacina","contra","vacina","dosar","vacina","dosar","pfizer","vacina","milhões","vacina","dosar","dosar","vacina","vacina","vacina","dosar","vacina","vacina","vacina","da","europeu","astrazeneca","dosar","dosar","dosar","vacina","vacina","vacina","dosar","europeu","vacinar","dosar","países","europeu","dosar","terceirar","vacinar","oms","pfizer","contra","vacina","terceirar","vacinar","moderno","vacina","dosar","vacinar"
"4","país","mundial","donald","johnson","donald","donald","estado","chinar","presidente","organização","mundial","estado","brasil","organização","oms","máscaras","mundial","vacina","dosar","tratamento","milhões","vacina","dosar","fase","fase","vacina","vacina","vacina","contra","presidente","contra","contra","estado","ser","milhões","milhões","eficácia","vacinação","contra","contra","contra","contra","europeu","contra","vacinado","astrazeneca","europeu","astrazeneca","europeu","contra","johnson","europeu","dosar","dosar","johnson","europeu","europeu","johnson","astrazeneca","patente","astrazeneca","vacina","dosar","adolescente","vacinar","vacinar","eficácia","johnson","dosar","dosar","estado","astrazeneca","europeu","países","oms","reforço","vacinar","reforço","países","ano"
"5","estado","país","unido","unido","norteamericano","norteamericano","unido","organização","funcionários","mundial","unido","organização","mundial","resultado","organização","oms","organização","que","bolsonaro","testar","estado","milhões","fase","desenvolver","organização","dosar","contra","dosar","clínicos","vacinar","casar","que","testar","desenvolver","dosar","contra","vacinação","contra","vacinação","vacina","pfizer","vacina","moderno","vacinação","vacinação","europeu","astrazeneca","contra","johnson","vacinação","da","astrazeneca","europeu","da","vacina","vacina","astrazeneca","ema","europeu","contra","dosar","vacinar","astrazeneca","vacina","países","estado","desenvolver","da","pfizer","pfizer","doenças","terceirar","moderno","medicamento","vacina","estado","lotar","países","medicamentar","reforço"
"6","coronavírus","estado","país","organização","governador","estado","chinar","que","oms","estado","estado","oms","vacinar","mundial","donald","tornar","clínicos","mundial","contra","dizer","aplicação","contra","europeu","clínicos","unido","clínicos","milhões","johnson","unido","walter","participante","fase","fase","testar","que","pfizer","contra","pfizer","pfizer","moderno","ema","pfizerbiontech","da","desenvolver","contra","contra","eficácia","ue","astrazeneca","europeu","contra","contra","ema","vacina","da","milhões","vacina","da","johnson","europeu","ue","contra","moderno","países","contra","ue","cubar","países","eficácia","organização","regulador","europeu","reforço","mundial","reforço","unido","milhões","moderno","pfizer","contra"
"7","estrangeiro","unido","norteamericano","estado","organização","eua","imprensar","vírus","vacinar","donald","chinar","donald","estudar","usar","presidente","que","vacinar","coronavírus","estudar","dosar","desenvolver","eficaz","oms","dosar","ensaio","estado","unido","contra","donald","equipar","fase","desenvolver","empresar","contra","pfizer","ensaio","europeu","moderno","receber","agência","pfizerbiontech","pfizer","contra","receber","bombeiro","ue","contra","oxford","milhões","astrazeneca","astrazeneca","agência","coágulos","países","milhões","ema","da","astrazeneca","milhões","milhões","união","milhões","johnson","dosar","milhões","unido","conhecer","ue","contra","estudo","vacinar","anticorpo","países","paciente","áfrica","administrado","contra","contra","crianças","quedar"
"8","controlar","europa","johnson","bori","unido","conferência","mundial","donald","chinar","chinar","ensaio","tratamento","unido","hidroxicloroquina","estudar","mundial","vírus","investigador","desenvolver","moderno","farmacêutica","ensaio","milhões","ensaio","eficácia","farmacêutica","oms","euro","empresar","oxigénio","que","estudar","um","ensaio","desenvolver","europeu","pfizer","milhões","milhões","vacinação","milhões","europeu","pfizer","milhões","milhões","pfizer","primeiro","desenvolver","contra","da","europeu","lotar","agência","ema","receber","da","coágulos","coágulos","empresar","levantamento","patente","astrazeneca","contra","união","estado","parar","cubano","europeu","receber","terceirar","da","vacinar","vacinar","organização","vacinar","países","unido","mundial","africano","menos"
"9","dizer","controlar","oms","britânico","twitter","organização","organização","estado","organização","países","medicamentar","hidroxicloroquina","chinar","paciente","investigação","resultado","máscaras","desenvolver","brasileiro","vacina","que","russo","vacinação","experimental","clínicos","contra","ensaio","empresar","estado","reed","unido","vacina","dizer","oxford","eficácia","eficácia","moderno","reinar","clínicos","da","da","aprovado","ema","astrazeneca","desenvolver","vacinação","ensaio","grupar","da","milhões","receber","ema","contra","união","países","contra","agência","agência","ue","astrazeneca","milhões","johnson","da","jovem","mundial","cimeiro","contra","moderno","países","países","unido","da","da","milhões","eua","contra","oms","empresar","parar","seu"
"10","cidadãos","estrangeiro","tedros","oms","mundial","mundial","norteamericano","unido","coronavírus","medicamentar","violência","americano","um","dexametasona","doente","contra","brasileiro","organização","milhões","com","rússia","segurar","potencial","europeu","contra","fase","desenvolver","ensaio","oms","que","testar","ensaio","ensaio","astrazeneca","europeu","desenvolver","milhões","ensaio","autorização","europeu","vacinação","farmacêutica","regulador","oxford","pelar","farmacêutica","da","milhões","primeiro","pfizer","milhões","da","suspender","ue","europeu","vacinação","milhões","vacina","pfizer","países","contratar","pfizer","agência","aprovar","união","dosar","dosar","desenvolvimento","áfrica","contra","clínicos","milhões","reconhecimento","pouco","contra","moderno","receber","pobre","comprar","dizer"
