"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"1","que","que","que","que","que","que","costa","que","primeiroministro","não","que","não","que","que","não","não","que","que","que","que","que","que","evento","dgs","avante","que","que","que","que","que","que","freitas","directorageral","graça","freitas","ruir","freitas","estado","trump","estado","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","variante","reinar","brasil","quarentenar","frança","países","europeu","turismo","viagem","lista","portugal","certificar","certificar","certificar","portugal","países","tóquio","jogo","jogo","vítimas","confinamento","confinamento","variante","delta","capital","combater"
"2","não","não","não","não","não","não","que","primeiroministro","que","costa","se","que","não","não","que","porque","costa","não","não","riscar","riscar","não","que","não","que","não","não","freitas","freitas","não","não","que","freitas","freitas","graça","mas","cliente","unido","giuliani","mulher","reinar","reinar","unir","reinar","unir","reinar","reinar","áfrica","unir","reinar","reinar","reinar","reinar","unir","reinar","unir","piotr","viagem","países","viagem","unir","viagem","países","britânico","certificar","digital","europeu","julho","certificar","português","atleta","tóquio","pobre","tóquio","ardern","zelândia","austrália","caso","australiano","ministro"
"3","dizer","costa","isso","medida","costa","costa","medida","não","costa","podar","praia","se","freitas","loja","regra","afirmar","não","um","vírus","não","dizer","garantir","não","que","dgs","sobrar","graça","não","graça","freitas","graça","bancada","graça","parar","directorageral","algum","graça","anthony","paliativo","trump","unir","unir","reinar","unir","reinar","unir","unir","unir","reinar","unir","unir","unir","um","voo","unir","viagem","unir","índia","viagem","lista","viagem","reinar","frança","decisão","ver","certificado","chanceler","europeu","países","tóquio","jogo","olímpicos","olímpicos","quarentenar","zelândia","novo","confinamento","surtir","austrália","turismo"
"4","estar","antónio","precisar","ter","se","regra","não","dizer","antónio","que","costa","graça","graça","máscara","muito","usar","ter","ter","muito","transportar","ter","regra","desportivo","graça","festa","esse","freitas","graça","directorageral","graça","freitas","graça","apontar","directorageral","que","grupo","que","cnn","advogar","norteamericanos","britânico","estirpe","testar","estirpe","passageiro","máscaras","países","países","países","detectado","estudar","britânico","unir","reinar","frança","países","frança","dizer","verão","quarentenar","vacinado","voo","lista","portugal","negativar","testar","digital","quarentenar","viagem","timorleste","ue","países","tóquio","campanha","sydney","sydney","delta","sydney","macau","países"
"5","medida","primeiroministro","medida","afirmar","medida","ter","dizer","costa","não","mas","mas","freitas","riscar","esse","ter","públicos","muito","ser","podar","norma","não","dgs","isso","regra","evento","freitas","directorageral","ter","muito","directorageral","se","ligar","correr","da","grande","ligar","durante","freitas","pedir","formar","voo","sul","identificado","vírus","europeu","países","vírus","reinar","detectado","vírus","sul","inglaterra","vermelhar","viagem","países","isolamento","voo","voo","europeu","unir","reinar","digital","certificar","viagem","viagem","negativar","testar","digital","tóquio","jogo","positivar","decorrer","de","vagar","novo","ardern","restrições","variante","população","ano"
"6","poder","se","ter","banca","mas","se","retomar","ser","trabalhar","afirmar","antónio","estudo","distanciamento","comercial","esse","máscara","freitas","problema","sobrar","dizer","diferente","entidade","riscar","actividade","sobrar","se","ter","haver","não","afirmar","saber","directorageral","bancada","provar","passar","isto","grupo","biden","sã³","eua","sul","detectado","sul","países","portugal","sul","alemanha","sul","estirpe","sul","detectado","sul","quarentenar","verão","vagar","frança","restrições","unir","viajante","reinar","evitar","verão","julho","turismo","testar","ver","negativar","portugal","europeu","atleta","residente","capital","quarentenar","durante","auckland","australiano","surtir","biden","certificado","acção"
"7","um","um","costa","costa","possível","nosso","primeiroministro","mas","dizer","dizer","não","comercial","mas","podar","questão","transportar","graça","tempo","dizer","se","se","máscaras","escola","freitas","graça","graça","sobrar","sobrar","dizer","isso","ser","jogar","bem","similar","psp","freitas","acção","máscara","norteamericanos","reconhecer","novo","chegar","passageiro","detectado","vírus","voo","nova","vírus","vírus","países","áfrica","passageiro","lista","nova","restrições","jogo","verão","lista","viajar","internacional","países","vacinado","ue","britânicos","unir","viagem","turista","viagem","digital","espanha","países","entregar","países","calamidade","emergência","austrália","novo","medida","confinamento","omt"
"8","se","ter","se","estar","dizer","dizer","antónio","fase","retomar","ter","saber","mas","deixar","ter","porque","regra","máscara","sobrar","mas","ter","norma","evento","tomar","futebol","freitas","rodrigar","correr","se","gripar","se","isso","não","futebol","dar","próximas","graça","muito","fauci","meu","pfizerbiontech","estirpe","viajante","áfrica","sul","fronteira","nova","usar","merkel","sarscov","áfrica","coronavírus","realizar","voo","países","nova","vão","completar","frança","áfrica","decisão","turismo","regressar","viajante","reinar","reinar","passageiro","viagem","provar","espanha","europeu","olímpicos","japão","imunizar","estrangeiro","primeiraministra","auckland","caso","zelândia","sul","alemanha"
"9","todo","dizer","mas","levantar","haver","medida","maio","nós","precisar","se","parar","riscar","regra","voltar","querer","que","antónio","muito","admitir","voltar","dgs","conjuntar","parar","norma","parecer","regra","estar","fase","se","porque","marta","estádio","presença","agente","testar","portar","farmacêuticos","viajar","festa","vicepresidente","áfrica","detectar","inglaterra","testar","voo","fronteira","fronteira","sarscov","sul","passageiro","identificado","contagioso","francês","restrições","negativar","britânico","em","reinar","quarentenar","destino","voar","jogo","cidadãos","unir","terrestre","portugal","britânicos","negativar","negativar","olímpica","quarentenar","ue","japão","impedir","jogo","delta","país","maior","taxar","estado"
"10","mas","mas","porque","se","primeiroministro","primeiroministro","fase","regra","possível","directorageral","primeiroministro","existir","esse","reabertura","precisar","passageiro","um","invernar","medida","diferente","relação","riscar","organização","crianças","direcçãogeral","ter","haver","directorageral","vacinação","parque","partir","ryan","dgs","que","não","durante","há","joe","equipa","carlos","frança","identificado","negativar","sarscov","detectado","entrado","checar","nova","restrições","mutação","um","um","ser","áfrica","macron","quarentenar","quarentenar","viajante","reinar","turismo","cidadãos","unir","junho","retirar","digital","entrado","angela","alemanha","ue","quarentenar","lista","europeu","estar","que","japão","surtir","zelândia","restrições","habitante","euro"
"11","isso","defender","estar","haver","gradual","muito","fim","coisa","regra","trabalhar","muito","ou","apelar","dizer","usar","segurança","porque","podar","ainda","saber","fazer","tomar","ano","parar","pcp","primeiroministro","dizer","ar","ter","apesar","um","sentir","espectáculos","zonar","estudante","das","religioso","que","mundo","tão","países","novo","britânico","áfrica","viagem","quarentenar","máscaras","restrições","encontrado","estirpe","resultado","vírus","restrições","dizer","emmanuel","pcr","reinar","países","sul","viajar","distanciamento","testar","sanitário","ver","lista","ministério","alemã","ue","quarentenar","estrangeiro","europeu","grécia","durante","país","caso","variante","recordar","austrália","imprensar","internacional"
"12","costa","ser","ser","precisar","levantar","podar","reabertura","segurança","ter","primeiroministro","desconfinamento","loja","se","se","se","esquerdar","isso","mas","confinamento","mas","ou","serviços","oms","evento","não","crianças","muito","acontecer","afirmar","dizer","sobrar","braga","capacidade","ligar","mas","ter","realizar","trump","familiar","tomar","passageiro","coronavírus","vírus","identificado","estirpe","estirpe","coronavírus","coronavírus","mutação","estudar","testar","identificado","países","sul","áfrica","testar","merkel","grécia","restrições","maio","parar","parar","vigor","quarentenar","turismo","assegurar","merkel","lista","alemanha","negócios","parar","cidadãos","dever","enviar","variante","primeiraministra","galar","galar","coreia","mundial"
"13","primeiroministro","haver","antónio","ser","antónio","antónio","ser","visitar","creche","retomar","podar","directorageral","máscara","cliente","ajuntamento","muito","sempre","porque","afirmar","ou","ser","escola","usar","sobrar","directorageral","situações","regra","muito","precisar","querer","questão","espectador","equipa","estudante","refeições","horar","graças","um","covid","preparar","inglaterra","francês","entrado","passageiro","nova","britânico","medido","alemanha","não","estudo","novo","brasil","britânico","aumentar","ou","maio","novavax","hotel","índia","índia","decisão","britânicos","verão","turista","espanha","pcr","união","entrar","decisão","união","resultar","parar","quartafeira","alertar","medida","cidade","auckland","ardern","ocde","milhões"
"14","considerar","considerar","páscoa","pensar","isso","retomar","regressar","trabalhar","muito","graça","regra","cinema","esplanada","descartáveis","nosso","normal","nem","graça","máscara","isso","ainda","condições","dgs","realização","se","fazer","importante","ou","fase","está","mas","recinto","autorizado","equipamento","parar","pessoa","não","ir","médica","falhar","suspender","proveniente","sarscov","propagação","viajante","alemanha","um","embora","voo","brasil","investigação","estudar","digital","estrangeirar","quarentenar","governar","dizer","hóspedes","brasil","britânico","regressar","turista","circulação","mutação","ministrar","europeu","pcr","internacional","olímpicos","ue","viajante","atleta","infecções","estar","jacinda","imprensar","índia","confinamento","ficar","medido"
"15","nosso","porque","dizer","mas","ter","esse","problema","desconfinamento","segurança","ser","lotação","metro","situações","usar","graça","social","existir","isso","internacional","afirmar","conter","decisões","proibição","riscar","fazer","directorageral","tudo","escola","falar","ou","fase","público","clube","equipa","apelar","faculdade","mas","acção","realizar","revelar","ligações","vírus","países","japão","atleta","viajante","britânico","sulafricana","estudar","amostra","três","johnson","jornal","páscoa","sul","restrições","ou","primeiroministro","maio","cartões","australiano","lista","japão","nosso","decisão","regressar","internacional","viajar","santo","viagem","viagem","quarentenar","num","seu","registar","maior","sul","imprensar","chegar","preparar"
"16","defender","garantir","líder","primeiroministro","ainda","reabertura","segurança","retomar","desconfinamento","ainda","querer","outro","controlar","considerar","cumprir","condições","dizer","nosso","distanciamento","graça","muito","muito","garantir","se","muito","isso","evento","dgs","ou","muito","temer","organização","ligar","desportivo","grupo","nem","votar","lá","unido","unido","detectado","britânico","propagação","coronavírus","países","ffp","novo","um","coronavírus","testar","vagar","brasileiro","transportar","coronavírus","voo","entanto","poderão","britânico","espanha","europeu","vermelhar","essencial","parar","transportar","viajar","viajar","portugal","turismo","julho","mesmo","testar","timorleste","alto","emergência","prolongar","de","registar","dizer","vigor","cabo"
"17","podar","precisar","poder","dizer","poder","formar","ter","isso","graça","reconhecer","loja","podar","explicar","porque","freitas","podar","explicar","ainda","se","contacto","jovem","têm","disso","modalidade","crianças","especialista","passageiro","afirmar","porque","sentir","afastar","presença","bilhete","medida","igreja","regressar","viajar","graças","não","porque","governar","londres","irlanda","cubar","sul","vírus","irlanda","forma","inglaterra","um","mutação","voo","confinamento","viajar","fechado","nova","férias","maio","fronteira","autorizado","atleta","importante","passar","viajar","quem","sistema","lista","união","secretário","olímpico","frança","atingir","área","familiar","sul","capital","aumentar","país","atender","multar"
"18","portuguãªs","medida","haver","reabertura","ser","isso","desconfinamento","graça","podar","lembrar","garantir","voltar","lembrar","circulação","podar","laboral","regra","defender","convenção","freitas","crianças","direcçãogeral","possível","massa","ter","saber","santuário","situações","todo","estar","tempo","impor","wlsdexception","nenhum","em","vir","americano","equipar","eua","manuel","viagem","contagioso","novo","britânico","testar","sarscov","frança","investigador","áfrica","sarscov","fármacos","levantamento","terão","antar","lista","campanha","elevado","vários","passageiro","australiano","prevenção","certificar","testar","âmbar","documentar","território","ter","vigor","vigor","portugal","aldear","viajante","familiar","resolução","país","número","um","cidade","chamada","perda"
"19","ter","todo","recluso","irão","porque","capacidade","espaços","social","fazer","creche","surto","distanciamento","directorageral","actividade","considerar","mas","ser","período","usar","comportamento","importante","dizer","prática","condições","saúde","perceber","distanciamento","quantum","causa","vez","ou","afirmar","cidadãos","não","mil","há","algum","director","york","pã©ni","vários","que","coronavírus","detectar","cabo","áfrica","manter","confinamento","testar","afectar","brasileiro","preocupante","encontrado","um","testar","variante","destinar","comer","negativar","regressar","relacionado","passageiro","digital","governar","britânicos","completar","chegado","português","estrangeiro","internacional","aeroporto","afirmar","recorrer","vietname","surtir","jacinda","alfar","agora","conteúdos","impor"
"20","antónio","problema","primeiroministro","isso","defender","ser","restaurante","respeitar","isso","freitas","existir","anticorpo","voltar","graça","parar","cumprir","se","evitar","trabalhador","adiar","caminhar","das","escolar","isso","porque","escola","acontecer","diferente","saber","fase","muito","um","ser","portar","fazer","psp","dia","contra","twitter","tardar","johnson","áfrica","proibir","insa","insa","jogo","sul","estirpe","brasil","cidade","em","novavax","hotéis","capaz","inglaterra","itália","confiante","terão","digital","ver","mínimo","olímpicos","reinar","estrangeiro","augusto","ministrar","criticar","países","entrado","roménia","casar","emergência","tedros","parar","apenas","conferência","infecções","novo","reciprocidade","propor"
"21","muito","isso","podar","andré","restrições","afirmar","mas","todo","fase","muito","trabalhar","centro","nomeadamente","ou","riscar","acontecer","transmissão","saber","algo","haver","porque","falar","crianças","jovem","rir","podar","andar","tratar","coisa","podar","comer","se","será","resumir","informação","pouco","tribunal","dos","biden","referir","transportar","descoberto","mutação","novo","sarscov","país","viajar","comer","quarentenar","transmissão","estão","especialista","cientista","negativar","viagem","verão","mudar","vermelhar","islândia","imunidade","essencial","português","vão","regressar","vigor","lista","ue","turista","japão","lista","grécia","afectado","cuomo","quartafeira","austrália","infecções","levar","sul","revacinar","pagar"
"22","mais","acrescentar","defender","antónio","esse","distanciamento","abrir","voltar","nós","parar","ginásios","ser","muito","deixar","um","dentro","fazer","onda","quem","ligar","isso","defender","sistema","muito","regra","muito","mas","parecer","estar","nem","qualquer","está","contágio","vietname","marcar","dos","ou","gripar","regressar","baixo","cidadãos","voo","dinamarca","transportar","territórios","viagem","ffp","mutações","máscaras","identificado","infecção","estirpe","viagem","mutações","depois","johnson","cumprir","confinamento","junho","parar","testar","europeu","entrado","britânica","silvar","países","certificado","unir","união","frança","olímpica","enviado","covax","após","cidade","aumentar","cidade","estar","dia","alemão"
