"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","kong","hong","hong","kong","cancel","will","close","order","order","order","school","school","reopen","reopen","reopen","reopen","reopen","reopen","reopen","will","will","restaurant","park","indigenous","mask","mask","mask","distance","church","seoul","theater","beach","restriction","minister","restaurant","restaurant","tier","will","victoria","zone","bar","restriction","lockdown","will","kong","travel","uk","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","study","test","variant","variant","variant","variant","variant","variant","variant","variant","study","variant","variant","variant","variant","variant","variant","misinformation","hit","fauci"
"2","kong","hong","kong","kong","hong","flight","march","will","close","store","school","order","reopen","beach","will","will","school","will","phase","allow","reopen","reopen","will","restaurant","restaurant","wear","wear","face","mask","seoul","police","south","weekend","gathering","johnson","student","restriction","rule","restriction","andrews","will","restaurant","australia","will","open","hong","beach","variant","uk","south","uk","travel","africa","africa","animal","sequence","test","find","study","variant","study","case","case","study","study","study","study","researcher","antibody","patient","uk","study","delta","patient","spread","delta","murthy","misinformation","anthony"
"3","airline","strike","airline","airline","march","airline","cancel","restaurant","mayor","gov","vote","gov","distance","salon","school","distance","will","phase","will","will","restriction","allow","bar","distance","indoor","police","face","rio","author","korea","south","police","gather","victoria","social","must","jenkins","manchester","manchester","will","victoria","restriction","south","restriction","restriction","restaurant","restaurant","ban","traveler","uk","passenger","restriction","south","south","sequence","strain","find","identify","identify","researcher","identify","study","michigan","researcher","infection","pregnant","model","study","researcher","researcher","contact","infection","concern","sample","delta","missouri","white","offit","trump"
"4","mainland","airline","event","resident","travel","march","postpone","school","park","stayhome","gov","reopen","beach","will","allow","school","restaurant","allow","allow","restriction","allow","indoor","pool","social","face","face","gym","distance","wear","indigenous","korea","salon","south","police","distance","restriction","court","local","restaurant","restaurant","restriction","pm","bar","store","pm","restriction","wale","flight","test","mutation","airline","lift","identify","strain","wuhan","sample","antibody","africa","researcher","infect","patient","michigan","test","symptom","find","positive","researcher","concern","study","variant","study","test","study","study","us","dominant","house","share","meet"
"5","suspend","suspend","schedule","traveler","level","event","event","bar","will","essential","court","will","will","allow","student","allow","phase","june","june","border","phase","hand","distance","indigenous","wear","covering","order","janeiro","event","south","gathering","hair","restriction","outdoor","restriction","police","will","restriction","rule","open","melbourne","lockdown","lockdown","allow","restaurant","flight","northern","travel","ban","scientist","cdc","spread","travel","identify","sample","case","africa","south","find","patient","symptom","identify","antibody","find","breakthrough","index","immune","evidence","immune","research","positive","infect","uk","delta","mask","become","advisory","james","get"
"6","border","border","company","temporarily","cancel","festival","flight","order","gov","school","state","business","business","school","shop","student","restriction","park","restriction","capacity","outdoor","dine","establishment","paulo","park","order","gathering","wear","restaurant","mask","ban","outdoor","allow","distance","pm","seat","chief","mask","level","restriction","restaurant","melbourne","will","shop","region","ban","will","england","negative","africa","travel","south","uk","sample","virus","identify","case","case","africa","virus","researcher","test","infect","positive","test","phe","dose","increase","hancock","antibody","antibody","uk","researcher","case","identify","israel","rodrigo","something","psaki"
"7","flight","lam","suspend","financial","south","will","airline","delivery","beach","park","park","cuomo","student","close","store","open","student","mayor","open","open","border","sanitizer","indoor","wear","mask","cover","social","de","policy","religious","order","korea","september","south","bar","bar","effect","christie","household","home","place","open","restaurant","open","sheriff","airline","sydney","traveler","passenger","flight","identify","uk","brazil","uk","strain","first","research","virus","symptom","transplant","variant","find","serum","identify","researcher","test","ihme","identify","identify","participant","researcher","among","protection","collect","health","rise","important","population","booster"
"8","lam","union","april","border","flight","game","class","closure","city","state","close","county","mayor","distance","beach","turkey","allow","ease","resume","indoor","capacity","july","allow","bolsonaro","measure","restaurant","cover","allow","social","gathering","area","reopen","labor","indoor","restaurant","face","police","distance","place","allow","home","indoor","pm","limit","measure","pm","traveler","france","travel","travel","african","border","detect","brazil","test","researcher","study","uk","case","surge","antibody","positive","strain","sample","infect","find","protection","effectiveness","among","identify","health","first","infection","transmissible","coronavirus","death","surgeon","paul","host"
"9","government","mainland","employee","notice","airline","tokyo","parade","store","store","april","election","state","close","nail","park","maximum","close","restriction","shop","limit","able","visitor","face","mask","allow","mandate","gohmert","social","gathering","korean","rule","church","saturday","korea","alert","city","allow","alert","government","australias","bar","student","measure","toronto","order","passenger","cluster","restriction","flight","african","negative","identify","traveler","sequence","origin","find","may","brazil","patient","lung","woman","numb","researcher","patient","longterm","household","test","find","uk","hospitalize","among","coronavirus","india","control","concern","country","share","medium","general"
"10","will","march","cancel","level","selfquarantine","suspend","university","york","home","county","church","close","wear","business","social","wear","tourist","measure","capacity","restaurant","indoor","limit","visitor","bar","stop","store","indoor","indoor","hidalgo","outdoor","berlin","kcdc","day","melbourne","gathering","will","jury","store","public","lockdown","except","people","outdoor","capacity","local","china","south","kingdom","detect","sequence","africa","africa","unite","animal","embarek","virus","detect","study","rate","donor","child","majority","positive","app","mutation","among","estimate","breakthrough","suggest","look","test","virus","patient","identify","india","time","variant","talk","allergy"
