"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","sars","can","appear","can","vaccine","vaccine","dr","dr","fauci","mask","fauci","dr","antibody","study","vaccine","study","symptom","patient","study","drug","study","drug","vaccine","patient","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","johnson","johnson","johnson","johnson","dos","johnson","dos","dos","vaccine","site","million","ice","share","smith","distribute","american","get","republican","olympic","dose","dose"
"2","animal","sneeze","study","surface","pandemic","mask","infectious","fauci","dr","wear","birx","antibody","dr","vaccine","drug","syndrome","study","study","patient","study","drug","patient","drug","study","antibody","study","trial","study","trial","trial","plasma","trial","trial","trial","trial","trial","use","trial","drug","trial","trial","trial","pfizer","fda","dos","dos","moderna","drug","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","company","manufacture","johnson","vaccine","million","vaccine","biden","white","dos","biden","biden","million","dos","black","white","researcher","athlete","dos","festival"
"3","virus","contact","sars","scientist","can","like","disease","study","disease","fauci","model","drug","patient","drug","patient","vaccine","vaccine","drug","drug","antibody","patient","study","study","remdesivir","study","develop","study","drug","russia","treatment","fda","plasma","drug","dos","dos","fda","authorization","pause","trial","drug","phase","pfizer","trial","efficacy","pfizer","authorization","authorization","authorization","moderna","million","dose","phase","astrazeneca","supply","million","company","million","covax","vaccine","vaccine","million","meet","million","pfizer","supply","country","administration","patent","vaccine","life","president","vaccine","vaccine","million","house","just","tokyo","vaccine","attend"
"4","symptom","severe","respiratory","researcher","hand","hand","fauci","drug","johnson","drug","dr","fauci","disease","patient","trial","patient","trial","vaccine","hydroxychloroquine","use","trial","young","trial","drug","young","trial","phase","researcher","phase","antibody","trial","dr","astrazeneca","supply","fda","drug","trial","clinical","clinical","food","volunteer","pfizers","moderna","trial","fda","pfizer","drug","reaction","trial","dose","million","use","eu","covax","supply","european","company","johnson","company","million","dos","vaccine","astrazeneca","dos","commission","covax","dos","house","share","security","july","share","claim","psaki","still","offer","biden","pfizer","vaccine"
"5","infect","flu","cough","may","wash","hall","can","infectious","test","face","mask","test","test","trial","remdesivir","child","drug","trial","trial","researcher","hydroxychloroquine","trial","researcher","antibody","severe","company","moderna","trial","clinical","study","drug","drug","election","company","authorization","company","emergency","johnson","food","administration","dose","phase","company","authorization","authorization","uk","use","dos","distribute","distribute","operation","receive","european","european","production","supply","use","production","merck","canada","vaccine","quality","vaccine","moderna","drug","astrazeneca","president","biden","country","american","childcare","biden","million","house","covid","trump","game","efficacy","antibody"
"6","rate","cough","can","cough","mask","flu","hand","can","infectious","trump","white","model","study","test","study","antibody","clinical","researcher","researcher","risk","researcher","risk","patient","vaccine","smoke","antibody","clinical","antibody","dos","plasma","convalescent","use","trump","say","participant","hahn","antibody","safety","company","safety","administer","clinical","authorization","dose","company","use","committee","use","company","administer","pfizer","sputnik","union","sputnik","pfizer","million","delivery","million","russian","mexico","production","plant","drug","million","order","use","million","vaccine","company","president","sullivan","go","biden","will","event","compare","ice","month","statement"
"7","respiratory","datum","infection","think","recommend","can","get","blood","trial","dr","drug","fda","researcher","clinical","team","drug","researcher","treatment","journal","symptom","fda","disease","test","trial","fast","pfizer","speed","dos","study","develop","trump","clinical","company","develop","phase","food","drug","drug","use","treatment","give","dos","effective","use","moderna","committee","us","allergic","administer","use","authorization","efficacy","supply","use","receive","country","astrazeneca","partnership","end","approve","ready","million","emergent","sputnik","deliver","administration","american","dos","color","tout","official","distribute","thursday","program","rise","vote","ceremony","wednesday","lockdown"
"8","case","sars","syndrome","vaccine","sick","disease","director","ventilator","way","use","get","vaccine","virus","fauci","child","develop","antibody","hydroxychloroquine","publish","patient","use","researcher","remdesivir","test","track","cdc","fda","company","approve","clinical","hahn","treatment","pause","pfizer","johnson","treatment","fda","authorization","johnson","company","israel","volunteer","fda","pfizer","use","reaction","pfizer","moderna","pfizer","drug","speed","company","trial","astrazeneca","manufacture","pfizerbiontech","johnson","merck","manufacture","loan","produce","dos","morrison","supply","batch","vial","goal","waiver","billion","shoot","vaccine","will","announce","th","live","month","office","ministry","case"
"9","syndrome","virus","spread","ryan","respiratory","fauci","people","disease","say","infectious","wear","study","drug","antibody","blood","van","patient","use","use","asymptomatic","antibody","vaccine","antibody","publish","rate","astrazeneca","develop","research","effective","astrazeneca","use","convalescent","clinical","distribution","company","clinical","company","company","fda","moderna","use","administration","dos","vaccination","drug","trial","dos","pfizer","million","approve","trial","emergency","production","authorization","ukraine","eu","country","receive","sputnik","us","end","emergent","plant","russian","vaccine","buy","white","administration","biden","yet","get","production","land","unemployment","senior","county","team","south","justice"
"10","spread","symptom","patient","pandemic","clean","get","town","may","need","anthony","anthony","trial","vaccine","remdesivir","flu","famotidine","hydroxychloroquine","antibody","find","infection","treat","pool","symptom","treat","vulnerability","research","cell","develop","drug","drug","treatment","effective","effective","astrazeneca","clinical","volunteer","clinical","volunteer","authorization","antibody","fda","drug","drug","vaccinate","pfizers","vaccination","advisory","modernas","phase","india","receive","trial","delay","canada","company","receive","sputnik","ministry","million","astrazeneca","fda","batch","target","allocation","arm","share","house","company","slavitt","make","will","supply","produce","early","without","student","trump","administer","space"
