"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","cruise","ship","ship","ship","case","county","case","positive","test","jail","test","test","nypd","release","care","cyclone","member","refugee","nurse","worker","childcare","school","school","school","school","republican","school","school","student","trump","loan","vote","house","house","pelosi","stimulus","house","pelosi","pelosi","rt","taiwan","street","family","physical","mask","world","child","travel","child","child","child","police","child","school","school","school","guidance","cdc","foot","school","walensky","school","student","biden","outdoor","mask","mask","mask","mask","mask","mask","mask","health","risk","director","death","house","court"
"2","patient","ship","passenger","passenger","cruise","county","case","county","test","positive","inmate","positive","inmate","member","police","home","home","care","facility","work","family","school","child","student","student","billion","school","student","student","school","school","biden","republican","stimulus","grant","house","talk","trillion","stimulus","talk","house","despite","tedros","thanksgiving","ski","fauci","sister","via","screen","travel","pope","economy","school","school","mask","teacher","county","mask","guidance","school","student","airline","student","michigan","american","mask","wear","wear","wear","indoor","release","indoor","require","order","hear","child","cuba","mask","missouri"
"3","health","test","cruise","test","passenger","man","patient","man","patient","die","test","inmate","positive","test","department","refugee","bangladesh","police","cdc","care","kid","gate","facility","reopen","child","republican","senate","district","trump","learn","bill","job","harris","sale","crown","deal","package","republican","election","stimulus","break","ohio","dakota","drink","tedros","metal","child","stock","holiday","police","school","grow","child","black","student","cdc","walensky","wear","vaccinate","distance","learn","travel","travel","expert","get","vaccinate","fully","guidance","vaccinate","capacity","lift","wear","state","quarantine","poll","fall","total","mandate","angeles"
"4","confirm","case","princess","cruise","princess","confirm","health","die","case","county","detainee","police","swab","county","positive","death","refugee","church","nurse","duke","africa","prisoner","movement","child","reopen","senate","unemployment","stimulus","district","teacher","vote","trump","bill","vote","estate","mnuchin","job","senate","house","election","white","government","open","gottlieb","mask","distance","migrant","app","cdc","avoid","year","year","student","adult","child","transmission","cdc","fully","travel","cdc","department","mask","attend","airport","employee","fully","vaccinate","indoor","guidance","lift","wear","activity","order","will","mask","around","weekend","floor","jones"
"5","test","board","diamond","westerdam","woman","patient","man","patient","die","health","police","release","facility","prison","county","facility","care","nypd","cyclone","job","parent","kid","home","online","district","fund","house","side","teacher","district","republican","billion","stimulus","plan","benefit","stimulus","trillion","kudlow","mnuchin","house","russian","worry","stock","summit","cdc","warn","organization","cnngo","year","lockdown","expectancy","veran","black","teacher","wear","walensky","transmission","cdc","people","student","education","white","walensky","wear","thing","wear","guidance","vaccinate","require","restaurant","governor","require","indoor","news","small","adams","bring","louis","stoney"
"6","hospital","patient","dock","princess","diamond","health","new","yearold","ministry","department","positive","prison","county","positive","taliban","inmate","attorney","worker","worker","worker","gupta","child","student","fall","transmission","student","stimulus","house","learn","fund","meadow","nasdaq","trump","bill","year","democrat","still","pelosi","deal","stock","video","zoom","father","table","distance","stem","billion","write","celebration","rule","francis","visit","teacher","hispanic","teacher","child","mask","school","fully","walensky","get","american","learn","mask","white","biden","indoor","fully","fully","trust","indoor","state","gov","hour","wear","person","toll","reinstate","city"
"7","man","princess","westerdam","positive","ministry","cuomo","woman","death","death","hospitalize","prison","swab","nurse","release","plant","police","storm","hospital","visit","plant","town","gupta","church","learn","fall","proposal","mcconnell","senate","executive","postal","pelosi","ballot","president","senate","income","airline","money","bank","speaker","technology","duke","lose","sp","leader","offer","patient","write","million","pandemic","indoor","overdose","war","kid","age","reopen","mask","us","county","walensky","travel","walensky","school","person","school","president","guidance","outdoor","outdoor","indoor","wear","require","lift","vaccination","release","go","may","pandemic","st","story"
"8","symptom","passenger","board","ministry","test","ship","confirm","positive","man","prison","sheriff","department","department","facility","prisoner","camp","amphan","driver","test","essential","school","prison","care","teacher","class","gop","proposal","pelosi","person","bill","lawsuit","republican","democrat","democrat","world","speaker","pelosi","mnuchin","senate","white","farm","diwali","low","visit","stop","predict","mental","street","security","reach","curfew","shanghai","american","group","classroom","reopen","red","continue","control","control","reopen","slavitt","american","go","house","indoor","still","mandate","guideline","outdoor","gov","outdoor","california","allow","around","add","country","city","louis"
"9","ministry","dock","crow","disembark","february","cruise","department","health","health","accord","county","home","symptom","florida","refugee","resident","court","ons","deploy","application","sesame","poor","around","safely","community","money","student","talk","unemployment","senate","account","fund","senate","trillion","bill","proposal","house","stimulus","airline","deal","back","loss","nurse","like","organization","model","young","sesame","child","even","vatican","shipment","protester","area","cdc","high","zone","vaccinate","guideline","air","cdc","biden","back","four","university","cdc","distance","guideline","mandate","guideline","restriction","requirement","release","bar","delta","risk","harris","lucas","st"
"10","yearold","confirm","test","case","case","woman","yearold","ministry","coronavirus","nypd","member","chicago","prison","department","facility","tribe","england","canada","rohingya","community","street","pride","little","district","lawsuit","mnuchin","bill","meadow","benefit","remote","convention","election","mcconnell","pelosi","sovereign","furlough","industry","billion","democrat","mnuchin","senior","internet","nasdaq","hand","nasdaq","us","global","drive","air","stock","life","cover","latino","spread","fit","color","person","walensky","prevention","airport","american","rochelle","wear","get","go","people","cdc","disease","distance","american","sign","guideline","setting","lift","home","back","since","schmitt","los"
