"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","city","year","economy","million","market","stock","market","airline","airline","stock","airline","billion","billion","airline","unemployment","billion","vote","economic","million","billion","billion","billion","unemployment","company","worker","gate","tedros","tedros","taiwan","mail","kong","patient","adult","find","study","child","flu","death","study","researcher","woman","child","researcher","child","model","mask","black","fauci","fauci","fauci","get","study","johnson","johnson","study","vaccine","vaccine","johnson","fauci","fauci","trial","trial","fauci","fauci","transmission","get","job","fund","hate","intelligence","job","border","harris","american","say","improve","child","transmission","breakthrough"
"2","year","macao","plant","business","point","market","stock","billion","stock","employee","business","airline","million","quarter","airline","job","job","company","economy","economy","economic","fund","fund","fund","fund","ryan","ryan","service","azar","election","study","researcher","patient","child","child","study","kill","mortality","patient","child","child","researcher","study","study","benefit","azar","get","dr","get","get","dr","antibody","vaccine","fauci","variant","fauci","dose","vaccine","vaccine","vaccine","datum","protection","cruise","national","fauci","think","biden","fauci","cruise","origin","american","sununu","vice","cut","level","area","adolescent","cdc","walensky"
"3","million","holiday","auto","economy","drop","point","trade","flight","billion","billion","economy","company","company","billion","norwegian","airline","billion","billion","job","price","economy","economic","million","million","million","kelly","world","world","ryan","vote","hong","study","researcher","study","find","researcher","poll","immune","lose","study","pregnant","find","among","researcher","job","study","american","adams","vaccinate","adams","fauci","variant","fauci","antibody","vaccine","johnson","study","pfizer","booster","dose","efficacy","vaccine","allergy","allergy","surface","quality","fauci","business","biden","biden","benefit","airline","tour","get","american","director","get","people","people"
"4","lunar","lunar","impact","impact","dow","cut","oil","market","package","company","economic","bank","business","company","company","economy","economy","unemployment","lockdown","economic","stock","forecast","economic","worker","tedros","job","gate","health","service","postal","symptom","negative","study","patient","patient","age","season","die","publish","find","age","cdc","remdesivir","antibody","china","hurt","vaccine","get","anthony","say","gounder","fauci","effective","vaccine","fauci","trial","trial","moderna","glenn","variant","dsmb","fauci","infectious","institute","gupta","fauci","get","deal","crime","community","unemployment","african","american","goal","economic","american","immunization","walensky","delta"
"5","lockdown","city","part","year","stock","dow","bad","cut","market","business","billion","claim","airline","job","bank","unemployment","emission","app","claim","stock","industry","million","job","program","healthcare","even","industry","telehealth","health","service","man","pregnant","research","fit","age","find","try","immunity","researcher","medicine","among","symptom","find","claim","estimate","researcher","study","mask","variant","us","still","virus","trial","study","oxfordastrazeneca","study","pfizer","trial","trial","show","astrazeneca","participant","instruction","anthony","wear","really","economy","think","unemployment","investigation","psaki","large","president","set","improve","cold","tennessee","high","infection"
"6","train","gamble","hit","bank","index","rate","dow","stock","company","small","cut","amazon","trade","demand","passenger","tourism","bill","million","labor","fall","dow","demand","billion","suit","amnesty","foundation","hate","kerkhove","absentee","location","hand","woman","find","researcher","likely","drink","may","rate","blood","heart","likely","fauci","patient","collection","mask","american","feel","child","say","dr","immunity","walensky","variant","disease","south","researcher","age","use","woman","brostrøm","release","month","fulltime","efficacy","get","restaurant","really","back","asian","pandemic","big","president","administration","young","majority","economic","want","breakthrough","variant"
"7","will","billion","business","company","sp","drop","cut","package","business","airline","employee","stock","pay","million","cruise","industry","business","hassett","billion","global","point","claim","tedros","business","economic","election","vote","mental","ballot","swab","abe","symptom","hospital","athlete","assist","survey","august","frieden","life","doctor","aap","among","disease","among","mental","different","community","infectious","really","want","hispanic","africa","get","protection","johnson","efficacy","fda","efficacy","pregnant","türeci","child","six","anthony","infectious","indoor","director","american","president","american","american","biden","ask","get","president","optimism","experience","think","disease","cdc"
"8","holiday","tourism","year","billion","bad","index","point","trade","dow","unemployment","bank","million","market","economy","loan","package","macron","year","bad","drop","million","union","labor","world","bad","longterm","organization","say","access","ballot","researcher","prescription","survey","young","nurse","adult","editorial","maybe","covid","age","prevention","disease","evidence","prevalence","unemployment","response","azar","watch","infectious","tell","adult","get","us","anthony","severe","south","variant","dose","company","evidence","concern","age","industry","protection","virus","re","say","canadian","president","source","lab","canadian","community","ask","survey","head","thing","fully","vaccinate"
"9","travel","visitor","factory","home","fall","economy","index","loan","economic","market","market","sp","air","canada","billion","fund","relief","industry","lockdowns","year","congress","economy","dow","win","world","hard","international","ryan","individual","voter","first","cell","black","black","antibody","patient","life","covid","find","adult","find","infect","illness","aug","recovery","efficacy","vaccinate","jerome","think","anthony","people","response","dr","get","protection","africa","fauci","study","novavax","protection","company","long","institute","though","vaccinate","association","immunity","multiple","vote","wuhan","work","china","feel","economic","spend","initial","parent","substantial","unvaccinated"
"10","close","million","lunar","capital","trade","low","sp","european","economy","economic","company","unemployment","wang","passenger","sell","company","china","vote","crisis","point","sp","open","sector","loan","marathon","break","election","van","virus","machine","sanitizer","write","care","mental","researcher","report","save","excess","journal","rate","risk","powell","native","sample","malaria","trump","trust","collins","dr","strain","antibody","disease","severe","efficacy","antibody","variant","johnson","prevent","disease","good","vaccine","clinical","director","trial","someone","hard","need","benefit","stop","concern","enhance","unprecedented","step","deliver","indicator","vulnerable","tanksley","mask","infect"
"11","school","train","outbreak","many","economy","investor","economic","air","industry","bank","will","demand","food","employee","economic","economic","flight","favor","economic","industry","china","recovery","end","billion","end","turn","say","pandemic","breach","etienne","strain","test","june","show","factor","girl","month","account","death","research","researcher","mental","update","write","comment","man","treatment","anthony","director","real","research","team","anthony","variant","africa","suggest","datum","drug","study","company","safety","pfizer","study","phase","need","concern","restaurant","get","woman","claim","origin","job","kamala","jackson","quarter","vaccinate","cnns","vaccinate","setting"
"12","new","casino","million","investor","lose","global","fall","economic","loan","month","crisis","fund","job","flight","industry","quarter","fund","already","european","million","job","expect","market","brother","strategy","message","big","hear","say","system","event","find","miss","age","resident","pandemic","three","unite","risk","patient","group","crowd","sick","sept","experience","save","flu","adult","allergy","general","regimen","researcher","disease","infect","disease","anthony","disease","age","allergy","anthony","monitor","dose","company","economic","infect","national","industry","restaurant","law","lab","add","canada","small","minimum","good","say","need","indoor","virus"
