"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","flight","flight","plane","charter","diamond","school","school","ship","ventilator","hospital","ship","ventilator","cuomo","test","million","cuomo","york","cuomo","cuomo","york","cuomo","county","beach","county","mayor","county","county","state","york","county","county","state","gov","york","phase","rate","york","state","state","mayor","blasio","positivity","county","county","county","california","county","hospital","county","los","los","patient","county","york","york","cuomo","york","mandate","mask","state","old","open","adult","marine","travel","student","student","school","school","school","city","york","will","zone","begin","school","booster","fda","fda"
"2","citizen","plane","base","board","princess","washington","ship","order","hospital","ship","crow","cuomo","nurse","equipment","cuomo","mask","cuomo","gov","york","city","york","gov","county","mayor","county","bed","gov","york","cuomo","rate","gov","county","county","gov","mayor","positivity","rate","city","york","threshold","de","county","city","newsom","blasio","county","hospital","bed","california","county","county","de","york","site","site","site","site","texas","mandate","gov","april","april","april","vaccination","china","city","school","reopen","student","student","de","bill","must","will","city","company","pfizer","review","de"
"3","will","air","air","ship","passenger","employee","princess","county","bed","york","ventilator","hospital","ship","lab","equipment","fire","ventilator","andrew","blasio","blasio","gov","governor","gov","miamidade","cuomo","icu","state","county","gov","positivity","state","gov","governor","mayor","capacity","city","positivity","mayor","city","halloween","city","tier","mayor","mayor","school","region","bed","california","patient","angeles","angeles","county","cuomo","stadium","resident","york","appointment","state","business","governor","eligibility","old","state","senior","individual","de","york","student","draw","district","blasio","school","rather","region","will","guidance","need","vaccine","blasio"
"4","evacuate","citizen","citizen","princess","flight","student","cruise","passenger","york","patient","cuomo","sailor","hospital","cuomo","pledge","ventilator","sailor","carolina","app","cuomo","say","state","mayor","gov","state","florida","florida","gov","rate","population","governor","iowa","dine","state","gov","county","county","york","murphy","candy","york","mayor","school","angeles","de","san","california","city","los","patient","hospital","nurse","city","restaurant","cuomo","resident","winter","mask","city","open","open","site","eligibility","community","site","school","gov","york","program","will","school","city","staff","one","many","vaccinate","official","approval","vaccine"
"5","government","evacuation","korean","passenger","air","king","district","cruise","cuomo","ventilator","cruise","navy","test","mask","protective","york","blasio","governor","gov","de","governor","city","bar","reopen","gov","mayor","positivity","governor","county","mayor","rate","per","state","positivity","umrah","code","school","county","gov","de","mayor","school","york","average","cuomo","southern","city","york","care","hospital","icu","los","mayor","city","court","state","state","lift","eligible","location","state","eligibility","eligible","target","team","blasio","governor","library","will","program","mayor","cuomo","win","win","system","fauci","meet","emergency","city"
"6","wuhan","canadian","south","evacuate","evacuate","seattle","passenger","california","mask","cuomo","hospital","york","say","hancock","mask","tass","grime","york","bill","protest","andrew","york","state","beach","city","state","governor","rate","city","hospitalization","york","task","rate","rate","costume","zip","code","cruise","positivity","wisconsin","public","san","blasio","city","mayor","icu","san","icu","york","california","site","hospital","patient","state","governor","gov","pharmacy","mayor","teacher","eligible","carolina","vaccination","announce","california","department","dalai","test","district","mccloud","de","york","mayor","amount","enter","shoot","cdc","fda","probably","say"
"7","foreign","foreign","miramar","citizen","ship","kirkland","employee","resident","gov","bed","york","de","equipment","ship","york","say","de","crow","loan","say","mask","mayor","order","state","go","hospital","beach","florida","state","state","per","governor","cuomo","must","drop","york","zip","area","rate","number","state","blasio","rate","los","newsom","capacity","los","de","pharmacy","bed","california","blasio","symptom","indoor","county","county","capacity","city","gov","savannah","anyone","state","vaccination","appointment","release","lama","cuomo","person","cuomo","offer","program","stockpile","work","prize","must","booster","facility","application","full"
"8","south","charter","repatriate","plane","plane","district","student","san","need","supply","passenger","patient","york","protective","hospital","hospital","ship","say","protest","county","mayor","wear","city","order","people","gov","ahca","mayor","california","blasio","hurricane","new","bar","de","rate","gov","state","governor","de","encourage","citys","rate","de","california","gov","order","york","blasio","hospital","icu","patient","city","blasio","capacity","city","federal","weather","gov","mayor","apple","plan","anyone","line","administer","social","york","trudeau","fall","prize","option","offer","new","hogan","scholarship","require","need","federal","authorization","approval"
"9","passenger","will","canadian","diamond","repatriate","county","washington","dock","defense","need","patient","blasio","crow","sailor","ppe","gov","employee","turner","andrew","gov","blasio","texas","weekend","city","order","york","miamidade","reopen","florida","york","los","positivity","andrew","sustain","parade","brooklyn","close","close","cuomo","california","voter","city","california","levine","capacity","los","cuomo","capacity","angeles","transport","care","mayor","restaurant","prison","department","capacity","clinic","business","require","theater","march","adult","biden","offer","governor","person","indonesian","mayor","incidence","blasio","bill","event","distance","city","nearly","say","brief","use","drug"
"10","plane","land","foreign","cruise","indian","facility","coast","nurse","federal","say","navy","andrew","protective","uk","promise","video","positive","new","new","threshold","state","houston","say","say","bar","mandate","mayor","city","mayor","de","hospitalization","york","york","gelber","pilgrim","mayor","business","blasio","county","business","hospital","de","close","positivity","los","cuomo","angeles","patient","gov","york","garcetti","california","california","gov","home","governor","city","governor","wear","recall","age","eligible","site","site","operate","note","social","cardona","lottery","win","statistic","blasio","murphy","must","cdc","dose","spokesperson","de","york"
