"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","emergency","li","li","xi","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","vaccine","vaccine","trump","trump","trump","trump","fauci","trump","trump","fauci","trump","fauci","cdc","fauci","trump","trump","fauci","fauci","fauci","fauci","fauci","fauci","trump","trump","fauci","fauci","mcconnell","fauci","leader","bill","trump","trump","biden","biden","biden","biden","biden","house","biden","biden","house","biden","biden","origin","source","johnson","blood","johnson","vaccine","age","age","child","fauci","child","treatment","child","school","use","travel","test","travel"
"2","health","xi","party","tedros","president","president","president","president","vote","biden","president","president","president","president","china","white","china","president","fauci","fauci","rally","rally","mask","fauci","trump","fauci","fauci","trump","fauci","say","guideline","herd","giroir","president","trump","white","white","trump","trump","white","white","presidentelect","trump","trump","house","fund","aid","stimulus","relief","president","plan","trump","administration","house","president","biden","house","feel","bill","president","lab","animal","north","blood","clot","fda","fda","vaccine","vaccine","dr","age","johnson","vaccine","share","vaccine","thursday","uk","contact","quarantine"
"3","meet","wenliang","ghebreyesus","chinese","response","penny","house","house","senate","president","house","task","donald","donald","house","house","house","us","trump","trump","campaign","white","president","president","white","get","house","dr","say","american","fauci","immunity","president","woodward","dr","trump","house","white","dr","mask","american","biden","force","say","get","relief","relief","relief","bill","house","reserve","administration","house","relief","relief","bill","bill","white","biden","relief","origin","report","happen","clot","johnson","cdc","pfizer","recommend","child","fauci","director","jj","child","likely","week","level","announce","behavior","eviction"
"4","xi","medium","tedros","ghebreyesus","fund","house","white","white","house","house","white","economy","china","ask","intelligence","administration","white","china","trial","disease","fauci","fauci","penny","mask","house","anthony","president","birx","email","dr","task","dr","woodward","redfield","cdc","dr","american","house","mask","trump","dr","task","white","dr","fauci","bill","deal","billion","payment","employee","presidentelect","briefing","trump","republican","house","president","vote","house","payment","american","theory","virus","likely","pause","rare","blood","authorize","child","fda","vaccine","email","drug","disease","meet","variant","august","restriction","quarantine","risk"
"5","public","police","xi","response","house","administration","penny","senate","stimulus","penny","task","china","governor","task","president","president","president","house","house","dr","tulsa","president","wear","wear","dr","brief","get","anthony","think","really","test","disease","fauci","disease","say","task","trump","campaign","infectious","president","fauci","white","task","thanksgiving","travel","liability","stimulus","congress","check","put","azar","order","white","budget","committee","democrat","wage","administration","stimulus","administration","china","source","ioc","rare","vaccine","clot","bourla","use","emergent","director","child","food","placebo","race","base","three","mandatory","positive","list"
"6","response","anger","wenliang","adhanom","administration","white","administration","test","bill","white","program","white","administration","biden","administration","china","organization","north","redfield","anthony","president","campaign","fauci","republican","anthony","white","say","president","dr","giroir","force","birx","deadly","say","tell","house","president","dr","anthony","house","mask","administration","dr","american","leader","republican","fauci","package","president","vote","trump","joe","president","democrat","white","senate","democrat","senior","white","trump","redfield","wuhan","global","vaccine","pause","vaccine","johnson","yearolds","johnson","walensky","infectious","expire","meet","outcome","need","pfizer","french","england","destination"
"7","virus","lis","medium","praise","azar","mike","republican","penny","president","think","loan","fund","task","white","donald","test","us","administration","dos","institute","vaccine","mask","dr","convention","get","house","dr","think","white","anthony","change","thing","think","immunity","disease","president","tell","cdc","president","dr","house","bidens","birx","expert","re","bipartisan","democrat","house","stimulus","republican","administration","president","supply","bill","trump","relief","relief","defense","will","house","dr","world","china","six","committee","recommend","authorization","advisory","drug","young","trial","vaccine","may","antibiotic","serum","need","macron","secretary","stay"
"8","government","social","organization","hubei","request","fund","say","administration","package","joe","say","say","penny","bill","originate","hahn","assembly","convention","say","trial","oklahoma","house","rally","task","disease","dr","birx","say","child","cdc","say","trump","reporter","dr","think","mask","mask","mask","public","american","post","american","american","director","really","get","bill","pass","senate","job","dos","white","goal","pass","package","committee","white","president","american","bill","virus","china","blinken","us","recommend","drug","food","young","director","age","offit","authorize","trial","prescription","fully","high","england","adult","kelly"
"9","world","death","directorgeneral","beijing","white","billion","test","vote","deal","bill","source","reopen","house","administration","wuhan","donald","resolution","australian","us","redfield","mask","wear","campaign","white","expert","say","white","deborah","president","redfield","dr","white","tell","comment","birx","force","cdc","american","campaign","chief","think","house","say","anthony","democratic","anthony","senate","payment","pass","economic","relief","executive","get","senate","bill","pass","minimum","act","check","psaki","fauci","organization","spokesperson","meet","acip","pause","age","authorization","group","committee","follow","disease","johnson","among","include","say","test","league","case"
"10","information","whistleblower","team","president","democrat","meet","rep","republican","senator","say","pompeo","leader","us","question","chinese","mike","chinese","bukele","dr","president","white","penny","white","house","infectious","infectious","re","mask","secret","mask","guidance","task","say","cdc","spread","redfield","bright","event","interview","national","fire","joe","infectious","go","proposal","think","talk","trump","house","floor","back","house","dos","resolution","administration","white","president","american","earn","help","house","study","extremely","recommend","syndrome","rare","administration","fda","food","collins","anthony","adviser","drug","schedule","take","group","positive","ad","avoid"
"11","organization","president","president","effort","billion","vote","vice","secretary","democrat","stimulus","go","source","leader","mnuchin","pompeo","fauci","administration","tobacco","collins","infectious","attend","task","task","penny","president","president","mask","get","know","way","expert","die","institute","american","force","atla","disease","town","expert","campaign","collins","mask","transition","people","senate","stimulus","mcconnell","president","mcconnell","boom","get","federal","vaccine","vote","joe","psaki","senate","support","president","law","president","leak","world","case","jj","woman","use","teen","trial","institute","tell","dr","plant","vaccine","high","week","due","outbreak","greece"
"12","international","crisis","response","jinping","penny","senate","familiar","say","trillion","get","pelosi","house","republican","economy","claim","secretary","world","response","world","allergy","house","tulsa","vice","really","say","briefing","anthony","child","tv","need","redfield","cdc","bob","fauci","virus","cdc","administration","debate","rally","get","want","force","house","mask","think","senate","congressional","benefit","package","american","joe","azar","million","white","family","package","package","way","psaki","benefit","human","team","investigation","drug","meet","us","drug","immunization","dr","disease","institute","authorization","batch","need","board","food","european","return","ireland"
"13","president","censorship","chinese","pompeo","xi","vice","brazilian","mnuchin","republican","re","tedros","intelligence","reopen","house","white","vice","pandemic","chinese","director","develop","wear","donald","birx","event","guideline","good","wear","wear","giroir","wear","symptom","anthony","know","virus","anthony","hick","donald","biden","attack","donald","read","former","mask","process","white","dr","house","aid","money","economy","ensure","reserve","day","package","wage","need","pass","just","relief","vice","opinion","market","say","control","us","agency","eua","practice","authorize","authorize","use","unused","use","affect","conference","lead","summer","keep","level"
"14","committee","censor","crisis","police","senate","response","bolsonaro","donald","pelosi","vice","small","organization","force","go","task","redfield","cdc","donald","institute","development","dr","dr","message","force","administration","think","obrien","task","go","infectious","important","say","want","mask","president","donald","director","context","director","anthony","election","guidance","want","thing","bill","congress","congress","money","vote","instead","billion","action","say","administration","bidens","vote","psaki","supply","vote","will","gupta","possible","pandemic","johnsons","woman","prevention","us","drug","family","old","dr","may","see","flu","department","north","contact","preventative","unite"
"15","concern","russian","doctor","control","chinese","deal","political","brazilian","member","administration","navarro","donald","business","state","mike","dr","response","expert","infectious","expert","say","vice","house","donald","discredit","watch","infectious","gupta","use","flu","disease","get","flu","think","know","wear","dr","rally","adams","go","florida","transition","president","much","stimulus","infectious","adams","deal","sign","march","package","presidentelect","response","bidens","pass","republican","republican","call","trillion","white","psaki","laboratory","challenge","food","cdc","young","pause","administration","young","booster","berman","trial","national","link","paper","intensive","infection","security","symptom"
"16","outbreak","die","communist","agency","whistleblower","request","economic","american","white","american","fund","senate","white","briefing","us","virus","donald","penny","clinical","campaign","dart","administration","think","vice","mcenany","expert","force","force","comment","get","biden","giroir","book","strategy","transmission","director","lead","say","disease","infectious","claim","fauci","cuomo","many","just","sen","gop","white","congress","houston","fund","pandemic","fauci","amendment","minimum","legislation","manchin","harris","package","promote","hypothesis","embarek","origin","fda","recommendation","risk","submit","committee","dose","trial","disease","use","conduct","medicine","uk","regulatory","worker","uk","survey"
"17","take","report","olympic","speech","emergency","package","senate","bolsonaro","pass","donald","donald","administration","romney","us","evidence","selfquarantine","fauci","pandemic","white","phase","administration","force","mike","get","nation","task","kentucky","white","tell","want","prevention","people","really","tell","atla","disease","vice","disease","get","wear","comment","president","presidentelect","holiday","republican","american","package","pay","direct","recovery","expand","supply","bidens","bipartisan","legislation","week","mark","zients","household","billion","fund","human","press","center","immunization","food","yearolds","cdcs","rural","yet","national","us","symptomatic","priority","amount","center","first","shapps","traveler"
"18","official","response","freedom","whistleblower","committee","million","meet","federal","leader","pelosi","organization","force","say","need","laboratory","task","health","world","company","director","really","brief","adams","us","wear","really","resurgence","know","post","prevention","white","infectious","test","know","white","tell","presidential","president","claim","meadow","crowd","say","biden","white","relief","allergy","billion","rend","american","clear","federal","mask","distribution","president","psaki","plan","administration","help","benefit","serve","former","spread","podcast","prevention","advisory","walensky","get","meet","cdc","national","receive","fda","dewine","drug","pfizer","administration","citizen","case","worry"
"19","party","local","threat","call","level","bill","secretary","leader","penny","act","democrat","biden","virginia","sign","outbreak","us","independent","white","anthony","think","interview","think","force","thing","speak","probably","tennessee","expert","just","month","exposure","american","get","vaccine","message","go","die","infectious","allergy","vice","lead","plan","anthony","hospital","know","thing","american","american","republican","write","human","human","joe","check","american","congress","bidens","trump","little","community","comment","tedros","idea","severe","drug","warn","ceo","group","walensky","study","fda","fauci","fauci","household","modernas","present","dos","almost","moratorium"
"20","declare","grief","replace","medium","vice","american","respond","vice","congress","democratic","business","business","american","try","eye","positive","xi","xi","president","astrazeneca","event","tell","go","go","go","director","think","thing","expert","bad","someone","spread","anthony","get","us","administration","redfield","tell","say","like","way","cdc","make","really","democrat","mcconnell","bipartisan","unemployment","legislation","federal","warp","zients","psaki","zients","tradition","will","budget","like","family","republican","wuhan","likely","walensky","pain","practice","lift","clot","food","rollout","need","shipment","consider","holiday","johnson","june","pfizerbiontech","time","track","per"
"21","epidemic","epidemic","police","china","say","will","aide","bill","speaker","vote","economy","federal","billion","reporter","source","contact","inquiry","claim","allergy","administration","stitt","slow","cover","want","press","fact","task","infectious","mask","us","know","atla","mason","never","guidance","infectious","sen","ad","us","allergy","donald","team","need","understand","american","pass","liability","fund","amount","quickly","hh","office","state","unemployment","tax","bidens","support","bidens","senate","official","embarek","investigation","health","committee","food","trial","blood","cdc","use","keep","moderna","cnn","consider","remind","age","number","government","china","england"
"22","jinping","delete","speech","wuhan","team","kit","donald","get","negotiation","watch","memo","small","brief","relief","secretary","pences","global","moment","disease","house","american","go","public","american","interview","like","go","donald","administration","disease","people","house","people","prevention","task","say","ignore","former","wear","director","president","election","brief","disease","message","holiday","source","spend","benefit","support","release","reverse","plan","trillion","democrat","fund","increase","wash","expect","former","believe","joint","respect","unite","janssen","review","child","emergency","recommend","result","authorize","release","ahead","yorker","find","likely","lift","country","park"
"23","news","try","adhanom","revelation","mike","test","gaetz","congress","call","call","money","review","claim","brief","attack","person","letter","republican","development","candidate","jha","saturday","re","remark","concern","child","thing","tell","spread","thing","us","force","interview","infectious","get","anthony","get","joe","american","pandemic","life","donald","pandemic","infectious","thing","go","money","check","unemployment","die","guideline","american","slavitt","senator","plan","trump","zients","get","press","get","report","host","outbreak","among","tts","possible","information","dr","product","pfizerbiontech","month","age","fda","youth","company","release","july","result","schaffner"
"24","state","chinese","provincial","country","effort","leader","pelosi","economic","schumer","senate","administration","state","congress","mcconnell","lab","force","beijing","pull","summit","force","expert","staffer","want","birx","mask","believe","watch","kid","shut","evidence","giroir","want","disease","flu","house","us","official","hall","harris","expert","chief","besser","think","system","say","democrat","mitch","republican","fund","bank","congress","donald","us","reconciliation","credit","confusion","american","moment","per","ensure","adviser","unlikely","sample","symptom","administration","johnsons","trial","authorize","understand","appropriation","get","set","director","also","also","time","monday","remain","expire"
"25","control","jinping","social","transparency","public","use","industry","task","voice","package","american","call","deal","force","origin","testify","taiwan","tedros","force","volunteer","mcenany","us","american","harmless","thing","birx","convention","back","station","look","trump","mask","situation","want","center","biden","positive","expert","donald","really","help","response","joe","get","dr","leader","republican","sign","income","senate","policy","secretary","american","plan","republican","stimulus","ceremony","keep","rule","trust","recognize","hypothesis","version","type","change","give","emergency","schedule","rochelle","get","allergy","month","ask","discuss","receive","include","healthcare","home","finding"
"26","level","target","health","contain","brief","say","brief","mike","final","whitmer","get","halt","praise","disinfectant","assessment","stephen","threaten","organization","whether","white","reiner","infectious","people","message","think","try","speak","sanjay","jha","child","asymptomatic","someone","national","atla","droplet","official","role","anthony","response","response","administration","wear","help","line","birx","group","fund","direct","provide","gate","american","letter","federal","direct","stimulus","democratic","legislation","ten","money","fund","think","intermediate","international","administration","fda","safety","say","pfizers","us","merkel","old","small","company","virus","coronavirus","vaccine","home","jiangsu","jan"
"27","decision","call","outbreak","epidemic","leader","pass","democrat","act","economic","aide","ghebreyesus","democrat","reporter","vote","brief","back","call","dr","astrazeneca","will","saturday","event","political","anthony","way","convention","national","us","house","birx","need","allergy","dr","director","watch","cruise","foege","information","comment","disease","get","adviser","administration","cnns","walke","talk","biden","assistance","floor","unemployment","focus","fauci","zients","stimulus","get","send","hour","relief","dependent","focus","day","lab","put","mark","cdcs","recommendation","albert","acip","efficacy","disparity","continue","store","pain","food","business","also","population","possibly","poll"
