"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","health","ship","ship","ship","ship","ship","cruise","passenger","ship","ship","ship","navy","member","member","member","passenger","cyclone","league","air","passenger","player","pool","test","test","positive","prison","school","school","school","student","student","student","school","student","school","student","york","school","school","public","county","city","city","mayor","county","california","bed","bed","california","county","county","york","county","york","school","transmission","school","county","city","city","bolsonaro","airline","olympic","guest","indoor","send","oxygen","olympic","cruise","tokyo","game","travel","park","black","people","missouri","passport","city","york"
"2","say","cruise","cruise","cruise","cruise","cruise","ship","ship","cuban","navy","passenger","sailor","cruise","nypd","police","camp","ship","member","season","airline","league","player","player","student","league","inmate","student","student","student","school","school","school","student","school","student","york","student","student","york","release","blasio","de","york","county","de","county","county","city","york","los","angeles","patient","york","indoor","student","school","county","order","mayor","mayor","mayor","blasio","osaka","international","police","oxygen","india","japanese","tokyo","olympic","tedros","level","athlete","order","large","european","pregnant","cuomo","city"
"3","us","passenger","passenger","passenger","princess","princess","princess","cruise","military","passenger","crow","ship","crow","passenger","passenger","refugee","league","season","team","season","team","campus","student","positive","test","school","vote","district","district","campus","university","campus","university","university","person","school","school","city","city","mayor","city","blasio","school","city","blasio","region","city","california","county","patient","los","city","cuomo","mcgowan","york","county","distance","capacity","capacity","miami","governor","player","tokyo","tokyo","twin","air","aid","game","game","game","avoid","recommend","recommend","family","crucial","examine","arkansas","receive","blasio"
"4","official","board","princess","princess","passenger","passenger","passenger","airport","passenger","zaandam","cruise","passenger","ship","flight","flight","railway","refugee","team","airport","league","season","student","league","player","player","staff","district","learn","learn","learn","campus","university","staff","county","staff","city","city","york","positivity","chicago","de","mayor","mayor","average","cuomo","capacity","california","de","los","angeles","hospital","de","symptom","city","city","cdc","transmission","school","person","beach","city","york","cruise","website","emergency","sii","uk","tokyo","olympic","japan","tapper","case","version","little","reduce","effectiveness","woman","hospital","de"
"5","will","crow","diamond","board","diamond","diamond","grand","dock","flight","cruise","member","carrier","costa","ship","airport","flight","positive","crow","airline","nurse","positive","test","team","league","student","district","person","class","parent","university","class","learn","teacher","class","class","teacher","cluster","person","church","county","order","county","de","los","capacity","san","san","hospital","patient","hospital","patient","los","patient","restaurant","cuomo","person","learn","york","order","york","restrictive","city","prefecture","paralympic","airport","india","send","athlete","cancel","passenger","international","country","follow","public","stop","vulnerable","reiner","york","mayor"
"6","uk","dock","board","westerdam","quarantine","grand","coast","board","airport","sailor","navy","aircraft","dock","airport","supreme","bangladeshi","bangladesh","player","board","flight","test","will","positive","season","team","bureau","will","remote","person","district","letter","college","class","person","learn","campus","code","positivity","cuomo","city","york","school","blasio","angeles","school","icu","hospital","york","cuomo","california","york","angeles","city","capacity","restriction","learn","red","city","hogan","reopen","outside","de","relay","japan","russia","uk","foreign","support","japanese","athlete","commission","game","notice","build","strain","move","university","employee","proof"
"7","department","princess","yokohama","american","japan","quarantine","crow","navy","cruise","military","princess","positive","passenger","sailor","box","police","sailor","premier","inmate","airport","airline","season","statement","team","sport","student","year","person","county","cluster","staff","person","district","positive","education","code","zip","mayor","mayor","halloween","mayor","staff","county","tsa","angeles","bed","capacity","icu","angeles","care","city","blasio","indoor","area","court","federal","zone","governor","county","police","doria","major","rise","airport","market","produce","custom","deal","committee","osaka","open","severe","travel","child","participant","add","rhode","de","require"
"8","student","quarantine","dock","test","test","san","california","flight","defense","florida","dock","member","body","italian","marine","bolsonaro","flight","nypd","antimicrobial","team","football","positive","campus","online","season","instruction","option","plan","teacher","teacher","bolt","case","campus","staff","campus","zip","reopen","reopen","rate","threshold","prevention","rate","citys","passenger","york","york","los","blasio","southern","transport","icu","county","mild","lockdown","worship","rate","high","grocery","news","cardona","work","game","torch","summer","game","concentrator","concentrator","tweet","main","torch","within","delhi","system","back","early","study","island","blasio","enter"
"9","ask","diamond","test","diamond","japanese","california","dock","aboard","officer","board","positive","flight","port","march","victim","air","amphan","flight","passenger","player","protocol","semester","season","campus","class","general","university","teacher","reopen","class","learn","class","teach","sept","hand","brooklyn","positivity","area","student","detainee","vote","governor","bill","newsom","hospital","angeles","angeles","capacity","newsom","surge","site","hospital","mayor","western","de","guideline","social","reopen","governor","blasio","bed","experience","infection","de","strain","aid","ventilator","india","athlete","doctor","beyond","tokyo","nation","datum","quarter","make","application","healthcare","edwards"
"10","monitor","yokohama","westerdam","quarantine","aboard","test","port","port","navy","guest","board","roosevelt","onboard","cruise","nypd","court","grime","professional","company","race","play","sample","class","statement","return","education","nba","will","will","remote","instruction","dashboard","positive","campus","statement","neighborhood","county","de","de","citys","south","capacity","california","security","los","southern","cuomo","patient","hospital","bed","california","mayor","california","perth","learn","red","class","executive","instruction","savannah","draft","delta","japans","game","drug","assistance","government","japans","president","address","citizen","athlete","positive","july","go","use","college","worker","worker"
