"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hospital","li","li","street","iran","iran","minister","minister","prime","minister","minister","lockdown","prime","restriction","lockdown","johnson","minister","will","will","restriction","travel","travel","eu","melbourne","travel","travel","travel","andrews","zealand","zealand","travel","border","passenger","government","tedros","ka","test","cruise","airline","flight","border","taiwan","tedros","summit","china","jones","world","sputnik","manzanero","team","china","guard","police","prison","poll","zoo","symptom","feel","mental","child","child","county","person","school","oxygen","oxygen","oxygen","indian","fungus","fungus","variant","delta","delay","white","event","group","misinformation","biden","worker"
"2","medical","medium","chen","hospital","iraq","irans","prime","country","minister","prime","prime","prime","minister","lockdown","minister","minister","will","june","restriction","travel","airline","lockdown","uk","victoria","rule","victoria","uk","victoria","travel","new","uk","international","airport","airport","flight","cusimano","airport","travel","company","hawaii","newspaper","island","military","leader","world","china","billion","school","find","china","pope","dc","guard","moore","wait","gorilla","initiative","child","experience","transplant","hong","rate","respondent","disparity","delhi","hospital","hospital","oxygen","black","black","uk","hancock","patient","outcome","poll","county","murthy","employee","employee"
"3","worker","hospital","wenliang","expulsion","kuwait","iranian","country","border","lockdown","lockdown","johnson","minister","lockdown","will","allow","will","june","allow","government","will","restriction","minister","country","lockdown","government","mandatory","spain","travel","minister","ardern","prime","travel","screening","uk","airline","mauri","scottish","traveler","passenger","passenger","frederiksen","world","financial","north","north","korean","global","student","china","school","francis","deploy","man","bowl","republican","trial","gigi","get","pandemic","lung","point","average","school","department","hospital","indian","delhi","patient","indian","case","phe","uk","uk","antibiotic","address","rate","house","federal","biden"
"4","go","social","chinese","wall","iranian","ministry","hank","travel","will","measure","boris","johnson","restriction","minister","will","lockdown","allow","prime","ease","minister","country","country","minister","andrews","mandatory","home","government","restriction","new","minister","new","greece","screen","flight","umrah","test","conduct","enter","cathay","airline","strategy","lose","return","world","european","north","vaccine","country","composer","wuhan","wuhan","holmes","deploy","police","bowl","ash","shum","respondent","child","donor","kong","low","man","puerto","indian","supply","supply","lockdown","patient","detect","label","india","minister","prescription","april","republican","advisory","worker","house"
"5","supply","wenliang","video","notice","irans","toilet","iran","prime","country","government","lockdown","easter","measure","allow","restriction","government","prime","ease","measure","measure","zealand","restriction","list","marine","minister","uk","andrews","traveler","uk","auckland","minister","country","rise","crisis","international","gun","family","zealand","hong","japan","worry","hydroxychloroquine","health","korea","un","south","access","vaccinate","post","origin","vatican","trujillo","arrest","violation","super","black","treat","likely","impact","hope","migrant","coverage","student","patient","minister","election","indian","hospital","india","india","name","border","diagnosis","need","aware","vote","white","president","federal"
"6","cnn","police","online","iran","qom","minister","saudi","will","ban","home","intensive","measure","will","india","government","prime","lockdown","minister","phase","border","border","flight","travel","minister","confinement","australian","victoria","italian","restriction","case","germany","government","traveler","demand","phase","virtual","international","bubble","travel","travel","traveler","ministry","south","korean","offer","accuse","mental","story","chinese","chinese","scientist","screen","charge","super","member","diagnosis","long","poll","care","claim","numb","resident","care","learn","indias","delhi","patient","oli","state","maharashtra","government","government","substantial","minister","cut","symptomatic","psaki","requirement","president"
"7","city","anger","friend","qom","middle","paper","india","measure","measure","country","government","india","johnson","prime","prime","allow","restriction","restriction","border","government","quarantine","plant","traveler","flight","uk","government","traveler","people","ardern","country","france","world","travel","oxfam","airport","harrison","world","australia","kong","airport","danish","member","church","military","border","kim","dybing","involve","wuhan","international","origin","member","national","veteran","see","participant","trouble","venezuela","year","program","visit","serbia","learn","age","india","rally","bed","modi","delhi","minister","detect","emergent","india","run","eat","strategy","share","thursday","office"
"8","mask","lis","doctor","wuhan","agency","country","measure","enter","travel","india","raab","country","india","johnson","ease","reopen","travel","measure","allow","uk","minister","airline","border","will","lockdown","spain","europe","government","auckland","restriction","zealand","industry","economic","fly","support","teacher","local","bank","baker","traveler","british","year","act","future","hh","foreign","country","russian","head","beijing","expert","survey","troop","daughter","trust","life","way","little","nurse","pandemic","american","behind","instruction","group","patient","india","shortage","pradesh","hospital","patient","delta","variant","see","season","evolve","effective","biden","require","step"
"9","get","whistleblower","wan","doctor","level","holi","ministry","ban","citizen","modi","uk","ban","travel","measure","measure","outdoor","country","border","shield","country","european","government","european","australian","marine","andrews","quarantine","england","quarantine","passenger","country","uk","uk","increase","pilgrim","go","staff","australian","worker","pay","contact","despite","loss","personnel","crisis","russian","treatment","malaysia","world","investigate","global","duty","riot","fine","friend","church","system","bite","poll","benefit","since","vaccination","fulltime","system","party","modi","pradesh","supply","oxygen","hospital","wave","week","lift","seasonal","lab","effort","rodrigo","regular","psaki"
"10","medium","build","student","foreign","ban","modi","italy","flight","india","migrant","british","will","ban","ease","border","travel","government","curfew","quarantine","quarantine","international","guetersloh","lockdown","border","quarantine","premier","minister","officer","locally","prime","case","flight","six","woman","quarantine","school","transport","takayama","industry","medicare","despite","foreign","feel","uk","tedros","minister","sister","hh","student","arrangement","organization","temperature","nih","sell","pandemic","color","attack","year","resident","contact","unvaccinated","analysis","open","high","shortage","indias","medical","prime","gujarat","state","case","astrazeneca","johnson","suggest","ongoing","see","vivek","get","press"
