"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","hong","hong","kong","hong","school","school","school","order","order","order","order","school","wear","reopen","reopen","reopen","reopen","reopen","reopen","reopen","reopen","beach","county","order","mask","mask","mask","mask","mask","mask","indoor","dine","will","will","restaurant","restaurant","local","restriction","lockdown","restriction","restriction","australia","lockdown","restriction","hong","restriction","uk","variant","variant","passenger","player","travel","transportation","travel","travel","travel","enter","yacht","travel","easter","travel","test","will","travel","travel","travel","lockdown","travel","travel","travel","airline","passenger","travel","now","plan","mandatory","house","fauci"
"2","kong","strike","kong","hong","kong","employee","student","close","inmate","stayhome","jail","gov","student","reopen","park","will","phase","park","phase","county","phase","business","county","order","restaurant","wear","wear","restaurant","restaurant","indoor","face","mask","allow","restriction","pm","bar","will","rule","level","victoria","will","bar","will","restriction","will","kong","beach","flight","uk","travel","airline","flight","quarantine","game","traveler","auckland","quarantine","pope","set","indoor","will","lockdown","travel","capacity","traveler","restriction","restriction","travel","ban","emergency","cruise","bill","travel","canada","say","offer","restriction","mask","eviction"
"3","mask","kong","border","lor","resident","student","district","will","prison","county","school","inmate","beach","order","student","park","will","beach","restaurant","allow","restaurant","restaurant","gov","beach","outdoor","passenger","face","rio","policy","outdoor","rule","iowa","bar","mask","johnson","county","close","government","curfew","andrews","measure","restaurant","south","will","lockdown","restriction","wale","ban","traveler","test","test","quarantine","hotel","airline","quarantine","zealand","rule","vatican","remain","airport","travel","restriction","restriction","lockdown","germanys","allow","australian","restriction","june","ice","memorial","travel","fine","airline","fall","company","test","floor","travel"
"4","will","border","mainland","police","survey","district","will","county","school","school","inmate","county","inmate","beach","beach","school","mask","bar","outdoor","capacity","business","phase","order","restaurant","indoor","require","restaurant","wear","distance","local","will","task","indoor","outdoor","restaurant","will","restriction","uk","minister","will","zone","will","restriction","hong","hong","airline","travel","variant","passenger","uk","flight","australian","traveler","hotel","test","positive","place","allow","friday","test","region","measure","close","measure","test","will","ban","sunday","enter","reopen","list","flight","violation","passenger","issue","access","french","republican","risk"
"5","border","lam","lam","officer","school","close","university","san","county","prison","county","prison","order","salon","mask","mask","county","will","allow","restaurant","indoor","park","will","bar","mask","mandate","require","bar","social","area","hurricane","outdoor","county","allow","bar","social","area","restriction","government","restriction","victoria","lockdown","restaurant","indoor","pm","flight","restaurant","restriction","ban","passenger","travel","open","uk","quarantine","passenger","authority","return","israeli","traveler","restaurant","restriction","will","minister","curfew","restriction","test","quarantine","enter","open","extend","france","requirement","flight","policy","passenger","apply","announce","white","destination"
"6","lam","union","worker","employee","will","home","class","court","student","gov","detainee","los","wear","nail","store","restaurant","museum","restaurant","june","festival","will","indoor","close","mask","gathering","indoor","bar","janeiro","physical","mandatory","mandatory","reopen","restriction","indoor","close","capacity","allow","minister","will","allow","melbourne","pm","limit","kong","city","will","south","travel","quarantine","ban","negative","tennis","ban","travel","hotel","test","contact","francis","travel","will","french","minister","quarantine","outdoor","flight","lockdown","australia","malaysia","measure","passenger","country","sail","faa","day","travel","describe","athlete","rep","house"
"7","mainland","mainland","employee","resident","extend","learn","employee","website","will","church","gov","chicago","sentence","restaurant","school","open","allow","phase","capacity","outdoor","gov","will","bar","park","close","restaurant","gym","de","warren","order","indoor","capacity","will","reopen","level","rule","pm","tier","restaurant","close","lockdown","orange","lockdown","allow","region","ban","household","passenger","test","flight","uk","travel","restriction","tokyo","buttigieg","lockdown","tanzania","scheme","return","outdoor","campaign","local","lockdown","travel","pm","organizer","lockdown","quarantine","ease","government","pay","carnival","propose","quarantine","monday","fund","worker","physician","greece"
"8","face","employee","kongs","hotel","ban","kong","closure","student","employee","essential","sheriff","mayor","meter","allow","employee","arrest","restaurant","june","will","indoor","county","disney","reopen","allow","bar","airline","county","face","wear","restaurant","order","allow","restaurant","must","expect","limit","gathering","manchester","allow","restaurant","minister","strict","pm","bubble","measure","sport","northern","country","negative","negative","france","passenger","entry","mask","negative","pm","kurz","near","reopen","angeles","measure","france","france","festival","outdoor","pm","enter","sri","curfew","prefecture","traveler","cruise","federal","fan","department","monday","make","wear","ireland"
"9","government","worker","government","prison","travel","seattle","close","child","release","florida","state","release","require","court","will","quarantine","distance","distance","resume","business","mayor","covering","restaurant","miamidade","gov","face","indoor","restriction","study","will","laura","bar","outdoor","sustain","alert","restriction","court","indoor","manchester","bar","hungary","zone","outdoor","toronto","open","passenger","shop","france","flight","country","french","melbourne","australia","australian","canada","airport","crowd","trip","holiday","permit","france","french","positive","ceremony","open","italy","traveler","curfew","yellow","allow","sail","france","three","will","flight","upon","england","rule","level"
"10","school","kongs","union","border","department","hong","march","order","close","inmate","close","church","county","school","salon","paris","beach","mayor","enter","restriction","allow","outdoor","july","wear","fine","covering","kong","order","model","dine","storm","county","capacity","andrews","wear","mask","mask","alert","lockdown","home","place","melbourne","local","tier","christmas","lam","lockdown","england","country","traveler","measure","restriction","zealand","traveler","will","quarantine","restriction","one","quarantine","air","chile","ease","public","indoor","quarantine","quarantine","negative","minister","entry","lockdown","everyone","traveler","policy","return","rule","building","end","national","discussion"
