"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","symptom","can","pipe","can","pandemic","test","dr","dr","fauci","mask","fauci","dr","antibody","study","vaccine","study","symptom","patient","study","antibody","drug","drug","vaccine","study","antibody","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","johnson","dos","johnson","johnson","johnson","dos","dos","dos","dos","patent","vaccine","vaccine","share","million","dos","million","africa","official","booster","effort","hospital"
"2","can","cough","build","pandemic","can","fauci","disease","fauci","disease","wear","mask","drug","study","vaccine","drug","syndrome","study","study","trial","vaccine","study","vaccine","trial","drug","vaccine","study","trial","drug","trial","trial","plasma","trial","trial","trial","trial","trial","use","trial","trial","trial","trial","trial","pfizer","fda","authorization","authorization","authorization","authorization","trial","dose","dos","trial","astrazeneca","johnson","pfizer","dos","johnson","johnson","vaccine","vaccine","company","vaccine","dos","vaccine","claim","country","vaccine","world","dos","dos","dos","dos","distribute","dos","australian","just","pfizer","find","patient"
"3","cdc","sneeze","transmit","think","hand","cdc","fauci","drug","dr","fauci","birx","antibody","researcher","trial","patient","antibody","trial","drug","drug","trial","vaccine","patient","study","patient","study","company","study","study","russia","treatment","fda","drug","drug","dos","dos","fda","authorization","pause","drug","company","israel","pfizer","trial","trial","dos","pfizer","pfizer","reaction","moderna","dos","pfizer","use","european","trial","company","johnson","dos","use","company","johnson","dos","manufacture","vaccine","million","commission","covax","company","vaccine","covax","covax","will","smith","million","share","conduct","may","meet","dos","care"
"4","contact","symptom","can","ryan","recommend","center","can","study","patient","drug","dr","fauci","dr","drug","remdesivir","drug","vaccine","test","patient","drug","trial","trial","drug","remdesivir","adult","test","phase","trial","phase","study","trial","plasma","astrazeneca","gate","fda","drug","emergency","johnson","safety","treatment","volunteer","pfizers","company","efficacy","moderna","dos","drug","dos","company","drug","trial","sputnik","eu","use","dos","european","company","dos","dos","dose","vaccine","quality","million","pfizer","trudeau","vaccine","million","ivermectin","astrazeneca","country","million","vaccine","small","likely","family","often","official","estimate","zients"
"5","disease","advise","house","flu","flu","can","infectious","blood","test","dr","drug","fda","disease","patient","trial","child","drug","trial","hydroxychloroquine","study","patient","study","patient","antibody","company","develop","giroir","antibody","russian","plasma","drug","treatment","clinical","company","participant","company","antibody","clinical","clinical","safety","vaccination","dos","authorization","pfizer","fda","uk","committee","drug","phase","use","authorization","emergency","johnson","sputnik","johnson","eu","use","production","trial","million","million","company","astrazeneca","johnson","canadas","astrazeneca","administration","waiver","supply","initiative","vaccine","supply","mexico","release","fight","evidence","brief","ad","bed"
"6","person","flu","cough","cough","wash","flu","get","can","need","disease","wear","test","patient","test","study","patient","researcher","vaccine","vaccine","patient","hydroxychloroquine","researcher","remdesivir","trial","research","trial","test","company","approve","antibody","convalescent","fda","company","say","company","hahn","trial","emergency","company","moderna","get","fauci","moderna","dose","pfizer","reaction","use","allergic","roll","trial","dose","efficacy","trial","astrazeneca","use","covax","trial","moderna","glenn","company","meet","plant","drug","allocation","deliver","court","waiver","dos","million","sisodia","covax","distribute","vaccine","service","force","today","datum","initiative","response"
"7","center","virus","virus","lot","dr","mask","blood","vaccine","supply","test","anthony","vaccine","test","clinical","virus","vaccine","clinical","researcher","datum","develop","researcher","fda","researcher","vaccine","severe","fda","speed","dos","clinical","clinical","trump","clinical","trump","supply","authorization","food","drug","drug","johnson","phase","phase","drug","fda","authorization","use","committee","advisory","use","use","india","drug","pfizer","company","authorization","dose","company","authorization","drug","novavax","trial","produce","dos","emergent","pfizerbiontech","company","vial","access","support","share","nation","sullivan","jj","conduct","distribute","link","dose","shot","mcconnell","oneal"
"8","health","contact","symptom","cure","sick","vaccine","institute","say","adams","trump","hydroxychloroquine","model","infectious","antibody","team","disease","patient","hydroxychloroquine","researcher","use","antibody","food","find","child","transmission","pfizer","fda","hydroxychloroquine","drug","drug","hahn","dr","use","pfizer","phase","political","fda","company","fda","prevent","cuomo","clinical","drug","committee","uk","fda","food","pfizer","reaction","moderna","company","company","union","company","production","trial","million","merck","million","astrazeneca","production","emergent","morrison","moderna","inspection","world","supply","country","johnson","johnson","country","production","land","country","thousand","need","federal","dramatic","icu"
"9","cough","hand","building","symptom","away","use","virus","patient","drug","face","infectious","researcher","virus","fauci","child","test","antibody","treatment","publish","scientist","treat","remdesivir","antibody","research","young","pool","company","telehealth","dos","company","authorization","administration","phase","clinical","johnson","volunteer","clinical","authorization","committee","lilly","fda","effective","effective","vaccinate","company","trial","administration","moderna","immune","authorize","approval","sinovac","phase","dos","recommend","production","emergency","company","moderna","mexico","deliver","meet","produce","april","pharmacy","delivery","trudeau","manufacture","country","government","official","biden","region","year","whole","another","administration","phe","see"
"10","virus","person","cure","need","cough","disease","people","need","trial","use","disease","trial","drug","remdesivir","blood","van","disease","use","treatment","lung","fda","woman","child","symptom","development","giroir","clinical","research","azar","astrazeneca","administration","convalescent","standard","dr","fauci","decision","company","volunteer","authorization","antibody","use","company","datum","candidate","drug","administration","us","modernas","novavax","phase","use","coronavac","authorization","european","drug","world","astrazeneca","pfizer","merck","canada","covax","batch","plant","johnsons","million","million","covax","company","manufacture","central","distribute","johnson","shipment","vaccine","late","certain","need","statement","lady"
