"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","city","year","economy","economy","drop","stock","market","airline","airline","employee","bank","billion","billion","quarter","million","billion","billion","company","million","economy","billion","billion","unemployment","fund","worker","billion","north","job","price","church","south","nasdaq","korea","rally","restriction","restriction","quebec","qingdao","state","xinjiang","asymptomatic","tier","rural","airline","nurse","defense","vaccine","vaccine","dos","dos","dos","dos","dos","dos","dos","dos","dos","site","teacher","state","old","old","eligible","vaccination","old","brazil","york","county","mccloud","incentive","free","county","state","win","august","vaccinate","student","school","school"
"2","year","lunar","plant","million","dow","market","stock","billion","billion","business","economic","airline","trade","billion","pledge","tourism","job","billion","app","billion","economic","economy","billion","company","amnesty","nurse","korea","million","economy","seoul","seoul","police","south","swaminathan","canadian","ontario","fatigue","china","china","china","xinjiang","crowd","facility","flight","ice","vaccine","receive","receive","vaccine","vaccine","vaccine","vaccine","vaccine","pharmacy","administer","vaccination","pharmacy","federal","eligible","old","april","open","adult","marine","vaccination","york","city","york","lottery","win","childcare","governor","gov","million","cdc","cdc","school","mask","mask"
"3","million","gamble","auto","business","point","point","trade","cut","stock","unemployment","economy","bank","money","airline","billion","job","vote","vote","cost","economic","economy","fund","job","program","healthcare","worker","korean","june","rise","south","korea","investor","link","korea","case","myers","home","commission","backstop","asymptomatic","identify","wed","delirium","schedule","clinic","personnel","shipment","vaccination","vaccination","administer","speed","administer","dose","vaccine","vaccination","vaccine","site","worker","care","eligible","open","april","eligibility","site","site","blasio","business","library","draw","county","july","gov","capacity","tweet","begin","test","proof","student","student"
"4","lockdown","city","impact","year","market","cut","trump","market","market","airline","airline","stock","eu","company","unemployment","company","bill","million","labor","stock","stock","forecast","million","employee","million","million","kcna","black","researcher","korea","police","sp","seoul","outbreak","city","roll","country","citys","winter","tedros","test","facility","nurse","pilot","ambulance","executive","dos","desantis","distribute","million","vaccination","reserve","administer","administer","vaccine","site","vaccine","nigeria","condition","vaccination","eligibility","eligibility","vaccination","community","connecticut","event","voyage","broadway","york","cash","governor","office","vaccination","prize","vaccine","student","gov","require","district"
"5","lunar","holiday","industry","impact","index","dow","travel","flight","business","billion","billion","file","airline","job","airline","economic","macron","worker","job","price","dow","childcare","fund","loan","pelosi","cut","quarter","low","compare","korean","social","ban","rally","south","ardern","council","daily","city","travel","kashgar","mass","rate","staff","delta","spin-dry","receive","pfizer","dos","administer","vaccination","administer","receive","vaccination","site","federal","state","appointment","senior","worker","community","state","anyone","april","target","governor","brazils","gov","fraud","maryland","ohio","site","announce","lift","one","week","will","state","county","require"
"6","travel","million","part","company","sp","low","oil","stock","benefit","stock","unemployment","unemployment","million","year","economic","unemployment","bank","financial","program","million","point","economic","economic","brother","protect","economic","tedros","korea","census","sarangjeil","link","bad","kcdc","currently","level","daily","stay","resident","go","mass","symptomatic","county","death","ability","rural","military","first","worker","million","distribute","pharmacy","lot","million","vaccination","site","will","supply","also","vaccination","age","carolina","eligible","state","california","rhode","year","recent","service","prize","etienne","program","million","office","will","age","release","public","wear","indoor"
"7","cancel","tourism","year","billion","fall","index","ban","trade","dow","market","company","sp","read","loss","company","airline","economic","app","economy","policy","open","pandemic","economy","brook","economic","pay","million","worker","june","jun","ban","stock","hong","sisolak","capital","quebec","warn","pollution","trudeau","order","kashgar","screen","morris","gimenez","box","staff","expect","hospital","vaccinate","vaccinate","receive","old","receive","supply","supply","federal","care","frontline","program","condition","anyone","march","plan","administer","lamont","brazilian","long","city","program","lottery","will","dose","will","vaccine","condition","unvaccinated","prohibit","district","mandate"
"8","station","lockdown","factory","china","bad","investor","europe","airport","package","trade","trade","dow","air","demand","norwegian","million","economy","economic","lockdowns","fund","market","price","money","eviction","fund","service","gdp","sector","month","religious","measure","korea","social","barr","factor","government","young","evers","region","force","shufu","move","area","system","hannan","senior","state","shoot","pharmacy","rollout","distribute","vaccination","vaccinate","federal","receive","pregnant","vaccination","dos","staff","pharmacy","age","gov","deadline","adult","start","covaxin","capacity","maryland","caribbean","prize","gov","state","site","news","city","mask","sign","mandate","county"
"9","wuhan","industry","outbreak","outbreak","stock","economy","dow","economy","stimulus","bank","employee","economic","pandemic","oil","year","economy","million","industry","claim","lockdowns","cut","american","market","expect","pandemic","protective","hate","economy","job","churchs","berlin","berlin","venue","gathering","majority","average","kluge","sale","season","commission","region","model","assist","hospital","association","sign","arrive","senior","receive","receive","administration","million","supply","state","pharmacy","supply","access","program","vaccine","dewine","south","wisconsin","open","state","dos","city","suspect","resident","latin","program","incentive","seattle","restriction","less","will","include","require","indoor","wear"
"10","restriction","casino","company","hurt","plunge","drop","index","economic","loan","economic","cut","claim","food","payment","loan","euro","unemployment","recession","billion","us","composite","expect","dow","market","food","home","nearly","jail","quarter","authority","gathering","close","seouls","measure","spike","emergency","jury","grow","people","protester","official","vermont","live","date","executive","system","monday","will","pfizerbiontech","site","rollout","state","slavitt","dose","appointment","administer","state","eligibility","school","eligibility","march","state","resident","appointment","program","tope","kit","gov","etienne","card","announce","west","news","state","say","recommend","law","mayor","staff"
"11","train","hubei","hit","bank","economy","rate","bad","fall","trade","company","business","program","world","fund","european","european","french","economy","loan","drop","nasdaq","birth","labor","file","reopen","survey","impact","compare","year","cluster","curfew","dow","prevention","rather","potential","case","case","information","pritzker","ice","case","disability","airline","colleague","airline","identify","hospital","biden","facility","nurse","million","dose","state","receive","will","distribution","distribution","service","provider","shot","vaccination","site","announce","gov","eligible","de","offer","open","hogan","delaware","million","eligible","governor","resident","vaccinate","staff","implement","guidance","university"
"12","new","plant","week","lose","lose","economic","economic","european","economy","loan","market","quarter","package","economy","passenger","fund","democrat","french","bill","point","year","trade","sector","million","estimate","twitter","industry","woman","index","gathering","church","nearly","case","vaccine","contain","control","next","case","amtrak","region","county","outbreak","march","smith","major","clinic","vial","perna","giroir","pfizerbiontech","get","vaccinate","vial","vaccinate","state","care","federal","supply","website","group","expand","vaccination","hawaii","eligibility","california","research","event","state","ohioans","scholarship","vaccination","administer","resident","cash","many","mitigation","bill","public","regardless"
"13","transport","economic","fashion","many","economic","financial","price","loss","cut","furlough","will","farmer","fund","economic","job","sector","european","pay","business","program","unemployment","recovery","program","suit","mcconnell","relief","economy","index","energy","kim","metropolitan","protest","africa","extend","movement","count","alone","news","gottlieb","program","tedros","san","kid","doh","service","pentagon","penny","first","operation","minister","reserve","care","federal","zients","hospital","receive","administer","pharmacy","walgreens","federal","north","vaccine","old","april","will","expand","authority","administer","will","vaccinate","every","open","open","gov","senior","remove","mask","governor","court"
