"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","travel","airline","cancel","due","drug","airline","league","olympic","olympic","tokyo","vote","election","hong","game","kong","game","town","watch","kong","mask","mask","mask","mask","school","fauci","school","fauci","fauci","child","say","cdc","fauci","giroir","trump","fauci","fauci","white","trump","fauci","fauci","trump","biden","trump","fauci","fauci","fauci","get","fauci","get","fauci","get","trump","biden","fauci","mask","fauci","fauci","mask","mask","foot","lab","report","world","johnson","clot","johnson","vaccine","vaccine","vaccine","vaccine","child","child","condition","child","risk","risk","get","behavior","trump"
"2","flight","flight","event","event","event","event","player","event","game","player","election","vote","event","child","family","live","student","pandemic","transmission","wear","wear","wear","wear","mask","school","fauci","school","say","say","fauci","guideline","herd","woodward","redfield","dr","trump","trump","white","trump","mask","fauci","trump","transition","thanksgiving","get","anthony","american","adams","fauci","adams","fauci","biden","administration","get","fauci","school","disease","mandate","cdc","distance","origin","origin","global","blood","johnson","fda","pfizer","age","young","child","age","age","trial","research","child","child","household","adult","daughter"
"3","airline","suspend","flight","airline","cancel","schedule","game","player","postpone","game","league","event","olympic","town","hong","town","watch","find","foot","transmission","disease","school","say","fauci","get","get","say","dr","can","dr","fauci","dr","trump","woodward","cdc","task","fauci","fauci","president","trump","dr","presidentelect","fauci","american","travel","say","fauci","dr","say","get","public","administration","get","dr","cdc","dr","go","lift","wear","cdc","theory","animal","blinken","clot","blood","vaccine","bourla","use","drug","age","vaccine","vaccine","child","risk","test","fauci","probably","kid","survey"
"4","us","travel","march","paris","march","game","postpone","postpone","tokyo","event","court","voter","kong","kid","yearold","hall","school","transmission","mask","asymptomatic","hand","go","fauci","wear","say","child","important","anthony","virus","child","dr","immunity","want","say","trump","house","house","president","expert","dr","mask","joe","force","family","mask","dr","dr","get","mask","say","go","fauci","house","biden","school","mask","dr","abbott","vaccinate","school","dr","virus","share","rare","vaccine","cdc","fda","child","child","booster","young","among","postcovid","vaccine","around","covid","definitely","people","think"
"5","airport","march","airline","temporarily","fda","march","tournament","game","committee","election","mail","postpone","wang","tokyo","try","baseball","year","droplet","family","school","people","say","get","get","disease","infectious","community","get","ryan","virus","hand","giroir","fauci","immunity","say","force","president","cdc","anthony","president","comment","task","dr","dr","say","get","vaccine","anthony","re","dr","dr","executive","white","vaccinate","guidance","director","director","texas","fully","walensky","walensky","world","happen","pause","rare","clot","use","recommend","age","ema","use","authorize","patient","bank","last","symptom","income","prevention","giroir"
"6","international","china","game","suspend","italian","tokyo","season","schedule","athlete","league","wisconsin","cancel","postpone","olympic","life","watch","hall","hall","fall","infect","transmission","young","face","say","go","important","go","birx","thing","giroir","need","birx","say","fauci","think","dr","director","house","dr","white","william","administration","house","trump","re","american","say","watch","go","mask","director","white","president","teacher","fit","walensky","mask","gov","guidance","mask","china","china","surface","vaccine","recommend","pause","authorize","teen","us","symptom","trial","authorization","company","among","somewhat","death","survey","program","qantas"
"7","traveler","us","schedule","march","source","flight","cancel","season","event","club","list","mail","year","sesame","name","kong","tourist","aerosol","mark","risk","ryan","people","go","go","anthony","disease","infectious","child","fauci","get","test","people","really","vaccine","spread","white","cdc","infectious","infectious","staff","prince","bidens","birx","indoor","people","mask","azar","cnns","think","go","want","house","fauci","walensky","get","teacher","infectious","vaccinate","mandate","control","redfield","source","smith","six","cdc","blood","drug","immunization","booster","participant","offit","adviser","novavax","home","say","tell","people","see","get"
"8","china","airport","april","cancel","lombardy","cancel","team","primary","postponement","statement","postpone","player","cancel","street","japanese","thunberg","kid","town","hong","person","sick","get","want","can","dr","adams","birx","think","american","anthony","task","say","know","want","disease","director","lead","dr","say","chief","wear","house","task","want","american","infectious","adams","vaccine","really","anthony","woman","briefing","walensky","anthony","wear","anthony","wear","fauci","lift","student","virus","wuhan","origin","recommend","pause","drug","food","drug","fda","walensky","authorize","trial","placebo","hour","june","friday","test","get","although"
"9","suspend","air","suspension","flight","product","sport","schedule","nba","abe","postpone","club","abe","raise","screen","year","ceremony","emission","quammen","queen","sick","school","like","re","reopen","mask","community","disease","can","watch","american","important","can","people","dr","guidance","redfield","american","virus","attack","house","want","white","president","holiday","wear","go","vaccinate","say","avoid","re","biden","walensky","trump","director","can","reopen","anthony","official","can","physical","prevention","organization","say","drug","advisory","rare","authorization","cdcs","johnson","young","follow","extend","meet","meet","positive","hospitalization","symptom","since","july"
"10","level","entry","cancellation","financial","agency","postpone","nba","organizer","summer","cancel","player","booth","hold","family","virtual","season","child","ceremony","sit","people","distance","wen","distance","open","infectious","say","child","know","dr","need","say","disease","think","know","birx","atla","contact","event","really","meadow","get","force","biden","white","dr","thanksgiving","anthony","vaccinate","wear","holiday","infectious","mask","say","say","anthony","prevention","thing","guidance","prevention","six","believe","leak","são","control","woman","woman","administration","young","food","old","fda","old","efficacy","note","weekly","breakthrough","live","responsibility","corp"
"11","warn","due","due","will","north","festival","play","cancel","ioc","play","voter","turnout","celebrate","breen","hall","league","venice","air","physical","symptom","parent","fauci","school","thing","community","anthony","ryan","back","family","redfield","update","task","deadly","president","know","mask","dr","conley","director","get","call","plan","say","drink","birx","surge","black","hall","travel","american","azar","joe","bidens","mask","think","allergy","back","wear","guideline","prevention","director","market","death","us","committee","review","pause","fda","dr","use","booster","food","treatment","last","pose","director","vaccine","pay","feel"
"12","statement","february","olympic","shanghai","ingredient","suspend","event","team","cancel","olympic","play","trial","concert","hall","read","commissioner","cnns","american","distance","stay","like","cdc","think","infectious","reopen","risk","anthony","deborah","get","thing","asymptomatic","white","national","disease","anthony","spread","guidance","donald","disease","wear","video","president","white","say","thing","azar","feel","collins","dr","director","vaccinate","office","goal","go","dr","get","question","want","travel","science","fauci","study","political","prevention","acip","food","submit","yearolds","phase","receive","moderna","thursday","symptom","official","among","cnn","fauci","find","television"
"13","province","foreign","mobile","neighborhood","pharmaceutical","will","sport","tokyo","player","stadium","primary","town","put","friend","nicholas","street","parent","henson","pony","read","say","distance","people","risk","think","transmit","get","school","back","can","force","force","get","control","task","administration","national","disease","interview","tell","fire","transition","person","food","think","people","watch","disease","anthony","want","still","federal","supply","house","biden","disease","know","get","walensky","guidance","opinion","likely","campaign","use","jj","recommend","booster","authorization","likely","authorize","old","issue","among","asian","level","dr","director","keep","kid"
"14","country","mainland","airbnb","enter","italy","due","april","suspend","japanese","season","abe","hold","store","anzac","father","event","gupta","family","school","survey","face","disease","message","want","thing","ryan","cain","disease","tedros","important","get","infectious","institute","comment","atla","president","public","campaign","get","anthony","collins","election","think","go","go","allergy","take","director","way","vaccinate","bright","president","dr","infectious","infectious","rochelle","say","business","control","apart","hypothesis","tedros","detail","cdc","meet","lift","clot","practice","walensky","medicine","birth","may","symptomatic","link","poll","people","forecast","household","die"
"15","hubei","shanghai","organizer","destination","tokyo","olympic","march","sport","schedule","charles","season","pandemic","town","race","event","hong","get","foot","interview","foot","africa","face","infectious","hand","use","go","dr","control","need","young","disease","cdc","flu","think","infectious","anthony","infect","infect","public","mandate","sun","economy","joe","put","want","know","biden","think","infectious","claim","need","will","need","bidens","director","wear","vaccinate","think","people","wear","former","laboratory","decade","among","recommendation","use","teen","committee","expect","look","want","drug","group","lockdown","everyone","pfizer","hotez","survey","lockdown"
"16","cdc","traveler","sevens","npc","shortage","fee","airline","hold","team","july","ballot","poll","election","gupta","vatican","father","baby","die","square","spread","get","risk","disease","like","expert","dr","re","expert","know","really","change","thing","bob","cdc","really","cdc","bright","ad","mask","campaign","break","donald","speak","thing","holiday","watch","confidence","surgeon","child","tell","ask","psaki","psaki","brief","walensky","guidance","think","greg","still","director","center","team","effectively","administration","immunization","email","blood","meet","use","johnson","group","adult","vaccine","postpone","go","either","reason","black","interview"
"17","foreign","airway","suspend","committee","due","milan","will","april","prince","festival","yemen","man","stadium","daughter","race","mlb","safe","long","black","face","thing","really","kemp","parent","child","know","mask","infectious","disease","infectious","contact","test","test","prevention","just","disease","role","test","rally","surge","crowd","former","want","outdoor","just","disease","think","institute","holiday","surge","now","american","joe","think","cloth","infectious","tell","mayor","gov","change","world","pandemic","maybe","fda","administration","risk","age","food","administration","woman","authorization","group","call","relate","house","great","really","frieden","american"
"18","change","advisory","level","angeles","milan","organizer","club","league","world","actor","june","party","lady","july","pandemic","speech","international","van","guidance","cover","avoid","keep","american","dr","ask","think","know","kid","interview","change","expert","anthony","infectious","virus","mask","say","foege","immune","wear","allergy","florida","say","senate","household","white","really","kaiser","jerome","cnns","surgeon","monoclonal","order","vaccine","supply","prevention","national","allergy","people","fauci","guideline","spread","embarek","brasil","food","johnsons","syndrome","johnson","us","group","authorization","brand","young","initial","ease","covid","national","hospitalization","every","fund"
