"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","citizen","flight","base","south","group","south","south","daegu","amazon","nurse","nurse","company","nurse","test","test","care","care","cummings","uk","home","app","prisoner","life","indigenous","okinawa","military","military","sanitizer","test","indigenous","hong","patient","patient","patient","black","study","flu","woman","study","researcher","woman","child","researcher","mask","cdc","mask","black","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","trial","trial","infect","study","variant","study","variant","variant","variant","study","fauci","variant","variant","variant","variant","variant","numb","dose","booster"
"2","flight","plane","plane","air","daegu","daegu","daegu","south","tube","amazon","test","ventilator","test","equipment","equipment","home","court","lockdown","home","work","friend","gate","pride","bolsonaro","indigenous","okinawa","supply","hand","letter","population","kong","study","adult","researcher","young","child","influenza","death","patient","study","child","infect","among","study","mask","study","study","virus","uk","mutation","virus","study","south","antibody","south","south","study","identify","study","study","test","protection","antibody","variant","study","child","study","study","researcher","researcher","email","study","delta","rate","delta","delta","variant","dos","dose"
"3","will","citizen","air","citizen","shincheonji","shincheonji","korea","city","smith","staff","hospital","worker","worker","hancock","nurse","ventilator","england","johnson","england","email","family","investigation","force","london","marathon","base","gelber","methanol","criticize","cdc","symptom","researcher","hospital","find","study","find","mink","mortality","death","child","among","guidance","people","antibody","redfield","hurt","child","strain","virus","scientist","cdc","africa","africa","strain","study","researcher","antibody","study","researcher","researcher","efficacy","study","serum","patient","infection","test","immune","researcher","study","fauci","variant","infection","study","study","spread","country","week","vaccine","world"
"4","evacuate","air","evacuee","korean","south","group","collapse","cluster","volunteer","hospital","ventilator","test","equipment","kit","protective","facility","hospital","dominic","london","care","sesame","pride","year","year","air","winter","okinawa","philippines","nurse","highway","study","pregnant","care","study","compare","survey","may","researcher","journal","patient","pregnant","cdc","study","american","child","cdc","woman","mask","strain","sequence","sample","virus","identify","mutation","africa","africa","dose","find","fauci","fauci","datum","vaccine","result","researcher","breakthrough","positive","find","identify","uk","patient","institute","identify","concern","disease","county","become","death","month","september"
"5","wuhan","evacuation","citizen","evacuee","korean","korea","north","religious","service","worker","giroir","mask","protective","plant","mask","hospital","ventilator","durham","johnson","question","worker","hajj","air","police","us","personnel","cain","cdc","tv","symptom","indigenous","negative","study","fit","patient","researcher","eight","symptom","find","find","age","researcher","child","people","symptom","compare","among","scientist","colorado","strain","mutation","antibody","strain","protection","protection","strain","find","coronavirus","pregnant","test","disease","dose","people","symptom","find","household","estimate","breakthrough","identify","institute","allergy","virus","antibody","come","us","israel","delta","six","vaccine"
"6","passenger","charter","repatriate","base","korea","korean","build","province","hancock","fire","equipment","equipment","ppe","personal","uk","resident","attorney","london","arrest","sleep","song","life","police","run","corp","police","personnel","office","cdc","quarantine","man","nurse","researcher","athlete","find","age","world","rate","blood","heart","likely","wear","american","virus","physical","researcher","flu","child","appear","study","find","researcher","appear","sequence","oxfordastrazeneca","study","first","infection","find","infectious","dsmb","six","variant","find","child","show","team","report","antibody","variant","study","test","protection","low","health","week","country","receive","shot"
"7","plane","california","foreign","force","religious","religious","korean","li","khan","patient","dharavi","plant","kit","protective","ppe","nurse","facility","uk","stay","president","tropical","rover","resolution","central","prefecture","minister","aamc","treatment","doctor","survey","patient","write","find","young","minority","drink","kill","pandemic","researcher","research","aap","among","disease","researcher","control","event","research","uk","transmissible","sample","new","find","fauci","uk","strain","sequence","africa","south","woman","severe","symptom","antibody","parent","app","risk","pregnant","vaccine","evidence","among","research","researcher","little","uk","transmissible","concern","high","case","efficacy","country"
"8","south","will","south","plane","military","kim","religious","korea","government","ventilator","production","nhs","doctor","lab","release","fire","die","prime","boris","uk","street","party","jewish","embassy","veto","dog","positive","poison","hh","swab","via","symptom","research","black","antibody","adult","oil","group","lose","age","risk","mask","find","collection","guidance","wear","event","researcher","identify","virus","know","new","first","study","vaccine","trial","south","africa","identify","find","severe","long","child","increase","pregnant","school","effective","classify","hancock","virus","dr","infect","researcher","identify","official","dominant","cuba","country","population"
"9","government","canadian","force","charter","israel","kcdc","city","volunteer","price","nhs","service","hospital","supply","uk","taliban","inmate","wale","minister","british","prosecutor","special","court","military","cooper","military","normal","among","indigenous","former","test","account","test","remdesivir","mental","researcher","poll","poll","find","year","team","illness","disease","native","among","risk","significant","mask","mutation","spread","africa","case","identify","detect","sample","identify","identify","infection","uk","antibody","positive","clinical","participant","study","trial","researcher","variant","infection","increase","breakthrough","six","infectious","researcher","alpha","sample","world","pfizer","report","age","dos"
"10","say","base","san","flight","base","city","seoul","ma","ventilator","service","doctor","nurse","hospital","mask","turkey","tribe","office","boris","police","duke","ceremony","passenger","installation","personnel","law","japanese","defense","die","station","use","first","woman","severe","hospital","condition","patient","leave","black","plasma","young","find","navajo","old","write","recommend","face","trudeau","infectious","scientist","african","appear","mutation","virus","africa","severe","sample","result","concern","symptom","datum","study","clinical","protection","sample","patient","datum","response","effective","booster","disease","positive","become","first","vaccination","continue","rise","total","ministry","germany"
