"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hospital","hospital","ghebreyesus","hospital","robot","town","nurse","website","town","nurse","nurse","nurse","nurse","child","yearold","town","student","victim","black","city","friend","mask","mask","mask","go","mask","mask","mask","mask","election","hand","reopen","weekend","mask","mask","ka","jenkins","allow","seat","mask","gathering","presidentelect","transition","will","vaccine","vaccine","shipment","dos","dos","dos","dos","dos","dos","dos","dos","vaccination","dos","dos","johnson","dos","old","johnson","johnson","dos","biden","biden","biden","house","biden","biden","biden","due","harris","american","say","say","restriction","probably","trump"
"2","medical","treat","hospital","tedros","tech","hall","collapse","google","nurse","hospital","egger","raise","raise","kid","cnns","baseball","cyclone","american","protest","blasio","mask","wear","wear","wear","get","wear","wear","wear","wear","vote","order","ballot","mask","wear","wear","cusimano","event","distance","crowd","wear","order","force","airline","store","dos","dos","vaccine","vaccine","vaccine","million","vaccine","vaccine","vaccine","administer","vaccine","dos","site","production","dos","million","april","vaccine","dos","vaccination","american","dos","administration","white","hate","virginia","american","flight","president","biden","get","government","social","review","former"
"3","patient","patient","tedros","team","giant","correspondent","hotel","nurse","room","biden","get","home","community","town","town","league","town","know","life","de","stay","school","face","go","mask","face","gohmert","rio","absentee","mask","berlin","theater","beach","indoor","distance","mauri","court","rule","exception","police","statement","task","biden","desantis","cv","receive","dos","vaccination","distribute","vaccine","million","receive","million","pharmacy","administer","vaccine","vaccine","facility","end","administration","eligibility","quality","vaccine","million","get","administration","american","american","house","president","president","poll","vice","july","hear","fact","government","booster","eviction"
"4","worker","drug","directorgeneral","ghebreyesus","chinese","nurse","census","test","website","staff","list","feel","read","street","home","hall","school","pandemic","affect","wear","mayor","think","think","think","wear","covering","face","de","election","order","tweet","voter","dine","event","indoor","teacher","dame","crowd","wear","face","law","biden","top","worker","store","vaccination","receive","million","vaccination","administer","receive","administer","administer","vaccine","vaccination","site","pharmacy","partnership","biden","vaccine","johnson","manufacture","biden","johnson","white","white","effort","fund","cruise","american","childcare","biden","white","president","social","biden","happen","think","drug"
"5","staff","build","adhanom","equipment","protect","cnns","hank","tool","mental","physician","feel","pope","walk","family","read","thunberg","hall","watch","risk","sleep","kid","say","say","want","say","mandate","rep","mandate","ballot","mail","indoor","indoor","wear","distance","place","bannister","jury","mask","immunity","indian","business","bidens","bidens","customer","moore","first","first","pfizer","vaccinate","vaccination","pharmacy","dose","supply","supply","supply","supply","vaccination","federal","white","canada","state","april","eligibility","house","administration","us","vaccine","vaccination","american","pandemic","job","national","house","psaki","white","vaccine","europe","drug","booster"
"6","mask","supply","organization","worker","hospital","africa","search","license","test","cuomo","patient","family","get","dr","family","speech","watch","town","often","york","parent","really","go","school","face","say","hate","janeiro","voter","wear","face","outdoor","indoor","governor","social","event","wear","social","distance","law","court","plan","presidentelect","prioritize","spin-dry","will","hospital","vaccinate","administer","distribute","administer","vaccinate","dose","state","vaccinate","administer","administer","vaccine","house","johnson","plan","plant","state","allocation","process","vaccine","white","site","crime","claim","benefit","american","american","goal","vaccinate","go","uk","re","kelly"
"7","supply","combination","team","directorgeneral","worker","child","life","symptom","tell","cnn","tell","video","song","breen","one","live","cnns","cnns","de","people","wear","gate","distance","get","mayor","think","sheriff","distance","distance","cdc","mask","movie","mason","sisolak","costume","gun","georgia","fan","mask","man","critical","appeal","senate","allocation","nurse","defense","administer","administer","million","vaccinate","reserve","million","vial","million","site","million","appointment","million","vaccine","will","march","dos","million","state","official","house","president","biden","asian","administration","house","still","national","make","house","likely","cause","tell","immune"
"8","build","treatment","patient","adhanom","food","gupta","cnns","can","wife","tell","say","francis","covid","sesame","try","watch","bangladesh","hall","worker","threshold","people","people","kemp","face","school","part","tell","trump","vote","poll","german","allow","trump","gelber","celebration","school","outdoor","zealand","gelber","ezike","distance","former","talk","plan","vaccination","military","pfizer","desantis","dose","rollout","rollout","rollout","vaccination","federal","pfizer","federal","state","merck","vaccination","community","million","company","administration","zients","shot","official","get","president","federal","renew","unemployment","care","community","even","point","administration","antibody","emergency","giroir"
"9","bed","medical","wan","send","delivery","hotel","care","gupta","daughter","say","help","woman","fear","park","story","play","life","cooper","dormitory","mayor","school","want","adams","say","know","layer","barr","face","gather","ballot","facebook","hair","labor","rally","seat","poll","police","lincoln","herd","seat","confirm","murthy","robot","care","facility","staff","vaccination","care","pfizerbiontech","site","vaccination","vaccination","vaccinate","site","receive","will","access","site","administration","age","age","emergent","april","community","house","astrazeneca","goal","administration","white","memorial","free","age","host","past","concern","cause","lift","can","soon"
"10","protective","bed","appear","nebraska","approach","firefighter","rescue","li","photo","patient","mother","walk","black","gupta","eat","father","kid","henson","nsw","stay","sesame","just","want","reopen","think","lot","gathering","sheriff","texas","georgia","sanitizer","election","president","college","event","police","social","takayama","face","store","face","rule","blunt","document","ice","administer","arrive","receive","delivery","distribution","distribute","reserve","federal","dose","appointment","office","zients","company","million","old","carolina","site","adult","white","million","share","house","official","unemployment","progress","white","business","kamala","get","people","variant","monday","datum","interview"
