"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","flight","flight","flight","american","flight","school","school","order","order","order","order","cuomo","school","reopen","reopen","reopen","reopen","reopen","reopen","reopen","phase","reopen","reopen","student","school","school","school","school","school","student","student","student","school","student","school","student","school","school","murphy","child","child","mink","mink","positive","positive","giuliani","house","biden","pharmacy","letter","biden","biden","biden","republican","biden","house","bill","biden","bill","biden","biden","billion","biden","help","china","send","aid","patent","vaccine","vaccine","share","smith","dos","million","official","school","school","order","de"
"2","us","air","base","flight","passenger","flight","student","close","close","gov","school","school","reopen","business","will","will","will","will","will","allow","reopen","phase","will","school","cuomo","student","student","student","student","school","school","school","student","school","student","school","test","student","school","candy","test","farm","farm","test","test","trump","penny","furloughed","biden","school","presidentelect","trump","trump","house","house","bill","house","president","payment","president","president","small","federal","russian","russia","india","send","india","dos","covax","dos","vaccine","vaccine","dos","every","person","student","mayor","york"
"3","airline","airline","us","us","airport","employee","will","school","mayor","stayhome","gov","gov","gov","will","allow","school","distance","allow","outdoor","restaurant","business","will","indoor","reopen","student","learn","district","district","district","campus","university","university","university","university","staff","york","positive","test","de","kid","governor","denmark","grassley","campaign","campaign","house","white","team","white","learn","fund","administration","administration","relief","president","biden","biden","business","house","administration","education","fund","passport","international","emission","foreign","foreign","support","covax","dos","covax","million","million","go","can","student","tuesday","york","blasio"
"4","airport","us","miramar","charter","airline","airline","district","restaurant","city","essential","close","reopen","distance","restaurant","school","outdoor","restaurant","june","phase","capacity","cuomo","gov","gov","will","york","open","reopen","learn","learn","district","campus","campus","teacher","positive","university","campus","student","mayor","person","halloween","minister","cull","positive","loeffler","department","jones","trump","attend","access","employee","relief","executive","president","biden","trump","democrat","vote","house","stimulus","american","administration","biden","president","inquiry","release","oxygen","uk","world","million","pfizer","country","will","version","official","health","fall","game","gov","mayor"
"5","american","suspend","san","diamond","air","will","employee","will","gov","school","state","order","governor","allow","restaurant","allow","school","phase","allow","restriction","will","student","phase","cuomo","reopen","instruction","person","reopen","person","learn","class","college","class","person","class","teacher","york","positive","test","school","office","danish","republican","tweet","obama","test","biden","joe","mountain","currently","plan","briefing","white","democrat","bill","senate","wage","american","biden","trump","fund","federal","sure","effort","manufacture","sii","support","organization","share","country","vaccine","distribute","johnson","share","department","mitigation","summer","cuomo","city"
"6","department","march","air","base","diamond","district","closure","gov","school","florida","beach","state","state","salon","business","distance","allow","park","june","will","allow","require","order","campus","indoor","district","learn","teacher","parent","university","education","learn","staff","class","person","test","staff","negative","quarantine","family","aap","human","test","sen","trace","positive","receive","presidentelect","house","keep","joe","order","house","budget","relief","president","democrat","white","check","relief","putin","russian","community","federal","global","uk","india","supply","country","initiative","distribute","administration","distribute","will","local","cdc","hotez","executive","new"
"7","international","airport","airline","plane","route","student","close","cuomo","blasio","state","governor","governor","cuomo","school","restriction","restaurant","social","distance","capacity","open","gov","restaurant","dine","online","will","will","parent","class","teacher","class","reopen","iowa","campus","campus","quarantine","positive","chief","city","contact","decision","result","strain","sen","georgia","concern","source","official","receive","employee","miss","congress","federal","psaki","bill","committee","pass","relief","year","earn","bill","psaki","yemen","will","live","longterm","covax","oxygen","waiver","global","company","million","biden","land","vaccine","lockdown","prevention","implement","everyone","proof"
"8","statement","base","american","ship","march","march","university","delivery","stay","county","extend","business","will","gov","distance","student","guideline","mayor","restriction","outdoor","york","business","restaurant","gov","state","child","close","child","reopen","teacher","letter","class","teach","blasio","learn","education","negative","attend","jersey","class","work","mutation","senator","penny","former","former","vice","pay","team","inmate","package","white","goal","pass","white","administration","minimum","relief","american","house","relief","develop","remark","senate","volunteer","fund","concentrator","poor","johnson","world","sullivan","dos","process","process","many","implement","office","governor","restaurant"
"9","california","american","department","board","american","seattle","class","county","effect","governor","mayor","will","student","shop","student","ease","county","restaurant","restaurant","phase","restaurant","campus","governor","york","bar","decision","child","plan","county","remote","will","person","faculty","mayor","party","city","close","person","staff","cloth","negative","test","danish","dog","follow","attorney","president","house","attend","net","american","house","bidens","resolution","administration","relief","president","contribution","relief","psaki","kremlin","involve","send","putin","energy","assistance","generator","country","african","billion","will","production","zients","yet","dangerous","strategy","travel","state","mandate"
"10","passenger","san","march","evacuate","april","screen","airport","closure","will","resident","resident","say","order","mayor","mayor","phase","june","bar","shop","indoor","andrew","park","cuomo","restaurant","district","person","gym","remote","class","reopen","county","will","positive","learn","education","person","thomas","sale","york","pediatrics","prime","population","attend","republican","gao","rudy","test","isolation","cnn","team","professional","american","american","vote","package","committee","white","psaki","will","law","covax","course","go","president","citizen","help","ventilator","international","astrazeneca","johnson","official","share","mexico","country","open","remove","gov","de","public"
