"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","sars","sars","sars","qom","iran","iran","country","country","lockdown","lockdown","lockdown","lockdown","lockdown","lockdown","india","border","airport","border","spain","travel","border","plant","eu","victoria","travel","prison","uk","travel","zealand","zealand","restriction","restriction","restriction","restriction","restriction","restriction","restaurant","restriction","restriction","lockdown","restriction","restriction","lockdown","lockdown","restriction","restriction","restriction","christmas","england","lockdown","lockdown","lockdown","uk","uk","wait","uk","england","british","pregnant","city","expand","walensky","dr","fauci","get","york","get","fauci","fauci","intelligence","fauci","think","get","vaccinate","month","symptom","child","across","fauci"
"2","outbreak","baby","pipe","iran","italy","irans","italy","border","ban","flight","slum","ministry","travel","india","lockdown","indian","lockdown","prayer","border","border","travel","minister","country","melbourne","government","inmate","spain","victoria","restriction","church","new","government","case","lockdown","minister","restaurant","quebec","minister","government","minister","lockdown","lockdown","measure","restriction","will","lockdown","lockdown","restriction","restriction","england","germany","uk","school","survey","uk","lockdown","lockdown","england","source","foreign","uk","airline","fauci","allergy","fauci","get","job","get","think","dr","email","dr","vaccinate","get","point","covid","state","available","may"
"3","virus","kill","kill","sars","iranian","italy","ban","ban","minister","minister","ministry","travel","restriction","tourist","indian","travel","border","curfew","travel","country","eu","eu","list","minister","uk","passenger","andrews","andrews","travel","seoul","korea","south","south","will","prime","minister","case","uk","minister","victoria","minister","bar","restriction","will","measure","korea","seoul","lockdown","lockdown","uk","measure","england","student","respondent","poll","group","uk","million","resident","seoul","add","slavitt","walensky","anthony","vaccinate","swaminathan","say","think","go","fauci","director","fauci","social","dr","board","respiratory","tennessee","good","anthony"
"4","spread","infect","build","syndrome","irans","ministry","iran","travel","restriction","measure","flight","border","police","home","nationwide","lockdown","curfew","allow","curfew","restriction","country","travel","travel","lockdown","minister","airline","travel","traveler","new","south","seoul","border","september","country","lockdown","bar","restriction","government","restaurant","french","measure","restaurant","minister","allow","pm","measure","christmas","seoul","christmas","measure","uk","home","minister","school","minister","johnson","government","likely","outbreak","blasio","care","house","slavitt","director","director","fauci","think","poll","us","origin","dr","need","shoot","respiratory","optimism","need","department","immunity","lockdown"
"5","people","death","virus","suspect","ban","iranian","lockdown","enter","will","migrant","countrys","minister","india","nationwide","travel","restriction","eid","ban","mosque","lift","tourism","guetersloh","lockdown","police","block","mask","victoria","restriction","uk","minister","case","ban","government","minister","case","region","minister","prime","prime","restriction","victoria","government","will","christmas","dec","german","measure","measure","gathering","johnson","school","school","lockdown","france","see","government","country","government","hong","worker","korea","biden","director","think","gupta","de","need","say","re","director","infectious","important","surge","push","condition","vaccine","vaccination","savannah","institute"
"6","china","outbreak","syndrome","originate","iraq","agency","minister","restriction","citizen","country","country","citizen","strict","indian","holiday","passenger","travel","measure","phase","government","france","quarantine","border","restriction","mandatory","bureau","quarantine","officer","auckland","case","zealand","country","traveler","victoria","uk","gathering","close","local","lockdown","announce","intensive","minister","bar","government","lockdown","restaurant","germany","december","service","minister","rki","minister","decline","lockdown","vaccinate","dose","ease","respondent","government","embassy","kdca","governor","us","dr","need","vaccinate","likely","vaccinate","allergy","national","anthony","soon","ask","antibiotic","business","people","law","numb","infectious"
"7","case","people","infect","study","kuwait","country","restriction","will","country","modi","restriction","modi","nationwide","extend","tourist","india","passenger","sanchez","movement","european","european","german","traveler","andrews","prime","federal","traveler","minister","border","new","link","mandatory","rise","outdoor","johnson","merkel","government","country","curfew","intensive","prime","germany","restaurant","gathering","jan","park","bed","restaurant","illegal","restriction","restriction","hancock","prime","minister","get","priority","german","country","disease","york","child","travel","vaccinate","get","people","city","immunity","back","director","institute","think","look","point","prescription","see","closely","immunization","expert","national"
"8","global","mother","spread","animal","qom","region","travel","measure","india","food","minister","india","muslim","ban","restriction","railway","flight","travel","spanish","tourist","restriction","meat","european","australia","tourism","document","minister","uk","minister","ardern","south","greece","daily","service","bar","lockdown","bar","alert","region","measure","zone","pm","government","indoor","minister","must","restaurant","household","nhs","school","england","daily","measure","countrys","everyone","february","boris","high","fitness","mayor","case","white","disease","vaccinate","claim","director","expert","disease","infectious","community","re","get","good","work","expert","common","minor","receive","discussion"
"9","infect","globally","respiratory","resident","region","italian","europe","spain","border","foreign","dharavi","chinese","beach","travel","migrant","age","conte","start","minister","measure","zealand","foreign","uk","prime","tourist","wear","germany","measure","close","restriction","minister","wave","pm","prime","measure","pm","will","lockdown","city","restaurant","announce","italy","limit","tier","government","activity","level","close","january","daily","place","college","country","prime","nhs","england","vaccination","research","gym","mandatory","right","see","now","house","anthony","go","poll","last","need","virus","national","really","lose","medicine","consumer","contact","prohibit","give","outbreak"
"10","around","china","hong","cotton","northern","czech","apply","citizen","cuban","citizen","indian","measure","ban","indias","ministry","turkey","will","will","territory","commission","minister","toennies","minister","pub","victoria","spain","government","government","lockdown","authority","transmit","quarantine","measure","sunday","restaurant","case","daily","england","manchester","andrews","will","melbourne","outdoor","minister","christmas","open","minister","gathering","alcohol","announce","nhs","staff","london","germany","véran","end","british","figure","nurse","korean","childcare","mask","prevention","infectious","someone","virus","virus","go","rural","booster","continue","go","many","drug","begin","exhibit","proof","move","possible"
