"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","emergency","can","can","can","level","mask","hand","study","distance","mask","fauci","fauci","dr","study","drug","study","study","patient","study","study","study","risk","researcher","child","tedros","study","study","researcher","child","symptom","symptom","patient","patient","patient","study","study","may","woman","study","researcher","woman","researcher","study","child","child","study","child","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","trial","trial","child","trial","pregnant","student","university","school","school","school","city","city","cuomo","win","conference","california","athlete","mask","missouri"
"2","health","cough","cough","surface","can","can","surface","vaccine","symptom","wear","model","model","disease","drug","patient","syndrome","researcher","study","patient","drug","patient","young","symptom","study","child","child","tedros","study","study","researcher","hong","researcher","adult","fit","patient","researcher","vaccine","symptom","patient","study","among","fauci","researcher","study","community","school","mental","strain","strain","mutation","virus","study","africa","strain","south","africa","africa","south","booster","study","datum","protection","trial","child","child","child","school","student","student","student","de","york","student","prize","office","cdcs","fully","mandate","court"
"3","organization","sneeze","cure","symptom","hand","hand","researcher","people","people","fauci","dr","dr","virus","fauci","remdesivir","child","symptom","drug","drug","use","researcher","patient","study","antibody","adult","symptom","ryan","child","researcher","population","study","study","researcher","researcher","researcher","child","price","mortality","find","patient","pregnant","home","patient","antibody","cuomo","researcher","young","child","virus","scientist","cdc","antibody","south","africa","africa","south","south","case","glenn","infect","efficacy","vaccine","infect","protection","result","pregnant","model","reopen","lottery","district","blasio","school","tuesday","venue","right","teacher","olympic","house","mandate"
"4","international","flu","study","hand","advisory","flu","touch","symptom","social","disease","birx","distance","antibody","antibody","study","patient","drug","researcher","hydroxychloroquine","researcher","dexamethasone","researcher","infect","symptom","study","disease","risk","antibody","nurse","cdc","kong","test","research","young","factor","survey","poll","rate","researcher","team","age","likely","remdesivir","collection","ambulance","child","group","virus","colorado","sequence","sample","africa","identify","antibody","study","identify","find","identify","study","company","dsmb","fauci","antibody","study","mrna","school","decline","york","mccloud","de","school","mayor","rate","scholarship","de","person","will","floor","mask"
"5","world","symptom","safe","researcher","wash","cough","cough","hand","study","face","mask","disease","researcher","disease","team","antibody","disease","hydroxychloroquine","trial","asymptomatic","find","disease","child","disease","disease","adams","reduce","survey","among","test","patient","pregnant","care","black","black","drink","try","researcher","risk","find","william","symptom","severe","prevalence","provider","woman","woman","world","uk","strain","identify","find","detect","mutation","oxfordastrazeneca","strain","mutation","uk","identify","türeci","astrazeneca","six","research","develop","moderna","enrollment","student","cardona","prize","offer","mayor","cuomo","state","can","blasio","fully","podium","st","louis"
"6","cough","virus","person","wear","recommend","clean","study","surface","harris","trump","anthony","antibody","study","test","blood","disease","patient","use","researcher","patient","blood","study","patient","infect","age","young","disease","tedros","policy","child","man","negative","find","study","likely","among","china","death","journal","age","compare","child","illness","range","rural","man","canada","uk","appear","study","africa","researcher","strain","south","vaccine","researcher","study","find","antibody","africa","disease","month","immunity","show","look","study","leather","person","program","person","york","governor","university","olympic","mean","will","tokyo","lucas","st"
"7","declare","wash","birth","cough","product","recommend","age","prison","homeless","dr","wear","white","cdc","dr","child","drug","hydroxychloroquine","droplet","journal","virus","disease","people","antibody","underlie","young","cdc","period","hand","cdc","likely","researcher","symptom","study","find","old","find","get","china","blood","antibody","likely","mental","find","aug","education","april","rate","evidence","world","virus","sequence","virus","first","sample","identify","sequence","researcher","concern","novavax","coronavirus","patient","clinical","letter","phase","chinese","patient","largely","service","draw","win","site","blasio","request","stop","will","say","brazilian","rule","qantas"
"8","case","hand","advise","nose","cough","protect","people","researcher","world","recommendation","trump","birx","test","birx","researcher","dr","infect","treatment","publish","disease","ryan","age","find","woman","group","adult","child","cdc","severe","hospitalization","research","woman","test","hospital","research","age","beijing","population","symptom","rate","prince","die","symptom","infect","hh","age","study","suggest","scientist","find","mutation","south","appear","uk","strain","sample","response","first","company","sequence","clinical","company","vaccine","company","group","covaxin","park","district","teacher","virtual","rate","de","win","tweet","still","describe","de","reinstate","lawsuit"
"9","public","large","touch","throat","sick","sick","risk","young","young","guideline","study","study","drug","remdesivir","evidence","kerkhove","child","virus","treatment","lung","publish","pool","cdc","condition","severe","infect","europe","sanitizer","adult","passenger","first","write","hospital","likely","estimate","symptom","world","study","plasma","doctor","find","visit","veteran","period","collins","compare","april","scientist","spread","sample","researcher","new","uk","identify","protection","mutation","sample","africa","africa","severe","concern","variant","protection","mix","effective","collins","employee","elementary","june","program","program","vaccination","fair","enter","mayor","fund","tray","kansas","shoot"
"10","sneeze","contact","nose","cure","travel","sanitizer","can","research","injury","distance","white","institute","infectious","patient","doctor","researcher","cause","test","datum","find","drug","sample","tedros","cdc","smoke","transmit","cell","immune","ryan","flight","strain","care","among","household","find","adult","poverty","find","lose","heart","illness","england","tedros","researcher","young","canada","system","mutation","man","kerkhove","uk","mutation","find","case","sequence","see","detect","immune","treatment","prepare","severe","immunity","clinical","laboratory","vaccine","among","public","fraud","campaign","blasio","bill","state","now","first","outbreak","sign","ceremony","rep","read"
