"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","xi","li","li","xi","trump","trump","trump","trump","vote","trump","trump","trump","trump","trump","trump","trump","trump","trump","redfield","trump","rally","trump","penny","trump","fauci","trump","fauci","fauci","fauci","fauci","cdc","fauci","giroir","redfield","fauci","fauci","fauci","trump","fauci","fauci","white","trump","trump","thanksgiving","fauci","fauci","get","fauci","fauci","fauci","guard","fauci","fauci","fauci","fauci","fauci","fauci","vaccinate","cdc","foot","lab","report","investigation","johnson","clot","johnson","vaccine","vaccine","vaccine","age","age","vaccine","child","child","child","rate","misinformation","facebook","hospital"
"2","president","xi","xi","president","president","penny","president","president","trump","president","president","president","president","president","china","white","china","president","trump","redfield","trump","president","trump","president","white","fauci","trump","dr","dr","say","fauci","herd","get","get","cdc","dr","white","president","trump","president","house","white","white","fauci","get","anthony","black","adams","get","say","fauci","walensky","walensky","dr","school","teacher","director","get","vaccinate","cdc","origin","origin","team","clot","blood","fda","pfizer","child","age","vaccine","child","child","claim","black","fully","vaccination","murthy","james","patient"
"3","meet","medium","chen","jinping","administration","house","house","house","senate","penny","vote","fund","china","donald","intelligence","house","house","us","president","president","tulsa","white","president","fauci","trump","president","birx","birx","say","giroir","guideline","immunity","fauci","disease","disease","director","trump","fauci","president","dr","trump","house","fauci","family","birx","dr","american","dr","thing","adams","dr","biden","get","director","buttigieg","school","surge","us","fully","distance","theory","animal","global","blood","johnson","vaccine","fda","use","child","child","vaccine","age","trial","american","case","republican","white","misinformation","think"
"4","outbreak","anger","wenliang","chinese","response","president","white","white","bill","biden","house","vote","task","china","president","administration","white","china","hong","fauci","campaign","rally","white","white","house","brief","white","trump","expert","dr","task","birx","institute","say","dr","cdc","cdc","house","dr","trump","dr","president","president","dr","people","say","fauci","anthony","dr","get","gounder","administration","dr","anthony","walensky","walensky","disease","cdc","travel","walensky","china","organization","source","pause","pause","use","age","age","kramer","ema","use","company","symptomatic","likely","survey","county","house","important","oneal"
"5","state","wenliang","police","praise","fund","white","penny","senate","stimulus","house","election","election","republican","us","house","president","president","administration","kong","campaign","president","house","rally","convention","dr","white","anthony","anthony","anthony","redfield","get","dr","people","fauci","say","house","dr","infectious","anthony","house","fauci","election","task","want","gather","get","adams","get","think","anthony","get","infectious","director","get","cdc","director","collins","feel","people","fauci","prevention","source","release","rare","vaccine","cdc","drug","recommend","fda","trial","offit","old","vaccine","compare","require","vote","biden","group","care"
"6","official","lis","medium","medium","house","administration","administration","vote","house","bill","republican","house","us","house","administration","dr","chinese","house","robert","north","oklahoma","penny","house","house","infectious","task","house","deborah","giroir","anthony","change","disease","test","dr","get","redfield","disease","test","infectious","chief","comment","biden","house","trump","long","holiday","vaccinate","collins","say","general","presidentelect","get","say","walensky","vaccinate","dr","go","fauci","walensky","school","redfield","virus","call","vaccine","rare","authorization","johnson","teen","emergent","use","trial","trial","fda","white","august","compare","american","social","daughter"
"7","government","crisis","online","response","white","fund","republican","secretary","package","stimulus","loan","leader","house","chinese","donald","china","resolution","convention","summit","force","white","campaign","wear","task","president","anthony","dr","say","room","disease","force","giroir","really","prevention","know","disease","director","white","allergy","white","crowd","adviser","force","indoor","thanksgiving","expert","vaccine","watch","anthony","dr","bidens","presidentelect","anthony","disease","disease","cdc","vaccinate","guidance","guidance","control","dr","world","raw","recommend","recommend","clot","authorization","drug","food","young","old","authorization","company","little","test","presidential","official","ask","bed"
"8","news","president","chinese","whistleblower","penny","billion","familiar","republican","trillion","pelosi","pelosi","organization","donald","biden","originate","secretary","administration","chinese","pangolins","carolina","attend","tulsa","mike","republican","top","briefing","get","president","shut","american","say","anthony","screen","director","watch","white","infect","conley","interview","mask","president","crowd","want","american","dr","thanksgiving","say","cnns","infectious","ask","infectious","dr","disease","allergy","guidance","disease","dr","walensky","mask","student","cdc","wuhan","report","food","woman","drug","bourla","dr","use","authorize","fda","mark","placebo","canada","school","number","share","family","department"
"9","control","police","doctor","real","request","senate","vice","brazilian","democrat","white","source","voter","brief","election","claim","donald","assembly","xi","us","dr","fauci","task","mask","event","expert","expert","infectious","think","house","really","test","thing","national","immunity","people","anthony","american","disease","really","national","individual","read","brief","holiday","say","really","dr","director","go","tell","transition","transition","us","say","dr","infectious","re","go","prevention","travel","fauci","study","china","administration","cdc","blood","food","fda","jj","old","moderna","among","efficacy","official","arizona","agency","surgeon","information","another"
"10","li","death","trump","speech","democrat","mike","rep","administration","deal","democratic","white","china","deal","intelligence","us","vice","call","white","queen","rally","mask","force","birx","penny","disease","infectious","re","task","jha","infectious","disease","task","allergy","american","anthony","say","house","cdc","director","anthony","message","administration","birx","drink","vantam","american","community","jerome","really","us","administration","anthony","school","possible","director","rochelle","anthony","fully","guideline","prevention","walensky","likely","sinovac","drug","meet","recommend","company","authorization","young","drug","group","emergency","among","also","conduct","control","president","yet","lake"
