k,start,end
1,2020-02-15,2020-02-21
1,2020-02-29,2020-03-06
1,2020-11-28,2020-12-04
1,2021-01-09,2021-01-15
1,2021-01-30,2021-02-05
1,2021-04-24,2021-04-30
2,2020-02-01,2020-02-07
2,2020-02-08,2020-02-14
2,2020-02-29,2020-03-06
2,2020-03-21,2020-03-27
3,2020-02-08,2020-02-14
3,2020-02-22,2020-02-28
3,2020-03-07,2020-03-13
3,2020-03-14,2020-03-20
3,2020-12-19,2020-12-23
4,2020-02-08,2020-02-14
4,2020-03-07,2020-03-13
4,2020-06-13,2020-06-19
4,2021-07-10,2021-07-15
5,2020-02-29,2020-03-06
5,2020-03-07,2020-03-13
5,2020-03-21,2020-03-27
6,2020-02-22,2020-02-28
6,2020-03-14,2020-03-20
6,2021-07-10,2021-07-15
6,2021-07-27,2021-07-30
7,2020-02-29,2020-03-06
7,2020-03-07,2020-03-13
7,2020-12-12,2020-12-18
8,2020-02-15,2020-02-21
8,2020-02-22,2020-02-28
8,2020-03-21,2020-03-27
8,2021-03-13,2021-03-19
9,2020-02-22,2020-02-28
9,2020-03-07,2020-03-13
9,2020-03-21,2020-03-27
9,2020-04-11,2020-04-17
9,2020-05-30,2020-06-05
9,2021-03-29,2021-04-01
9,2021-07-10,2021-07-15
9,2021-07-27,2021-07-30
10,2020-02-22,2020-02-28
10,2020-02-29,2020-03-06
10,2020-03-21,2020-03-27
10,2020-12-19,2020-12-23
10,2021-03-23,2021-03-26
11,2020-02-22,2020-02-28
11,2020-03-07,2020-03-13
11,2020-03-14,2020-03-20
11,2020-03-21,2020-03-27
12,2020-02-01,2020-02-07
12,2020-02-22,2020-02-28
12,2020-03-14,2020-03-20
12,2020-05-23,2020-05-29
12,2020-06-13,2020-06-19
12,2020-07-18,2020-07-24
12,2020-12-12,2020-12-18
12,2021-04-10,2021-04-14
12,2021-05-01,2021-05-07
13,2020-03-28,2020-04-03
13,2020-04-11,2020-04-17
13,2021-07-10,2021-07-15
