"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","strike","hong","hong","drug","mask","mask","cuomo","ventilator","york","ventilator","cuomo","cuomo","cuomo","cuomo","cuomo","york","cuomo","cuomo","york","cuomo","york","cuomo","cuomo","york","york","school","school","school","student","student","student","school","student","school","student","student","school","school","test","asymptomatic","taiwan","south","south","billion","korea","korea","european","dos","european","china","china","china","china","wuhan","china","temperature","feel","program","location","hong","airline","test","outdoor","party","election","may","party","cruise","etienne","water","supply","dewine","win","swaminathan","medical","white","house","house"
"2","kong","kong","kong","kong","fda","toilet","blood","store","cuomo","cuomo","cuomo","york","york","state","york","york","cuomo","gov","york","de","york","city","york","york","cuomo","state","da","district","student","school","university","school","student","school","student","school","school","student","student","hawaii","xinjiang","travel","australia","summit","china","south","kdca","taiwan","korea","china","hebei","beijing","chinese","organization","china","market","shum","likely","spend","apple","kremlin","travel","positive","capacity","election","bjp","lockdown","government","etienne","passenger","back","unused","last","prize","city","patient","president","mask","psaki"
"3","border","hong","build","resident","food","buy","cuomo","york","york","hospital","york","ventilator","new","say","new","gov","gov","york","blasio","blasio","andrew","blasio","indoor","state","state","gov","nang","student","district","campus","school","campus","university","university","class","teacher","diagnosis","woman","child","flight","mass","island","quarantine","test","north","korean","south","korea","european","eu","province","province","team","team","chinese","ash","chinese","china","likely","roll","putin","screen","travel","ceremony","team","party","order","show","curfew","employer","assistance","expire","lift","time","now","summer","house","floor","set"
"4","lam","border","pipe","pandemic","kong","shortage","census","food","supply","ventilator","hospital","andrew","andrew","gov","andrew","andrew","new","new","gov","cuomo","mayor","mayor","dine","gov","new","north","bar","learn","learn","university","campus","university","case","positive","learn","ka","community","travel","quarantine","japan","test","navajo","australian","cluster","tree","military","world","million","commission","chinese","chinese","panel","wuhan","market","embarek","church","family","poll","strategy","loan","kong","air","symptom","venue","worker","rally","industry","restriction","americas","são","last","stockpile","small","cash","encourage","requirement","rodrigo","republican","jen"
"5","government","lam","resident","need","hong","paper","store","restaurant","mask","new","andrew","blasio","gov","player","gov","city","mental","andrew","de","city","gov","jersey","gov","city","city","new","vietnam","york","parent","class","class","college","district","county","university","campus","campus","person","symptom","south","symptomatic","quarantine","adelaide","leader","korea","defense","country","pilot","million","korea","shijiazhuang","chinese","outbreak","world","human","pulse","gigi","little","home","cardona","peskov","major","friday","test","congress","event","state","area","yellow","offer","etienne","jj","particularly","scholarship","international","package","young","rep","kelly"
"6","mask","union","live","police","product","product","company","order","hospital","gov","new","gov","blasio","mask","de","new","blasio","tweet","say","mayor","say","de","city","reopen","de","authority","gov","person","teacher","learn","letter","learn","teacher","class","campus","cusimano","teacher","symptom","border","xinjiang","kashgar","flight","stevens","international","world","study","billion","market","eu","kdca","african","outbreak","quarantine","kong","origin","chinese","china","origin","poll","certificate","point","individual","quarantine","contact","indoor","bengal","restriction","follow","korea","include","hope","bill","begin","enter","without","tissue","biden","memo","sign"
"7","face","mainland","lam","roll","shortage","face","code","gov","gov","blasio","gov","new","say","lab","blasio","test","de","murphy","new","new","blasio","new","mayor","governor","gov","cuomo","governor","de","person","district","north","person","positive","person","plan","mauri","faculty","australia","day","program","shufu","statement","international","world","koreas","personnel","dos","sakhon","china","wuhan","scientist","independent","origin","wuhan","animal","wuhan","market","find","age","billion","russian","contact","bar","baseball","outdoor","west","allow","home","disney","south","community","statement","release","can","de","extremely","get","rule","white"
"8","will","government","building","ryan","ingredient","supply","use","mask","need","andrew","say","say","ventilator","andrew","beshear","antibody","dog","turner","queen","say","city","cuomo","phase","new","mayor","berkeley","york","city","county","cluster","carolina","class","faculty","sept","return","education","attend","september","australian","visitor","region","test","order","airport","austin","minister","vaccine","samut","chinese","origin","confirm","sleep","investigation","alliance","team","mission","difficult","bite","childcare","digital","biontech","game","contact","trace","west","hold","kerala","work","germany","employee","governor","gov","hope","build","worker","maskwearing","speak","attend","biden"
"9","mainland","employee","border","think","pharmaceutical","drug","supply","say","new","say","supply","de","de","help","say","de","test","say","mayor","governor","phase","phase","jersey","murphy","governor","california","district","reopen","reopen","teacher","person","case","class","staff","positive","university","learn","experience","app","giroir","china","nation","authority","virtual","investment","china","seoul","people","mass","team","round","organization","student","hong","investigate","ben","origin","respondent","think","theater","ago","player","close","travel","bengal","commission","weekend","go","america","incentive","round","ohio","town","mayor","world","janssen","mat","warn","president"
"10","close","staff","employee","border","device","supermarket","driver","delivery","bed","de","bed","hospital","need","tedros","app","blasio","race","governor","ride","gov","de","connecticut","reopen","say","rate","semester","student","cuomo","will","college","universitys","quarantine","teach","michigan","education","virtual","education","zealand","australia","asymptomatic","commission","visitor","cluster","quarantine","mental","foreign","navajo","bangkok","italy","german","asymptomatic","daxing","resident","covax","market","device","huanan","year","dream","global","childcare","expert","attendee","game","gandhi","poll","cruise","loan","italy","government","power","west","win","award","bill","occur","europe","guidance","exist"
