"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","symptom","can","cough","can","can","flu","dr","dr","fauci","mask","fauci","drug","antibody","vaccine","drug","study","study","patient","study","study","drug","patient","patient","study","study","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","johnson","johnson","johnson","dos","dos","brazil","leather","region","hate","american","benefit","airline","passenger","passenger","consumer","missouri","booster","psaki","allow"
"2","virus","cough","appear","surface","hand","respiratory","infectious","fauci","dr","wear","dr","antibody","test","study","vaccine","drug","vaccine","drug","drug","antibody","study","drug","study","drug","antibody","study","trial","trial","trial","trial","plasma","trial","trial","trial","trial","trial","authorization","trial","trial","trial","trial","pfizer","pfizer","fda","dos","pfizer","authorization","authorization","trial","dose","dos","trial","trial","johnson","johnson","johnson","johnson","johnson","company","company","company","quality","dos","million","drug","brazils","business","serum","crime","poll","enhance","flight","fine","pandemic","say","level","official","offit","health"
"3","cough","drug","spread","symptom","wash","hand","hand","study","disease","fauci","birx","dr","drug","drug","patient","syndrome","trial","vaccine","patient","use","patient","study","researcher","patient","vaccine","trial","study","drug","phase","treatment","fda","dr","drug","dos","dos","fda","use","pause","drug","phase","phase","trial","moderna","efficacy","pfizer","authorization","drug","reaction","use","dos","trial","use","astrazeneca","use","dos","european","dos","covax","johnson","dos","vaccine","manufacture","vaccine","allocation","federal","dos","brazils","business","region","concern","unemployment","taiwan","face","flight","business","vulnerable","pfizer","wen","lockdown"
"4","can","sneeze","can","researcher","recommend","can","can","infectious","symptom","dr","mask","fauci","researcher","test","remdesivir","child","drug","study","trial","drug","trial","researcher","trial","remdesivir","adult","company","phase","study","russia","study","drug","plasma","clinical","develop","fda","drug","trial","clinical","company","antibody","israel","dos","company","trial","authorization","drug","advisory","drug","moderna","use","pfizer","sputnik","johnson","trial","use","dos","company","moderna","trial","johnson","dos","dos","million","vaccine","million","sii","kit","application","biden","full","psaki","person","claim","policy","passenger","cause","meet","press","corp"
"5","disease","flu","patient","cough","use","cough","disease","disease","infectious","drug","wear","model","study","trial","study","disease","patient","use","hydroxychloroquine","infection","hydroxychloroquine","risk","drug","antibody","group","develop","speed","antibody","russian","plasma","trial","treatment","astrazeneca","company","participant","hahn","emergency","johnson","clinical","treatment","give","pfizers","authorization","vaccinate","fda","uk","emergency","allergic","phase","drug","authorization","emergency","european","dos","pfizer","eu","authorization","dos","booster","africa","million","vaccine","production","sputnik","vaccine","company","export","brazil","american","top","american","march","policy","labor","spend","expect","need","paul","sound"
"6","contact","virus","transmit","scientist","like","fauci","fauci","get","get","face","disease","fda","swab","antibody","child","patient","antibody","trial","researcher","risk","researcher","trial","vaccine","trial","young","phase","moderna","researcher","approve","antibody","convalescent","clinical","dr","clinical","authorization","company","drug","volunteer","safety","moderna","dos","drug","drug","authorization","drug","reaction","committee","use","company","india","dose","company","eu","authorization","trial","pfizerbiontech","use","pfizer","develop","china","deliver","company","emergent","pfizer","free","lockdown","dos","audience","asian","stadium","like","year","flight","since","indicator","fauci","recommendation","anyone","request"
"7","animal","symptom","researcher","may","symptom","like","town","drug","trial","recommend","model","distance","cdc","fauci","trial","vaccine","researcher","hydroxychloroquine","treatment","researcher","treat","treatment","remdesivir","test","severe","fda","clinical","company","clinical","clinical","hahn","convalescent","pause","astrazeneca","company","decision","antibody","drug","fda","company","volunteer","effective","trial","dose","company","committee","food","pfizer","pfizer","trial","use","efficacy","company","astrazeneca","oxfordastrazeneca","company","million","use","glenn","us","produce","plant","drug","end","deliver","vaccine","brazil","export","latin","lockdown","labor","association","faa","air","since","central","company","remain","cross"
"8","spread","person","cure","study","nose","disease","director","trial","town","use","hydroxychloroquine","vaccine","fda","clinical","researcher","antibody","disease","researcher","datum","asymptomatic","fda","fda","antibody","child","treatment","pfizer","researcher","develop","dos","company","trump","fda","approval","say","johnson","safety","fda","company","johnson","safety","china","authorization","fda","pfizer","trial","dos","use","moderna","administration","pfizerbiontech","approval","dos","union","sputnik","authorize","approve","trial","million","emergency","trial","ready","emergent","australia","authorize","spain","million","approve","million","woman","pandemic","parent","carrier","violation","claim","now","drop","brief","right","booster"
"9","health","advise","virus","nose","dr","fever","community","may","adams","disease","white","disease","virus","remdesivir","blood","van","hydroxychloroquine","treatment","journal","trial","treatment","woman","child","vaccine","smoke","astrazeneca","hahn","research","moderna","astrazeneca","administration","us","election","will","phase","letter","clinical","authorization","authorization","say","minister","clinical","use","use","moderna","fda","modernas","modernas","develop","moderna","company","coronavac","efficacy","company","company","country","astrazeneca","drug","give","astrazeneca","ship","meet","administration","authorization","pfizer","turkey","economic","quarter","vote","league","use","fly","airplane","month","confidence","effect","administration","regard","save"
"10","sneeze","contact","infect","person","infectious","infectious","get","can","think","trump","american","swab","dr","patient","team","kerkhove","clinical","disease","use","symptom","antibody","remdesivir","find","publish","risk","safe","safe","dos","effective","drug","treatment","effective","phase","pfizer","fauci","dr","datum","safety","collins","clinical","administer","datum","effective","emergency","use","advisory","us","fda","receive","approve","drug","sinovac","use","european","recommend","pfizer","pfizer","receive","global","mexico","fda","batch","plant","development","agree","brazilian","sign","per","democratic","child","think","shortage","lose","official","economic","head","datum","issue","village"
