"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","case","ship","less","case","case","case","case","case","case","case","case","case","hopkins","case","case","case","death","case","case","case","case","case","case","case","death","case","case","case","death","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","death","death","death","death","case","death","case","report","case","case","death","report","death","death","death","report","million","dos","average","dos","million","million","administer","million","new","new","new","vaccinate","fully","resident","report"
"2","confirm","less","less","case","ship","positive","state","state","state","state","death","hopkins","death","case","death","hopkins","death","brazil","death","death","total","report","death","death","report","case","death","total","death","case","death","death","death","death","death","death","less","total","new","death","record","report","total","death","death","report","new","report","case","case","case","case","death","total","death","death","death","state","case","dos","case","dos","case","million","dos","million","million","million","administer","population","million","dos","fully","county","washington","new","age","week","case"
"3","mainland","ship","cruise","ship","less","cdc","cdc","us","less","us","less","johns","hopkins","death","hopkins","death","brazil","case","brazil","hopkins","death","new","total","total","total","total","total","death","total","total","total","total","total","total","total","hopkins","death","new","report","new","new","total","death","report","high","death","death","death","total","report","us","total","total","case","report","case","total","death","report","dose","report","record","million","dos","administer","administer","dos","less","dos","dos","dose","administer","adult","million","us","fully","vaccinate","average","increase"
"4","death","cruise","passenger","westerdam","cruise","presumptive","positive","tally","death","death","report","death","johns","johns","johns","johns","total","total","johns","johns","report","death","report","report","death","ministry","report","report","report","report","report","ministry","ministry","johns","hopkins","johns","hopkins","record","record","report","day","record","report","total","report","total","report","hospitalization","record","total","total","us","johns","report","total","total","johns","datum","administer","case","total","report","datum","case","per","average","datum","report","less","datum","cdc","datum","vaccinate","maryland","vaccinate","virginia","resident","show","state"
"5","china","death","case","cruise","princess","state","presumptive","detect","tally","less","hopkins","tally","less","tally","us","brazil","hopkins","hopkins","hopkins","brazil","state","total","new","ministry","accord","report","new","record","new","record","numb","hopkins","johns","new","state","state","total","death","death","record","numb","hopkins","johns","new","numb","record","total","johns","hopkins","less","johns","hopkins","report","less","state","hopkins","us","report","state","total","record","total","cdc","less","report","datum","administer","population","day","less","dos","nearly","resident","vaccinate","state","us","average","per","week"
"6","province","passenger","princess","passenger","diamond","pend","us","repatriate","unite","tally","johns","less","tally","us","university","less","johns","confirm","record","report","new","ministry","hopkins","hopkins","ministry","new","record","johns","hopkins","hopkins","new","johns","hopkins","report","johns","report","record","report","total","total","high","death","record","hopkins","johns","new","record","hopkins","johns","hospitalization","hopkins","johns","hopkins","johns","accord","johns","datum","dos","dos","record","ministry","million","dos","week","population","new","population","administer","dose","report","datum","cdc","million","one","day","day","state","rate","death"
"7","thailand","board","dock","cambodia","death","confirmation","confirmation","accord","us","report","tally","state","state","university","less","total","less","ministry","toll","total","accord","less","ministry","new","new","hopkins","johns","new","numb","new","hopkins","report","brazil","ministry","record","us","johns","hopkins","daily","accord","hopkins","johns","new","record","new","johns","high","accord","report","hopkins","report","less","less","datum","million","average","report","accord","record","state","high","since","population","datum","datum","january","per","county","receive","publish","nearly","fully","datum","state","fully","effort","university","death","new"
"8","less","crow","diamond","princess","passenger","diamond","repatriate","total","healths","total","state","report","territory","less","tally","tally","us","less","total","ministry","ministry","record","johns","record","johns","toll","hopkins","hopkins","johns","johns","ministry","brazil","record","hopkins","less","total","state","johns","johns","high","state","new","hopkins","johns","total","day","hospitalization","datum","hospitalization","record","datum","record","university","hopkins","nurse","us","million","test","less","city","million","accord","less","day","week","sevenday","report","positivity","nurse","per","less","report","per","day","dose","state","new","accord","accord"
"9","total","mainland","crow","disembark","japan","repatriate","lab","unite","repatriate","coronavirus","us","territory","university","state","repatriate","university","university","indigenous","report","new","record","state","record","johns","state","johns","ministry","ministry","record","numb","johns","record","india","bring","university","accord","coronavirus","us","hopkins","daily","hospitalization","state","numb","state","hopkins","hopkins","datum","total","less","accord","record","university","accord","state","datum","state","hopkins","brazil","million","less","daily","ministry","day","publish","death","week","dose","adult","report","dose","average","population","dose","since","vaccination","less","little","low","average"
"10","numb","confirm","westerdam","diamond","japanese","us","unite","healths","territory","wyoming","total","us","us","columbia","territory","us","report","new","ministry","record","hopkins","johns","state","accord","hopkins","record","toll","accord","ministry","ministry","record","accord","toll","india","unite","less","report","daily","accord","hopkins","johns","accord","high","us","record","state","hospitalize","record","accord","johns","accord","accord","us","us","hopkins","accord","dos","average","datum","control","since","nearly","report","total","average","nearly","total","total","outbreak","fully","population","dose","massachusetts","fully","adult","reach","county","fully","datum"
