"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","city","year","economy","million","point","market","market","airline","stock","airline","economy","billion","billion","quarter","company","billion","job","economic","job","billion","billion","fund","unemployment","million","fund","nurse","economy","job","economy","economy","hurricane","nasdaq","job","israel","israel","pelosi","stimulus","house","pelosi","pelosi","governor","election","republican","test","quarantine","test","test","france","league","positive","pope","france","france","game","restriction","restriction","outdoor","mask","mask","capacity","northam","mask","cruise","fauci","mask","mask","mask","mask","mask","mask","mask","mask","mask","must","variant","school","get","case","respond"
"2","million","million","plant","business","market","airline","stock","billion","market","stock","airline","airline","airline","billion","unemployment","job","macron","billion","claim","economy","economic","economic","million","fund","mcconnell","gate","economic","economy","quarter","quarter","economy","border","store","netanyahu","foreign","mnuchin","talk","pelosi","stimulus","stimulus","office","poll","grassley","campaign","test","kit","beach","kent","test","test","francis","korea","kdca","league","zone","pm","will","mandate","business","indoor","travel","walensky","walensky","go","get","outdoor","wear","wear","vaccinate","indoor","release","require","require","restriction","health","variant","test","infection","thing"
"3","year","holiday","year","economy","dow","flight","airline","flight","airline","market","billion","file","million","airline","airline","airline","billion","company","million","economic","stock","billion","job","company","lawsuit","billion","quarter","million","rise","april","employee","job","claim","sustain","file","house","house","offer","election","stock","poll","ballot","positive","positive","statement","sample","south","port","positive","prisoner","test","veran","ministry","prefecture","fan","curfew","limit","lift","mandate","governor","order","mandate","us","continue","wear","vaccinate","guidance","indoor","wear","will","wear","school","restriction","time","spread","say","unvaccinated","report","zients"
"4","lockdown","lunar","impact","year","drop","stock","trade","stock","dow","bank","bank","dow","food","company","norwegian","million","emission","hassett","labor","price","economy","economy","fund","suit","bill","fund","gdp","fall","year","job","laura","hit","shut","retail","chinese","stimulus","package","trillion","deal","election","voter","staff","close","georgia","governor","statement","wale","uk","player","cluster","curfew","festival","french","restriction","court","bar","curfew","gov","wear","business","business","governor","go","mask","fauci","wear","indoor","guidance","fully","capacity","indoor","wear","requirement","bar","delta","vaccinate","see","people","happen"
"5","new","city","business","bank","index","cut","europe","cut","business","company","business","claim","trade","job","business","tourism","bank","million","modi","stock","dow","forecast","billion","program","government","cut","gate","billion","price","company","company","billion","file","sale","arab","deal","pelosi","kudlow","mnuchin","deal","mutate","amid","senate","loeffler","west","collection","symptom","cluster","premier","facility","league","social","rest","tokyo","move","local","restriction","governor","lift","reopen","encourage","right","dr","surge","gupta","cdc","outdoor","vaccinate","guidance","wear","guidance","cdc","state","concert","school","case","fauci","re","like"
"6","lunar","visitor","auto","company","stock","point","drop","market","company","employee","cut","bank","pay","demand","billion","quarter","million","abe","unemployment","market","sp","childcare","economic","loan","money","worker","industry","index","europe","trade","storm","economy","economy","benefit","upper","democrat","still","trump","house","talk","staffer","cell","office","sen","positive","hiv","resident","test","game","city","vatican","distance","nih","countrys","game","ski","allow","abbott","statewide","restaurant","limit","doom","vaccinate","say","go","fully","fauci","governor","require","restaurant","lift","order","order","hogan","official","people","mask","enough","re"
"7","close","lockdown","part","impact","sp","dow","flight","economic","economic","business","market","economic","job","plant","million","financial","decline","plan","indias","us","open","claim","labor","job","power","relief","travel","sector","statistic","recovery","high","claim","unemployment","serious","china","speaker","trillion","senate","speaker","mnuchin","mink","impact","stock","penny","gov","quarantine","man","driver","staff","student","positive","frances","festival","ramaphosa","tyrol","lockdown","return","restriction","governor","county","mask","impend","mask","institute","vaccinate","guidance","vaccinate","fully","outdoor","outdoor","require","guidance","capacity","fan","fully","health","dr","forecast","avoid"
"8","beijing","market","industry","limit","financial","rate","trump","industry","billion","unemployment","economic","stock","disney","employee","job","economy","lose","financial","jobless","fall","point","decline","economy","london","file","pay","impact","open","company","business","index","sp","pandemic","ryan","minister","trillion","negotiation","republican","senate","house","election","worker","test","dog","expose","wolf","cluster","nsw","allow","staff","religious","cancel","veran","ease","place","zealand","french","texas","face","permit","outdoor","white","can","place","end","indoor","capacity","outdoor","prevention","gathering","mandate","outdoor","wear","new","mask","dr","national","situation","survey"
"9","travel","billion","company","restriction","business","drop","dow","airport","package","economic","program","sp","furlough","year","employee","company","economy","economy","crisis","nasdaq","euro","recovery","dow","street","education","economic","claim","june","compare","location","shelter","year","economic","worker","put","talk","money","mnuchin","agreement","dow","spokesperson","selfquarantining","quarantine","republican","symptom","home","seoul","truck","club","detention","postpone","curfew","injection","hold","ban","extend","capacity","order","order","will","indoor","prevention","back","forecast","demand","still","cdc","mandate","guideline","distance","change","guideline","setting","department","county","delta","vaccinate","really","rise"
"10","cancel","economy","million","billion","bad","index","oil","business","trillion","furlough","company","unemployment","air","bank","loan","worker","business","year","market","point","unemployment","million","sector","file","worker","election","crisis","economic","alcohol","island","job","stock","fly","across","benefit","proposal","economic","stimulus","bill","speaker","work","ten","senator","owner","day","labcorp","positive","freight","english","shijiazhuang","france","ban","pet","emergency","march","impose","place","greg","texas","outdoor","gov","summer","disease","arkansas","estimate","fauci","fully","guideline","business","allow","will","indoor","governor","state","two","country","way","president","newly"
