"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","sars","sars","death","death","death","china","china","case","case","case","case","case","case","case","case","case","case","case","case","case","beijing","outbreak","victoria","melbourne","hong","victoria","victoria","victoria","victoria","indigenous","hong","study","find","child","study","study","pneumonia","death","death","study","woman","researcher","researcher","antibody","model","mask","survey","variant","variant","variant","variant","variant","variant","variant","variant","researcher","variant","variant","variant","variant","patient","variant","variant","variant","variant","study","variant","variant","variant","researcher","researcher","study","variant","variant","variant","variant","student","employee","york"
"2","virus","infect","hubei","report","case","death","case","death","china","china","death","death","death","death","total","total","total","death","cluster","total","market","beijing","case","victoria","kong","andrews","andrews","andrews","hong","highway","kong","pregnant","adult","find","child","child","patient","rate","study","find","child","child","study","study","nurse","wear","rate","strain","uk","mutation","virus","study","south","antibody","study","variant","study","identify","study","study","test","study","antibody","study","study","child","study","researcher","researcher","variant","positive","variant","delta","rate","first","symptom","school","cuomo","blasio"
"3","outbreak","january","report","hubei","mainland","mainland","death","china","death","death","total","numb","ministry","new","numb","death","cluster","total","total","infection","outbreak","plant","test","andrews","victoria","trace","hong","hong","australia","beshear","study","researcher","study","study","researcher","researcher","poll","increase","year","researcher","pregnant","model","patient","child","paige","hurt","patient","virus","strain","scientist","cdc","antibody","africa","strain","south","identify","antibody","find","identify","researcher","identify","protection","young","patient","infection","test","immune","breakthrough","booster","patient","study","immune","study","researcher","india","identify","state","worker","new"
"4","spread","baby","toll","mainland","report","case","report","country","italy","italy","china","ministry","total","total","death","cluster","death","patient","death","mumbai","cluster","test","lockdown","lockdown","home","card","kong","survey","kong","kayapó","berlin","survey","patient","patient","find","age","try","mortality","lose","rate","among","home","among","researcher","rural","wyoming","trudeau","infectious","appear","strain","sample","find","identify","study","oxfordastrazeneca","africa","symptom","study","researcher","patient","variant","long","serum","researcher","find","swaminathan","model","study","antibody","study","variant","become","coronavirus","sample","identify","rate","law","announce","proof"
"5","kill","death","case","china","hubei","global","hubei","report","total","country","numb","total","numb","numb","new","report","patient","new","korea","ministry","link","meat","asymptomatic","resident","order","australian","case","kong","breach","cdc","indigenous","woman","care","researcher","live","survey","care","year","patient","medicine","age","wed","old","collection","mask","cdc","poll","researcher","colorado","uk","study","virus","strain","identify","africa","study","researcher","south","patient","lung","symptom","trial","know","find","breakthrough","among","researcher","infection","study","identify","test","researcher","protection","study","company","first","proof","company","restaurant"
"6","infect","december","china","case","china","report","province","import","import","total","rise","record","report","confirm","countrys","numb","numb","korea","new","levine","case","capital","beijing","case","andrews","case","premier","australias","victim","kentucky","man","patient","researcher","young","population","drink","influenza","high","model","research","study","visit","native","patient","provider","metal","canada","uk","virus","sequence","sequence","researcher","first","researcher","protection","find","infection","africa","uk","donor","study","dose","infect","identify","infect","variant","find","evidence","uk","research","antibody","first","alpha","growth","study","county","gov","must","mandate"
"7","rate","kill","numb","province","outside","hubei","mainland","numb","hubei","spain","report","infection","countrys","infection","record","korea","south","cluster","identify","china","xinfadi","delhi","local","outbreak","people","premier","australian","lockdown","researcher","protester","first","obesity","hospital","hospital","resident","find","survey","excess","publish","age","risk","find","disease","range","estimate","canada","katz","mask","transmissible","easily","identify","africa","appear","uk","identify","trial","africa","coronavirus","find","sequence","researcher","test","research","infection","test","find","nsaids","case","immune","participant","research","little","india","come","coronavirus","may","woman","facility","city"
"8","market","mother","die","toll","toll","province","wuhan","new","report","infection","new","increase","infection","dormitory","infection","new","new","numb","ministry","india","wholesale","district","import","premier","near","avoid","daniel","people","obrador","official","protest","nurse","young","mental","nurse","among","ons","black","die","die","likely","nurse","black","prevalence","malaria","policy","group","scientist","scientist","south","appear","identify","find","sample","vaccine","south","test","concern","antibody","transplant","woman","six","us","test","pregnant","pregnant","antibody","report","identify","look","uk","infection","concern","show","show","child","pregnant","work","law"
"9","china","virus","number","global","total","outside","lockdown","mainland","mainland","report","country","report","singapore","report","patient","nightclub","ministry","authority","south","countrys","capital","worker","victorian","locally","confinement","christi","melbourne","fine","barrier","kabu","collect","nevada","survey","likely","antibody","adult","get","account","researcher","prevention","researcher","among","rate","aug","consistent","model","stress","mutation","spread","van","find","mutation","detect","protection","university","strain","find","first","first","positive","antibody","month","spread","app","child","develop","ihme","increase","hancock","antibody","booster","coronavirus","hospitalization","find","people","delta","prohibit","mandate","de"
"10","case","young","province","numb","confirm","toll","xi","italy","wuhan","numb","ministry","toll","new","singapore","ministry","patient","report","ministry","numb","commission","food","chinese","outbreak","australia","follow","corpus","shire","find","lopez","village","twice","may","remdesivir","black","facility","pandemic","year","belgium","find","survey","aap","crowd","center","model","association","mandate","migrant","nervtag","know","virus","africa","south","uk","mutation","mild","patient","research","researcher","treatment","test","virus","researcher","estimate","positive","people","positive","protection","identify","breakthrough","booster","name","infect","first","write","base","researcher","college","gov","pass"
