"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hospital","hospital","hospital","hospital","mask","school","school","school","order","order","order","order","school","school","school","school","school","reopen","dc","county","county","county","county","county","county","florida","county","county","child","county","county","county","gov","york","real","positivity","city","city","positivity","hospital","de","rate","york","county","county","california","california","bed","california","county","county","patient","patient","employee","child","child","patient","inspection","mental","trump","export","county","community","marine","individual","covax","job","patent","vaccine","olympic","share","smith","slavitt","million","blasio","plan","worker","process","union"
"2","medical","supply","worker","equipment","houlahan","washington","student","county","issue","stayhome","school","school","student","business","park","park","student","school","county","california","gov","gov","beach","bed","florida","county","florida","florida","community","population","hospitalization","state","county","gov","costume","rate","york","york","city","positivity","blasio","positivity","county","city","school","capacity","county","california","care","patient","los","oxygen","county","worker","bamlanivimab","employee","american","child","care","decision","eu","austria","man","california","schedule","dos","biden","japanese","dos","tokyo","covax","million","dos","dos","september","offer","mandatory","review","review"
"3","worker","medical","medical","liu","robot","king","district","order","resident","gov","county","county","order","nail","beach","mask","reopen","mayor","reopen","state","texas","texas","bar","miamidade","mayor","bed","ahca","care","nurse","symptom","child","task","governor","state","area","york","positivity","mayor","state","rate","state","tier","positivity","mayor","de","san","hospital","hospital","york","angeles","hospital","county","symptom","animal","san","newsom","story","since","worker","care","commission","rate","californians","community","game","country","access","olympic","covax","game","dos","distribute","million","country","now","billion","uk","fda","process"
"4","patient","patient","wan","protective","care","employee","university","student","gov","county","detainee","gov","distance","reopen","reopen","tribe","county","county","phase","department","case","state","gov","beach","state","icu","care","facility","florida","hospitalization","per","iowa","rate","must","canadian","city","area","positivity","county","public","york","state","city","york","capacity","icu","bed","city","county","california","patient","hospital","hospital","angeles","patient","facility","labor","employee","health","cqc","european","low","california","vaccination","twin","game","canada","game","johnson","country","vaccine","vaccine","distribute","share","say","face","announce","numb","fund"
"5","build","build","baby","worker","redfield","county","employee","shelter","home","essential","gov","mayor","will","order","california","reopen","gym","park","mayor","order","desantis","houston","state","positivity","gelber","hospitalization","miamidade","hospital","aap","child","state","indoor","dine","rate","activity","gov","state","state","york","threshold","release","mayor","rate","average","hospital","county","san","york","angeles","los","angeles","los","california","prison","francisco","los","revenue","worker","anxiety","dnacpr","shipment","vaccination","ghaly","hard","fully","astrazeneca","economy","world","country","japan","country","country","white","house","action","fast","wave","january","mandate"
"6","test","worker","patient","care","worker","student","closure","san","school","school","jail","distance","gov","gov","order","class","class","crowd","order","angeles","statewide","governor","newsom","hospital","hospital","hospital","gym","department","resident","test","angeles","zone","state","county","york","county","county","area","gov","city","city","de","hospital","angeles","blasio","southern","los","icu","los","hospital","surge","care","lift","pay","etesevimab","prisoner","cost","cope","impact","former","union","eu","low","appointment","rhode","buy","send","country","share","covax","distribute","biden","encourage","say","clear","hour","will","last","target"
"7","treat","bed","care","mask","giant","kirkland","washington","california","beach","florida","resident","stayhome","desantis","salon","county","california","restaurant","order","school","face","order","case","florida","order","patient","desantis","datum","resident","department","state","los","theater","bar","governor","hopkins","cuomo","new","el","hospital","hospitalization","currently","york","rural","los","cuomo","york","cuomo","de","patient","care","california","angeles","isolation","los","district","plant","crowd","focus","must","worker","diplomat","billion","reopen","angeles","lamont","athlete","olympic","waiver","million","dos","sullivan","will","house","will","normal","intervention","july","passenger","ministry"
"8","supply","equipment","birth","die","protective","seattle","class","resident","county","state","sheriff","gathering","reopen","county","salon","disney","open","gov","guideline","los","abbott","abbott","mayor","mayor","case","datum","bed","ahca","hospital","case","gov","rate","cuomo","positivity","outdoor","code","school","gov","rate","mayor","hospital","san","school","california","hospitalization","region","new","blasio","cuomo","transport","icu","coari","stayhome","store","newsom","black","possible","pilot","test","claim","put","resident","philippines","los","connecticut","vaccine","covax","poor","astrazeneca","vaccine","million","first","land","vaccine","track","sign","delta","israel","grant"
"9","bed","participate","supply","medical","wear","resident","facility","close","mayor","resident","state","los","state","stayhome","student","reservation","education","bed","washington","covering","covering","order","order","texas","miami","angeles","hospital","angeles","inmate","report","california","force","indoor","gelber","rate","new","rate","less","church","admit","new","capacity","mayor","new","york","los","capacity","patient","screen","surge","oxygen","california","care","pet","county","american","immunity","outcome","peskov","giroir","control","dos","arrest","rate","governor","world","park","tokyo","world","available","global","go","shipment","erdogan","course","building","healthcare","medical","san"
"10","staff","treat","mask","nebraska","necessary","district","campus","nurse","stayhome","issue","close","will","close","angeles","mask","student","space","governor","wear","reopen","mayor","mask","weekend","gov","day","available","patient","icu","pediatrics","los","jersey","positivity","york","indoor","spike","mayor","code","evers","blasio","county","rate","blasio","blasio","order","los","angeles","angeles","capacity","southern","chance","care","amazonas","illness","california","treatment","angeles","supply","kroger","pandemic","hope","create","serbia","mcconnell","trust","service","plan","need","vaccine","global","osaka","blinken","dos","world","medicaid","guideline","guideline","remain","service","full"
