"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","citizen","citizen","plane","south","south","south","south","daegu","iran","amazon","korea","chinese","china","chinese","china","china","china","trump","trump","tedros","street","sanitizer","tedros","pneumonia","tedros","trump","cain","tedros","service","mail","abe","biden","trump","trump","trump","trump","trump","trump","trump","trump","white","trump","trump","trump","european","jones","child","sputnik","employee","tokyo","child","player","event","australia","hotel","zoo","european","european","european","astrazeneca","clot","astrazeneca","astrazeneca","astrazeneca","astrazeneca","european","european","european","taiwan","taiwan","total","delhi","patient","black","august","group","game","test","festival"
"2","flight","minister","minister","korea","daegu","daegu","daegu","south","amazon","small","korean","amazon","wuhan","wuhan","intelligence","chinese","trump","global","president","president","africa","hand","hernández","africa","team","protective","tedros","telehealth","taiwan","election","account","trump","president","president","birx","house","house","house","president","white","trump","biden","task","president","hh","information","employee","furloughed","airline","emergency","expectancy","quarantine","quarantine","australian","melbourne","gorilla","lockdown","yet","clot","blood","european","blood","european","vaccine","european","eu","eu","library","taipei","government","summit","kejriwal","postcovid","white","age","england","test","player","test"
"3","evacuate","evacuation","south","daegu","shincheonji","group","korea","cluster","background","fire","brown","korea","chinese","outbreak","chinese","trump","chinese","china","global","trump","friend","wen","china","world","country","supply","beach","health","azar","postal","facebook","president","woodward","woodward","president","white","president","president","rally","house","house","presidentelect","transition","document","sputnik","datum","company","russian","become","suga","among","australian","olympic","quarantine","australian","ascension","japan","israel","astrazeneca","european","blood","clot","clot","european","medicine","astrazeneca","court","ivermectin","central","island","raise","age","condition","child","datum","protection","olympic","outbreak","symptom"
"4","minister","plane","korean","korean","korea","shincheonji","collapse","korea","check","church","yemen","foreign","lawsuit","china","originate","wuhan","world","organization","world","convention","sesame","gate","virus","embassy","china","kelly","hate","world","mail","letter","biden","ballot","harris","comment","china","president","white","white","campaign","president","fauci","task","house","north","president","access","mental","child","child","japan","tokyo","open","misc","mcgowan","quarantine","island","june","grocery","ema","clot","astrazeneca","rare","vaccine","agency","blood","certificate","commission","california","cecc","central","government","modi","symptom","likely","many","age","fast","positive","weekend"
"5","will","prime","citizen","kcdc","group","korean","case","case","price","south","code","south","ma","beijing","claim","us","organization","world","lockdowns","world","tedros","gupta","movement","cooper","world","china","trump","visit","health","etienne","mail","voter","deadly","donald","tedros","donald","donald","campaign","event","campaign","comment","administration","white","donald","country","sputnik","minority","via","furlough","declare","year","tennis","game","test","player","victoria","incidence","store","use","suspend","committee","medicine","blood","medicine","vaccine","court","certificate","use","city","minister","vietnam","card","hospitalize","little","student","effective","delta","contact","outbreak"
"6","government","evacuate","repatriate","russian","religious","korea","korean","li","korea","iran","south","origin","information","potato","wuhan","world","pandemic","chinese","summit","organization","song","ndc","military","international","worker","governor","visitor","trump","letter","ballot","instagram","joe","know","want","us","wear","harris","donald","interview","vice","prince","president","force","distribution","access","russian","trial","app","chain","prefecture","emergency","flight","australia","hotel","portugal","game","winter","mexican","suspend","medicine","risk","european","ema","blood","eu","june","proposal","eu","island","sisodia","cooper","government","initial","american","receive","datum","athlete","take","just"
"7","south","flight","will","seoul","korean","religious","hotel","disaster","irans","body","use","guangzhou","journalist","belgian","pompeo","outbreak","resolution","pandemic","lockdown","north","kid","health","resolution","photo","security","shortage","asian","die","postal","machine","court","election","interview","mask","unite","top","american","conley","harris","donald","break","white","administration","tell","organization","system","investigation","cnngo","russia","stock","monoclonal","positive","tokyo","respondent","park","aircraft","americas","peru","blood","vaccine","vaccine","vaccine","rare","clot","agency","union","june","blasio","delhi","due","enable","week","minister","need","nearly","include","tokyo","confirm","mother"
"8","french","will","ministry","koreas","military","north","north","hotel","pakistan","philippine","venezuelan","african","freedom","virus","laboratory","foreign","assembly","convention","cost","carolina","town","pandemic","together","kazakhstan","advance","fight","organization","service","control","service","user","access","reporter","wear","response","rally","wear","test","white","science","rt","joe","biden","reuters","associate","federal","appear","moscow","chicago","chiba","life","melbourne","australian","lockdown","open","postpone","strategy","austrian","statement","ema","medicine","age","regulator","risk","clot","commission","country","commission","taiwans","chen","peru","angeles","step","also","approach","death","passport","team","event"
"9","foreign","russian","france","today","north","kim","kcdc","nazanin","gouge","korean","indigenous","sell","million","january","evidence","beijing","xi","president","pangolins","international","abby","transmission","leyen","pandemic","ramaphosa","equipment","young","organization","voter","voter","campaign","say","bob","rally","atla","hick","administration","debate","ibrahim","joe","william","house","president","korean","report","agent","clinical","mobile","coast","saitama","staff","room","zealand","western","game","carrier","rule","danish","denmark","risk","agency","follow","medicine","use","etienne","legal","list","delivery","epidemic","taipei","gavi","drive","fatigue","nearly","arizona","access","positive","jackson","virus"
"10","wuhan","morrison","korea","numb","member","kcdc","gyeongsang","burr","hospitalization","spell","morgue","moore","violence","world","eye","control","investigation","carolina","organization","chinese","hernández","tedros","von","chinese","pandemic","enough","mother","campaign","doctor","vote","hear","tweet","mask","bob","nation","atla","mask","negative","donald","technology","dr","bidens","presidentelect","official","global","scientist","information","stay","duke","economic","prefecture","hotel","sport","moore","border","theodore","pandemic","strategy","review","agency","possible","uk","eu","eu","benefit","rule","allow","de","sisodia","local","north","los","diagnosis","research","break","cell","will","day","justice"
