"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","ship","ship","ship","ship","case","europe","travel","travel","travel","country","measure","restriction","minister","minister","border","minister","border","spain","travel","app","travel","eu","restriction","travel","government","spain","travel","travel","travel","travel","travel","passenger","test","uk","airline","airport","travel","year","flight","governor","test","test","passenger","quarantine","jones","shipment","desantis","dos","dos","dos","dos","dos","dos","dos","dos","dos","supply","million","location","supply","home","cruise","de","travel","travel","travel","travel","travel","passenger","list","delhi","park","zone","say","presidential","tanksley","school","school"
"2","confirm","less","less","less","case","cruise","travel","border","foreign","measure","flight","border","will","will","spain","travel","prime","french","travel","border","border","country","country","border","government","travel","uk","traveler","uk","flight","government","government","airport","flight","flight","furlough","job","year","company","hawaii","office","passenger","quarantine","airline","test","test","vaccine","dos","administer","distribute","vaccine","vaccine","vaccine","pharmacy","vaccine","supply","pharmacy","federal","pharmacy","apple","european","nurse","industry","rio","open","certificate","australian","sri","cruise","government","screen","park","national","white","travel","say","put","mask","mask"
"3","taiwan","cruise","passenger","case","less","ship","restriction","country","traveler","traveler","sanchez","europe","measure","level","merkel","minister","restriction","region","border","will","travel","eu","list","country","country","minister","government","government","restriction","passenger","uk","flight","screen","uk","vallance","employee","travel","cruise","travel","passenger","test","negative","travel","travel","sheriff","china","dos","receive","distribute","administer","administer","administer","administer","administer","supply","federal","supply","white","site","supply","provider","lightfoot","passport","hope","enter","quarantine","quarantine","flight","close","minister","travel","kejriwal","visitor","travel","indicator","biden","biden","student","student"
"4","japan","passenger","cruise","cruise","cruise","death","germany","enter","country","foreign","spanish","european","ban","prime","region","traveler","emergency","june","will","restriction","will","minister","travel","marine","confinement","china","travel","restriction","government","uk","return","greece","people","symptom","test","extend","industry","bank","passenger","airline","negative","travel","positive","transportation","negative","kit","state","senior","million","million","administration","administration","million","supply","administer","administer","site","dos","shot","million","reduce","care","test","janeiro","traveler","allow","traveler","enter","allow","permit","weekend","four","travel","region","consumer","increase","chest","wear","mandate"
"5","korea","case","case","passenger","princess","princess","spain","ban","flight","flight","extend","ban","minister","measure","travel","spain","region","will","app","country","eu","border","border","spain","ramaphosa","uk","traveler","germany","border","government","spain","greek","traveler","government","passenger","european","employee","quarter","cathay","japan","quarantine","traveler","flight","tsa","exposure","police","receive","care","vaccine","vaccine","speed","guard","dose","vaccine","vaccination","government","appointment","vaccination","kong","vaccination","delivery","rate","flower","birth","test","return","citizen","quarantine","visitor","federal","france","travel","screen","since","since","vaccinate","adolescent","mandate","district"
"6","singapore","board","princess","westerdam","diamond","brazil","france","restriction","enter","woman","minister","travel","prime","allow","prime","spains","government","spain","government","government","zealand","will","traveler","quarantine","block","region","minister","england","minister","quarantine","age","international","uk","castex","measure","flight","oil","new","airline","traveler","fda","ship","traveler","quarantine","reduce","positive","truck","florida","vaccination","federal","pharmacy","reserve","administration","state","clinic","vaccination","administer","million","ukraine","shortage","vaccination","decline","passenger","must","allow","will","australia","minister","ship","measure","south","ward","record","airline","board","vaccination","produce","county","indoor"
"7","animal","dock","diamond","cambodia","passenger","diamond","unite","flight","border","curfew","european","foreign","sanchez","french","will","paris","border","quarantine","italy","quarantine","restriction","restriction","european","zealand","mandatory","gate","quarantine","advisory","measure","worker","prime","uk","hancock","demand","airline","travel","air","loss","hong","airport","rapid","guest","airline","transport","jones","scientist","administer","administer","giroir","cdc","distribute","state","goal","million","million","vaccine","vaccination","act","president","old","community","roll","certificate","putin","flight","traveler","ban","prime","disney","reopen","busy","france","employee","administration","senior","force","facility","require","county"
"8","south","crow","dock","diamond","quarantine","india","case","european","ban","zealand","government","country","conte","italian","border","measure","spain","spanish","foreign","minister","country","government","minister","measure","minister","immigration","italy","uk","quarantine","traveler","region","europe","reduce","eligible","france","airport","year","zealand","worker","cost","antigen","flight","symptom","traveler","contact","officer","first","vaccine","vaccinate","administration","state","million","biden","federal","federal","pharmacy","slavitt","pharmacy","family","executive","million","community","zahawi","march","quarantine","singapore","flight","country","negative","capacity","memorial","weekend","california","enter","amount","unfortunately","political","district","require"
"9","nepal","princess","yokohama","princess","japan","australia","ban","will","cuban","citizen","prime","lockdown","merkel","confinement","france","government","madrid","prime","tourist","european","user","visitor","allow","nsw","international","crisis","country","spain","prime","country","germany","passenger","bed","airport","hancock","congress","airline","bubble","kong","allow","statement","screen","negative","test","read","agent","hospital","facility","state","promise","warp","azar","supply","administration","receive","site","federal","prioritize","coordinator","federal","spokesman","december","european","industry","canada","zealand","allow","ahead","passenger","will","monday","traveler","enter","policy","month","difference","behind","staff","wear"
"10","disease","quarantine","crow","disembark","japanese","germany","trump","foreign","will","australia","measure","curfew","lockdown","spains","measure","region","italian","measure","spains","arrival","minister","quarantine","zealand","traveler","flight","spokesperson","europe","wave","france","international","abe","quarantine","england","england","spain","industry","cruise","australia","employee","international","possible","return","johnson","security","positive","lister","delivery","cv","speed","state","bidens","receive","state","zients","pharmacy","fenton","demand","kemp","jeff","pharmacy","journalist","country","doctor","freedom","zealand","italy","enter","level","flight","travel","million","transportation","employer","cite","business","foundation","tennessee","everyone","regardless"
