"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","health","student","ghebreyesus","lor","trump","trump","trump","trump","vote","trump","trump","trump","trump","trump","trump","white","trump","trump","vaccine","fauci","rally","trump","trump","trump","fauci","fauci","fauci","fauci","fauci","fauci","cdc","fauci","giroir","redfield","fauci","fauci","fauci","fauci","fauci","fauci","trump","trump","trump","summit","get","american","biden","biden","pharmacy","letter","biden","biden","biden","biden","biden","house","bill","biden","house","biden","biden","player","biden","ceremony","game","brazil","kit","japanese","game","olympic","game","travel","travel","canada","common","missouri","travel","white","fauci"
"2","emergency","organization","world","expert","administration","penny","president","president","senate","biden","president","president","president","president","president","trump","house","president","fauci","trump","trump","rally","penny","fauci","house","trump","trump","birx","dr","say","guideline","dr","fauci","disease","cdc","dr","director","mask","dr","mask","fauci","mask","fauci","say","biden","get","azar","azar","biden","nurse","azar","trump","house","republican","house","bill","house","american","bill","administration","dialysis","small","community","capacity","island","brazils","business","olympic","tokyo","tokyo","assistance","level","recommend","nonessential","pfizer","time","french","house","anthony"
"3","public","health","organization","tedros","house","house","house","white","house","president","house","economy","donald","donald","administration","house","white","white","trump","disease","campaign","white","president","president","white","get","birx","dr","trump","giroir","fauci","immunity","get","vaccine","dr","task","cdc","disease","trump","chief","dr","presidentelect","transition","american","need","trump","presidentelect","receive","presidentelect","mask","expand","administration","trump","relief","committee","biden","wage","president","biden","american","goal","business","get","community","twin","game","olympic","game","olympic","game","north","country","nonessential","quarantine","almost","level","macron","reach","former"
"4","international","world","adhanom","ghebreyesus","president","president","white","house","trump","house","white","fund","governor","house","china","administration","president","house","redfield","president","tulsa","president","house","house","trump","president","dr","trump","expert","anthony","change","herd","test","get","disease","director","disease","former","director","dr","mask","administration","president","mask","birx","mask","penny","vaccine","bright","vaccination","presidentelect","president","white","house","president","senate","vote","business","payment","president","administration","extend","ghaly","venue","question","organizer","suspect","tokyo","cancel","japan","march","game","organizer","back","approach","central","restriction","comment","may"
"5","student","pandemic","health","team","fund","white","penny","senate","stimulus","white","program","white","house","us","house","china","donald","brazil","president","infectious","fauci","fauci","fauci","white","disease","infectious","get","get","think","american","task","disease","say","fauci","transmission","atla","house","infectious","mask","white","wear","bidens","birx","dr","american","biden","white","presidentelect","alcohol","vaccine","public","briefing","administration","democrat","relief","democrat","president","moment","stimulus","white","white","biden","senior","guest","indoor","among","committee","athlete","committee","osaka","carolina","recommend","region","travel","give","north","worker","travel","think"
"6","uk","public","tedros","adhanom","white","administration","republican","penny","bill","joe","go","task","china","money","intelligence","president","vote","donald","us","redfield","oklahoma","house","white","task","dr","anthony","task","think","europe","thing","force","birx","national","dr","say","disease","dr","dr","wear","house","get","fauci","dr","life","joe","white","joe","line","get","immunity","go","white","president","budget","white","president","biden","harris","american","bill","plan","site","th","biden","rhode","athlete","capacity","event","japanese","athlete","program","case","traveler","change","circulate","thing","mandatory","guidance","general"
"7","world","emergency","directorgeneral","employee","azar","mike","administration","test","package","bill","organization","go","task","biden","originate","secretary","cdc","us","white","dr","president","penny","rally","convention","president","white","anthony","anthony","get","infectious","dr","anthony","food","immunity","spread","mask","white","house","us","anthony","administration","biden","task","trump","giroir","adams","house","joe","access","public","joe","executive","psaki","bill","american","pass","relief","proposal","check","house","effort","yemen","remark","mean","schedule","tokyo","tokyo","japan","hong","emergency","model","tokyo","ship","foreign","decrease","southwest","healthcare","passenger","trump"
"8","organization","international","team","hotel","committee","billion","familiar","republican","trillion","stimulus","loan","house","white","disinfectant","claim","dr","administration","administration","task","say","white","campaign","campaign","force","infectious","house","white","president","us","dr","white","say","institute","say","guidance","cdc","mask","white","get","meadow","florida","joe","mask","need","presidentelect","vaccine","get","walensky","vaccine","worry","bright","mask","bidens","senate","bill","white","democrat","today","earn","promote","house","eviction","president","tokyo","space","year","personnel","public","athlete","prefecture","cooper","severe","review","human","authorize","immunity","president","aug","happen"
"9","concern","declare","say","world","request","fund","rep","administration","president","pelosi","tedros","organization","republican","white","wuhan","donald","us","convention","dr","director","mask","task","vice","penny","anthony","briefing","force","say","thing","redfield","say","giroir","infectious","director","winter","redfield","center","trump","infectious","national","crowd","cdc","house","leader","community","distribution","vice","plan","joe","site","proposal","joe","fauci","resolution","trump","relief","minimum","office","will","law","president","moratorium","blinken","proof","outdoor","brazilian","council","drop","event","risk","rend","support","current","traveler","represent","come","european","open","get"
"10","school","obrien","event","organization","penny","vice","brazilian","vote","leader","watch","pelosi","reopen","brief","attack","us","vice","fauci","claim","response","task","dr","vice","mask","republican","expert","force","president","task","giroir","expert","test","thing","allergy","american","anthony","white","public","anthony","anthony","say","white","guidance","speak","future","adams","azar","trump","want","work","problem","package","order","executive","vote","family","package","senate","school","president","psaki","migrant","help","administration","help","bar","will","recent","japans","president","advise","moratorium","event","cnn","organizer","base","two","announce","arrival","dr"
