"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","patient","case","case","patient","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","death","case","case","death","death","death","case","case","case","case","case","case","case","case","case","state","case","case","case","case","case","case","case","death","death","death","death","death","death","case","case","death","datum","death","million","death","death","death","dos","million","million","dos","dos","receive","million","million","datum","new","new","new","new","fully","state","case"
"2","patient","test","patient","confirm","case","county","county","state","death","death","death","hopkins","johns","death","hopkins","johns","less","cluster","hopkins","johns","state","state","state","report","new","total","total","death","case","case","state","state","johns","death","death","state","less","johns","report","hopkins","hopkins","state","report","death","death","report","hospitalize","report","johns","hospitalization","case","case","case","case","death","death","case","death","report","dos","report","dos","million","datum","dos","dos","datum","million","administer","dos","dose","administer","resident","vaccinate","fully","fully","vaccinate","resident","report"
"3","test","case","confirm","patient","yearold","state","state","die","state","us","hopkins","johns","death","johns","johns","seoul","death","south","johns","hopkins","average","county","hopkins","county","report","case","death","department","johns","state","hopkins","report","hopkins","hopkins","state","hopkins","johns","hopkins","hopkins","death","johns","report","death","report","report","record","hospitalization","hospitalization","case","johns","us","johns","total","total","total","dos","hopkins","less","case","total","case","million","case","report","administer","administer","average","less","dos","population","administer","population","fully","fully","vaccinate","vaccinate","age","average","increase"
"4","health","confirm","test","test","test","positive","presumptive","death","less","state","less","death","hopkins","hopkins","us","death","johns","district","us","state","hopkins","new","report","state","county","department","state","state","hopkins","report","case","death","state","johns","hopkins","death","hopkins","death","johns","johns","hospitalization","hopkins","state","johns","hopkins","johns","hopkins","death","less","total","hopkins","total","hopkins","report","report","report","johns","state","dos","dose","record","since","datum","death","resident","death","million","administer","less","administer","cdc","million","adult","one","state","accord","average","low","population"
"5","confirm","man","yearold","yearold","woman","presumptive","health","accord","die","tally","johns","less","less","us","death","district","hopkins","johns","territory","model","johns","death","new","florida","florida","state","department","johns","department","hopkins","johns","total","release","total","university","johns","state","us","death","report","case","johns","total","state","johns","total","johns","johns","hopkins","hopkins","johns","hopkins","johns","johns","million","johns","dos","report","state","administer","ministry","report","dos","less","per","average","administer","datum","million","report","nearly","dos","million","less","school","virginia","resident","death","state"
"6","ministry","lab","hospital","woman","confirm","health","patient","total","test","less","report","state","tally","tally","university","south","cluster","korea","death","forecast","death","florida","johns","hopkins","johns","hopkins","johns","report","report","johns","florida","johns","total","child","johns","less","report","report","total","total","track","record","johns","hopkins","hospitalization","new","new","hopkins","hospitalization","case","datum","less","report","hopkins","datum","hopkins","us","average","datum","datum","total","case","day","million","datum","datum","less","report","dose","county","accord","fully","datum","us","week","average","little","case","new"
"7","yearold","health","woman","man","health","confirm","positive","health","report","report","tally","tally","state","state","less","nightclub","total","hopkins","forecast","us","datum","report","death","positivity","state","report","report","hopkins","total","total","report","hopkins","rate","report","report","report","total","university","state","record","new","us","hopkins","total","high","hopkins","death","accord","total","accord","report","us","accord","datum","state","us","datum","dos","million","case","high","publish","administer","per","death","sevenday","death","total","datum","dose","datum","adult","per","resident","washington","death","week","per","total"
"8","hospital","yearold","state","ministry","island","patient","confirm","us","health","total","state","territory","territory","university","tally","hopkins","columbia","less","cluster","death","model","california","county","total","total","johns","hopkins","florida","state","department","total","less","track","state","total","university","death","total","less","high","project","less","new","us","university","death","record","us","dec","state","record","state","us","less","hopkins","total","total","million","total","since","since","total","population","nearly","average","population","per","fully","day","datum","average","nearly","washington","day","report","datum","day","among","death"
"9","man","hospital","illinois","history","total","washington","total","man","tally","wyoming","us","columbia","us","count","columbia","club","district","us","columbia","less","us","johns","less","hospital","hopkins","florida","accord","total","new","positivity","project","department","florida","less","us","accord","university","datum","new","university","death","total","record","hit","accord","state","report","university","accord","report","total","report","university","administer","johns","less","cdc","case","administer","report","million","per","publish","case","nearly","per","population","population","draw","publish","rate","report","dose","high","day","vaccination","become","rate","week"
"10","state","woman","cdc","singapore","contact","man","woman","tally","healths","coronavirus","total","report","universitys","less","territory","less","repatriate","columbia","repatriate","datum","see","hopkins","florida","rate","sunday","county","new","datum","number","covid","department","columbia","death","new","project","new","datum","less","wisconsin","new","average","new","hospitalization","new","track","hospitalization","ctp","new","project","datum","new","university","project","cdc","accord","average","report","total","ministry","day","dos","average","less","new","population","report","us","county","report","vaccinate","adult","receive","state","rate","two","washington","pace","million","datum"
"11","january","state","lab","total","ministry","cdc","accord","county","us","accord","accord","repatriate","unite","territory","repatriate","track","south","repatriate","district","trend","new","arizona","record","patient","covid","new","florida","new","positivity","cnns","covid","new","report","york","forecast","us","us","state","university","state","us","high","covid","record","new","project","university","high","record","track","state","datum","forecast","state","dos","accord","since","population","accord","state","day","record","total","account","cdc","cdc","since","dose","one","fully","dos","cdc","massachusetts","accord","pace","state","per","hospitalization","global"
"12","contact","massachusetts","health","hospital","hospital","total","cdc","patient","accord","die","territory","us","columbia","columbia","state","itaewon","model","seoul","less","new","increase","see","total","johns","high","covid","database","track","project","exactly","number","datum","less","datum","child","total","track","model","record","previous","last","death","accord","late","total","day","state","state","datum","university","accord","accord","less","dos","iran","million","million","prevention","less","less","accord","datum","per","us","new","publish","adult","cdc","vaccinate","us","fully","less","total","low","little","million","half","current","average"
"13","say","ministry","california","travel","man","woman","man","detect","total","repatriate","coronavirus","universitys","university","jhu","track","us","state","territory","total","project","sevenday","high","california","bed","number","number","track","database","florida","draw","database","district","district","university","less","die","accord","new","accord","less","accord","since","high","accord","numb","us","project","project","report","project","less","covid","tally","us","average","cdc","university","cdc","publish","brazil","daily","cdc","report","day","increase","nearly","dose","publish","adult","per","population","dose","rate","maryland","dose","prevention","datum","aug","nearly"
"14","wuhan","positive","one","positive","california","king","bring","repatriate","unite","healths","universitys","university","accord","district","accord","model","us","death","south","texas","previous","record","hospitalization","datum","ventilator","less","less","note","line","line","new","repatriate","new","columbia","model","datum","district","russia","us","hospitalization","statewide","track","track","day","hospitalize","covid","us","datum","high","record","university","record","datum","university","us","prevention","accord","brazil","brazil","population","numb","nearly","average","week","day","dose","total","accord","week","resident","less","publish","jersey","people","adult","child","washington","half","accord"
"15","isolation","total","positive","health","county","yearold","department","test","coronavirus","territory","district","district","die","unite","total","cluster","territory","tally","tally","increase","total","increase","datum","new","rate","bed","draw","health","less","database","draw","florida","governor","us","datum","wisconsin","wisconsin","million","track","datum","day","accord","less","track","state","accord","datum","record","hospitalize","high","icu","high","unite","accord","california","day","prevention","johns","countrys","new","pandemic","accord","brazil","since","less","new","report","new","total","cdc","since","total","average","washington","us","day","new","university","per"
"16","positive","illinois","man","recent","one","accord","identify","positive","repatriate","columbia","wyoming","coronavirus","report","repatriate","district","columbia","itaewon","total","universitys","total","less","less","increase","texas","patient","track","covid","draw","rate","project","exactly","territory","repatriate","accord","die","jersey","high","accord","project","sevenday","high","day","day","covid","project","number","accord","track","number","us","die","track","number","average","less","administer","less","reach","since","death","new","rate","accord","fully","publish","fully","cdc","adult","maryland","prevention","hospitalization","people","us","state","jersey","daily","case","accord","covid"
"17","dr","novel","kit","discharge","positive","resident","tally","coronavirus","territory","cnn","columbia","accord","district","include","app","total","nightclub","state","seoul","arizona","university","total","accord","miamidade","numb","project","line","project","draw","real","track","rate","exactly","resident","average","show","daily","record","daily","health","dashboard","covid","us","university","ctp","track","day","ctp","track","covid","covid","toll","track","unite","day","datum","unite","now","note","daily","brazil","disease","cdc","city","report","since","publish","per","prize","receive","day","delay","population","since","hawaii","july","daily","month","hospitalization"
"18","woman","january","ministry","state","history","condition","yearold","cdc","columbia","detect","repatriate","total","repatriate","app","unite","link","korea","university","korea","territory","carolina","datum","columbia","accord","datum","datum","project","accord","database","university","hospitalization","covid","number","district","accord","jhu","new","project","department","us","hospitalize","daily","university","department","record","university","covid","number","us","less","rate","bring","state","since","unite","new","project","unite","hopkins","control","state","population","toll","past","case","less","sevenday","death","old","total","report","deliver","dos","york","one","month","california","increase","resident"
