"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","sars","sars","sars","surface","can","africa","blood","johnson","johnson","uk","johnson","uk","uk","uk","uk","johnson","uk","cummings","uk","uk","uk","england","uk","minister","healthcare","forecast","tedros","tedros","child","symptom","symptom","test","adult","patient","patient","study","flu","death","study","researcher","woman","home","researcher","mask","nurse","mask","child","uk","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","test","variant","variant","variant","variant","variant","variant","variant","variant","patient","variant","variant","study","test","study","staff","test","test","test"
"2","infect","severe","north","study","screening","respiratory","driver","uk","uk","johnson","prime","hospital","johnson","johnson","johnson","uk","symptom","johnson","johnson","british","johnson","court","leicester","pub","prime","ryan","ryan","service","nurse","child","study","patient","patient","study","underlie","researcher","influenza","woman","patient","study","pregnant","researcher","study","antibody","child","study","sister","variant","uk","mutation","cdc","study","africa","strain","south","identify","africa","south","identify","infect","variant","case","test","researcher","study","study","study","researcher","researcher","researcher","researcher","study","antibody","find","show","outbreak","england","positive","list"
"3","virus","respiratory","appear","sars","robot","system","animal","website","prince","minister","minister","nhs","government","british","boris","boris","england","boris","england","government","england","british","johnson","london","project","either","organization","telehealth","aap","test","hong","study","researcher","find","study","child","kill","mortality","researcher","patient","among","likely","patient","study","mask","man","school","kent","strain","scientist","africa","antibody","south","south","study","africa","south","africa","uk","sequence","identify","study","positive","find","infection","long","immune","breakthrough","booster","variant","trial","immune","protection","respiratory","sarscov","researcher","uk","secretary","district"
"4","outbreak","study","hospital","researcher","human","sars","donate","boris","tube","test","boris","johnson","secretary","canada","minister","prime","list","durham","secretary","johnson","worker","uk","prime","prime","airport","disease","compare","world","ryan","disease","kong","researcher","test","researcher","find","die","pneumonia","symptom","death","research","study","nurse","remdesivir","child","control","researcher","flu","port","england","uk","identify","africa","identify","sample","oxfordastrazeneca","south","find","find","booster","transplant","find","test","symptom","study","breakthrough","identify","model","first","study","study","study","little","variant","write","preprint","republican","delta","player","symptom"
"5","case","syndrome","severe","publish","respiratory","virus","respiratory","blood","british","prime","uk","prime","prime","hancock","government","minister","british","prime","minister","secretary","london","shield","ticket","uk","lockdown","right","emergency","kerkhove","can","researcher","rapid","symptom","care","athlete","die","bannister","hospital","rate","symptom","heart","age","child","find","aug","administer","shakespeare","mental","france","colorado","sequence","know","virus","strain","mutation","africa","strain","detect","uk","york","africa","patient","identify","contact","identify","find","among","infection","study","concern","immune","antibody","test","virus","antibiotic","result","people","fast","shoot","quarantine"
"6","respiratory","acute","infection","syndrome","study","symptom","foundation","google","prime","hancock","intensive","minister","minister","secretary","prime","government","johnson","dominic","hancock","prime","popular","pass","council","lockdown","tweet","ensemble","community","say","disease","likely","test","negative","study","symptom","assist","drink","poll","die","black","medicine","likely","patient","risk","collection","clinic","name","care","truck","identify","virus","sample","identify","first","uk","vaccine","researcher","coronavirus","virus","strain","lung","infect","increase","covid","test","test","develop","researcher","identify","uk","booster","test","people","researcher","researcher","emerge","family","positive","dhs","office"
"7","rate","infect","acute","animal","tech","story","dorries","london","hancock","nhs","british","british","british","government","british","home","loss","uk","home","minister","mexican","site","hancock","england","enforcement","roughly","say","health","risk","population","research","lab","research","research","nurse","age","covid","study","blood","rate","researcher","care","facility","write","use","patient","change","driver","scientist","strain","mutation","south","detect","sequence","sequence","sequence","sample","identify","new","uk","remdesivir","michigan","case","patient","infect","pregnant","ihme","infection","antibody","look","use","virus","find","study","pandemic","remove","coronavirus","hope","proof"
"8","estimate","estimate","syndrome","rate","giant","can","drive","symptom","boris","symptom","raab","care","hancock","uks","uks","message","smell","wife","boris","officer","red","pride","pride","johnson","face","election","system","ryan","severe","virus","patient","pregnant","find","compare","antibody","among","average","researcher","covid","find","risk","woman","veteran","prevalence","physical","information","migrant","border","virus","appear","sequence","new","virus","case","identify","uk","uk","first","preliminary","south","rapid","uk","find","app","patient","participant","immunity","effectiveness","hancock","antibody","positive","infect","vaccine","sample","vaccine","vote","variant","estimate","department"
"9","severe","epidemic","patient","cash","effective","throat","peak","minister","minister","boris","street","trudeau","meeting","war","telegraph","uks","minister","lockdown","sharma","threat","outside","celebration","mount","police","minister","expert","transmission","emergency","author","county","first","write","negative","black","young","find","may","excess","year","hospitalize","prevention","risk","delirium","researcher","cdc","nurse","regional","dover","transmissible","sample","uk","appear","uk","africa","strain","sample","identify","coronavirus","first","appear","saliva","risk","identify","symptom","pregnant","test","estimate","cdc","vaccine","research","vaccine","researcher","blood","show","address","unvaccinated","wave","someone","dhs"
"10","syndrome","around","respiratory","find","cat","like","uks","government","charles","british","hospital","hancock","nhs","minister","ferguson","england","sense","london","child","china","australian","imperial","resolution","teich","hospital","always","storm","get","medicine","flu","man","result","symptom","hospitalization","researcher","symptom","people","covid","journal","doctor","symptom","visit","diaphragm","sept","recommend","yearold","visit","freight","appear","south","disease","find","fauci","identify","severe","virus","study","case","city","prepare","infection","infect","young","sample","virus","datum","nsaids","evidence","breakthrough","publish","label","become","two","sequence","clinical","increase","hour","know","memo"
"11","people","middle","korea","journal","sars","disinfectant","read","prime","nhs","trudeau","queen","boris","boris","care","lockdown","care","wale","adviser","prime","require","hancock","schaffner","jewish","nhs","home","edwards","damage","system","virus","datum","abbott","day","young","image","live","survey","death","increase","die","team","severe","crowd","child","find","skill","datum","body","strand","school","van","south","britain","disease","protection","protection","severe","ihme","concern","mutation","identify","researcher","virus","infect","risk","south","patient","see","mild","datum","trial","booster","trial","infection","suggest","collect","rate","strain","wave","public"
"12","mers","factor","spread","viral","temperature","dog","uber","company","run","prince","london","canadian","vaccine","anzac","sturgeon","wale","home","england","save","statement","lawmaker","johnson","minister","saturday","worker","first","world","can","organization","hospitalization","virus","woman","black","illness","likely","adult","august","black","lose","antibody","need","find","breathe","gottlieb","distance","us","cause","supply","man","africa","evidence","mutation","appear","virus","oxford","case","mutation","study","study","donor","people","us","school","infection","researcher","contact","response","dose","trial","breakthrough","among","coronavirus","infect","covid","evolve","test","government","negative","firm"
