"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","city","year","business","restriction","drug","irans","minister","ventilator","ventilator","hospital","ventilator","ventilator","nurse","equipment","mask","nurse","ventilator","indigenous","care","mask","mask","mask","mask","mask","get","mask","mask","mask","mask","indigenous","police","hotel","weekend","mental","year","year","go","global","shortage","hotez","korea","korea","rural","korea","student","hiv","black","woman","mountain","china","researcher","study","black","study","test","researcher","study","likely","study","study","trial","trial","child","johnson","clot","johnson","vaccine","vaccine","child","child","fauci","child","child","child","risk","ema","good","office","court"
"2","year","city","million","million","iran","iran","iran","defense","mask","ventilator","hospital","hospital","equipment","protective","equipment","fire","equipment","care","worker","nurse","wear","wear","wear","wear","mask","wear","wear","wear","wear","highway","attend","police","beach","young","black","suarez","extreme","cancel","april","head","south","south","south","chinese","provider","treatment","vaccine","group","chinese","team","china","researcher","high","researcher","antibody","trial","antibody","prevent","glenn","researcher","datum","protection","antibody","clot","blood","fda","pfizer","age","dr","fauci","child","age","consider","black","say","vaccine","law","national","festival"
"3","million","lunar","tourism","travel","fda","iranian","ministry","hospital","hospital","supply","patient","equipment","hospital","kit","protective","ventilator","russia","hospital","nurse","wear","face","hand","face","get","tedros","mandate","gohmert","use","secret","federal","berlin","berlin","labor","increase","event","girl","world","short","herd","clearly","hospital","canadian","hospital","hospital","supply","whitty","survey","malaysia","study","study","expectancy","survey","among","black","child","study","infection","year","woman","severe","efficacy","participant","show","blood","johnson","cdc","fda","use","vaccine","dr","age","among","group","american","around","child","proof","governor","qantas"
"4","lunar","gamble","visitor","neighborhood","irans","agency","morrison","bed","supply","equipment","equipment","mask","kit","payment","nurse","hospital","jersey","russia","cdc","care","care","sanitizer","kemp","people","can","face","convention","love","outside","stone","indigenous","rule","party","cite","away","risk","grow","mango","desantis","favor","korean","trudeau","giroir","therapy","austin","vaccine","billion","black","illegal","researcher","child","population","population","participant","wait","patient","dose","show","patient","find","disease","study","protection","pause","vaccine","blood","age","child","age","institute","continue","drug","among","likely","child","condition","pregnant","business","point"
"5","close","tourism","work","city","iranian","ministry","trudeau","equipment","york","patient","supply","patient","protective","test","medical","care","care","rate","facility","hospital","fire","contact","adams","can","way","kelly","barr","mandate","just","protester","lima","full","gather","rally","release","police","year","austrian","osterholm","petition","officer","ohio","area","video","rural","australia","community","account","las","arrangement","life","black","people","adult","result","child","result","vaccine","novavax","clinical","symptom","pfizer","serum","recommend","rare","clot","bourla","recommend","drug","age","dr","extend","concern","far","concern","moderna","require","state","wish"
"6","cancel","holiday","holiday","away","iraq","qom","country","mask","bed","need","york","supply","mask","patient","hospital","patient","delivery","advocacy","ventilator","ventilator","hand","urge","cover","go","go","cloth","rep","murray","dog","village","partygoer","organizer","san","suicide","costume","officer","independent","race","gelber","elevator","uae","giroir","korea","social","video","genetic","kaiser","write","population","wuhan","find","among","study","analysis","patient","finding","test","trial","researcher","dose","dsmb","six","risk","rare","meet","vaccine","authorize","teen","fda","walensky","director","johnson","die","compare","poll","heart","student","release","michigan"
"7","station","visitor","year","past","qom","ali","prime","medical","equipment","york","medical","nurse","supply","mask","personal","tass","shipment","brazil","mask","bed","khan","think","think","distance","people","layer","milwaukee","ihme","shoot","kayapó","stampede","protest","large","community","turn","store","launch","immunity","immunity","daily","prevention","prison","dakota","continent","treatment","azar","among","bernama","pandemic","chinese","team","finding","white","antibody","antigen","likely","people","age","find","datum","clinical","long","study","six","pause","pause","drug","drug","walensky","disease","institute","committee","fauci","datum","small","risk","prohibit","setting","horse"
"8","new","million","city","ban","agency","equipment","agency","unit","need","mask","mask","protective","ppe","medical","ppe","worker","lynch","mortality","shift","live","think","tracer","want","face","community","baby","distance","letter","concern","brazil","protest","government","many","pandemic","young","kid","underscore","impose","russian","directly","funeral","officer","church","cost","additional","trial","world","aap","east","origin","scientist","hispanic","american","group","black","journal","positive","poll","trial","symptom","patient","vaccine","lose","us","committee","drug","child","immunization","johnson","use","anthony","fauci","disease","white","quarter","among","woman","order","aug"
"9","will","macao","lunar","tourist","student","parliament","news","minister","cuomo","protective","comfort","personal","swab","radiation","export","equipment","protective","apib","hospital","april","good","need","hand","hand","wear","think","gelber","put","duke","demand","perus","first","crowd","police","activity","protester","poverty","policy","space","decade","june","official","morris","story","outbreak","false","country","delhi","world","global","hispanic","prevalence","latino","infect","poll","symptom","trial","respondent","symptom","time","astrazeneca","antibody","resistance","drug","recommend","use","authorization","yearolds","authorize","national","infectious","food","safe","say","familiar","case","condition","may","reach"
"10","train","business","sector","empty","product","arab","kerala","immigration","protective","nurse","treat","ppe","desantis","ventilator","worker","mask","survey","intensive","deploy","worker","worker","risk","distance","thing","say","mother","room","husband","room","hut","guard","google","host","many","countdown","reeve","million","allow","global","fail","nebraska","church","mitigate","operation","train","plasma","half","mortality","house","detect","adult","north","find","hispanic","find","prevalence","age","parton","compare","brain","concern","effective","estimate","vaccine","woman","rare","use","fda","food","director","disease","authorization","food","nearly","somewhat","around","passport","team","either"
