"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","can","can","symptom","can","pandemic","vaccine","dr","dr","fauci","mask","fauci","dr","antibody","vaccine","drug","study","study","patient","study","vaccine","vaccine","drug","vaccine","study","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","johnson","johnson","astrazeneca","clot","astrazeneca","astrazeneca","astrazeneca","blood","eu","european","european","taiwan","taiwan","eu","card","meet","schedule","many","company","booster","fda","fda"
"2","disease","cough","redfield","think","vaccine","fauci","disease","fauci","disease","wear","dr","antibody","test","study","vaccine","antibody","vaccine","study","trial","study","study","study","patient","drug","study","study","trial","drug","trial","trial","plasma","trial","trial","trial","trial","trial","use","trial","trial","trial","trial","trial","pfizer","fda","dos","dos","authorization","authorization","trial","dose","dos","trial","trial","johnson","pfizer","johnson","johnson","vaccine","vaccine","clot","blood","blood","blood","vaccine","astrazeneca","european","eu","commission","european","etienne","movement","county","beasley","receive","arizona","booster","pfizer","probably","call"
"3","symptom","drug","can","lot","hand","cdc","infectious","disease","dr","trump","birx","drug","patient","drug","patient","drug","trial","drug","patient","trial","drug","patient","trial","patient","covid","company","phase","trial","phase","treatment","trial","drug","drug","gate","participant","fda","authorization","pause","drug","safety","israel","pfizer","trial","trial","authorization","authorization","use","dos","dos","dos","pfizer","use","astrazeneca","trial","dos","dos","dos","drug","dos","blood","vaccine","clot","european","european","european","union","union","region","taipei","island","commission","support","individual","approximately","class","pfizer","official","application","go"
"4","say","virus","cough","pandemic","dr","test","fauci","study","infectious","fauci","disease","test","disease","trial","remdesivir","syndrome","drug","vaccine","drug","antibody","trial","vaccine","study","remdesivir","antibody","trial","study","company","russia","antibody","fda","plasma","astrazeneca","dos","dos","drug","antibody","clinical","company","company","phase","pfizers","moderna","efficacy","pfizer","pfizer","committee","reaction","phase","moderna","trial","dos","company","authorization","astrazeneca","million","company","moderna","use","vaccine","astrazeneca","follow","clot","agency","medicine","astrazeneca","leather","etienne","island","council","european","angeles","holiday","make","parent","develop","brief","lot","september"
"5","virus","symptom","someone","really","recommend","infectious","can","trial","think","dr","mask","fauci","study","test","disease","vaccine","researcher","researcher","vaccine","drug","patient","trial","researcher","antibody","find","develop","moderna","study","russian","plasma","drug","dr","election","pfizer","fda","hahn","emergency","johnson","clinical","treatment","volunteer","effective","company","authorization","moderna","committee","fda","drug","company","use","receive","efficacy","european","use","authorize","eu","use","pfizer","astrazeneca","suspend","committee","rare","rare","clot","agency","commission","indias","eu","region","region","certificate","los","schedule","meet","soon","use","meet","drug","shot"
"6","spread","flu","study","need","wash","hall","hand","infectious","trial","drug","model","fda","researcher","clinical","study","disease","clinical","trial","hydroxychloroquine","use","hydroxychloroquine","researcher","drug","trial","adult","pfizer","speed","antibody","clinical","study","convalescent","clinical","pause","company","authorization","company","fda","drug","participant","drug","vaccination","dos","authorization","pfizer","company","trial","administration","pfizer","moderna","drug","company","sputnik","eu","sputnik","company","trial","authorization","merck","company","european","european","vaccine","ema","blood","group","phe","list","political","cecc","chen","etienne","subject","team","young","immunize","dr","need","process","country"
"7","center","sneeze","virus","cure","can","dr","director","young","say","disease","drug","model","dr","fauci","child","patient","develop","hydroxychloroquine","datum","patient","researcher","risk","remdesivir","vaccine","severe","astrazeneca","hahn","dos","approve","clinical","trump","treatment","clinical","say","company","administration","trial","volunteer","fda","patient","federal","phase","effective","dose","fda","reaction","pfizer","allergic","pfizerbiontech","trial","dose","receive","johnson","astrazeneca","oxfordastrazeneca","company","million","company","european","medicine","use","age","vaccine","wednesday","outweigh","statement","commission","hear","eu","taipei","digital","department","may","due","teen","new","administration","manufacture","tedros"
"8","us","combination","researcher","cough","use","flu","community","drug","patient","guideline","white","disease","virus","patient","trial","child","patient","treatment","clinical","researcher","antibody","severe","child","child","smoke","fda","safe","research","drug","company","authorization","fda","approval","distribution","johnson","political","drug","company","food","moderna","dos","drug","fda","vaccination","drug","uk","drug","use","pfizer","vaccination","drug","shoot","union","european","johnson","production","moderna","dose","clot","use","medicine","medicine","medicine","risk","vaccine","protect","donation","loan","council","germany","bloc","public","good","easily","read","walensky","company","former","justice"
"9","infect","treatment","go","flu","transmission","disease","get","institute","world","anthony","american","swab","drug","disease","team","van","disease","test","researcher","research","treat","woman","infect","publish","risk","dos","immune","develop","dos","develop","administration","administration","phase","plasma","phase","phase","clinical","authorization","authorization","food","develop","clinical","drug","drug","use","vaccination","advisory","moderna","vaccination","approve","authorization","coronavac","dos","efficacy","manufacture","european","astrazeneca","production","merck","agency","side","risk","link","medicine","risk","oxfordastrazeneca","whether","lawsuit","taiwans","lab","ease","use","unvaccinated","ensure","open","coronavirus","federal","think","booster"
"10","cdc","contact","think","spread","away","hand","town","can","symptom","american","trump","study","fda","antibody","virus","dr","antibody","use","journal","develop","use","remdesivir","company","condition","disease","safe","company","advance","effective","drug","hahn","convalescent","effective","develop","safety","us","treatment","fda","safety","datum","give","volunteer","use","vaccinate","emergency","advisory","us","modernas","use","pfizerbiontech","approval","company","authorization","dos","production","astrazeneca","emergency","authorize","country","ema","agency","committee","wednesday","statement","spain","underway","suggest","swiss","epidemic","outbreak","mass","statement","due","group","early","immunity","say","something","york"
"11","dr","person","protect","vaccine","flu","correspondent","redfield","virus","distance","infectious","wear","institute","plasma","dr","blood","kerkhove","result","disease","find","food","fda","treatment","antibody","treatment","treatment","phase","drug","development","development","scientist","treatment","phase","company","clinical","fauci","dr","datum","use","johnson","phase","another","company","candidate","use","trial","fda","food","trial","dose","india","use","emergency","delay","agency","drug","clinical","drug","dos","medicine","risk","risk","shoot","age","rollout","clot","canadian","minister","court","central","beijing","test","billion","live","holiday","receive","tell","tedros","johnson","stoney"
"12","person","doctor","tell","sneeze","disease","town","coronavirus","get","adams","recommendation","infectious","vaccine","infectious","remdesivir","find","develop","child","droplet","publish","phase","treatment","review","treatment","immunity","group","immune","fda","speed","azar","australian","use","use","standard","candidate","datum","food","company","illness","committee","prevent","pilgrim","datum","dos","committee","pfizers","drug","modernas","fda","develop","receive","million","phase","efficacy","canada","effective","supply","authorize","manufacture","blood","vaccination","benefit","chancellor","regulator","side","eu","secondary","industry","statement","etienne","sector","within","elsewhere","friday","member","age","symptom","shot","put","set"
