"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","market","market","economy","economy","point","stock","market","airline","billion","bank","airline","billion","billion","billion","million","billion","million","economic","billion","economy","billion","billion","unemployment","program","million","republican","republican","pelosi","trump","postal","republican","biden","republican","sale","birx","house","stimulus","house","pelosi","pelosi","house","fauci","fauci","thanksgiving","fauci","fauci","get","fauci","fauci","fauci","fauci","fauci","mask","fauci","fauci","fauci","fauci","get","vaccinate","foot","walensky","walensky","fauci","fauci","mask","mask","mask","mask","mask","mask","mask","mask","mask","allow","variant","school","school","dose","vaccine"
"2","animal","year","plant","business","dow","market","stock","billion","airline","stock","cut","airline","pay","quarter","billion","tourism","year","company","cost","economic","economy","forecast","million","business","year","billion","bill","democrat","executive","fund","trump","fund","vote","senate","atla","pelosi","trump","pelosi","stimulus","talk","viral","medical","rate","fauci","travel","anthony","fauci","dr","get","adams","get","walensky","standard","get","get","get","director","vaccinate","fauci","distance","cdc","mask","dr","white","get","outdoor","wear","wear","wear","wear","wear","order","will","release","company","guidance","student","approval","moderna"
"3","read","hit","auto","outbreak","drop","point","trade","flight","business","airline","market","stock","trade","economy","pledge","million","billion","billion","economy","million","economic","fund","job","million","estimate","senate","unemployment","house","action","house","house","loan","bill","stimulus","force","mnuchin","talk","trillion","election","election","poll","symptom","institute","holiday","walke","get","dr","adams","travel","claim","go","dr","walensky","dr","dr","director","dr","fauci","people","fauci","fauci","slavitt","white","vaccinate","fauci","vaccinate","cdc","vaccinate","fully","will","release","wear","state","public","august","community","mask","pfizer","fda"
"4","since","stock","industry","impact","market","drop","drop","market","stock","business","billion","market","job","job","unemployment","job","business","million","million","stock","stock","economic","billion","loan","diagnosis","fund","senate","senate","benefit","senate","convention","billion","stimulus","benefit","house","deal","house","republican","deal","house","morning","el","anthony","american","re","dr","american","mask","mask","get","doctor","anthony","get","anthony","vaccinate","dr","disease","feel","cdc","walensky","disease","american","director","dr","vaccinate","fully","guidance","fully","require","indoor","lift","indoor","order","state","point","person","public","vaccine","full"
"5","full","economy","part","company","stock","dow","dow","cut","market","unemployment","employee","bank","market","company","economic","fund","job","year","claim","billion","merkel","million","fund","homeless","money","nurse","stimulus","side","unemployment","white","bill","trump","harris","trillion","schaffner","stimulus","money","kudlow","house","stock","plan","much","thanksgiving","family","just","thanksgiving","adams","anthony","anthony","holiday","dr","get","murthy","infectious","right","anthony","vaccinate","dr","guidance","trump","center","right","us","allergy","wear","guidance","disease","indoor","guidance","lift","governor","guideline","require","migrant","necessary","mitigation","wear","authorization","approval"
"6","last","trade","factory","year","index","rate","oil","stock","company","market","economy","unemployment","airline","million","bank","unemployment","china","hassett","economic","price","dow","claim","market","gallego","pass","proposal","mcconnell","stimulus","democrat","trump","meadow","job","democrat","pelosi","trump","democrat","pelosi","senate","mnuchin","deal","isolation","infect","native","dr","anthony","american","say","watch","dr","wear","mask","infectious","fauci","mask","guidance","infectious","infectious","public","fully","cdc","vaccinate","us","walensky","house","thing","cdc","outdoor","mandate","vaccinate","guideline","order","require","wear","announce","protection","prevention","dangerous","company","food"
"7","almost","story","year","billion","fall","index","index","industry","package","employee","economic","economic","million","demand","company","economy","emission","unemployment","labor","fall","euro","pandemic","economy","company","financial","cut","benefit","meadow","mnuchin","democrat","fund","democratic","trump","proposal","situation","talk","claim","offer","speaker","stimulus","indonesia","nurse","disease","risk","season","say","anthony","cnns","think","general","still","people","general","disease","think","allergy","get","people","walensky","physical","director","rochelle","slavitt","institute","indoor","wear","fauci","guidance","fauci","gathering","indoor","lift","gov","order","reduction","need","pernell","patient","use"
"8","stock","open","global","bank","sp","cut","disney","trade","economy","company","business","dow","company","bank","airline","year","tourism","cut","job","point","point","recovery","economic","worker","terminal","money","house","negotiation","house","bill","pelosi","house","democratic","retail","benefit","election","economic","mnuchin","bill","mnuchin","election","connect","infectious","people","holiday","allergy","moment","collins","infectious","mask","sick","work","can","director","people","public","collins","back","mask","school","dr","biden","disease","disease","protect","indoor","dr","disease","prevention","distance","outdoor","outdoor","announce","covid","serum","distance","right","full","authorization"
"9","many","read","hit","big","year","economy","future","fall","dow","dow","unemployment","sp","food","fund","fund","camp","refugee","recession","business","us","sp","economy","dow","file","aggressive","stimulus","proposal","trump","president","benefit","employee","package","mcconnell","vote","role","speaker","package","stimulus","senate","dow","fall","thanksgiving","afeyan","visit","say","holiday","safe","get","really","death","take","thing","long","go","anthony","know","recommendation","disease","prevention","dr","fully","see","infectious","michigan","make","fauci","vaccinate","governor","guideline","restaurant","prevention","cdc","governor","will","can","will","way","emergency","approve"
"10","wild","bad","impact","warn","lose","investor","point","economy","loan","billion","stock","claim","pandemic","oil","year","economic","economic","option","program","lockdown","open","year","stock","hit","complain","package","build","talk","schumer","billion","biden","stimulus","unemployment","election","task","trump","negotiation","talk","democrat","speaker","green","paso","dr","want","get","go","watch","jerome","screen","say","infectious","go","symptom","good","go","vaccinate","just","fully","director","mask","prevention","dr","go","director","anthony","disease","distance","guideline","mandate","sport","mandate","child","face","end","social","implement","fully","six","due"
