"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","travel","airline","airline","qom","level","flight","league","olympic","olympic","tokyo","vote","election","kong","game","hong","game","world","world","refugee","festival","beijing","test","test","victoria","hong","prison","andrews","victoria","zealand","zealand","new","border","lamont","victoria","action","victoria","mink","ad","child","child","child","mink","mink","claim","billion","billion","million","market","european","european","brazilian","oxygen","police","pay","document","zoo","shum","pope","test","foreign","contract","canada","korea","country","surface","order","passenger","federal","order","secretary","cruise","ship","card","mayor","blasio","chronic","johnson","unvaccinated","zients"
"2","airline","suspend","suspend","travel","cancel","event","game","player","game","player","election","vote","olympic","tokyo","kong","league","china","pandemic","world","tedros","market","beijing","china","melbourne","kong","inmate","victoria","andrews","victoria","new","zealand","quebec","remdesivir","china","award","victorias","receive","response","student","kid","cuomo","farm","farm","benefit","fund","economy","canada","european","vaccination","dos","oxygen","manaus","charge","store","district","gorilla","store","netherlands","quarantine","seoul","covax","country","kdca","development","transmission","atlanta","district","deal","build","vulnerability","water","activity","californians","olympic","now","adams","syndrome","case","increase"
"3","flight","flight","fashion","iran","travel","airline","player","event","postpone","postpone","league","voter","disney","olympic","flu","watch","organization","hall","indias","fair","cluster","pool","victoria","outbreak","victoria","bureau","hong","kong","new","case","link","rend","stage","billion","ceremony","inquiry","animal","campaign","particle","detainee","aap","denmark","bell","unemployment","job","job","commission","commission","spain","veran","amazonas","amazonas","breach","employee","francisco","company","sense","fake","hong","decision","unite","unite","south","south","clean","gautam","voyage","canadian","murphy","coverage","rescue","border","see","insurance","mask","datum","janssen","get","see"
"4","suspend","china","flight","agency","march","cancel","cancel","schedule","tokyo","game","wisconsin","event","cancel","kid","event","season","town","ceremony","cyclone","indias","link","plant","pool","andrews","trace","victoria","cain","fine","case","cluster","zealands","case","australian","dos","billion","andrews","program","advertisement","air","halloween","election","cull","berlin","worry","act","unemployment","johnson","sakhon","delivery","stock","manaus","federal","water","certificate","san","carrier","temperature","police","website","request","government","urge","wave","investment","bus","cylinder","cruise","fauci","gaza","security","law","cruise","individual","report","bill","vaccine","fda","jackson","edwards"
"5","china","company","april","airline","event","festival","event","postpone","committee","committee","june","postpone","song","season","mental","world","chinese","town","protester","music","china","meat","beijing","prison","case","andrews","kong","hong","ardern","ardern","case","personal","hospital","oxfam","olympic","food","dexamethasone","air","desk","family","san","human","danish","migrant","ambulance","cleverly","company","samut","million","vargascortes","brazils","shortage","protest","kroger","acid","theodore","storage","child","yacht","cqc","diplomat","treaty","covax","big","train","nepal","order","mask","recent","call","sign","sail","mexicos","may","implement","dose","guillainbarré","offit","white"
"6","statement","travel","route","advise","due","game","tournament","game","athlete","election","postpone","abe","hong","child","virtual","global","pandemic","quammen","modi","world","outbreak","outbreak","case","authority","warn","australian","premier","breach","auckland","auckland","cluster","eviction","melbourne","crisis","arrest","hogan","grant","use","need","help","mutate","mutation","unemployment","farm","gao","sell","maine","open","sunday","italy","brasil","coari","arrest","san","agreement","uss","recovery","trip","friday","dnacpr","gavi","world","daily","answer","manufacture","fan","restrict","transportation","israeli","main","call","across","cruise","affect","inform","disease","risk","food","team"
"7","british","march","cancel","russian","advisory","schedule","season","team","event","league","player","hold","postpone","sesame","way","sport","international","global","rohingya","war","xinfadi","market","inmate","quentin","report","staff","outbreak","australias","zealands","zealands","auckland","ppe","enough","food","propose","resign","business","praise","enter","tricktreating","mink","danish","virus","jobless","report","negotiate","employee","recover","dos","france","pazuello","court","cannon","prison","relate","degree","trouble","arrest","outdoor","embassy","order","foreign","case","delay","outside","tope","must","executive","security","faa","sail","industry","director","curb","kingdom","stress","gbs","feel","response"
"8","country","february","travel","iranian","flight","march","postpone","primary","postponement","abe","court","schedule","full","gupta","vatican","town","global","watch","especially","cancel","wholesale","china","andrews","inmate","state","general","home","lockdown","locally","transmit","bloomfield","shut","supply","melbourne","andrews","eviction","washington","feature","hospital","law","information","child","denmark","dog","congress","education","include","million","france","potential","collapse","patient","netherlands","police","police","celsius","attack","national","traveler","korean","legislation","serbia","lock","englands","disinfect","doctor","authority","rule","allow","travel","hope","desantis","enough","flu","mayor","worry","rare","husband","coordinator"
"9","situation","entry","reduce","level","april","tokyo","team","cancel","cancel","cancel","mail","mail","concert","hong","race","cnns","hall","cnns","camp","event","case","cluster","tedros","lockdown","lam","lompoc","australian","police","bloomfield","outbreak","outbreak","nurse","connecticut","buy","country","myers","weekly","consent","author","candy","need","mutate","worry","virus","federal","idea","european","risk","contract","union","minister","government","stick","close","attack","aircraft","learn","meet","spend","concern","argentina","covax","adverse","shah","hill","back","airline","guidance","damage","huge","rollout","behavior","protect","investigate","pay","exist","report","side","unvaccinated"
"10","warn","air","china","flight","airline","postpone","march","season","abe","july","abe","extension","hero","kong","world","baseball","cnns","xi","adams","african","import","food","victorian","premier","andrews","premier","daniel","restriction","level","day","transmit","shortage","equipment","supply","worry","movie","virus","word","office","professor","county","scientist","claim","department","economy","nine","canadas","worker","johnson","eu","venezuela","brazil","riot","worker","hh","navy","treat","covid","outbreak","call","release","international","teacher","guterres","expire","park","charge","murray","clinic","house","south","median","protective","medicine","race","hiv","neurological","paul","still"
