"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hospital","hospital","mask","mask","italy","italy","italian","french","lockdown","lockdown","lockdown","lockdown","lockdown","lockdown","india","indian","india","prayer","shield","percentage","distance","gate","hernández","indigenous","okinawa","military","vote","cdc","election","election","facebook","ballot","trump","trump","trump","trump","trump","trump","trump","trump","prince","election","grassley","hong","campaign","hong","singapore","taiwan","saudi","police","professional","school","school","mask","mask","school","school","school","teacher","school","school","school","person","marine","germanys","school","student","school","school","school","city","school","condition","patient","face","fauci","case","worker","worker"
"2","medical","mask","face","protective","lombardy","region","region","region","india","italian","india","india","india","india","lockdown","lockdown","cyclone","driver","mosque","citizen","ceremony","saudi","county","personnel","indigenous","okinawa","election","researcher","ballot","mail","hand","voter","woodward","president","china","ka","president","president","president","technology","april","white","senate","kong","hong","kong","lee","pilot","manzanero","french","french","staff","student","school","school","cdc","transmission","county","school","teacher","student","student","student","child","university","student","school","student","student","student","de","city","patient","level","military","cnn","cuba","biden","employee"
"3","worker","supply","medical","get","region","italian","italy","macron","sanchez","modi","slum","indian","indian","indian","indian","india","bangladesh","worker","lockdown","saudi","level","marathon","level","photo","air","guidance","hate","survey","mail","vote","mail","delus","president","woodward","tedros","cusimano","presidential","test","event","president","william","house","republican","campaign","kong","hahn","test","sputnik","mile","crew","schumer","smell","campus","transportation","student","mask","county","red","program","student","learn","department","school","student","student","movement","operate","reopen","program","district","blasio","cuomo","postcovid","health","update","allergy","death","employee","biden"
"4","supply","build","wan","equipment","italian","lombardy","lockdown","lockdown","minister","india","minister","modi","muslim","migrant","nationwide","railway","storm","india","queen","shield","commencement","hajj","giroir","cooper","marine","base","asian","study","absentee","ballot","tweet","jeanpierre","deadly","comment","president","mauri","donald","conley","rally","space","contact","force","attend","bubble","trace","airline","reason","saudi","mexican","letter","castex","college","teacher","airline","buttigieg","teacher","cdc","person","child","fund","fund","fall","learn","school","campus","measure","june","person","require","offer","school","york","social","associate","brazil","warn","numb","federal","president"
"5","mask","help","supply","medical","northern","hotel","lombardy","minister","prime","indian","easter","easter","delhi","nationwide","police","turkey","indian","curfew","holy","measure","exposure","gupta","air","nirenberg","base","document","military","antibody","study","postal","researcher","election","interview","want","us","school","china","house","harris","white","video","trump","pentagon","singapore","statement","passenger","saudi","russian","composer","head","biden","sense","child","federal","teacher","transmission","high","high","return","program","education","psaki","respondent","white","family","france","limit","return","test","de","mayor","de","diagnosis","condition","try","head","record","requirement","ask"
"6","patient","red","food","pompeo","veneto","protection","northern","italy","italian","minister","dharavi","african","nationwide","police","holiday","age","indias","mosque","ease","tanzania","west","party","party","antonio","corp","cdc","feel","ballot","health","cdc","touch","vote","know","mask","handle","white","harris","negative","campaign","force","positive","biden","sen","georgia","chuang","hurt","tower","flight","taiwan","resident","fight","student","wen","teacher","cdc","test","red","mexican","learn","florida","billion","education","campus","seek","longterm","reopen","staff","district","teacher","incentive","york","mayor","great","kind","july","government","total","require","require"
"7","get","bed","hospital","kerby","civil","northern","event","italian","doctor","indias","indias","nationwide","police","indias","migrant","passenger","amphan","erdogan","distance","distance","like","recent","graduation","lake","congress","card","san","find","cdc","voter","contact","cause","bob","interview","say","gun","vice","donald","biden","biden","rt","source","senator","positive","ad","flight","symptom","find","author","pilot","religious","secondary","reopen","wear","classroom","community","zone","five","person","billion","reopen","parent","attend","disparity","come","germanys","statement","mayor","instruction","person","statistic","blasio","cuomo","mass","health","institute","toll","will","house"
"8","city","use","enough","embassy","milan","civil","census","sanchez","russian","russian","wuhan","pope","city","travel","tourist","migrant","eid","eid","life","house","lockdown","ask","power","community","prefecture","service","okinawa","jail","researcher","machine","tracker","tweet","reporter","early","nation","teacher","administration","immune","hold","office","white","president","expose","launch","confirm","lam","travel","major","singer","taiwan","war","daily","education","board","test","walensky","test","return","benefit","like","department","back","child","offer","parliament","child","attend","broadway","participate","will","offer","firework","long","often","ability","fact","sunday","department","healthcare"
"9","cnn","food","home","hospital","protection","european","conte","payment","indian","russia","indian","guangzhou","restriction","home","strand","modi","curfew","flight","government","city","graduate","arabia","visit","dress","veto","us","cdc","protest","vote","method","garcetti","survey","mason","house","fagan","virtual","sen","white","presidential","science","sun","task","person","test","august","fly","victorian","arabia","role","authority","billion","appointment","mitigation","security","fit","learn","mask","classroom","education","claim","person","cause","fulltime","education","rate","macron","worker","cardona","policy","campus","kid","new","symptom","party","able","director","rate","president","step"
"10","build","patient","facility","result","italys","paris","vatican","people","spanish","police","mumbai","francis","mosque","pradesh","home","holiday","migrant","bus","square","life","graduation","enough","exposure","resident","military","japanese","weight","population","voter","use","twitter","die","book","bob","assembly","president","american","long","spend","spend","british","adviser","democrat","saturday","spend","test","passenger","taiwanese","russian","despite","qualify","teacher","open","require","return","recommend","class","activity","american","federal","relief","business","province","provide","law","last","instead","elementary","reopen","virtual","will","district","can","try","abroad","one","ministry","test","pay"
"11","wuhan","wear","shortage","supply","hotel","tourist","museum","pedro","indias","french","prime","police","travel","city","ministry","nationwide","super","singapore","migrant","email","instead","perform","military","night","us","personnel","incident","black","sign","poll","professor","claim","want","journalist","global","house","test","event","bolsonaro","joe","house","risk","house","loeffler","education","december","free","taiwans","chain","prompt","education","test","grade","student","medical","guideline","teacher","learn","walgreens","staff","address","queensland","university","learn","california","person","custom","high","person","option","new","friday","common","fair","access","friday","since","get","cuomo"
"12","face","worker","volunteer","worker","zone","milan","suspension","measure","italy","france","camp","chinese","protest","wuhan","train","kerala","worker","citys","vulnerable","ago","los","founder","alert","run","pelosi","county","symptom","care","general","box","box","york","play","donald","let","test","staff","pcr","house","campaign","force","ballot","announcement","sen","crisis","illness","investigation","international","wuhan","january","appropriate","moment","offit","announcement","air","guidance","mitigation","resident","staff","funeral","safely","statistic","toronto","person","child","member","person","bowser","county","learn","campus","macys","hospitalize","ceo","accord","ability","nation","regular","administration"
"13","say","video","taxi","wear","head","town","measure","mortgage","french","migrant","italian","china","ramadan","movement","travel","erdogan","lockdown","montgomery","ride","urge","pilot","microsoft","force","san","additional","lee","us","italian","hh","violence","electronic","express","mask","virus","conversation","income","newsom","whether","test","house","go","contact","isolate","recent","positive","taiwan","lockdown","airline","flight","region","student","reduce","pupil","mandate","cloth","child","walensky","transmission","support","person","cardona","additional","staff","zients","member","staff","vaccinate","college","study","program","rate","goal","four","italys","account","able","start","bidens","mandate"
"14","medium","casino","driver","face","hospital","head","decree","spanish","spain","doctor","delhi","home","wuhan","zone","indias","ramadan","alfitr","emirate","news","lockdown","normal","present","enough","michigan","late","nichols","attack","election","find","task","experiment","china","tell","march","general","plan","reality","debate","wife","hold","newspaper","voter","top","kongs","protection","ban","commissioner","argentina","russia","castex","america","education","measure","law","travel","reopen","prevention","stress","safe","everyone","inequity","need","instruction","emergency","bill","step","guest","venue","college","remote","decrease","police","point","anticipate","across","abroad","hotez","thursday","cnn"
"15","staff","street","nurse","wait","say","museum","close","leave","service","worker","code","narendra","chinese","modi","refugee","slowly","bengal","carolina","site","apart","committee","event","amazon","people","aware","symptom","aapi","mail","letter","service","polio","fight","think","play","unite","harrison","kamala","evidence","negative","dinner","sequence","announcement","aide","penny","launch","nepal","glass","amid","schedule","award","school","war","outbreak","airport","procedure","us","person","daily","worker","learn","back","good","open","college","uc","germany","sydney","fall","ventilation","card","positivity","yorker","initial","finance","act","access","white","vaccination","vaccinate"
"16","treat","equipment","equipment","open","borrelli","bethlehem","sport","lombardy","region","prime","modi","punjab","indias","capital","malaysia","curfew","nationwide","religious","sky","result","socially","us","federal","central","personnel","marine","march","berlin","island","national","busy","certificate","question","say","ambassador","million","family","biden","democratic","military","important","poll","leadership","chp","accord","route","immediate","authority","man","mile","curfew","vallance","class","order","domestic","mitigation","fitness","variant","instruction","assistance","part","child","teacher","group","germany","start","wale","can","class","employee","bill","will","happen","haiti","action","accord","deep","government","official"
"17","bed","medical","patient","gear","authority","eu","prime","worker","france","nationwide","russia","city","ban","chinese","marine","home","full","domestic","outside","post","keep","francis","drive","party","safety","supplemental","report","poison","charge","november","concert","milwaukee","donald","know","withdraw","misinformation","people","criterion","vice","mask","post","watch","chuck","yau","happen","singapore","air","sign","olympic","will","effect","uk","classroom","grassman","reopen","red","return","stay","federal","economy","need","billion","american","house","vaccination","end","tournament","campus","play","bill","incentive","rate","male","leisure","activate","account","much","state","requirement"
"18","video","go","wait","exposure","codogno","hospital","italys","prime","nationwide","delhi","home","russia","violence","protest","flock","will","holiday","return","restriction","bus","precaution","exposure","attend","symptom","movement","japan","admit","journal","significantly","presidential","gel","marie","downplay","white","donald","nation","tell","physician","recommendation","end","break","story","blunt","case","seat","etienne","ministry","russias","latin","mexican","fall","taste","safely","tsa","traveler","consider","distance","nearly","island","education","staff","community","fully","age","every","infection","las","class","bowser","every","return","th","fair","payment","actively","across","country","american","white"
"19","food","medium","worker","italian","press","seven","pope","activity","pedro","pradesh","nationwide","southern","impose","ban","issue","start","disaster","resume","photograph","foot","annual","many","harpers","neighborhood","disney","twitter","video","sample","kentucky","campaign","specific","orchestra","father","cnns","spread","donald","million","isolation","washington","candy","call","lose","positive","son","primary","arrival","suspension","cough","duty","curfew","child","advice","loss","train","safely","high","physical","expect","childcare","return","progress","fund","college","elderly","decline","community","morgue","learn","utah","mayor","also","point","management","row","acute","act","wednesday","announcement","authority"
"20","chinese","face","staff","deliver","rome","serie","civil","will","putin","narendra","funeral","citizen","fear","holiday","flight","train","wind","still","avoid","easy","protection","family","vail","association","station","budget","personnel","low","october","cast","trump","philharmonic","supporter","february","response","gavi","need","rally","minute","positive","palace","read","president","republican","class","suspect","employer","test","spa","france","lose","attend","college","spokesperson","wear","prevention","control","white","month","desantis","get","us","remote","hispanic","school","minister","towards","tam","mask","employer","every","every","therapy","bangladesh","add","action","island","announce","ban"
"21","team","empty","go","notice","european","red","entire","televise","modi","country","lift","leave","african","march","laborer","city","save","facility","pony","remind","read","take","indicator","broadway","live","delay","increase","google","datum","story","chance","trump","rage","event","address","hear","read","cdc","positive","hand","williams","positive","poll","jr","promote","collection","availability","resident","prince","bar","act","key","face","passenger","person","strategy","student","less","serve","file","help","state","grade","vaccination","highlight","rate","zealands","income","verify","miamidade","various","come","asymptomatic","speranza","additional","activate","bring","attest","bidens"
"22","healthcare","treat","deliver","tuesday","stop","louvre","body","say","government","countrys","authority","putin","district","welfare","school","saudi","shelter","strict","face","sense","picture","digital","june","june","vulnerability","execution","base","people","primary","change","account","contain","urquiza","away","death","appear","house","schedule","back","victim","attack","hand","story","trump","major","experience","registration","air","count","fight","corp","pause","staff","near","knot","control","five","angeles","inslee","classroom","summit","secretary","hybrid","puerto","power","castex","fall","dance","fitness","blasio","say","tell","help","covid","address","actively","young","vaccinate","care"
"23","social","buy","phone","buy","guest","french","protection","service","russia","slum","doctor","maharashtra","introduce","kerala","student","strand","ramadan","month","sunday","risk","address","equipment","movement","crowd","last","official","case","primary","box","initiative","sanitizer","interest","woodwards","hall","white","bb","white","diagnostic","specialist","word","johnsons","employee","bill","member","individual","government","flight","arrival","north","place","revenue","food","transmission","enforcement","prevention","person","facility","class","dine","system","teacher","announce","return","grade","nfl","agency","return","place","year","fall","begin","long","substantial","face","adhanom","acute","nevada","weekly","proof"
"24","protective","get","video","frustration","red","close","prison","credit","lombardy","uttar","veran","church","central","body","shoot","urban","landfall","saudi","urge","angeles","friend","term","community","veto","test","develop","april","march","chen","letter","participant","condition","always","wear","respond","mauris","cnn","leave","senator","round","message","night","big","development","ahead","emirate","resume","country","pilot","production","budget","nhs","back","flight","transportation","standard","rate","define","grade","help","india","staff","survey","baseball","upper","spahn","house","limit","june","york","friday","july","particularly","recover","administration","add","cuban","contractor","save"
"25","wear","stretch","look","hawaii","positive","borrelli","husband","vatican","televise","televise","bunny","minister","quarantine","domestic","immigrant","prohibit","west","pradesh","scientific","home","election","nurse","say","pub","family","senior","mail","worker","inform","donate","claim","trip","panic","think","house","weapon","failure","twitter","debate","supreme","comment","test","cnn","statement","room","positive","airline","moscow","chicago","american","property","professional","person","immigration","walensky","county","case","locate","student","private","available","lead","march","pandemic","old","seven","campaign","require","dc","two","next","chicago","now","combine","administrative","additional","ventilator","similar","life"
