"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","hong","hong","hong","lombardy","italy","italy","french","lockdown","lockdown","lockdown","lockdown","lockdown","lockdown","lockdown","will","will","will","will","travel","app","travel","travel","border","international","spain","travel","travel","taiwan","travel","region","border","france","lockdown","uk","region","uk","uk","restriction","lockdown","lockdown","lockdown","restriction","restriction","country","restriction","restriction","christmas","mask","lockdown","lockdown","lockdown","lockdown","lockdown","province","lockdown","lockdown","restriction","test","test","test","test","test","contact","worker","lockdown","leather","fraud","uk","poll","assistance","care","benefit","win","school","vaccine","announce","johnson","festival"
"2","kong","strike","kong","kong","italy","italian","italian","ban","india","minister","minister","measure","measure","will","allow","lockdown","minister","june","government","restriction","travel","country","eu","marine","minister","travel","spain","quarantine","quarantine","flight","france","french","rise","record","minister","infection","minister","restriction","minister","czech","restriction","restaurant","lockdown","christmas","restriction","lockdown","lockdown","measure","guidance","england","school","uk","minister","uk","lockdown","auckland","restriction","recent","program","seoul","rapid","player","korea","trace","migrant","singapore","authority","california","experience","trust","wen","modi","claim","will","august","study","dose","production","list"
"3","border","kong","pipe","prison","italian","lombardy","league","macron","restriction","prime","slum","shop","minister","allow","restriction","restriction","lockdown","border","lift","border","restriction","eu","country","country","china","china","quarantine","traveler","border","air","germany","country","six","rise","lockdown","france","country","government","czech","french","measure","restriction","restaurant","lockdown","region","restaurant","restaurant","restriction","year","uk","measure","school","uk","mcgowan","restriction","ski","minister","will","spend","foreign","identify","student","positive","paralympic","canada","game","lockdowns","canadian","home","american","chamber","card","initial","prize","age","heart","macron","jj","quarantine"
"4","lam","border","worker","police","region","northern","lockdown","government","prime","modi","india","extend","restriction","restriction","minister","border","allow","minister","phase","country","border","government","list","china","travel","italy","korea","country","france","quarantine","travel","restriction","french","surge","johnson","merkel","will","minister","region","republic","intensive","france","hospital","country","england","measure","christmas","restaurant","restriction","school","uk","home","school","minister","minister","germany","incidence","public","childcare","worker","standard","positive","man","game","game","month","police","canada","common","home","high","charge","share","million","take","dose","mandatory","develop","gather"
"5","government","lam","build","resident","northern","region","club","philippines","curfew","india","prime","india","will","ease","will","travel","prime","ease","restriction","quarantine","european","quarantine","traveler","travel","marine","country","traveler","flight","travel","traveler","school","france","country","prime","restriction","bar","measure","prime","government","france","record","pm","government","tier","start","germany","measure","lockdown","people","measure","situation","college","decline","life","case","restriction","will","paris","reduction","korean","antigen","angeles","kdca","minister","twin","turkey","indonesian","service","nurse","ago","family","mcmaster","capacity","fast","student","rate","worker","will","district"
"6","will","union","kongs","officer","veneto","civil","event","minister","minister","measure","home","minister","nationwide","india","strict","minister","phase","announce","spain","lift","country","flight","border","island","ortiz","border","north","korea","visit","passenger","french","greece","uk","uk","case","authority","restriction","country","prime","measure","will","italy","patient","measure","minister","bar","germany","gathering","holiday","restriction","extend","hancock","london","countrys","close","authority","reopen","case","monoclonal","government","home","game","home","englands","america","koca","business","tam","young","family","commerce","hh","health","award","system","report","french","stop","july"
"7","mainland","government","lam","department","civil","sport","region","prime","will","indias","restriction","easter","strict","minister","measure","ease","announce","country","country","will","will","traveler","european","restriction","base","foreign","uk","international","measure","minister","spain","government","hancock","test","rise","rise","government","local","lockdown","minister","unit","bar","measure","december","merkel","german","german","place","home","will","must","wave","prime","school","germany","case","march","area","yacht","decision","south","order","event","test","russia","set","kit","target","wind","outside","american","department","less","erdogan","shoot","booster","monday","council","department"
"8","close","mainland","building","roll","milan","fashion","premier","italy","home","migrant","government","modi","government","measure","ease","allow","region","allow","border","minister","france","restriction","island","international","advance","ridership","minister","north","case","uk","uk","paris","china","government","pm","uk","level","tier","restaurant","care","care","country","country","government","rki","extend","pm","household","avoid","minister","minister","close","johnson","warn","region","positive","border","town","home","south","order","league","south","risk","league","back","indias","loan","metric","friend","problem","old","canadian","register","south","announce","citizen","substance","attend"
"9","suspend","service","border","quarantine","head","protection","match","lockdown","nationwide","police","indian","macron","prime","extend","spain","measure","restriction","lockdown","travel","government","eu","abroad","union","traveler","us","region","korean","tourism","minister","chinese","authority","greek","traveler","authority","prime","minister","care","alert","curfew","intensive","announce","numb","limit","restaurant","allow","christmas","government","december","lockdown","prime","restriction","daily","reopen","western","variant","zealand","school","commercial","strategy","area","diagnostics","baseball","individual","prompt","announce","hong","export","limit","former","people","hope","provide","evaluate","cash","first","just","lift","emergent","traveler"
"10","city","demand","resident","citys","protection","milan","player","sport","measure","home","european","place","may","prime","india","age","border","traveler","allow","measure","zealand","will","zealand","zealand","country","washington","europe","tourist","prime","tweet","country","european","travel","netanyahu","france","restaurant","restaurant","england","level","announce","minister","germany","countrys","germany","dec","region","household","rise","travel","johnson","spread","england","england","west","zone","variant","germany","smoke","recent","embassy","pcr","tier","johnson","four","daily","province","indonesia","oli","lawmaker","ebola","childcare","angeles","permanent","age","atlanta","follow","appointment","authorize","spokesperson"
