"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","emergency","organization","organization","expert","pandemic","fauci","dr","dr","fauci","trump","fauci","trump","trump","fauci","trump","van","model","washington","redfield","fauci","fauci","fauci","wear","fauci","fauci","fauci","fauci","fauci","mask","say","guideline","fauci","fauci","trump","fauci","fauci","flu","fauci","fauci","fauci","dr","biden","fauci","fauci","fauci","fauci","get","fauci","fauci","fauci","fauci","get","biden","fauci","fauci","fauci","fauci","vaccinate","vaccinate","foot","fauci","walensky","fauci","johnson","clot","johnson","vaccine","vaccine","age","vaccine","vaccine","child","trial","enter","money","breakthrough","state","cuomo","fauci"
"2","health","pandemic","ghebreyesus","tedros","vaccine","pandemic","fauci","fauci","trump","fauci","trump","fauci","think","trump","house","ryan","disease","dr","forecast","disease","disease","mask","mask","mask","go","get","mask","dr","say","dr","cdc","immunity","woodward","redfield","dr","dr","fauci","cdc","trump","chief","house","trump","trump","thanksgiving","get","anthony","american","adams","get","get","dr","fauci","get","dr","get","dr","dr","cdc","cdc","cdc","efficacy","fauci","dr","clot","blood","cdc","fda","age","child","age","age","vaccine","meet","canada","scott","death","angeles","new","anthony"
"3","international","health","world","organization","tedros","vaccine","infectious","infectious","dr","biden","model","dr","say","birx","fauci","kerkhove","american","go","center","dr","model","wear","fauci","wear","get","mask","say","mask","fauci","fauci","task","birx","trump","say","say","director","american","dr","anthony","dr","white","fauci","dr","american","dr","dr","fauci","dr","thing","adams","go","walensky","vaccine","get","school","walensky","collins","wear","fully","fauci","disease","dr","director","pause","johnson","fda","authorize","recommend","vaccine","child","child","age","company","zone","sense","result","school","confirm","allergy"
"4","public","world","tedros","health","world","infectious","disease","trial","say","dr","dr","white","president","gate","white","model","dr","van","director","model","dr","think","dr","get","wear","wear","wear","anthony","disease","virus","fauci","thing","deadly","dr","anthony","atla","infect","disease","dr","mask","fauci","administration","task","holiday","re","american","black","anthony","think","want","get","dr","administration","dos","walensky","teacher","walensky","get","fauci","distance","walensky","rochelle","walensky","blood","vaccine","drug","drug","child","use","ema","use","authorize","placebo","four","prospect","get","require","state","may"
"5","concern","public","adhanom","pandemic","ghebreyesus","say","redfield","disease","think","watch","birx","model","white","reopen","say","dr","predict","model","cdc","say","infectious","dr","say","go","mask","say","get","say","dr","really","change","dr","institute","woodward","director","redfield","dr","trump","infectious","get","rt","presidentelect","white","get","travel","us","azar","get","say","us","want","anthony","million","vaccine","vaccinate","school","disease","fauci","people","walensky","dsmb","disease","infectious","rare","cdc","recommend","food","use","dose","participant","offit","among","vaccine","quarantine","commissioner","vaccinate","gov","andrew","infectious"
"6","organization","concern","directorgeneral","adhanom","director","disease","world","can","infectious","say","american","distance","reopen","look","birx","former","director","dc","dc","forecast","say","disease","get","school","school","infectious","thing","wear","control","disease","force","herd","know","immunity","disease","disease","director","frieden","director","white","post","bidens","force","dr","american","azar","dr","watch","dr","ask","public","vaccine","walensky","walensky","can","director","re","guidance","guidance","school","astrazeneca","director","anthony","drug","rare","pause","age","young","recommend","medicine","authorize","use","efficacy","covid","department","able","county","gov","virginia"
"7","outbreak","transmission","expert","ghebreyesus","say","tedros","hank","anthony","disease","anthony","go","say","dr","go","dr","murray","forecast","kerkhove","disease","redfield","go","go","face","can","infectious","think","anthony","get","wear","need","disease","disease","flu","vaccine","get","say","us","infectious","attack","anthony","comment","task","anthony","family","say","say","anthony","town","anthony","arm","line","infectious","supply","supply","think","get","mask","people","walensky","student","datum","say","go","vaccine","pause","blood","dose","advisory","group","use","follow","company","use","white","rule","british","law","condition","national"
"8","virus","declare","health","team","us","dr","anthony","virus","easter","american","say","go","us","say","go","lead","lead","disease","dr","cdc","really","see","think","want","face","want","think","thing","ryan","american","say","anthony","get","fauci","know","task","fatigue","isolation","really","mandate","get","president","president","say","really","get","say","collins","allergy","real","kemp","go","fauci","say","disease","disease","director","go","prevention","director","trial","slavitt","say","us","meet","clot","us","teen","give","old","commission","group","fda","vaccine","job","chair","student","either","institute"
"9","response","agency","team","need","senator","organization","allergy","get","trial","guideline","president","president","administration","white","model","think","say","turner","control","important","mask","say","message","dr","thing","go","back","infectious","country","redfield","dr","infectious","director","know","infectious","tell","kill","can","institute","meadow","election","joe","say","want","want","infectious","watch","vaccine","vaccinate","trump","bright","biden","goal","brief","really","infectious","wear","prevention","disease","physical","concern","white","us","recommend","us","vaccine","johnson","immunization","fda","young","fda","authorization","rather","center","ability","complete","bill","healthcare","discussion"
"10","world","emergency","director","world","disease","trial","get","institute","world","president","white","think","need","anthony","contact","projection","expert","ryan","test","infectious","ryan","get","go","open","disease","kelly","infectious","gupta","can","bad","important","say","want","disease","think","mask","level","prevention","expert","national","surge","force","transition","anthony","birx","holiday","adams","director","cnns","re","really","director","distribution","director","go","anthony","question","walensky","travel","disease","severe","way","disease","dr","recommend","use","child","group","young","condition","year","adviser","participant","federal","able","critical","prohibit","regular","west"
"11","declare","global","international","director","organization","allergy","tedros","vaccine","adams","infectious","get","birx","distance","quickly","life","virus","projection","spike","say","director","anthony","anthony","re","say","good","school","re","think","virus","us","redfield","right","dr","director","model","anthony","cdc","director","allergy","control","american","american","house","celebrate","white","thanksgiving","vaccinate","jerome","infectious","tell","vaccine","many","house","biden","dr","allergy","infectious","johnson","center","six","release","right","allergy","fda","committee","rare","adult","yearolds","dr","adolescent","approval","food","reschedule","canadian","abroad","define","good","national","cuomo"
"12","disease","yet","threat","ryan","risk","ghebreyesus","organization","say","expert","distance","anthony","get","economy","dr","disease","trump","can","capacity","ensemble","asymptomatic","wear","infectious","adams","think","say","dr","distance","go","professor","mask","need","infect","can","think","sanjay","infectious","say","conley","disease","house","expert","white","allergy","director","people","watch","community","mask","go","surgeon","can","allergy","dos","allergy","say","know","thing","disease","guideline","control","monitor","anthony","spread","six","recommendation","food","shoot","meet","drug","patient","old","adolescent","call","foreign","access","fight","pernell","report","host"
"13","meet","develop","azar","vaccine","prepare","world","say","seriously","get","cnns","think","normal","house","murray","need","tedros","country","expert","prevention","prevention","see","people","kemp","try","expert","see","see","disease","suppress","infectious","know","can","interview","mask","mask","trump","disease","anthony","president","trump","think","dr","birx","infectious","know","mask","feel","hall","re","dr","director","disease","say","dose","guidance","reopen","prevention","dr","us","guidance","board","doom","institute","disease","acip","risk","authorization","administration","walensky","pfizerbiontech","eu","us","note","yellow","accord","hope","proof","hospital","threat"
"14","institute","international","dr","emergency","fauci","adhanom","director","really","birx","think","watch","house","whether","get","donald","white","wash","say","response","project","people","need","disease","anthony","use","allergy","disease","know","need","giroir","think","white","disease","president","like","institute","die","immune","like","good","us","house","biden","people","thanksgiving","expert","moment","surgeon","really","thing","institute","administration","enough","infectious","right","prevention","go","official","still","recommend","institute","impend","rochelle","food","syndrome","woman","goal","fda","parent","agency","young","trial","group","scholarship","account","past","vaccination","month","whether"
"15","information","research","say","say","adhanom","epidemic","tom","director","watch","expert","task","really","capacity","likely","murray","director","vaccine","decline","trace","get","important","distance","cover","infectious","speak","lot","know","use","infectious","think","people","people","bob","want","winter","flu","need","test","national","tell","trump","team","mask","food","allergy","christmas","vaccine","street","vaccine","general","infectious","anything","slavitt","enough","director","rochelle","us","want","director","prevention","company","brief","think","meet","jj","prevention","get","us","old","prevent","moderna","emergency","advisory","gov","across","positive","without","medicine","happen"
"16","us","vaccine","disease","dr","need","institute","pandemic","tedros","anthony","go","infectious","want","guideline","point","cnns","many","many","africa","need","think","institute","control","want","thing","dr","know","suppress","message","medicine","flu","giroir","allergy","thing","frieden","trump","force","influenza","say","azar","infectious","national","former","american","allergy","holiday","allergy","take","general","wear","say","precaution","thing","dr","quickly","anthony","guidance","slavitt","biden","dr","rochelle","express","suggest","happen","fauci","woman","authorization","pfizer","drug","food","trial","group","pfizerbiontech","drug","resident","act","series","college","staterun","drug"
"17","committee","issue","global","think","institute","anthony","kerkhove","birx","guideline","social","want","social","disease","risk","town","world","way","reopen","us","control","avoid","expert","infectious","disease","now","anthony","resurgence","back","expert","country","director","atla","people","get","institute","get","now","infect","claim","disease","institute","transition","thanksgiving","drink","institute","interview","think","say","mask","allergy","allergy","dos","go","teacher","reopen","vaccinate","anthony","still","recommend","apart","information","us","get","severe","drug","disease","approval","food","authorize","authorize","coronavirus","fda","feel","region","action","commissioner","support","stay","fund"
"18","transmission","measure","offer","pompeo","month","director","enough","organization","town","birx","house","peak","flu","need","administration","cnns","need","director","deploy","know","director","wen","people","really","way","expert","like","sanjay","distance","can","expert","strategy","always","never","really","allergy","vary","fact","much","director","mask","donald","institute","can","thing","really","mask","us","ask","claim","full","west","rochelle","anthony","prevention","institute","cdc","just","anthony","center","cdc","really","national","administration","practice","syndrome","use","center","meet","study","month","yearolds","already","win","activate","appreciate","los","traveler","get"
"19","work","adhanom","country","infectious","health","directorgeneral","van","know","want","model","brief","economy","get","predict","task","health","death","mask","washington","us","jha","like","everyone","stay","guideline","institute","tennessee","school","lot","anthony","test","task","infectious","control","tell","winter","anthony","pcr","call","us","infectious","response","infectious","institute","infectious","know","gupta","cnns","us","vaccinate","trust","distribution","american","administration","us","control","vaccinate","keep","pregnant","us","anthony","house","right","prevention","use","administration","pause","authorization","committee","look","authorization","compare","whether","call","actively","dashboard","indiana","payment","dr"
"20","vaccine","ghebreyesus","re","brief","can","phase","community","ryan","tedros","white","look","guideline","point","warn","risk","say","health","organization","contact","transmission","like","really","just","face","gelber","disease","go","expert","really","expert","get","someone","tell","life","virus","thing","can","people","us","american","around","get","think","outdoor","need","family","safe","question","tell","cnns","may","cdc","director","disease","tell","child","center","tell","control","dr","astrazenecas","allergy","see","center","food","advisory","administration","committee","prevention","group","mhra","virus","site","one","acute","evade","davis","storage","give"
"21","country","program","outbreak","us","dr","think","wilson","young","thing","flu","distance","cnns","want","lot","gore","mobility","ensure","virus","inmate","allergy","project","besser","spread","expert","science","people","ryan","control","effectively","every","someone","wear","book","robert","american","always","center","president","get","like","sequence","plan","tell","make","think","thing","survey","allergy","good","reason","azar","full","day","vaccinate","need","mask","see","recommend","good","vaccinate","issue","see","center","director","advisory","company","immunity","cdcs","director","administer","adolescent","coronavirus","study","can","add","status","utah","clean","international"
"22","whether","director","make","mike","yet","ready","influenza","study","know","really","expert","task","enough","cnns","know","predict","washington","impact","tell","institute","thing","cdc","can","director","people","control","director","can","warren","know","nation","vaccine","protect","protect","level","nbc","death","criterion","leadership","allergy","collins","say","national","put","gather","institute","distance","feel","want","vaccine","immunity","see","vaccinate","many","cdc","re","say","back","can","science","tuesday","case","even","recommendation","immunization","us","emergency","practice","center","good","either","drug","receive","health","additional","three","status","association","strategic"
"23","develop","factor","us","really","team","can","thing","expert","distance","disease","lot","reopen","donald","relatively","metric","vaccine","program","project","see","protest","gottlieb","want","hand","safely","help","mandate","dr","cnns","thing","get","virus","spread","think","create","transmission","can","trump","hall","interview","expert","note","go","know","risk","wear","think","can","infectious","institute","anthony","cnns","palestinian","state","can","brief","spread","front","bite","release","three","monday","worry","highly","use","janssen","lift","eua","schedule","product","emergency","food","admission","case","beyond","address","natural","minor","legal","expand"
